,Rappel,Subject
0,-8.3333333333333,31NLI
1,-12.5,32CVI
2,8.333333333333343,34LME
3,-16.666666666666686,35QSY
4,-8.333333333333343,36LSA
5,4.166666666666657,37BMA
6,0.0,38MAX
7,-4.166666666666686,39BDA
8,-16.666666666666686,40MMA
9,8.333333333333343,41BAL
10,-12.5,42SPE
11,-4.166666666666657,44SMU
12,0.0,45MJA
13,4.166666666666657,46SQU
14,-8.3333333333333,47HMA
15,-4.166666666666657,50JOC
16,-12.5,52PFA
17,-8.333333333333343,53SMA
18,-4.166666666666657,55MNI
19,-16.666666666666643,56BCL
20,0.0,57NCO
21,0.0,58BAN
22,-16.666666666666643,59DIN
23,-12.5,60CAN
