,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Emotion,Non vivant,NonOrg,133528,2,2749,balloon01b.png,Landscapes_004_h.jpg,1
1,No-Think,Neutral,Non vivant,NonOrg,139247,2,2780,bikehelmet.png,Landscapes_034_h.jpg,1
2,No-Think,Neutral,Non vivant,Org,145049,1,1228,hen.png,Objects_082_h.jpg,1
3,Baseline,Emotion,Non vivant,NonOrg,149101,2,1734,dice02a.png,Black.jpg,1
4,No-Think,Emotion,Vivant,NonOrg,153603,2,1314,airhockeypaddle01a.png,Animals_032_h.jpg,1
5,Think,Neutral,Vivant,NonOrg,157637,1,1391,bib.png,Faces_044_h.jpg,1
6,Think,Neutral,Vivant,Org,161739,1,1707,moose.png,Faces_224_h.jpg,1
7,Baseline,Neutral,Non vivant,Org,166391,1,1439,killerwhale.png,Black.jpg,1
8,Baseline,Emotion,Non vivant,Org,170609,1,1727,sheep.png,Black.jpg,1
9,Baseline,Neutral,Non vivant,Org,175061,1,1258,raccoon.png,Black.jpg,1
10,Think,Neutral,Non vivant,NonOrg,179063,2,1826,alarmclock01.png,Landscapes_049_h.jpg,1
11,Baseline,Emotion,Non vivant,NonOrg,183598,2,2234,scale01b.png,Black.jpg,1
12,Think,Neutral,Vivant,NonOrg,188533,1,1909,alarmclock02b.png,People_048_h.jpg,1
13,Baseline,Neutral,Vivant,Org,193485,1,1013,siamesecat.png,Black.jpg,1
14,No-Think,Emotion,Non vivant,Org,197503,1,2318,tortoise01.png,Objects_233_h.jpg,1
15,No-Think,Neutral,Vivant,NonOrg,209208,2,1192,amphora.png,People_105_h.jpg,1
16,No-Think,Emotion,Vivant,Org,213443,1,1914,tern.png,People_198_h.jpg,1
17,Baseline,Emotion,Vivant,NonOrg,218078,2,2214,antenna.png,Black.jpg,1
18,No-Think,Emotion,Vivant,Org,223380,1,1198,saintbernard.png,People_222_h.jpg,1
19,Baseline,Neutral,Vivant,Org,227598,1,1131,skunk.png,Black.jpg,1
20,No-Think,Neutral,Vivant,NonOrg,231433,2,930,baseball01a.png,Faces_024_h.jpg,1
21,Think,Neutral,Non vivant,NonOrg,241554,2,2440,armchair01.png,Objects_043_h.jpg,1
22,Baseline,Neutral,Vivant,NonOrg,246722,2,1409,bicycle.png,Black.jpg,1
23,Baseline,Neutral,Non vivant,NonOrg,251024,2,1259,bandage.png,Black.jpg,1
24,Baseline,Emotion,Vivant,Org,255326,1,1112,stuffedpuffin.png,Black.jpg,1
25,Baseline,Emotion,Vivant,NonOrg,259111,2,1026,beachpaddle01a.png,Black.jpg,1
26,No-Think,Emotion,Non vivant,NonOrg,262962,2,1722,scotchtape.png,Landscapes_007_h.jpg,1
27,No-Think,Neutral,Vivant,Org,267547,1,1337,beaver.png,People_155_h.jpg,1
28,No-Think,Emotion,Non vivant,Org,271932,1,1751,toad.png,Objects_138_h.jpg,1
29,Think,Emotion,Non vivant,Org,276634,2,1577,cow.png,Landscapes_026_h.jpg,1
30,Think,Emotion,Non vivant,Org,281019,2,1684,squirrel.png,Objects_157_h.jpg,1
31,Baseline,Neutral,Non vivant,NonOrg,285571,2,1946,banjo.png,Black.jpg,1
32,Think,Emotion,Vivant,Org,290306,1,2336,sturgeon.png,Faces_366_h.jpg,1
33,Baseline,Neutral,Vivant,NonOrg,295541,2,1848,backfloat.png,Black.jpg,1
34,Think,Neutral,Non vivant,Org,300310,2,1747,dromedary.png,Landscapes_073_h.jpg,1
35,Think,Emotion,Vivant,NonOrg,305078,1,1751,toytractor01b.png,People_129_h.jpg,1
36,Think,Neutral,Vivant,Org,309847,1,1616,kangaroo.png,People_138_h.jpg,1
37,Think,Emotion,Non vivant,NonOrg,314149,2,1743,aceofdiamond.png,Objects_109_h.jpg,1
38,Think,Neutral,Non vivant,Org,318617,2,2389,blackbear.png,Objects_085_h.jpg,1
39,No-Think,Neutral,Non vivant,NonOrg,323819,2,1145,usbcable01b.png,Landscapes_048_h.jpg,1
40,No-Think,Neutral,Vivant,Org,327971,1,1533,caribou01.png,Faces_308_h.jpg,1
41,No-Think,Emotion,Vivant,NonOrg,332506,2,1474,bassguitar.png,People_208_h.jpg,1
42,Think,Emotion,Vivant,Org,336741,1,2367,tiger02.png,People_202_h.jpg,1
43,Baseline,Emotion,Vivant,Org,341926,1,1389,rockbass.png,Black.jpg,1
44,No-Think,Emotion,Non vivant,NonOrg,346044,2,1500,toaster02.png,Objects_151_h.jpg,1
45,Baseline,Emotion,Non vivant,Org,350613,1,1537,swallow.png,Black.jpg,1
46,Think,Neutral,Vivant,NonOrg,355181,1,2042,bib.png,Faces_044_h.jpg,2
47,No-Think,Neutral,Non vivant,NonOrg,360133,2,1102,usbcable01b.png,Landscapes_048_h.jpg,2
48,Baseline,Neutral,Non vivant,NonOrg,363985,2,1222,bandage.png,Black.jpg,2
49,Baseline,Neutral,Vivant,NonOrg,368170,2,871,bicycle.png,Black.jpg,2
50,No-Think,Neutral,Vivant,Org,371788,1,1937,caribou01.png,Faces_308_h.jpg,2
51,Baseline,Emotion,Non vivant,Org,376506,1,1521,swallow.png,Black.jpg,2
52,Baseline,Neutral,Vivant,NonOrg,380941,2,759,backfloat.png,Black.jpg,2
53,No-Think,Emotion,Vivant,NonOrg,384609,2,1441,airhockeypaddle01a.png,Animals_032_h.jpg,2
54,No-Think,Neutral,Non vivant,NonOrg,388761,2,1001,bikehelmet.png,Landscapes_034_h.jpg,2
55,Baseline,Emotion,Non vivant,NonOrg,392529,2,886,dice02a.png,Black.jpg,2
56,Baseline,Neutral,Vivant,Org,396231,1,821,skunk.png,Black.jpg,2
57,Baseline,Emotion,Non vivant,NonOrg,400099,2,601,scale01b.png,Black.jpg,2
58,No-Think,Neutral,Non vivant,Org,403450,1,988,lion.png,Landscapes_038_h.jpg,2
59,Think,Neutral,Non vivant,Org,407435,2,1258,blackbear.png,Objects_085_h.jpg,2
60,Think,Neutral,Vivant,Org,411670,1,1428,moose.png,Faces_224_h.jpg,2
61,Baseline,Neutral,Non vivant,NonOrg,415905,2,681,banjo.png,Black.jpg,2
62,No-Think,Emotion,Non vivant,NonOrg,419406,2,958,toaster02.png,Objects_151_h.jpg,2
63,No-Think,Emotion,Vivant,Org,423191,1,887,saintbernard.png,People_222_h.jpg,2
64,Baseline,Emotion,Vivant,Org,426893,1,671,stuffedpuffin.png,Black.jpg,2
65,Think,Neutral,Vivant,NonOrg,430444,1,999,alarmclock02b.png,People_048_h.jpg,2
66,No-Think,Emotion,Non vivant,NonOrg,434462,2,1159,scotchtape.png,Landscapes_007_h.jpg,2
67,Think,Neutral,Non vivant,Org,438614,2,2316,dromedary.png,Landscapes_073_h.jpg,2
68,Baseline,Emotion,Vivant,NonOrg,443699,2,997,antenna.png,Black.jpg,2
69,Think,Emotion,Non vivant,NonOrg,447551,2,1526,aceofdiamond.png,Objects_109_h.jpg,2
70,Think,Emotion,Non vivant,Org,451886,2,1896,cow.png,Landscapes_026_h.jpg,2
71,Baseline,Emotion,Vivant,Org,456604,1,2293,rockbass.png,Black.jpg,2
72,No-Think,Emotion,Non vivant,Org,461723,1,1594,tortoise01.png,Objects_233_h.jpg,2
73,Think,Emotion,Non vivant,Org,466308,2,2758,squirrel.png,Objects_157_h.jpg,2
74,No-Think,Neutral,Vivant,NonOrg,472093,2,2040,baseball01a.png,Faces_024_h.jpg,2
75,No-Think,Emotion,Non vivant,Org,476812,1,1742,toad.png,Objects_138_h.jpg,2
76,Think,Neutral,Non vivant,NonOrg,481247,2,2008,alarmclock01.png,Landscapes_049_h.jpg,2
77,Think,Emotion,Non vivant,NonOrg,486266,2,1383,balloon01b.png,Landscapes_004_h.jpg,2
78,Think,Emotion,Vivant,NonOrg,490584,1,2069,binoculars01b.png,Animals_045_h.jpg,2
79,Baseline,Emotion,Vivant,NonOrg,495336,2,935,beachpaddle01a.png,Black.jpg,2
80,Baseline,Neutral,Non vivant,Org,499121,1,1046,raccoon.png,Black.jpg,2
81,No-Think,Neutral,Vivant,Org,503189,1,1167,beaver.png,People_155_h.jpg,2
82,No-Think,Emotion,Vivant,Org,507024,1,1666,tern.png,People_198_h.jpg,2
83,No-Think,Emotion,Vivant,NonOrg,511659,2,1329,bassguitar.png,People_208_h.jpg,2
84,Baseline,Neutral,Vivant,Org,515660,1,1172,siamesecat.png,Black.jpg,2
85,Think,Emotion,Vivant,Org,519779,1,1812,sturgeon.png,Faces_366_h.jpg,2
86,Baseline,Neutral,Non vivant,Org,530916,1,1694,killerwhale.png,Black.jpg,2
87,Think,Emotion,Vivant,Org,535485,1,2518,tiger02.png,People_202_h.jpg,2
88,Think,Emotion,Vivant,NonOrg,540687,1,2934,toytractor01b.png,People_129_h.jpg,2
89,Think,Neutral,Vivant,Org,546389,1,1696,kangaroo.png,People_138_h.jpg,2
90,Think,Neutral,Non vivant,NonOrg,551091,2,1471,armchair01.png,Objects_043_h.jpg,2
91,Baseline,Emotion,Non vivant,Org,555359,1,1643,sheep.png,Black.jpg,2
92,No-Think,Neutral,Vivant,NonOrg,559894,2,1169,amphora.png,People_105_h.jpg,2
93,Baseline,Emotion,Non vivant,Org,563813,1,1753,sheep.png,Black.jpg,3
94,Think,Neutral,Vivant,NonOrg,581653,1,1195,alarmclock02b.png,People_048_h.jpg,3
95,Think,Neutral,Vivant,Org,585671,1,1133,moose.png,Faces_224_h.jpg,3
96,Baseline,Emotion,Non vivant,NonOrg,589723,2,737,dice02a.png,Black.jpg,3
97,Baseline,Neutral,Vivant,Org,593341,1,1180,siamesecat.png,Black.jpg,3
98,No-Think,Emotion,Vivant,Org,597359,1,1121,saintbernard.png,People_222_h.jpg,3
99,Think,Emotion,Vivant,Org,601511,1,997,sturgeon.png,Faces_366_h.jpg,3
100,Baseline,Neutral,Non vivant,NonOrg,605362,2,898,banjo.png,Black.jpg,3
101,No-Think,Neutral,Vivant,Org,609180,1,1535,beaver.png,People_155_h.jpg,3
102,Think,Neutral,Vivant,NonOrg,613465,1,1352,bib.png,Faces_044_h.jpg,3
103,Baseline,Neutral,Non vivant,Org,617734,1,1252,raccoon.png,Black.jpg,3
104,No-Think,Emotion,Vivant,NonOrg,621702,2,1659,bassguitar.png,People_208_h.jpg,3
105,Baseline,Neutral,Vivant,NonOrg,626253,2,1142,backfloat.png,Black.jpg,3
106,Baseline,Neutral,Vivant,NonOrg,630138,2,1062,bicycle.png,Black.jpg,3
107,Baseline,Emotion,Vivant,Org,633840,1,967,stuffedpuffin.png,Black.jpg,3
108,No-Think,Emotion,Non vivant,NonOrg,637841,2,1010,scotchtape.png,Landscapes_007_h.jpg,3
109,Think,Neutral,Vivant,Org,641826,1,1439,kangaroo.png,People_138_h.jpg,3
110,Think,Emotion,Vivant,Org,646261,1,1850,tiger02.png,People_202_h.jpg,3
111,No-Think,Emotion,Non vivant,Org,650963,2,1603,toad.png,Objects_138_h.jpg,3
112,No-Think,Emotion,Vivant,NonOrg,655482,2,1225,airhockeypaddle01a.png,Animals_032_h.jpg,3
113,Think,Emotion,Non vivant,NonOrg,659750,2,1687,aceofdiamond.png,Objects_109_h.jpg,3
114,Baseline,Emotion,Vivant,NonOrg,664185,2,925,beachpaddle01a.png,Black.jpg,3
115,No-Think,Neutral,Non vivant,NonOrg,668153,2,2629,bikehelmet.png,Landscapes_034_h.jpg,3
116,No-Think,Emotion,Non vivant,NonOrg,673555,2,636,toaster02.png,Objects_151_h.jpg,3
117,No-Think,Emotion,Vivant,Org,677040,1,1237,tern.png,People_198_h.jpg,3
118,Think,Neutral,Non vivant,NonOrg,681325,2,1137,armchair01.png,Objects_043_h.jpg,3
119,Think,Neutral,Non vivant,NonOrg,685143,2,1353,alarmclock01.png,Landscapes_049_h.jpg,3
120,No-Think,Neutral,Vivant,NonOrg,689361,2,1775,amphora.png,People_105_h.jpg,3
121,No-Think,Neutral,Non vivant,Org,693947,1,1860,hen.png,Objects_082_h.jpg,3
122,Baseline,Emotion,Non vivant,NonOrg,698765,2,1769,scale01b.png,Black.jpg,3
123,Think,Emotion,Vivant,NonOrg,703400,1,1548,toytractor01b.png,People_129_h.jpg,3
124,No-Think,Neutral,Vivant,Org,707969,1,2229,caribou01.png,Faces_308_h.jpg,3
125,Baseline,Emotion,Vivant,NonOrg,713187,2,645,antenna.png,Black.jpg,3
126,Think,Emotion,Non vivant,Org,716772,2,1619,squirrel.png,Objects_157_h.jpg,3
127,No-Think,Neutral,Vivant,NonOrg,727876,2,1623,baseball01a.png,Faces_024_h.jpg,3
128,Baseline,Neutral,Non vivant,Org,732411,1,1262,killerwhale.png,Black.jpg,3
129,Think,Neutral,Non vivant,Org,736663,2,1553,blackbear.png,Objects_085_h.jpg,3
130,Think,Emotion,Non vivant,NonOrg,741265,2,1884,balloon01b.png,Landscapes_004_h.jpg,3
131,No-Think,Neutral,Non vivant,Org,745983,1,2705,lion.png,Landscapes_038_h.jpg,3
132,Baseline,Neutral,Vivant,Org,751452,1,855,skunk.png,Black.jpg,3
133,Baseline,Emotion,Vivant,Org,755020,1,772,rockbass.png,Black.jpg,3
134,Think,Emotion,Vivant,NonOrg,758788,1,1405,binoculars01b.png,Animals_045_h.jpg,3
135,Think,Emotion,Non vivant,Org,763207,2,1768,cow.png,Landscapes_026_h.jpg,3
136,No-Think,Neutral,Non vivant,NonOrg,767792,2,1222,usbcable01b.png,Landscapes_048_h.jpg,3
137,No-Think,Emotion,Non vivant,Org,771927,1,1312,tortoise01.png,Objects_233_h.jpg,3
138,Baseline,Emotion,Non vivant,Org,775895,2,1485,swallow.png,Black.jpg,3
139,Baseline,Neutral,Non vivant,NonOrg,780363,2,1312,bandage.png,Black.jpg,3
140,Baseline,Emotion,Vivant,Org,784398,1,863,stuffedpuffin.png,Black.jpg,4
141,No-Think,Emotion,Vivant,NonOrg,788016,2,1220,bassguitar.png,People_208_h.jpg,4
142,Think,Neutral,Non vivant,NonOrg,792235,2,1490,armchair01.png,Objects_043_h.jpg,4
143,Baseline,Emotion,Non vivant,Org,796453,1,1049,swallow.png,Black.jpg,4
144,No-Think,Neutral,Vivant,Org,800255,1,1230,caribou01.png,Faces_308_h.jpg,4
145,Baseline,Neutral,Vivant,Org,804523,1,866,skunk.png,Black.jpg,4
146,Think,Neutral,Vivant,NonOrg,808374,1,2286,alarmclock02b.png,People_048_h.jpg,4
147,No-Think,Emotion,Non vivant,NonOrg,813610,2,871,scotchtape.png,Landscapes_007_h.jpg,4
