,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Vivant,Org,96193,1,2198,caribou01.png,Faces_308_h.jpg,1
1,No-Think,Neutral,Non vivant,Org,101462,2,1657,blackbear.png,Objects_085_h.jpg,1
2,Think,Neutral,Vivant,NonOrg,106180,1,931,baseball01a.png,Faces_024_h.jpg,1
3,No-Think,Emotion,Non vivant,Org,110082,2,1573,cow.png,Landscapes_026_h.jpg,1
4,Think,Neutral,Non vivant,NonOrg,114533,2,1909,usbcable01b.png,Landscapes_048_h.jpg,1
5,No-Think,Neutral,Vivant,NonOrg,119302,1,1615,bib.png,Faces_044_h.jpg,1
6,Baseline,Neutral,Vivant,Org,123720,2,1910,siamesecat.png,Black.jpg,1
7,Baseline,Emotion,Vivant,NonOrg,128305,2,700,antenna.png,Black.jpg,1
8,Baseline,Neutral,Vivant,NonOrg,132007,2,483,bicycle.png,Black.jpg,1
9,Think,Neutral,Vivant,Org,135541,1,829,beaver.png,People_155_h.jpg,1
10,Think,Neutral,Non vivant,Org,139376,2,795,hen.png,Objects_082_h.jpg,1
11,No-Think,Neutral,Non vivant,Org,143178,2,931,dromedary.png,Landscapes_073_h.jpg,1
12,No-Think,Emotion,Non vivant,NonOrg,146896,2,1295,balloon01b.png,Landscapes_004_h.jpg,1
13,Baseline,Neutral,Non vivant,Org,151231,2,700,raccoon.png,Black.jpg,1
14,Think,Neutral,Vivant,NonOrg,154866,1,2300,amphora.png,People_105_h.jpg,1
15,Think,Emotion,Non vivant,NonOrg,159951,2,1567,toaster02.png,Objects_151_h.jpg,1
16,Think,Emotion,Vivant,Org,170522,1,1767,saintbernard.png,People_222_h.jpg,1
17,Think,Emotion,Vivant,NonOrg,175290,1,2394,airhockeypaddle01a.png,Animals_032_h.jpg,1
18,No-Think,Emotion,Non vivant,Org,180742,2,1921,squirrel.png,Objects_157_h.jpg,1
19,No-Think,Neutral,Non vivant,NonOrg,185527,2,1493,armchair01.png,Objects_043_h.jpg,1
20,Baseline,Emotion,Non vivant,NonOrg,189896,2,695,dice02a.png,Black.jpg,1
21,No-Think,Neutral,Vivant,NonOrg,193497,1,1367,alarmclock02b.png,People_048_h.jpg,1
22,Baseline,Emotion,Non vivant,Org,197549,1,1353,sheep.png,Black.jpg,1
23,No-Think,Neutral,Vivant,Org,201717,1,1564,kangaroo.png,People_138_h.jpg,1
24,Baseline,Emotion,Vivant,Org,206119,1,778,rockbass.png,Black.jpg,1
25,Baseline,Neutral,Vivant,NonOrg,209653,2,1056,backfloat.png,Black.jpg,1
26,Baseline,Emotion,Vivant,Org,213405,1,968,stuffedpuffin.png,Black.jpg,1
27,Baseline,Emotion,Non vivant,Org,217340,1,533,swallow.png,Black.jpg,1
28,Baseline,Neutral,Non vivant,NonOrg,220608,2,1000,banjo.png,Black.jpg,1
29,Think,Emotion,Non vivant,NonOrg,224526,2,1967,scotchtape.png,Landscapes_007_h.jpg,1
30,No-Think,Emotion,Vivant,Org,229211,1,1609,sturgeon.png,Faces_366_h.jpg,1
31,Think,Emotion,Non vivant,Org,233913,2,1988,tortoise01.png,Objects_233_h.jpg,1
32,Baseline,Emotion,Non vivant,NonOrg,238715,2,1131,scale01b.png,Black.jpg,1
33,Baseline,Emotion,Vivant,NonOrg,242800,2,1121,beachpaddle01a.png,Black.jpg,1
34,Think,Emotion,Non vivant,Org,252904,2,2577,toad.png,Objects_138_h.jpg,1
