,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Non vivant,NonOrg,91866,2,1374,bikehelmet.png,Landscapes_034_h.jpg,1
1,Baseline,Emotion,Non vivant,NonOrg,96001,2,1565,dice02a.png,Black.jpg,1
2,Baseline,Neutral,Non vivant,Org,100319,1,963,killerwhale.png,Black.jpg,1
3,Baseline,Emotion,Non vivant,Org,103971,1,663,sheep.png,Black.jpg,1
4,No-Think,Emotion,Vivant,Org,107439,1,1244,sturgeon.png,Faces_366_h.jpg,1
5,Think,Neutral,Vivant,NonOrg,111390,1,1679,baseball01a.png,Faces_024_h.jpg,1
6,No-Think,Emotion,Vivant,Org,115825,1,1950,tiger02.png,People_202_h.jpg,1
7,No-Think,Neutral,Vivant,Org,120560,1,1073,kangaroo.png,People_138_h.jpg,1
8,Think,Emotion,Non vivant,NonOrg,124495,2,2573,scotchtape.png,Landscapes_007_h.jpg,1
9,Think,Emotion,Vivant,NonOrg,136900,1,1966,bassguitar.png,People_208_h.jpg,1
10,Think,Emotion,Non vivant,Org,141685,2,2075,toad.png,Objects_138_h.jpg,1
11,No-Think,Emotion,Non vivant,NonOrg,146704,2,1732,balloon01b.png,Landscapes_004_h.jpg,1
12,Baseline,Neutral,Non vivant,NonOrg,151372,2,2255,banjo.png,Black.jpg,1
13,No-Think,Emotion,Non vivant,Org,156358,2,804,squirrel.png,Objects_157_h.jpg,1
14,No-Think,Neutral,Non vivant,NonOrg,159909,2,1469,armchair01.png,Objects_043_h.jpg,1
15,No-Think,Neutral,Non vivant,NonOrg,164177,2,1046,alarmclock01.png,Landscapes_049_h.jpg,1
16,Baseline,Neutral,Vivant,Org,168212,1,683,skunk.png,Black.jpg,1
17,Think,Neutral,Non vivant,NonOrg,171614,2,1870,usbcable01b.png,Landscapes_048_h.jpg,1
18,Think,Emotion,Vivant,Org,176515,1,1249,tern.png,People_198_h.jpg,1
19,No-Think,Emotion,Non vivant,Org,180800,1,1286,cow.png,Landscapes_026_h.jpg,1
20,No-Think,Emotion,Vivant,NonOrg,185069,2,1099,toytractor01b.png,People_129_h.jpg,1
21,Think,Emotion,Non vivant,NonOrg,189254,2,1807,toaster02.png,Objects_151_h.jpg,1
22,No-Think,Neutral,Vivant,NonOrg,193722,2,1520,alarmclock02b.png,People_048_h.jpg,1
23,Baseline,Neutral,Vivant,NonOrg,198040,2,1307,backfloat.png,Black.jpg,1
24,Baseline,Emotion,Non vivant,NonOrg,202342,2,837,scale01b.png,Black.jpg,1
25,No-Think,Neutral,Vivant,NonOrg,206160,2,976,bib.png,Faces_044_h.jpg,1
26,Think,Neutral,Non vivant,Org,209912,2,2004,lion.png,Landscapes_038_h.jpg,1
27,Baseline,Emotion,Vivant,Org,214764,1,1065,rockbass.png,Black.jpg,1
28,Baseline,Emotion,Vivant,NonOrg,218648,2,776,antenna.png,Black.jpg,1
29,No-Think,Emotion,Vivant,NonOrg,222233,2,1110,binoculars01b.png,Animals_045_h.jpg,1
30,Baseline,Neutral,Non vivant,NonOrg,226268,2,1031,bandage.png,Black.jpg,1
31,No-Think,Emotion,Non vivant,NonOrg,230036,2,1138,aceofdiamond.png,Objects_109_h.jpg,1
32,Baseline,Emotion,Vivant,NonOrg,233821,2,768,beachpaddle01a.png,Black.jpg,1
33,No-Think,Neutral,Vivant,Org,237306,1,1452,moose.png,Faces_224_h.jpg,1
34,Think,Neutral,Vivant,NonOrg,241841,1,2489,amphora.png,People_105_h.jpg,1
35,No-Think,Neutral,Non vivant,Org,247293,1,1247,blackbear.png,Objects_085_h.jpg,1
36,Baseline,Neutral,Non vivant,Org,251395,1,871,raccoon.png,Black.jpg,1
