,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Emotion,Vivant,NonOrg,220695,2,2046,binoculars01b.png,Animals_045_h.jpg,1
1,No-Think,Neutral,Vivant,Org,225614,1,1731,siamesecat.png,People_146_h.jpg,1
2,Baseline,Neutral,Non vivant,Org,230399,1,1460,lion.png,Black.jpg,1
3,Think,Emotion,Vivant,Org,234684,1,1753,sturgeon.png,Faces_366_h.jpg,1
4,Baseline,Neutral,Vivant,NonOrg,239269,2,1102,baseball01a.png,Black.jpg,1
5,Think,Emotion,Non vivant,Org,255258,2,1296,squirrel.png,Objects_157_h.jpg,1
6,No-Think,Emotion,Non vivant,Org,259343,1,1177,swallow.png,Objects_144_h.jpg,1
7,No-Think,Emotion,Vivant,NonOrg,263545,2,2510,antenna.png,People_216_h.jpg,1
8,Think,Emotion,Non vivant,NonOrg,274783,2,2386,aceofdiamond.png,Objects_109_h.jpg,1
9,Think,Neutral,Non vivant,Org,279985,2,1712,blackbear.png,Objects_085_h.jpg,1
10,Baseline,Neutral,Vivant,NonOrg,284387,2,1250,amphora.png,Black.jpg,1
11,Baseline,Emotion,Non vivant,NonOrg,288688,2,1509,toaster02.png,Black.jpg,1
12,Think,Emotion,Non vivant,Org,292957,2,2057,cow.png,Landscapes_026_h.jpg,1
13,No-Think,Emotion,Vivant,NonOrg,297942,2,2992,beachpaddle01a.png,People_233_h.jpg,1
14,Baseline,Neutral,Non vivant,NonOrg,303727,2,1335,usbcable01b.png,Black.jpg,1
15,Think,Neutral,Vivant,NonOrg,307946,1,1721,alarmclock02b.png,People_048_h.jpg,1
16,Baseline,Emotion,Non vivant,Org,312331,2,2886,tortoise01.png,Black.jpg,1
17,Baseline,Emotion,Vivant,NonOrg,318166,2,1101,airhockeypaddle01a.png,Black.jpg,1
18,No-Think,Emotion,Non vivant,NonOrg,322035,2,1690,scale01b.png,Objects_127_h.jpg,1
19,No-Think,Neutral,Non vivant,Org,326436,1,1766,raccoon.png,Objects_169_h.jpg,1
20,No-Think,Neutral,Non vivant,NonOrg,331121,2,1174,bandage.png,Objects_204_h.jpg,1
21,Think,Neutral,Vivant,NonOrg,335090,1,1924,bib.png,Faces_044_h.jpg,1
22,No-Think,Neutral,Non vivant,Org,340025,1,1680,killerwhale.png,Objects_214_h.jpg,1
23,No-Think,Emotion,Non vivant,Org,344760,1,904,sheep.png,Landscapes_139_h.jpg,1
24,No-Think,Emotion,Vivant,Org,348612,1,1192,rockbass.png,People_240_h.jpg,1
25,Think,Neutral,Vivant,Org,352813,1,2225,kangaroo.png,People_138_h.jpg,1
26,No-Think,Emotion,Vivant,Org,358099,1,2515,stuffedpuffin.png,People_227_h.jpg,1
27,Think,Neutral,Non vivant,NonOrg,363617,2,2504,armchair01.png,Objects_043_h.jpg,1
28,Baseline,Emotion,Non vivant,NonOrg,368936,2,1198,scotchtape.png,Black.jpg,1
29,Think,Emotion,Vivant,NonOrg,372871,1,2293,toytractor01b.png,People_129_h.jpg,1
30,No-Think,Emotion,Non vivant,NonOrg,377840,2,1552,dice02a.png,Landscapes_025_h.jpg,1
31,Baseline,Neutral,Vivant,Org,382291,1,1082,beaver.png,Black.jpg,1
32,Baseline,Emotion,Vivant,Org,386393,1,950,tern.png,Black.jpg,1
33,Baseline,Neutral,Non vivant,NonOrg,390044,2,1237,bikehelmet.png,Black.jpg,1
34,No-Think,Neutral,Vivant,NonOrg,394163,2,1782,backfloat.png,People_109_h.jpg,1
35,Think,Neutral,Non vivant,NonOrg,398814,2,2802,alarmclock01.png,Landscapes_049_h.jpg,1
36,No-Think,Neutral,Vivant,NonOrg,404350,2,1484,bicycle.png,Faces_045_h.jpg,1
37,No-Think,Neutral,Non vivant,NonOrg,408835,2,845,banjo.png,Objects_099_h.jpg,1
38,Baseline,Neutral,Non vivant,Org,412637,1,743,hen.png,Black.jpg,1
39,Think,Emotion,Non vivant,NonOrg,416121,2,2810,balloon01b.png,Landscapes_004_h.jpg,1
40,Baseline,Emotion,Vivant,NonOrg,421757,2,2512,bassguitar.png,Black.jpg,1
41,Think,Neutral,Vivant,Org,427226,1,1958,moose.png,Faces_224_h.jpg,1
42,No-Think,Neutral,Vivant,Org,432027,1,2023,skunk.png,Faces_276_h.jpg,1
43,Baseline,Neutral,Vivant,Org,436896,1,1377,caribou01.png,Black.jpg,1
