,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Baseline,Neutral,Non vivant,NonOrg,121372,2,2277,armchair01.png,Black.jpg,1
1,No-Think,Neutral,Non vivant,Org,126590,1,2806,killerwhale.png,Objects_214_h.jpg,1
2,No-Think,Neutral,Non vivant,Org,132292,1,2213,raccoon.png,Objects_169_h.jpg,1
3,No-Think,Emotion,Non vivant,NonOrg,137561,2,1216,scale01b.png,Objects_127_h.jpg,1
4,Baseline,Emotion,Non vivant,NonOrg,141446,2,1184,balloon01b.png,Black.jpg,1
5,Think,Neutral,Vivant,NonOrg,145714,1,1865,baseball01a.png,Faces_024_h.jpg,1
6,No-Think,Emotion,Vivant,Org,150350,1,1784,rockbass.png,People_240_h.jpg,1
7,Baseline,Neutral,Vivant,NonOrg,155001,2,2287,bib.png,Black.jpg,1
8,No-Think,Emotion,Non vivant,Org,171608,1,906,swallow.png,Objects_144_h.jpg,1
9,No-Think,Emotion,Non vivant,Org,175293,1,1642,sheep.png,Landscapes_139_h.jpg,1
10,Baseline,Neutral,Non vivant,NonOrg,179911,2,834,alarmclock01.png,Black.jpg,1
11,Think,Emotion,Non vivant,Org,183546,2,870,toad.png,Objects_138_h.jpg,1
12,No-Think,Neutral,Vivant,Org,187281,1,2243,siamesecat.png,People_146_h.jpg,1
13,Think,Emotion,Vivant,NonOrg,192516,1,2398,airhockeypaddle01a.png,Animals_032_h.jpg,1
14,No-Think,Neutral,Non vivant,NonOrg,197935,2,1546,banjo.png,Objects_099_h.jpg,1
15,Baseline,Neutral,Vivant,Org,202253,1,1503,moose.png,Black.jpg,1
16,Think,Neutral,Non vivant,Org,206655,2,1503,hen.png,Objects_082_h.jpg,1
17,Think,Neutral,Non vivant,NonOrg,210957,2,1762,usbcable01b.png,Landscapes_048_h.jpg,1
18,No-Think,Emotion,Non vivant,NonOrg,215642,2,1676,dice02a.png,Landscapes_025_h.jpg,1
19,Baseline,Emotion,Non vivant,Org,220344,1,1074,squirrel.png,Black.jpg,1
20,Think,Neutral,Vivant,Org,231248,1,2346,caribou01.png,Faces_308_h.jpg,1
21,No-Think,Emotion,Vivant,NonOrg,236300,2,2486,antenna.png,People_216_h.jpg,1
22,No-Think,Emotion,Vivant,Org,241535,1,963,stuffedpuffin.png,People_227_h.jpg,1
23,Think,Neutral,Vivant,Org,245237,1,1469,beaver.png,People_155_h.jpg,1
24,Think,Emotion,Vivant,Org,249755,1,1868,saintbernard.png,People_222_h.jpg,1
25,Baseline,Emotion,Vivant,Org,254574,1,2080,tiger02.png,Black.jpg,1
26,Think,Emotion,Non vivant,NonOrg,259626,2,1242,toaster02.png,Objects_151_h.jpg,1
27,Baseline,Emotion,Non vivant,Org,263594,1,561,cow.png,Black.jpg,1
28,Think,Emotion,Non vivant,NonOrg,266895,2,1762,scotchtape.png,Landscapes_007_h.jpg,1
29,No-Think,Emotion,Vivant,NonOrg,271397,1,1600,beachpaddle01a.png,People_233_h.jpg,1
30,Baseline,Emotion,Non vivant,NonOrg,280517,2,1611,aceofdiamond.png,Black.jpg,1
31,Baseline,Neutral,Vivant,NonOrg,285119,2,1892,alarmclock02b.png,Black.jpg,1
32,Baseline,Emotion,Vivant,NonOrg,289754,2,1140,binoculars01b.png,Black.jpg,1
33,No-Think,Neutral,Non vivant,NonOrg,293906,2,774,bandage.png,Objects_204_h.jpg,1
34,Think,Neutral,Vivant,NonOrg,297440,1,1166,amphora.png,People_105_h.jpg,1
35,Think,Emotion,Vivant,NonOrg,307444,1,1939,bassguitar.png,People_208_h.jpg,1
36,Think,Neutral,Non vivant,Org,312179,1,1138,lion.png,Landscapes_038_h.jpg,1
37,No-Think,Neutral,Vivant,Org,316181,1,2649,skunk.png,Faces_276_h.jpg,1
38,Baseline,Neutral,Non vivant,Org,321616,1,2816,dromedary.png,Black.jpg,1
39,Baseline,Emotion,Vivant,NonOrg,327219,2,2570,toytractor01b.png,Black.jpg,1
40,No-Think,Neutral,Vivant,NonOrg,332654,2,1303,bicycle.png,Faces_045_h.jpg,1
41,Baseline,Emotion,Vivant,Org,336872,1,1609,sturgeon.png,Black.jpg,1
42,No-Think,Neutral,Vivant,NonOrg,341174,2,1043,bicycle.png,Faces_045_h.jpg,2
43,Think,Neutral,Non vivant,NonOrg,345126,2,1052,usbcable01b.png,Landscapes_048_h.jpg,2
44,Think,Neutral,Non vivant,Org,349110,2,2223,hen.png,Objects_082_h.jpg,2
45,Think,Emotion,Vivant,Org,354329,1,2953,tern.png,People_198_h.jpg,2
46,Baseline,Emotion,Non vivant,NonOrg,360265,2,2104,aceofdiamond.png,Black.jpg,2
47,Think,Emotion,Non vivant,Org,365117,2,2314,tortoise01.png,Objects_233_h.jpg,2
48,No-Think,Neutral,Vivant,NonOrg,370452,2,1638,backfloat.png,People_109_h.jpg,2
49,Think,Neutral,Non vivant,NonOrg,374904,2,1127,bikehelmet.png,Landscapes_034_h.jpg,2
50,Think,Emotion,Vivant,NonOrg,378905,1,1810,bassguitar.png,People_208_h.jpg,2
51,No-Think,Neutral,Non vivant,Org,383507,1,1541,raccoon.png,Objects_169_h.jpg,2
52,Baseline,Neutral,Non vivant,NonOrg,387909,2,887,armchair01.png,Black.jpg,2
53,No-Think,Emotion,Vivant,Org,391760,1,2347,stuffedpuffin.png,People_227_h.jpg,2
54,Think,Neutral,Vivant,Org,396862,1,1866,caribou01.png,Faces_308_h.jpg,2
55,Baseline,Neutral,Vivant,NonOrg,401481,2,980,alarmclock02b.png,Black.jpg,2
56,No-Think,Neutral,Vivant,Org,405332,1,1244,siamesecat.png,People_146_h.jpg,2
57,No-Think,Emotion,Non vivant,NonOrg,409501,2,609,dice02a.png,Landscapes_025_h.jpg,2
58,Baseline,Neutral,Non vivant,Org,412752,1,1308,dromedary.png,Black.jpg,2
59,Baseline,Neutral,Non vivant,NonOrg,416954,2,583,alarmclock01.png,Black.jpg,2
60,Baseline,Emotion,Vivant,NonOrg,420221,2,779,binoculars01b.png,Black.jpg,2
61,No-Think,Emotion,Non vivant,Org,424006,1,1508,swallow.png,Objects_144_h.jpg,2
62,No-Think,Neutral,Vivant,Org,428325,1,2033,skunk.png,Faces_276_h.jpg,2
63,Think,Neutral,Vivant,NonOrg,433293,1,1116,amphora.png,People_105_h.jpg,2
