,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Emotion,Non vivant,NonOrg,211307,2,1817,dice02a.png,Landscapes_025_h.jpg,1
1,Think,Neutral,Non vivant,NonOrg,215892,2,992,bandage.png,Objects_204_h.jpg,1
2,Baseline,Neutral,Non vivant,Org,219810,1,1223,blackbear.png,Black.jpg,1
3,Baseline,Emotion,Non vivant,NonOrg,223762,2,925,balloon01b.png,Black.jpg,1
4,Think,Neutral,Vivant,NonOrg,227513,1,2358,backfloat.png,People_109_h.jpg,1
5,No-Think,Neutral,Non vivant,Org,232949,2,1521,hen.png,Objects_082_h.jpg,1
6,Baseline,Neutral,Vivant,Org,237167,1,1333,moose.png,Black.jpg,1
7,No-Think,Emotion,Vivant,NonOrg,241419,2,845,bassguitar.png,People_208_h.jpg,1
8,Think,Emotion,Non vivant,Org,245204,2,2442,sheep.png,Landscapes_139_h.jpg,1
9,Baseline,Neutral,Vivant,NonOrg,250522,2,1897,bib.png,Black.jpg,1
10,Baseline,Neutral,Non vivant,Org,255408,1,1242,dromedary.png,Black.jpg,1
11,Baseline,Emotion,Vivant,NonOrg,259559,2,1435,binoculars01b.png,Black.jpg,1
12,No-Think,Neutral,Vivant,Org,264044,1,994,beaver.png,People_155_h.jpg,1
13,Baseline,Emotion,Non vivant,NonOrg,267779,2,597,aceofdiamond.png,Black.jpg,1
14,No-Think,Neutral,Non vivant,NonOrg,271280,2,1193,bikehelmet.png,Landscapes_034_h.jpg,1
15,No-Think,Neutral,Non vivant,Org,275415,1,732,lion.png,Landscapes_038_h.jpg,1
16,Think,Neutral,Non vivant,Org,279150,2,860,raccoon.png,Objects_169_h.jpg,1
17,Think,Neutral,Vivant,NonOrg,282702,1,1603,bicycle.png,Faces_045_h.jpg,1
18,Think,Emotion,Vivant,Org,287253,1,2024,stuffedpuffin.png,People_227_h.jpg,1
19,Baseline,Neutral,Vivant,NonOrg,292172,2,1648,alarmclock02b.png,Black.jpg,1
20,Baseline,Emotion,Vivant,Org,296507,1,1490,sturgeon.png,Black.jpg,1
21,No-Think,Emotion,Vivant,Org,300659,1,1622,tern.png,People_198_h.jpg,1
22,Think,Neutral,Vivant,Org,304994,1,997,siamesecat.png,People_146_h.jpg,1
23,No-Think,Emotion,Vivant,Org,308712,1,1761,saintbernard.png,People_222_h.jpg,1
24,Think,Emotion,Non vivant,NonOrg,313297,2,1765,scale01b.png,Objects_127_h.jpg,1
25,No-Think,Emotion,Non vivant,NonOrg,318032,2,1430,toaster02.png,Objects_151_h.jpg,1
26,Baseline,Emotion,Vivant,NonOrg,322484,1,1840,toytractor01b.png,Black.jpg,1
27,No-Think,Emotion,Non vivant,Org,327352,1,1757,tortoise01.png,Objects_233_h.jpg,1
28,No-Think,Emotion,Non vivant,Org,331954,1,1639,toad.png,Objects_138_h.jpg,1
29,No-Think,Emotion,Non vivant,NonOrg,336523,2,1708,scotchtape.png,Landscapes_007_h.jpg,1
30,Think,Emotion,Vivant,NonOrg,341141,1,2361,beachpaddle01a.png,People_233_h.jpg,1
31,Baseline,Neutral,Non vivant,NonOrg,346410,2,1350,alarmclock01.png,Black.jpg,1
32,Think,Neutral,Vivant,Org,350578,1,1793,skunk.png,Faces_276_h.jpg,1
33,No-Think,Neutral,Vivant,NonOrg,355296,2,1141,amphora.png,People_105_h.jpg,1
34,No-Think,Neutral,Vivant,NonOrg,359515,2,1239,baseball01a.png,Faces_024_h.jpg,1
35,Baseline,Neutral,Non vivant,NonOrg,363633,2,577,armchair01.png,Black.jpg,1
36,No-Think,Emotion,Vivant,NonOrg,372603,2,1287,airhockeypaddle01a.png,Animals_032_h.jpg,1
37,Baseline,Emotion,Non vivant,Org,376755,1,1071,cow.png,Black.jpg,1
38,Baseline,Neutral,Vivant,Org,380856,1,465,kangaroo.png,Black.jpg,1
39,Think,Neutral,Non vivant,Org,387726,2,1309,killerwhale.png,Objects_214_h.jpg,1
40,Think,Neutral,Non vivant,NonOrg,392044,2,1606,banjo.png,Objects_099_h.jpg,1
41,Think,Emotion,Vivant,Org,396513,1,1689,rockbass.png,People_240_h.jpg,1
42,No-Think,Neutral,Non vivant,NonOrg,400931,2,1144,usbcable01b.png,Landscapes_048_h.jpg,1
43,Think,Emotion,Vivant,NonOrg,404982,1,904,antenna.png,People_216_h.jpg,1
44,Baseline,Emotion,Non vivant,Org,408834,1,1110,squirrel.png,Black.jpg,1
45,Baseline,Emotion,Vivant,Org,412936,1,573,tiger02.png,Black.jpg,1
46,Baseline,Emotion,Non vivant,Org,416487,1,557,cow.png,Black.jpg,2
47,Think,Neutral,Vivant,Org,419805,1,1534,siamesecat.png,People_146_h.jpg,2
