,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Neutral,Vivant,NonOrg,200154,2,1260,bicycle.png,Faces_045_h.jpg,1
1,Think,Emotion,Vivant,Org,204422,1,2435,saintbernard.png,People_222_h.jpg,1
2,Baseline,Emotion,Non vivant,Org,209574,1,1565,cow.png,Black.jpg,1
3,No-Think,Emotion,Non vivant,Org,214026,1,1226,sheep.png,Landscapes_139_h.jpg,1
4,No-Think,Emotion,Vivant,Org,218311,1,1690,stuffedpuffin.png,People_227_h.jpg,1
5,Baseline,Emotion,Vivant,NonOrg,222713,2,1523,binoculars01b.png,Black.jpg,1
6,Think,Emotion,Non vivant,NonOrg,227031,2,2534,scotchtape.png,Landscapes_007_h.jpg,1
7,Think,Neutral,Non vivant,Org,232500,2,1606,hen.png,Objects_082_h.jpg,1
8,No-Think,Neutral,Vivant,NonOrg,242737,2,1690,backfloat.png,People_109_h.jpg,1
9,Think,Neutral,Non vivant,NonOrg,247172,2,1722,bikehelmet.png,Landscapes_034_h.jpg,1
10,Baseline,Emotion,Vivant,Org,251891,1,853,tiger02.png,Black.jpg,1
11,Baseline,Emotion,Non vivant,NonOrg,255759,2,716,aceofdiamond.png,Black.jpg,1
12,Think,Emotion,Vivant,NonOrg,259544,2,2640,airhockeypaddle01a.png,Animals_032_h.jpg,1
13,Baseline,Neutral,Non vivant,Org,265196,1,2116,dromedary.png,Black.jpg,1
14,Think,Emotion,Non vivant,Org,270131,2,1518,toad.png,Objects_138_h.jpg,1
15,Baseline,Emotion,Non vivant,Org,274466,1,2744,squirrel.png,Black.jpg,1
16,No-Think,Neutral,Non vivant,NonOrg,279868,2,874,banjo.png,Objects_099_h.jpg,1
17,No-Think,Emotion,Vivant,Org,283686,1,917,rockbass.png,People_240_h.jpg,1
18,Think,Neutral,Non vivant,NonOrg,287438,2,1417,usbcable01b.png,Landscapes_048_h.jpg,1
19,Baseline,Neutral,Vivant,NonOrg,291673,2,1496,bib.png,Black.jpg,1
20,Think,Neutral,Vivant,Org,296041,1,2054,caribou01.png,Faces_308_h.jpg,1
21,Baseline,Emotion,Vivant,NonOrg,300810,2,995,toytractor01b.png,Black.jpg,1
22,No-Think,Neutral,Vivant,Org,304495,1,1640,skunk.png,Faces_276_h.jpg,1
23,Baseline,Emotion,Vivant,Org,316066,1,2694,sturgeon.png,Black.jpg,1
24,Think,Emotion,Non vivant,Org,321835,2,1392,tortoise01.png,Objects_233_h.jpg,1
25,Baseline,Neutral,Vivant,NonOrg,326120,2,2293,alarmclock02b.png,Black.jpg,1
26,Baseline,Neutral,Vivant,Org,331322,1,782,moose.png,Black.jpg,1
27,Think,Emotion,Non vivant,NonOrg,334973,2,2192,toaster02.png,Objects_151_h.jpg,1
28,No-Think,Neutral,Non vivant,Org,340058,1,740,killerwhale.png,Objects_214_h.jpg,1
29,Baseline,Neutral,Non vivant,NonOrg,343810,2,1094,alarmclock01.png,Black.jpg,1
30,No-Think,Emotion,Vivant,NonOrg,347828,2,2572,antenna.png,People_216_h.jpg,1
31,No-Think,Neutral,Vivant,Org,353414,1,978,siamesecat.png,People_146_h.jpg,1
32,Baseline,Neutral,Vivant,Org,357082,1,667,kangaroo.png,Black.jpg,1
33,Baseline,Emotion,Non vivant,NonOrg,360800,2,903,balloon01b.png,Black.jpg,1
34,Think,Neutral,Non vivant,Org,364701,1,847,lion.png,Landscapes_038_h.jpg,1
35,No-Think,Emotion,Non vivant,Org,368419,1,1321,swallow.png,Objects_144_h.jpg,1
36,Baseline,Neutral,Non vivant,Org,379724,1,1261,blackbear.png,Black.jpg,1
37,No-Think,Emotion,Non vivant,NonOrg,390378,2,2623,dice02a.png,Landscapes_025_h.jpg,1
38,No-Think,Neutral,Non vivant,Org,395763,1,2363,raccoon.png,Objects_169_h.jpg,1
39,Think,Emotion,Vivant,Org,401132,1,1994,tern.png,People_198_h.jpg,1
