,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Neutral,Vivant,NonOrg,118321,2,2038,alarmclock02b.png,People_048_h.jpg,1
1,Think,Emotion,Non vivant,Org,123323,2,2968,sheep.png,Landscapes_139_h.jpg,1
2,No-Think,Emotion,Non vivant,Org,129258,1,2227,squirrel.png,Objects_157_h.jpg,1
3,Baseline,Neutral,Non vivant,Org,134444,1,1074,hen.png,Black.jpg,1
4,No-Think,Emotion,Non vivant,NonOrg,138462,2,2724,balloon01b.png,Landscapes_004_h.jpg,1
5,Think,Neutral,Non vivant,NonOrg,144131,2,2121,banjo.png,Objects_099_h.jpg,1
6,No-Think,Neutral,Vivant,NonOrg,148966,2,2152,bib.png,Faces_044_h.jpg,1
7,Think,Neutral,Non vivant,Org,153918,2,2096,raccoon.png,Objects_169_h.jpg,1
8,No-Think,Neutral,Vivant,Org,158687,1,1374,moose.png,Faces_224_h.jpg,1
9,Baseline,Emotion,Vivant,NonOrg,162705,2,1227,bassguitar.png,Black.jpg,1
10,Baseline,Neutral,Vivant,NonOrg,166956,2,948,amphora.png,Black.jpg,1
11,No-Think,Emotion,Non vivant,Org,170675,1,1665,cow.png,Landscapes_026_h.jpg,1
12,Think,Neutral,Non vivant,NonOrg,175393,2,1701,bandage.png,Objects_204_h.jpg,1
13,Baseline,Emotion,Non vivant,NonOrg,179878,2,1554,scotchtape.png,Black.jpg,1
14,Baseline,Emotion,Vivant,Org,184413,1,913,tern.png,Black.jpg,1
15,Think,Neutral,Vivant,NonOrg,188048,1,2295,backfloat.png,People_109_h.jpg,1
16,No-Think,Neutral,Non vivant,NonOrg,193133,2,1300,armchair01.png,Objects_043_h.jpg,1
17,Think,Neutral,Non vivant,Org,197318,2,1586,killerwhale.png,Objects_214_h.jpg,1
18,Think,Emotion,Vivant,NonOrg,201670,1,1574,antenna.png,People_216_h.jpg,1
19,Baseline,Neutral,Vivant,Org,205988,1,1104,caribou01.png,Black.jpg,1
20,No-Think,Emotion,Vivant,NonOrg,209940,2,1013,binoculars01b.png,Animals_045_h.jpg,1
21,Baseline,Neutral,Vivant,Org,213708,1,655,beaver.png,Black.jpg,1
22,Baseline,Neutral,Non vivant,NonOrg,217243,2,896,usbcable01b.png,Black.jpg,1
23,Think,Emotion,Non vivant,NonOrg,227013,2,2340,scale01b.png,Objects_127_h.jpg,1
24,No-Think,Emotion,Vivant,Org,232449,1,1218,tiger02.png,People_202_h.jpg,1
25,Think,Emotion,Vivant,NonOrg,236483,1,1986,beachpaddle01a.png,People_233_h.jpg,1
26,No-Think,Emotion,Vivant,Org,241169,1,2166,sturgeon.png,Faces_366_h.jpg,1
27,Baseline,Emotion,Non vivant,Org,246337,1,1082,toad.png,Black.jpg,1
28,Think,Emotion,Vivant,Org,250339,1,1531,rockbass.png,People_240_h.jpg,1
29,Baseline,Emotion,Vivant,Org,254807,1,1140,saintbernard.png,Black.jpg,1
30,Baseline,Emotion,Non vivant,NonOrg,258609,2,907,toaster02.png,Black.jpg,1
31,Baseline,Emotion,Vivant,NonOrg,262410,2,651,airhockeypaddle01a.png,Black.jpg,1
32,No-Think,Emotion,Non vivant,NonOrg,266128,2,1259,aceofdiamond.png,Objects_109_h.jpg,1
33,No-Think,Emotion,Vivant,NonOrg,270397,2,1135,toytractor01b.png,People_129_h.jpg,1
34,Think,Neutral,Vivant,NonOrg,274482,1,1003,bicycle.png,Faces_045_h.jpg,1
35,Baseline,Neutral,Non vivant,NonOrg,278166,2,909,bikehelmet.png,Black.jpg,1
36,Baseline,Emotion,Non vivant,Org,282135,1,857,tortoise01.png,Black.jpg,1
37,No-Think,Neutral,Non vivant,Org,285769,1,1323,blackbear.png,Objects_085_h.jpg,1
38,No-Think,Neutral,Non vivant,NonOrg,289821,2,1109,alarmclock01.png,Landscapes_049_h.jpg,1
39,No-Think,Neutral,Non vivant,Org,293822,1,892,dromedary.png,Landscapes_073_h.jpg,1
40,Think,Neutral,Vivant,Org,297491,1,1256,skunk.png,Faces_276_h.jpg,1
41,No-Think,Neutral,Vivant,Org,301692,1,1128,kangaroo.png,People_138_h.jpg,1
42,Think,Emotion,Non vivant,Org,305844,2,1979,swallow.png,Objects_144_h.jpg,1
43,Think,Emotion,Vivant,Org,310762,1,1599,stuffedpuffin.png,People_227_h.jpg,1
44,Think,Neutral,Vivant,Org,315081,1,1701,siamesecat.png,People_146_h.jpg,1
45,Baseline,Neutral,Non vivant,Org,319483,1,644,lion.png,Black.jpg,1
46,Baseline,Neutral,Vivant,NonOrg,323101,2,695,baseball01a.png,Black.jpg,1
47,No-Think,Emotion,Vivant,Org,326452,1,1724,sturgeon.png,Faces_366_h.jpg,2
48,No-Think,Neutral,Vivant,NonOrg,330970,2,1163,alarmclock02b.png,People_048_h.jpg,2
49,Baseline,Neutral,Non vivant,NonOrg,335122,2,580,usbcable01b.png,Black.jpg,2
50,Baseline,Emotion,Vivant,Org,338540,1,542,saintbernard.png,Black.jpg,2
51,Think,Emotion,Vivant,Org,341758,1,1316,stuffedpuffin.png,People_227_h.jpg,2
52,Baseline,Emotion,Non vivant,Org,345976,1,901,toad.png,Black.jpg,2
53,Baseline,Emotion,Vivant,NonOrg,349628,2,523,bassguitar.png,Black.jpg,2
54,No-Think,Emotion,Vivant,NonOrg,353146,2,1659,toytractor01b.png,People_129_h.jpg,2
55,No-Think,Neutral,Non vivant,Org,357664,1,1115,blackbear.png,Objects_085_h.jpg,2
56,Baseline,Neutral,Vivant,NonOrg,361616,2,608,baseball01a.png,Black.jpg,2
57,No-Think,Emotion,Vivant,Org,365100,1,1142,tiger02.png,People_202_h.jpg,2
58,Think,Emotion,Non vivant,NonOrg,369052,2,1726,dice02a.png,Landscapes_025_h.jpg,2
59,Baseline,Emotion,Vivant,Org,373454,1,606,tern.png,Black.jpg,2
60,Think,Neutral,Vivant,NonOrg,376805,1,1127,bicycle.png,Faces_045_h.jpg,2
61,Think,Neutral,Vivant,NonOrg,380756,1,1249,backfloat.png,People_109_h.jpg,2
62,Baseline,Emotion,Vivant,NonOrg,384775,2,986,airhockeypaddle01a.png,Black.jpg,2
63,No-Think,Neutral,Vivant,NonOrg,388810,2,1790,bib.png,Faces_044_h.jpg,2
64,Baseline,Neutral,Non vivant,Org,393395,1,896,hen.png,Black.jpg,2
65,Think,Emotion,Vivant,NonOrg,396979,1,1090,antenna.png,People_216_h.jpg,2
66,Think,Neutral,Non vivant,Org,400764,2,2107,raccoon.png,Objects_169_h.jpg,2
67,No-Think,Neutral,Non vivant,Org,405599,1,969,dromedary.png,Landscapes_073_h.jpg,2
68,Think,Neutral,Non vivant,NonOrg,409284,2,1868,bandage.png,Objects_204_h.jpg,2
69,No-Think,Neutral,Vivant,Org,414069,1,1359,moose.png,Faces_224_h.jpg,2
70,Think,Emotion,Non vivant,Org,418154,2,1114,sheep.png,Landscapes_139_h.jpg,2
71,No-Think,Neutral,Vivant,Org,422173,1,664,kangaroo.png,People_138_h.jpg,2
72,Think,Neutral,Vivant,Org,425757,1,1160,siamesecat.png,People_146_h.jpg,2
73,Think,Emotion,Non vivant,NonOrg,429909,2,1074,scale01b.png,Objects_127_h.jpg,2
74,Think,Neutral,Vivant,Org,433794,1,1163,skunk.png,Faces_276_h.jpg,2
75,Baseline,Emotion,Non vivant,NonOrg,437795,2,1518,toaster02.png,Black.jpg,2
76,No-Think,Emotion,Non vivant,Org,442347,1,1459,squirrel.png,Objects_157_h.jpg,2
77,Baseline,Neutral,Vivant,Org,446515,1,770,caribou01.png,Black.jpg,2
78,Think,Emotion,Non vivant,Org,449983,2,979,swallow.png,Objects_144_h.jpg,2
79,No-Think,Emotion,Non vivant,NonOrg,453902,2,1010,aceofdiamond.png,Objects_109_h.jpg,2
80,Think,Emotion,Vivant,NonOrg,457620,1,1413,beachpaddle01a.png,People_233_h.jpg,2
81,Think,Neutral,Non vivant,Org,461888,2,1052,killerwhale.png,Objects_214_h.jpg,2
82,No-Think,Emotion,Vivant,NonOrg,465606,2,2334,binoculars01b.png,Animals_045_h.jpg,2
83,Baseline,Neutral,Non vivant,NonOrg,470725,2,781,bikehelmet.png,Black.jpg,2
84,Baseline,Neutral,Vivant,NonOrg,474160,2,733,amphora.png,Black.jpg,2
85,No-Think,Emotion,Non vivant,NonOrg,477761,2,697,balloon01b.png,Landscapes_004_h.jpg,2
86,Think,Emotion,Vivant,Org,481112,1,1181,rockbass.png,People_240_h.jpg,2
87,Baseline,Neutral,Non vivant,Org,485030,1,679,lion.png,Black.jpg,2
88,No-Think,Neutral,Non vivant,NonOrg,488548,2,1482,alarmclock01.png,Landscapes_049_h.jpg,2
89,No-Think,Emotion,Non vivant,Org,499603,1,1066,cow.png,Landscapes_026_h.jpg,2
90,Think,Neutral,Non vivant,NonOrg,503321,2,2163,banjo.png,Objects_099_h.jpg,2
91,No-Think,Neutral,Non vivant,NonOrg,508490,2,1143,armchair01.png,Objects_043_h.jpg,2
92,Baseline,Neutral,Vivant,Org,512308,1,586,beaver.png,Black.jpg,2
93,No-Think,Emotion,Vivant,Org,515876,1,1234,tiger02.png,People_202_h.jpg,3
94,Think,Emotion,Vivant,NonOrg,538101,1,1034,antenna.png,People_216_h.jpg,3
95,Think,Neutral,Non vivant,NonOrg,542119,2,772,bandage.png,Objects_204_h.jpg,3
96,Baseline,Emotion,Non vivant,NonOrg,545888,2,1092,scotchtape.png,Black.jpg,3
97,Think,Emotion,Non vivant,Org,549956,2,1092,swallow.png,Objects_144_h.jpg,3
98,Baseline,Neutral,Non vivant,NonOrg,553741,2,633,bikehelmet.png,Black.jpg,3
99,Baseline,Neutral,Vivant,Org,557142,1,461,caribou01.png,Black.jpg,3
100,Baseline,Neutral,Non vivant,Org,560543,1,507,hen.png,Black.jpg,3
101,Baseline,Emotion,Vivant,NonOrg,563961,2,605,airhockeypaddle01a.png,Black.jpg,3
102,Baseline,Emotion,Non vivant,Org,567463,1,430,tortoise01.png,Black.jpg,3
103,No-Think,Neutral,Vivant,NonOrg,570664,2,761,bib.png,Faces_044_h.jpg,3
104,No-Think,Emotion,Non vivant,Org,574332,1,666,cow.png,Landscapes_026_h.jpg,3
105,Think,Neutral,Non vivant,Org,577800,2,987,raccoon.png,Objects_169_h.jpg,3
