,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Neutral,Non vivant,NonOrg,115398,2,1424,alarmclock01.png,Landscapes_049_h.jpg,1
1,No-Think,Emotion,Non vivant,NonOrg,119533,2,1162,balloon01b.png,Landscapes_004_h.jpg,1
2,No-Think,Emotion,Vivant,Org,123668,1,1684,sturgeon.png,Faces_366_h.jpg,1
3,Baseline,Emotion,Non vivant,NonOrg,128070,2,880,toaster02.png,Black.jpg,1
4,No-Think,Emotion,Non vivant,Org,131788,1,1123,squirrel.png,Objects_157_h.jpg,1
5,Think,Neutral,Non vivant,NonOrg,135790,2,822,bandage.png,Objects_204_h.jpg,1
6,Think,Neutral,Non vivant,Org,139541,2,1253,raccoon.png,Objects_169_h.jpg,1
7,Think,Emotion,Vivant,Org,143543,1,1533,rockbass.png,People_240_h.jpg,1
8,No-Think,Emotion,Non vivant,Org,148078,1,1693,cow.png,Landscapes_026_h.jpg,1
9,No-Think,Neutral,Non vivant,Org,152429,1,1394,dromedary.png,Landscapes_073_h.jpg,1
10,Think,Neutral,Vivant,NonOrg,156814,1,956,bicycle.png,Faces_045_h.jpg,1
11,No-Think,Emotion,Non vivant,NonOrg,160549,2,1061,aceofdiamond.png,Objects_109_h.jpg,1
12,Baseline,Neutral,Non vivant,NonOrg,164417,2,950,bikehelmet.png,Black.jpg,1
13,Think,Neutral,Non vivant,Org,168369,2,1577,killerwhale.png,Objects_214_h.jpg,1
14,Think,Emotion,Non vivant,NonOrg,172821,2,937,scale01b.png,Objects_127_h.jpg,1
15,No-Think,Neutral,Vivant,Org,176539,1,1108,kangaroo.png,People_138_h.jpg,1
16,Baseline,Emotion,Vivant,NonOrg,180557,2,1484,bassguitar.png,Black.jpg,1
17,No-Think,Neutral,Vivant,NonOrg,184975,2,1121,alarmclock02b.png,People_048_h.jpg,1
18,Think,Emotion,Vivant,Org,188960,1,1806,stuffedpuffin.png,People_227_h.jpg,1
19,Think,Emotion,Non vivant,Org,193579,1,1547,swallow.png,Objects_144_h.jpg,1
20,Baseline,Emotion,Vivant,Org,198080,1,1043,tern.png,Black.jpg,1
21,Baseline,Neutral,Vivant,Org,202165,1,805,caribou01.png,Black.jpg,1
22,No-Think,Emotion,Vivant,Org,205783,1,953,tiger02.png,People_202_h.jpg,1
23,Think,Emotion,Vivant,NonOrg,209435,1,2629,beachpaddle01a.png,People_233_h.jpg,1
24,No-Think,Neutral,Vivant,NonOrg,215120,2,1134,bib.png,Faces_044_h.jpg,1
