,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Baseline,Emotion,Non vivant,NonOrg,120374,2,2133,scotchtape.png,Black.jpg,1
1,Think,Emotion,Non vivant,NonOrg,131512,2,2794,scale01b.png,Objects_127_h.jpg,1
2,No-Think,Emotion,Vivant,Org,137347,1,2401,sturgeon.png,Faces_366_h.jpg,1
3,Think,Neutral,Non vivant,NonOrg,142433,2,2911,banjo.png,Objects_099_h.jpg,1
4,Think,Neutral,Vivant,Org,148102,1,2156,siamesecat.png,People_146_h.jpg,1
5,No-Think,Emotion,Non vivant,NonOrg,153053,2,1763,aceofdiamond.png,Objects_109_h.jpg,1
6,Think,Neutral,Vivant,NonOrg,169610,1,2210,backfloat.png,People_109_h.jpg,1
7,No-Think,Emotion,Non vivant,Org,174829,1,1986,cow.png,Landscapes_026_h.jpg,1
8,No-Think,Neutral,Non vivant,Org,179864,1,1325,dromedary.png,Landscapes_073_h.jpg,1
9,Think,Emotion,Vivant,NonOrg,184199,1,2433,antenna.png,People_216_h.jpg,1
10,Baseline,Neutral,Non vivant,Org,189351,1,1789,hen.png,Black.jpg,1
11,Baseline,Neutral,Vivant,NonOrg,193836,2,1136,baseball01a.png,Black.jpg,1
12,No-Think,Emotion,Vivant,Org,197854,1,1789,tiger02.png,People_202_h.jpg,1
13,Think,Emotion,Vivant,Org,208475,1,1887,stuffedpuffin.png,People_227_h.jpg,1
14,No-Think,Neutral,Non vivant,NonOrg,213227,2,1333,armchair01.png,Objects_043_h.jpg,1
15,Think,Emotion,Vivant,Org,223381,1,1545,rockbass.png,People_240_h.jpg,1
16,Baseline,Emotion,Vivant,Org,227700,1,1527,saintbernard.png,Black.jpg,1
17,No-Think,Emotion,Non vivant,NonOrg,232285,2,1860,balloon01b.png,Landscapes_004_h.jpg,1
18,Baseline,Neutral,Vivant,NonOrg,236936,2,1506,amphora.png,Black.jpg,1
19,Baseline,Neutral,Vivant,Org,241455,1,995,caribou01.png,Black.jpg,1
20,Baseline,Emotion,Non vivant,NonOrg,245473,2,925,toaster02.png,Black.jpg,1
21,No-Think,Neutral,Vivant,Org,249375,1,1692,moose.png,Faces_224_h.jpg,1
22,Baseline,Emotion,Non vivant,Org,254060,1,1140,tortoise01.png,Black.jpg,1
23,No-Think,Neutral,Non vivant,Org,264464,1,1350,blackbear.png,Objects_085_h.jpg,1
24,Baseline,Neutral,Vivant,Org,274451,1,1316,beaver.png,Black.jpg,1
25,Baseline,Emotion,Vivant,Org,278436,1,929,tern.png,Black.jpg,1
26,Baseline,Emotion,Vivant,NonOrg,282254,2,1532,bassguitar.png,Black.jpg,1
27,Think,Neutral,Vivant,Org,286639,1,1857,skunk.png,Faces_276_h.jpg,1
28,No-Think,Emotion,Non vivant,Org,291208,1,2748,squirrel.png,Objects_157_h.jpg,1
29,Baseline,Neutral,Non vivant,Org,296927,1,848,lion.png,Black.jpg,1
30,Baseline,Emotion,Non vivant,Org,307197,1,1104,toad.png,Black.jpg,1
31,Think,Neutral,Vivant,NonOrg,311149,1,1898,bicycle.png,Faces_045_h.jpg,1
32,No-Think,Neutral,Vivant,Org,321903,1,2210,kangaroo.png,People_138_h.jpg,1
33,No-Think,Neutral,Non vivant,NonOrg,333391,2,2065,alarmclock01.png,Landscapes_049_h.jpg,1
34,Baseline,Neutral,Non vivant,NonOrg,338410,2,734,bikehelmet.png,Black.jpg,1
35,Baseline,Emotion,Vivant,NonOrg,341978,2,915,airhockeypaddle01a.png,Black.jpg,1
36,No-Think,Neutral,Vivant,NonOrg,345663,2,1048,bib.png,Faces_044_h.jpg,1
37,Baseline,Neutral,Non vivant,NonOrg,349581,2,724,usbcable01b.png,Black.jpg,1
38,No-Think,Emotion,Vivant,Org,352982,1,1350,sturgeon.png,Faces_366_h.jpg,2
39,Think,Emotion,Vivant,Org,357017,1,2017,rockbass.png,People_240_h.jpg,2
40,No-Think,Emotion,Vivant,Org,361752,1,2108,tiger02.png,People_202_h.jpg,2
41,Think,Emotion,Vivant,NonOrg,366854,1,2407,antenna.png,People_216_h.jpg,2
42,Think,Neutral,Non vivant,Org,372206,2,2435,killerwhale.png,Objects_214_h.jpg,2
43,No-Think,Neutral,Non vivant,NonOrg,377592,2,1758,alarmclock01.png,Landscapes_049_h.jpg,2
44,Think,Neutral,Vivant,Org,388913,1,2063,siamesecat.png,People_146_h.jpg,2
45,Baseline,Emotion,Non vivant,Org,400467,1,1100,tortoise01.png,Black.jpg,2
46,Baseline,Emotion,Vivant,NonOrg,404302,1,554,airhockeypaddle01a.png,Black.jpg,2
47,No-Think,Neutral,Non vivant,Org,407904,1,2066,dromedary.png,Landscapes_073_h.jpg,2
48,Think,Emotion,Vivant,NonOrg,412622,1,2502,beachpaddle01a.png,People_233_h.jpg,2
49,Baseline,Neutral,Non vivant,Org,417924,1,1830,hen.png,Black.jpg,2
50,Think,Emotion,Vivant,Org,422543,1,2028,stuffedpuffin.png,People_227_h.jpg,2
51,Baseline,Emotion,Non vivant,NonOrg,427411,2,1358,scotchtape.png,Black.jpg,2
52,Baseline,Neutral,Non vivant,Org,431563,1,752,lion.png,Black.jpg,2
53,No-Think,Neutral,Vivant,NonOrg,435081,2,1196,alarmclock02b.png,People_048_h.jpg,2
54,Baseline,Neutral,Non vivant,NonOrg,438999,2,1161,bikehelmet.png,Black.jpg,2
55,Baseline,Emotion,Non vivant,Org,442951,1,816,toad.png,Black.jpg,2
56,Baseline,Emotion,Vivant,NonOrg,446702,2,1648,bassguitar.png,Black.jpg,2
57,Baseline,Neutral,Vivant,NonOrg,451187,2,1384,baseball01a.png,Black.jpg,2
58,No-Think,Emotion,Non vivant,NonOrg,455372,2,1292,aceofdiamond.png,Objects_109_h.jpg,2
59,Think,Emotion,Non vivant,Org,459607,2,2967,sheep.png,Landscapes_139_h.jpg,2
60,No-Think,Emotion,Non vivant,NonOrg,465459,2,2052,balloon01b.png,Landscapes_004_h.jpg,2
61,Think,Neutral,Vivant,NonOrg,470261,1,1880,backfloat.png,People_109_h.jpg,2
62,No-Think,Neutral,Vivant,Org,475046,1,1739,moose.png,Faces_224_h.jpg,2
63,Think,Neutral,Non vivant,NonOrg,479598,2,2232,banjo.png,Objects_099_h.jpg,2
64,Think,Neutral,Vivant,Org,484734,1,1941,skunk.png,Faces_276_h.jpg,2
65,Baseline,Neutral,Non vivant,NonOrg,489569,2,749,usbcable01b.png,Black.jpg,2
66,Think,Emotion,Non vivant,Org,493170,2,2342,swallow.png,Objects_144_h.jpg,2
67,Baseline,Emotion,Vivant,Org,498289,1,1897,saintbernard.png,Black.jpg,2
68,No-Think,Neutral,Non vivant,NonOrg,503007,2,2063,armchair01.png,Objects_043_h.jpg,2
69,Baseline,Emotion,Non vivant,NonOrg,507959,2,709,toaster02.png,Black.jpg,2
70,Think,Neutral,Non vivant,NonOrg,511477,2,2383,bandage.png,Objects_204_h.jpg,2
71,Baseline,Neutral,Vivant,Org,516696,1,1133,beaver.png,Black.jpg,2
72,Baseline,Neutral,Vivant,Org,520848,1,800,caribou01.png,Black.jpg,2
