,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Emotion,Non vivant,NonOrg,124253,2,1537,dice02a.png,Landscapes_025_h.jpg,1
1,No-Think,Neutral,Non vivant,Org,128538,1,1071,killerwhale.png,Objects_214_h.jpg,1
2,Baseline,Emotion,Vivant,Org,132423,1,1345,tern.png,Black.jpg,1
3,No-Think,Emotion,Non vivant,Org,136741,1,1050,sheep.png,Landscapes_139_h.jpg,1
4,Think,Emotion,Non vivant,Org,140726,1,1151,cow.png,Landscapes_026_h.jpg,1
5,No-Think,Neutral,Vivant,NonOrg,144811,2,1150,backfloat.png,People_109_h.jpg,1
6,Think,Emotion,Vivant,Org,148996,2,2113,sturgeon.png,Faces_366_h.jpg,1
7,Baseline,Neutral,Non vivant,NonOrg,154032,2,1739,bikehelmet.png,Black.jpg,1
8,Think,Neutral,Vivant,NonOrg,158517,1,2696,alarmclock02b.png,People_048_h.jpg,1
9,Think,Neutral,Non vivant,Org,170821,1,1515,blackbear.png,Objects_085_h.jpg,1
10,Baseline,Emotion,Non vivant,NonOrg,175273,2,2105,toaster02.png,Black.jpg,1
11,Think,Emotion,Vivant,Org,180225,2,2632,tiger02.png,People_202_h.jpg,1
12,No-Think,Neutral,Vivant,NonOrg,185877,2,1532,bicycle.png,Faces_045_h.jpg,1
13,Think,Neutral,Non vivant,NonOrg,190279,2,1923,armchair01.png,Objects_043_h.jpg,1
14,No-Think,Neutral,Non vivant,NonOrg,194864,2,2222,banjo.png,Objects_099_h.jpg,1
15,Think,Neutral,Non vivant,Org,199799,2,1370,dromedary.png,Landscapes_073_h.jpg,1
16,Think,Emotion,Non vivant,Org,204234,2,1730,squirrel.png,Objects_157_h.jpg,1
17,Baseline,Neutral,Non vivant,Org,208786,1,2150,hen.png,Black.jpg,1
18,No-Think,Emotion,Vivant,NonOrg,213688,1,2320,antenna.png,People_216_h.jpg,1
19,No-Think,Neutral,Vivant,Org,232429,1,2811,siamesecat.png,People_146_h.jpg,1
20,Baseline,Neutral,Vivant,Org,237981,1,622,caribou01.png,Black.jpg,1
21,Baseline,Emotion,Vivant,Org,241532,1,1207,saintbernard.png,Black.jpg,1
22,No-Think,Emotion,Vivant,NonOrg,245701,2,897,beachpaddle01a.png,People_233_h.jpg,1
