,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Emotion,Non vivant,NonOrg,149926,2,1256,scale01b.png,Objects_127_h.jpg,1
1,Think,Neutral,Non vivant,Org,153911,1,686,dromedary.png,Landscapes_073_h.jpg,1
2,Baseline,Emotion,Non vivant,NonOrg,157629,2,853,scotchtape.png,Black.jpg,1
3,No-Think,Emotion,Vivant,NonOrg,161514,2,1954,antenna.png,People_216_h.jpg,1
4,No-Think,Neutral,Vivant,Org,166516,1,1385,siamesecat.png,People_146_h.jpg,1
5,Baseline,Neutral,Non vivant,Org,170651,1,1192,lion.png,Black.jpg,1
6,Baseline,Neutral,Vivant,Org,174603,1,1451,caribou01.png,Black.jpg,1
7,Baseline,Emotion,Vivant,NonOrg,178988,2,844,airhockeypaddle01a.png,Black.jpg,1
8,Baseline,Emotion,Non vivant,Org,182556,1,875,tortoise01.png,Black.jpg,1
9,Baseline,Neutral,Vivant,NonOrg,186307,2,813,baseball01a.png,Black.jpg,1
10,Think,Emotion,Non vivant,Org,189909,2,1359,cow.png,Landscapes_026_h.jpg,1
11,Think,Emotion,Vivant,NonOrg,194093,1,1157,toytractor01b.png,People_129_h.jpg,1
12,Think,Emotion,Vivant,Org,198295,1,1939,tiger02.png,People_202_h.jpg,1
13,No-Think,Neutral,Vivant,NonOrg,203264,2,1331,bicycle.png,Faces_045_h.jpg,1
14,Baseline,Neutral,Non vivant,NonOrg,207399,2,1639,bikehelmet.png,Black.jpg,1
15,Think,Emotion,Vivant,Org,211884,1,1167,sturgeon.png,Faces_366_h.jpg,1
16,Baseline,Emotion,Vivant,NonOrg,216052,2,703,bassguitar.png,Black.jpg,1
17,Think,Neutral,Non vivant,NonOrg,219487,2,1434,alarmclock01.png,Landscapes_049_h.jpg,1
18,No-Think,Neutral,Non vivant,Org,223655,1,1366,killerwhale.png,Objects_214_h.jpg,1
19,Think,Neutral,Vivant,NonOrg,227723,1,1950,alarmclock02b.png,People_048_h.jpg,1
20,Think,Neutral,Vivant,Org,232725,1,857,kangaroo.png,People_138_h.jpg,1
21,Baseline,Neutral,Non vivant,NonOrg,236427,2,616,usbcable01b.png,Black.jpg,1
22,Baseline,Emotion,Vivant,Org,240111,2,596,saintbernard.png,Black.jpg,1
23,Think,Emotion,Non vivant,NonOrg,243579,2,1058,balloon01b.png,Landscapes_004_h.jpg,1
24,Think,Neutral,Non vivant,Org,247431,2,1259,blackbear.png,Objects_085_h.jpg,1
25,Think,Neutral,Vivant,Org,251382,1,1022,moose.png,Faces_224_h.jpg,1
26,No-Think,Neutral,Non vivant,NonOrg,255134,2,918,banjo.png,Objects_099_h.jpg,1
27,Baseline,Emotion,Vivant,Org,258935,1,1258,tern.png,Black.jpg,1
28,Baseline,Emotion,Non vivant,NonOrg,262903,2,588,toaster02.png,Black.jpg,1
29,Think,Emotion,Non vivant,NonOrg,266371,2,1082,aceofdiamond.png,Objects_109_h.jpg,1
