,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Neutral,Non vivant,Org,125863,1,1701,lion.png,Landscapes_038_h.jpg,1
1,No-Think,Neutral,Vivant,Org,130281,1,1970,beaver.png,People_155_h.jpg,1
2,Baseline,Emotion,Non vivant,Org,135167,1,1643,cow.png,Black.jpg,1
3,Think,Emotion,Non vivant,NonOrg,139818,2,1602,dice02a.png,Landscapes_025_h.jpg,1
4,No-Think,Emotion,Vivant,Org,144170,1,1564,tern.png,People_198_h.jpg,1
5,Baseline,Neutral,Non vivant,NonOrg,148589,2,1344,alarmclock01.png,Black.jpg,1
6,Baseline,Neutral,Vivant,Org,152790,1,658,kangaroo.png,Black.jpg,1
7,Think,Emotion,Non vivant,NonOrg,156325,2,1639,scale01b.png,Objects_127_h.jpg,1
8,No-Think,Emotion,Non vivant,Org,160760,1,604,tortoise01.png,Objects_233_h.jpg,1
9,Baseline,Neutral,Non vivant,Org,164311,1,664,blackbear.png,Black.jpg,1
10,Think,Neutral,Non vivant,NonOrg,168029,2,1272,banjo.png,Objects_099_h.jpg,1
11,Think,Emotion,Non vivant,Org,172081,2,1953,swallow.png,Objects_144_h.jpg,1
12,Baseline,Neutral,Vivant,NonOrg,176850,2,1537,bib.png,Black.jpg,1
13,Baseline,Emotion,Non vivant,Org,181085,1,994,squirrel.png,Black.jpg,1
14,Think,Neutral,Vivant,Org,184853,1,1656,siamesecat.png,People_146_h.jpg,1
15,Baseline,Emotion,Vivant,Org,189154,1,984,sturgeon.png,Black.jpg,1
16,No-Think,Neutral,Vivant,NonOrg,192973,2,1728,amphora.png,People_105_h.jpg,1
17,Think,Emotion,Vivant,Org,197658,1,2050,rockbass.png,People_240_h.jpg,1
18,Baseline,Emotion,Vivant,NonOrg,202526,2,1818,toytractor01b.png,Black.jpg,1
19,No-Think,Emotion,Non vivant,Org,207245,1,1833,toad.png,Objects_138_h.jpg,1
20,No-Think,Emotion,Vivant,Org,212080,1,803,saintbernard.png,People_222_h.jpg,1
21,Baseline,Neutral,Vivant,NonOrg,215781,2,625,alarmclock02b.png,Black.jpg,1
22,No-Think,Emotion,Vivant,NonOrg,219149,2,1190,airhockeypaddle01a.png,Animals_032_h.jpg,1
23,Think,Emotion,Vivant,NonOrg,223034,1,1859,beachpaddle01a.png,People_233_h.jpg,1
24,Baseline,Neutral,Vivant,Org,227586,1,1582,moose.png,Black.jpg,1
25,Think,Neutral,Non vivant,Org,232171,2,1525,killerwhale.png,Objects_214_h.jpg,1
26,No-Think,Neutral,Vivant,Org,236606,1,1345,caribou01.png,Faces_308_h.jpg,1
27,No-Think,Emotion,Vivant,NonOrg,240958,2,1661,bassguitar.png,People_208_h.jpg,1
28,Think,Emotion,Non vivant,Org,245710,2,1593,sheep.png,Landscapes_139_h.jpg,1
29,No-Think,Neutral,Vivant,NonOrg,250228,1,1462,baseball01a.png,Faces_024_h.jpg,1
30,Think,Neutral,Non vivant,Org,254713,2,929,raccoon.png,Objects_169_h.jpg,1
31,No-Think,Neutral,Non vivant,NonOrg,258598,1,1339,usbcable01b.png,Landscapes_048_h.jpg,1
32,Baseline,Neutral,Non vivant,Org,262816,1,1104,dromedary.png,Black.jpg,1
33,Baseline,Emotion,Non vivant,NonOrg,266951,2,1442,balloon01b.png,Black.jpg,1
34,Think,Neutral,Vivant,Org,271220,1,1769,skunk.png,Faces_276_h.jpg,1
35,Baseline,Emotion,Non vivant,NonOrg,275772,2,998,aceofdiamond.png,Black.jpg,1
36,Think,Neutral,Non vivant,NonOrg,279556,2,1156,bandage.png,Objects_204_h.jpg,1
37,Think,Neutral,Vivant,NonOrg,283675,1,2446,backfloat.png,People_109_h.jpg,1
38,No-Think,Neutral,Non vivant,Org,289077,1,1233,hen.png,Objects_082_h.jpg,1
39,Think,Emotion,Vivant,NonOrg,293295,1,1540,antenna.png,People_216_h.jpg,1
40,Think,Emotion,Vivant,Org,297813,1,1008,stuffedpuffin.png,People_227_h.jpg,1
41,Baseline,Neutral,Non vivant,NonOrg,301698,2,929,armchair01.png,Black.jpg,1
42,Baseline,Emotion,Vivant,NonOrg,305550,2,614,binoculars01b.png,Black.jpg,1
43,Baseline,Emotion,Vivant,Org,309151,1,593,tiger02.png,Black.jpg,1
44,No-Think,Emotion,Non vivant,NonOrg,312603,2,1838,scotchtape.png,Landscapes_007_h.jpg,1
45,No-Think,Neutral,Non vivant,NonOrg,317254,2,1272,bikehelmet.png,Landscapes_034_h.jpg,1
46,Think,Neutral,Vivant,NonOrg,321373,1,1984,bicycle.png,Faces_045_h.jpg,1
47,No-Think,Emotion,Non vivant,NonOrg,326074,2,1352,toaster02.png,Objects_151_h.jpg,1
48,Think,Neutral,Vivant,Org,330109,1,2156,skunk.png,Faces_276_h.jpg,2
49,Think,Emotion,Vivant,NonOrg,335245,1,2061,antenna.png,People_216_h.jpg,2
50,Baseline,Emotion,Non vivant,NonOrg,340063,2,985,balloon01b.png,Black.jpg,2
51,Baseline,Neutral,Non vivant,Org,343798,1,677,blackbear.png,Black.jpg,2
52,No-Think,Emotion,Non vivant,NonOrg,347533,2,1126,scotchtape.png,Landscapes_007_h.jpg,2
53,Baseline,Emotion,Non vivant,Org,351518,1,980,squirrel.png,Black.jpg,2
54,No-Think,Emotion,Vivant,NonOrg,355503,2,1969,airhockeypaddle01a.png,Animals_032_h.jpg,2
55,Baseline,Emotion,Vivant,NonOrg,360488,2,659,binoculars01b.png,Black.jpg,2
56,No-Think,Neutral,Vivant,Org,363856,1,1594,caribou01.png,Faces_308_h.jpg,2
57,No-Think,Neutral,Vivant,Org,368491,1,1135,beaver.png,People_155_h.jpg,2
58,Baseline,Emotion,Non vivant,NonOrg,372376,2,471,aceofdiamond.png,Black.jpg,2
59,Think,Neutral,Non vivant,NonOrg,375510,2,1494,bandage.png,Objects_204_h.jpg,2
60,Think,Neutral,Vivant,NonOrg,380029,1,2069,backfloat.png,People_109_h.jpg,2
61,No-Think,Neutral,Vivant,NonOrg,385031,1,1289,baseball01a.png,Faces_024_h.jpg,2
62,Baseline,Emotion,Vivant,NonOrg,389366,2,1064,toytractor01b.png,Black.jpg,2
63,No-Think,Emotion,Vivant,NonOrg,393234,2,2123,bassguitar.png,People_208_h.jpg,2
64,Baseline,Neutral,Non vivant,Org,398253,1,690,dromedary.png,Black.jpg,2
65,No-Think,Neutral,Non vivant,NonOrg,401687,2,1252,bikehelmet.png,Landscapes_034_h.jpg,2
66,No-Think,Emotion,Non vivant,Org,405755,1,1593,tortoise01.png,Objects_233_h.jpg,2
67,No-Think,Emotion,Vivant,Org,410174,1,561,saintbernard.png,People_222_h.jpg,2
68,Baseline,Neutral,Vivant,Org,413609,1,600,moose.png,Black.jpg,2
69,Think,Neutral,Non vivant,NonOrg,417177,2,1226,banjo.png,Objects_099_h.jpg,2
70,Think,Neutral,Vivant,Org,421212,2,1392,siamesecat.png,People_146_h.jpg,2
