,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Non vivant,Org,92486,1,1044,blackbear.png,Objects_085_h.jpg,1
1,No-Think,Neutral,Vivant,Org,96404,1,824,caribou01.png,Faces_308_h.jpg,1
2,Think,Emotion,Non vivant,Org,100122,2,1846,squirrel.png,Objects_157_h.jpg,1
3,Baseline,Emotion,Vivant,Org,104690,1,1997,rockbass.png,Black.jpg,1
4,Baseline,Emotion,Non vivant,NonOrg,109692,2,979,scale01b.png,Black.jpg,1
5,Baseline,Neutral,Non vivant,NonOrg,113344,2,1683,banjo.png,Black.jpg,1
6,No-Think,Neutral,Non vivant,Org,117846,1,697,lion.png,Landscapes_038_h.jpg,1
7,Think,Neutral,Vivant,NonOrg,121564,1,680,bib.png,Faces_044_h.jpg,1
8,Think,Emotion,Vivant,NonOrg,125082,1,1299,binoculars01b.png,Animals_045_h.jpg,1
9,No-Think,Emotion,Non vivant,Org,129133,1,1972,tortoise01.png,Objects_233_h.jpg,1
10,Baseline,Emotion,Non vivant,Org,133785,1,1432,sheep.png,Black.jpg,1
11,No-Think,Neutral,Non vivant,NonOrg,138020,2,878,usbcable01b.png,Landscapes_048_h.jpg,1
12,Think,Emotion,Vivant,Org,141855,1,983,sturgeon.png,Faces_366_h.jpg,1
13,Think,Emotion,Non vivant,Org,145856,2,793,cow.png,Landscapes_026_h.jpg,1
14,No-Think,Emotion,Non vivant,NonOrg,149508,2,2281,toaster02.png,Objects_151_h.jpg,1
15,Baseline,Neutral,Non vivant,Org,154793,1,988,raccoon.png,Black.jpg,1
16,Baseline,Emotion,Vivant,NonOrg,158828,2,993,antenna.png,Black.jpg,1
17,No-Think,Emotion,Vivant,Org,162563,1,731,saintbernard.png,People_222_h.jpg,1
18,Think,Neutral,Non vivant,Org,166365,1,1110,dromedary.png,Landscapes_073_h.jpg,1
19,Baseline,Neutral,Vivant,Org,170299,1,1350,siamesecat.png,Black.jpg,1
20,No-Think,Neutral,Vivant,NonOrg,174601,2,954,baseball01a.png,Faces_024_h.jpg,1
21,No-Think,Neutral,Vivant,Org,178619,1,783,beaver.png,People_155_h.jpg,1
22,No-Think,Emotion,Vivant,NonOrg,182187,2,779,airhockeypaddle01a.png,Animals_032_h.jpg,1
23,Think,Neutral,Vivant,NonOrg,185972,1,720,alarmclock02b.png,People_048_h.jpg,1
24,Baseline,Neutral,Vivant,NonOrg,189390,2,862,backfloat.png,Black.jpg,1
25,No-Think,Neutral,Non vivant,Org,193158,1,642,hen.png,Objects_082_h.jpg,1
26,Baseline,Neutral,Vivant,Org,196610,1,644,skunk.png,Black.jpg,1
27,No-Think,Neutral,Non vivant,NonOrg,200161,2,867,bikehelmet.png,Landscapes_034_h.jpg,1
28,Think,Neutral,Vivant,Org,203979,1,644,moose.png,Faces_224_h.jpg,1
29,Think,Emotion,Non vivant,NonOrg,207331,2,892,balloon01b.png,Landscapes_004_h.jpg,1
30,Think,Emotion,Non vivant,NonOrg,210965,2,900,aceofdiamond.png,Objects_109_h.jpg,1
31,Baseline,Neutral,Non vivant,NonOrg,214783,1,859,bandage.png,Black.jpg,1
32,No-Think,Neutral,Vivant,NonOrg,218702,2,1819,amphora.png,People_105_h.jpg,1
33,Think,Emotion,Vivant,Org,223237,1,1877,tiger02.png,People_202_h.jpg,1
34,Baseline,Neutral,Vivant,NonOrg,228005,2,1913,bicycle.png,Black.jpg,1
35,No-Think,Emotion,Vivant,Org,232974,1,1510,tern.png,People_198_h.jpg,1
36,Think,Neutral,Non vivant,NonOrg,237409,2,1938,armchair01.png,Objects_043_h.jpg,1
37,Baseline,Emotion,Vivant,NonOrg,242294,2,1053,beachpaddle01a.png,Black.jpg,1
38,No-Think,Emotion,Non vivant,Org,246079,1,1225,toad.png,Objects_138_h.jpg,1
39,Baseline,Emotion,Non vivant,NonOrg,250131,2,1026,dice02a.png,Black.jpg,1
40,Think,Neutral,Non vivant,NonOrg,253832,2,1796,alarmclock01.png,Landscapes_049_h.jpg,1
41,Baseline,Emotion,Vivant,Org,258417,1,943,stuffedpuffin.png,Black.jpg,1
42,No-Think,Emotion,Non vivant,NonOrg,262185,2,1790,scotchtape.png,Landscapes_007_h.jpg,1
43,Think,Neutral,Vivant,Org,266887,1,660,kangaroo.png,People_138_h.jpg,1
44,Think,Emotion,Vivant,NonOrg,270305,1,1168,toytractor01b.png,People_129_h.jpg,1
45,Baseline,Neutral,Non vivant,Org,274423,1,1154,killerwhale.png,Black.jpg,1
46,No-Think,Emotion,Vivant,NonOrg,278308,2,2840,bassguitar.png,People_208_h.jpg,1
47,Baseline,Emotion,Non vivant,Org,284194,1,1066,swallow.png,Black.jpg,1
48,Baseline,Neutral,Non vivant,NonOrg,287979,2,1220,bandage.png,Black.jpg,2
49,No-Think,Emotion,Vivant,NonOrg,291914,2,721,airhockeypaddle01a.png,Animals_032_h.jpg,2
50,Baseline,Neutral,Vivant,Org,295632,1,589,skunk.png,Black.jpg,2
51,Baseline,Neutral,Vivant,NonOrg,299116,2,545,bicycle.png,Black.jpg,2
52,No-Think,Emotion,Vivant,NonOrg,302635,2,588,bassguitar.png,People_208_h.jpg,2
53,Baseline,Neutral,Non vivant,NonOrg,305936,2,485,banjo.png,Black.jpg,2
54,Think,Emotion,Vivant,Org,309170,1,716,tiger02.png,People_202_h.jpg,2
55,No-Think,Emotion,Non vivant,Org,312622,1,1179,toad.png,Objects_138_h.jpg,2
56,Think,Neutral,Vivant,Org,316723,1,873,moose.png,Faces_224_h.jpg,2
57,Think,Neutral,Vivant,NonOrg,320592,1,800,bib.png,Faces_044_h.jpg,2
58,Baseline,Neutral,Non vivant,Org,324343,1,1204,killerwhale.png,Black.jpg,2
59,No-Think,Neutral,Non vivant,NonOrg,328495,2,621,bikehelmet.png,Landscapes_034_h.jpg,2
60,Baseline,Emotion,Vivant,Org,332063,1,636,rockbass.png,Black.jpg,2
61,No-Think,Emotion,Non vivant,NonOrg,335497,2,543,scotchtape.png,Landscapes_007_h.jpg,2
62,Think,Emotion,Non vivant,NonOrg,338815,2,1284,aceofdiamond.png,Objects_109_h.jpg,2
63,Baseline,Emotion,Non vivant,NonOrg,342900,2,745,dice02a.png,Black.jpg,2
64,Think,Neutral,Vivant,NonOrg,346318,1,542,alarmclock02b.png,People_048_h.jpg,2
65,Baseline,Emotion,Non vivant,NonOrg,349603,2,722,scale01b.png,Black.jpg,2
66,No-Think,Neutral,Vivant,NonOrg,353138,1,925,baseball01a.png,Faces_024_h.jpg,2
67,No-Think,Emotion,Non vivant,Org,357073,1,950,tortoise01.png,Objects_233_h.jpg,2
68,Think,Emotion,Non vivant,Org,360957,2,1439,cow.png,Landscapes_026_h.jpg,2
69,Baseline,Emotion,Vivant,Org,365042,1,1181,stuffedpuffin.png,Black.jpg,2
70,Think,Neutral,Non vivant,NonOrg,368961,2,1014,armchair01.png,Objects_043_h.jpg,2
71,Baseline,Emotion,Vivant,NonOrg,372912,2,1274,beachpaddle01a.png,Black.jpg,2
72,Think,Emotion,Vivant,NonOrg,376930,2,1767,binoculars01b.png,Animals_045_h.jpg,2
