,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Emotion,Non vivant,NonOrg,42600,2,1041,dice02a.png,Landscapes_025_h.jpg,1
1,Think,Neutral,Non vivant,NonOrg,46385,2,2757,usbcable01b.png,Landscapes_048_h.jpg,1
2,No-Think,Neutral,Non vivant,Org,59490,1,1621,raccoon.png,Objects_169_h.jpg,1
3,Baseline,Neutral,Vivant,NonOrg,63825,1,1344,alarmclock02b.png,Black.jpg,1
4,Think,Neutral,Vivant,NonOrg,73846,1,2081,baseball01a.png,Faces_024_h.jpg,1
5,No-Think,Emotion,Non vivant,Org,85600,1,1233,swallow.png,Objects_144_h.jpg,1
6,Baseline,Neutral,Non vivant,Org,89735,1,2003,dromedary.png,Black.jpg,1
7,Baseline,Neutral,Vivant,Org,94571,1,781,moose.png,Black.jpg,1
8,No-Think,Emotion,Non vivant,Org,98422,1,756,sheep.png,Landscapes_139_h.jpg,1
9,No-Think,Emotion,Non vivant,NonOrg,108209,2,1900,scale01b.png,Objects_127_h.jpg,1
10,Baseline,Emotion,Vivant,Org,113078,1,1212,tiger02.png,Black.jpg,1
11,Think,Emotion,Non vivant,NonOrg,117246,2,2982,toaster02.png,Objects_151_h.jpg,1
12,Baseline,Neutral,Vivant,Org,123148,1,957,kangaroo.png,Black.jpg,1
13,Baseline,Neutral,Vivant,NonOrg,133536,2,1471,bib.png,Black.jpg,1
14,Baseline,Emotion,Vivant,Org,148175,1,1489,sturgeon.png,Black.jpg,1
15,No-Think,Emotion,Vivant,Org,160030,1,1251,stuffedpuffin.png,People_227_h.jpg,1
16,Think,Emotion,Vivant,Org,164131,1,2670,tern.png,People_198_h.jpg,1
17,Think,Neutral,Vivant,Org,169833,1,2795,caribou01.png,Faces_308_h.jpg,1
18,Baseline,Neutral,Non vivant,NonOrg,175586,2,915,alarmclock01.png,Black.jpg,1
19,Baseline,Emotion,Non vivant,Org,179204,1,574,squirrel.png,Black.jpg,1
20,No-Think,Neutral,Non vivant,Org,182555,1,851,killerwhale.png,Objects_214_h.jpg,1
21,No-Think,Neutral,Vivant,NonOrg,186323,2,1067,bicycle.png,Faces_045_h.jpg,1
22,Baseline,Emotion,Non vivant,NonOrg,190091,2,1811,aceofdiamond.png,Black.jpg,1
23,No-Think,Emotion,Vivant,NonOrg,194843,2,981,antenna.png,People_216_h.jpg,1
24,No-Think,Neutral,Vivant,NonOrg,198711,2,1443,backfloat.png,People_109_h.jpg,1
25,No-Think,Emotion,Vivant,NonOrg,203130,2,1003,beachpaddle01a.png,People_233_h.jpg,1
26,No-Think,Neutral,Non vivant,NonOrg,214317,2,1563,bandage.png,Objects_204_h.jpg,1
27,No-Think,Neutral,Vivant,Org,218853,1,603,siamesecat.png,People_146_h.jpg,1
28,Baseline,Emotion,Non vivant,Org,222421,1,1259,cow.png,Black.jpg,1
29,Baseline,Neutral,Non vivant,NonOrg,226372,2,774,armchair01.png,Black.jpg,1
30,No-Think,Neutral,Vivant,Org,230107,1,679,skunk.png,Faces_276_h.jpg,1
31,Baseline,Neutral,Non vivant,Org,233742,1,1732,blackbear.png,Black.jpg,1
32,No-Think,Neutral,Non vivant,NonOrg,246130,2,1939,banjo.png,Objects_099_h.jpg,1
33,No-Think,Emotion,Vivant,Org,250882,1,707,rockbass.png,People_240_h.jpg,1
34,Baseline,Emotion,Vivant,NonOrg,254433,2,593,toytractor01b.png,Black.jpg,1
35,Think,Neutral,Vivant,Org,258001,1,548,beaver.png,People_155_h.jpg,1
36,Think,Neutral,Vivant,NonOrg,261336,1,1338,amphora.png,People_105_h.jpg,1
37,Baseline,Emotion,Vivant,NonOrg,265354,2,887,binoculars01b.png,Black.jpg,1
38,No-Think,Neutral,Vivant,NonOrg,268905,2,664,bicycle.png,Faces_045_h.jpg,2
39,No-Think,Neutral,Vivant,Org,272357,1,1152,skunk.png,Faces_276_h.jpg,2
40,Baseline,Neutral,Non vivant,NonOrg,276408,2,496,armchair01.png,Black.jpg,2
41,Think,Neutral,Vivant,Org,279860,1,590,caribou01.png,Faces_308_h.jpg,2
42,Baseline,Emotion,Vivant,Org,283211,1,1121,sturgeon.png,Black.jpg,2
