,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Neutral,Vivant,Org,103224,1,1910,caribou01.png,Faces_308_h.jpg,1
1,No-Think,Emotion,Vivant,Org,108126,1,1259,tern.png,People_198_h.jpg,1
2,No-Think,Neutral,Vivant,Org,112078,1,1041,beaver.png,People_155_h.jpg,1
3,Think,Neutral,Non vivant,NonOrg,116129,2,1646,armchair01.png,Objects_043_h.jpg,1
4,No-Think,Emotion,Non vivant,NonOrg,120665,2,1837,scotchtape.png,Landscapes_007_h.jpg,1
5,No-Think,Emotion,Non vivant,NonOrg,125450,2,1089,toaster02.png,Objects_151_h.jpg,1
6,Baseline,Emotion,Vivant,NonOrg,129518,2,1654,beachpaddle01a.png,Black.jpg,1
7,No-Think,Emotion,Vivant,NonOrg,133903,2,1070,bassguitar.png,People_208_h.jpg,1
8,Baseline,Neutral,Non vivant,Org,137988,1,1429,raccoon.png,Black.jpg,1
9,Think,Neutral,Vivant,Org,142323,1,1996,kangaroo.png,People_138_h.jpg,1
10,Baseline,Emotion,Vivant,Org,146992,1,1515,stuffedpuffin.png,Black.jpg,1
11,Think,Neutral,Non vivant,Org,151560,2,2249,dromedary.png,Landscapes_073_h.jpg,1
12,Think,Emotion,Vivant,NonOrg,156862,1,1783,toytractor01b.png,People_129_h.jpg,1
13,Think,Neutral,Vivant,Org,161731,1,1671,moose.png,Faces_224_h.jpg,1
14,Baseline,Emotion,Non vivant,Org,166066,1,1257,swallow.png,Black.jpg,1
15,Baseline,Neutral,Vivant,NonOrg,170367,2,1057,backfloat.png,Black.jpg,1
16,Baseline,Neutral,Vivant,Org,174402,1,1670,siamesecat.png,Black.jpg,1
17,No-Think,Neutral,Non vivant,NonOrg,179087,2,1461,bikehelmet.png,Landscapes_034_h.jpg,1
18,Baseline,Emotion,Non vivant,Org,183339,1,1365,sheep.png,Black.jpg,1
19,No-Think,Emotion,Non vivant,Org,187524,1,1092,tortoise01.png,Objects_233_h.jpg,1
20,No-Think,Emotion,Vivant,Org,191509,1,1505,saintbernard.png,People_222_h.jpg,1
21,Think,Emotion,Vivant,Org,195811,1,2982,sturgeon.png,Faces_366_h.jpg,1
22,Baseline,Neutral,Non vivant,NonOrg,201563,2,883,banjo.png,Black.jpg,1
23,No-Think,Neutral,Non vivant,Org,205198,1,643,lion.png,Landscapes_038_h.jpg,1
24,Think,Emotion,Non vivant,Org,208599,2,1218,cow.png,Landscapes_026_h.jpg,1
25,Think,Neutral,Non vivant,Org,212917,2,1260,blackbear.png,Objects_085_h.jpg,1
26,No-Think,Neutral,Non vivant,NonOrg,216985,2,1081,usbcable01b.png,Landscapes_048_h.jpg,1
27,Baseline,Emotion,Non vivant,NonOrg,221087,2,502,dice02a.png,Black.jpg,1
28,Baseline,Emotion,Vivant,NonOrg,224322,2,530,antenna.png,Black.jpg,1
29,Think,Emotion,Non vivant,NonOrg,227706,2,2271,balloon01b.png,Landscapes_004_h.jpg,1
30,Baseline,Neutral,Vivant,NonOrg,232775,2,939,bicycle.png,Black.jpg,1
31,No-Think,Neutral,Non vivant,Org,236727,1,1206,hen.png,Objects_082_h.jpg,1
32,Think,Neutral,Vivant,NonOrg,240862,1,1948,bib.png,Faces_044_h.jpg,1
33,Think,Neutral,Vivant,NonOrg,245630,1,1062,alarmclock02b.png,People_048_h.jpg,1
34,No-Think,Emotion,Non vivant,Org,249548,1,934,toad.png,Objects_138_h.jpg,1
35,Think,Emotion,Vivant,Org,253516,2,1001,tiger02.png,People_202_h.jpg,1
36,Baseline,Emotion,Vivant,Org,257418,1,1062,rockbass.png,Black.jpg,1
37,No-Think,Neutral,Vivant,NonOrg,261286,2,1657,amphora.png,People_105_h.jpg,1
38,Baseline,Neutral,Vivant,Org,265888,1,1525,skunk.png,Black.jpg,1
39,Baseline,Emotion,Non vivant,NonOrg,270390,2,608,scale01b.png,Black.jpg,1
40,Think,Neutral,Non vivant,NonOrg,274041,2,1457,alarmclock01.png,Landscapes_049_h.jpg,1
41,Baseline,Neutral,Non vivant,NonOrg,278443,2,1089,bandage.png,Black.jpg,1
42,Think,Emotion,Vivant,NonOrg,282511,1,2541,binoculars01b.png,Animals_045_h.jpg,1
43,No-Think,Emotion,Vivant,NonOrg,288063,2,2861,airhockeypaddle01a.png,Animals_032_h.jpg,1
44,No-Think,Neutral,Vivant,NonOrg,293699,2,792,baseball01a.png,Faces_024_h.jpg,1
45,Baseline,Neutral,Non vivant,Org,297300,1,1008,killerwhale.png,Black.jpg,1
46,Think,Emotion,Non vivant,Org,308671,2,1246,squirrel.png,Objects_157_h.jpg,1
47,No-Think,Emotion,Non vivant,NonOrg,312923,2,1422,scotchtape.png,Landscapes_007_h.jpg,2
48,Think,Neutral,Vivant,NonOrg,317391,1,1287,alarmclock02b.png,People_048_h.jpg,2
49,Baseline,Emotion,Vivant,NonOrg,321376,2,948,beachpaddle01a.png,Black.jpg,2
50,Baseline,Neutral,Non vivant,Org,325311,1,871,killerwhale.png,Black.jpg,2
51,Baseline,Neutral,Non vivant,NonOrg,328913,2,757,banjo.png,Black.jpg,2
52,Baseline,Neutral,Vivant,NonOrg,332314,2,586,backfloat.png,Black.jpg,2
53,Baseline,Emotion,Vivant,Org,335782,1,510,rockbass.png,Black.jpg,2
54,Baseline,Neutral,Vivant,Org,339183,1,796,skunk.png,Black.jpg,2
55,No-Think,Neutral,Vivant,Org,342735,1,1171,caribou01.png,Faces_308_h.jpg,2
56,Think,Emotion,Vivant,NonOrg,346653,1,2118,binoculars01b.png,Animals_045_h.jpg,2
57,Baseline,Emotion,Vivant,NonOrg,351755,2,711,antenna.png,Black.jpg,2
58,Baseline,Emotion,Non vivant,NonOrg,355340,2,441,scale01b.png,Black.jpg,2
59,No-Think,Emotion,Non vivant,NonOrg,358774,2,792,toaster02.png,Objects_151_h.jpg,2
60,Think,Emotion,Non vivant,Org,365610,1,428,cow.png,Landscapes_026_h.jpg,2
61,Think,Neutral,Vivant,NonOrg,368762,1,1509,bib.png,Faces_044_h.jpg,2
62,Baseline,Emotion,Non vivant,Org,373097,1,921,sheep.png,Black.jpg,2
63,Baseline,Neutral,Non vivant,NonOrg,376948,2,849,bandage.png,Black.jpg,2
64,No-Think,Neutral,Vivant,NonOrg,380600,2,1570,baseball01a.png,Faces_024_h.jpg,2
65,Baseline,Neutral,Vivant,Org,384835,1,932,siamesecat.png,Black.jpg,2
66,No-Think,Emotion,Non vivant,Org,388686,1,890,tortoise01.png,Objects_233_h.jpg,2
67,No-Think,Neutral,Non vivant,NonOrg,396522,2,1231,usbcable01b.png,Landscapes_048_h.jpg,2
68,Baseline,Neutral,Non vivant,Org,400674,1,444,raccoon.png,Black.jpg,2
69,Baseline,Emotion,Vivant,Org,403975,1,434,stuffedpuffin.png,Black.jpg,2
70,Think,Neutral,Non vivant,NonOrg,407310,2,1007,alarmclock01.png,Landscapes_049_h.jpg,2
71,Think,Emotion,Vivant,NonOrg,411078,1,1745,toytractor01b.png,People_129_h.jpg,2
72,Think,Emotion,Non vivant,NonOrg,415597,2,1016,aceofdiamond.png,Objects_109_h.jpg,2
73,Think,Neutral,Non vivant,Org,419548,2,1134,dromedary.png,Landscapes_073_h.jpg,2
74,Think,Neutral,Non vivant,NonOrg,423716,2,1029,armchair01.png,Objects_043_h.jpg,2
75,Think,Emotion,Vivant,Org,427668,1,1324,sturgeon.png,Faces_366_h.jpg,2
76,No-Think,Neutral,Vivant,NonOrg,431870,2,1487,amphora.png,People_105_h.jpg,2
77,Baseline,Emotion,Non vivant,Org,436338,1,730,swallow.png,Black.jpg,2
78,No-Think,Neutral,Non vivant,Org,439989,1,692,lion.png,Landscapes_038_h.jpg,2
79,No-Think,Emotion,Non vivant,Org,443391,1,733,toad.png,Objects_138_h.jpg,2
80,Think,Emotion,Non vivant,Org,447026,2,795,squirrel.png,Objects_157_h.jpg,2
81,Baseline,Neutral,Vivant,NonOrg,450810,2,710,bicycle.png,Black.jpg,2
82,Think,Emotion,Non vivant,NonOrg,454395,2,1103,balloon01b.png,Landscapes_004_h.jpg,2
83,No-Think,Emotion,Vivant,NonOrg,458397,2,2332,bassguitar.png,People_208_h.jpg,2
84,Think,Emotion,Vivant,Org,463532,1,1785,tiger02.png,People_202_h.jpg,2
85,No-Think,Neutral,Vivant,Org,468067,1,911,beaver.png,People_155_h.jpg,2
86,Think,Neutral,Vivant,Org,471935,1,1393,moose.png,Faces_224_h.jpg,2
87,Think,Neutral,Vivant,Org,476070,1,865,kangaroo.png,People_138_h.jpg,2
88,No-Think,Emotion,Vivant,NonOrg,479955,2,1202,airhockeypaddle01a.png,Animals_032_h.jpg,2
89,No-Think,Neutral,Non vivant,NonOrg,483840,2,572,bikehelmet.png,Landscapes_034_h.jpg,2
90,No-Think,Emotion,Vivant,Org,487108,1,915,saintbernard.png,People_222_h.jpg,2
91,Think,Neutral,Non vivant,Org,491043,2,858,blackbear.png,Objects_085_h.jpg,2
92,No-Think,Neutral,Non vivant,Org,494577,1,1029,hen.png,Objects_082_h.jpg,2
93,Baseline,Emotion,Vivant,NonOrg,498312,2,773,beachpaddle01a.png,Black.jpg,3
94,No-Think,Neutral,Non vivant,Org,522872,1,1417,hen.png,Objects_082_h.jpg,3
95,Baseline,Emotion,Non vivant,Org,527157,1,500,sheep.png,Black.jpg,3
96,No-Think,Neutral,Vivant,NonOrg,534010,2,416,baseball01a.png,Faces_024_h.jpg,3
97,Baseline,Neutral,Non vivant,NonOrg,537127,2,481,banjo.png,Black.jpg,3
98,Think,Neutral,Non vivant,NonOrg,540579,2,654,armchair01.png,Objects_043_h.jpg,3
99,No-Think,Neutral,Non vivant,NonOrg,544047,2,1077,usbcable01b.png,Landscapes_048_h.jpg,3
100,Think,Neutral,Non vivant,Org,547815,2,724,blackbear.png,Objects_085_h.jpg,3
101,No-Think,Neutral,Vivant,Org,551350,1,685,beaver.png,People_155_h.jpg,3
102,Think,Neutral,Vivant,NonOrg,554951,1,1131,alarmclock02b.png,People_048_h.jpg,3
103,Think,Emotion,Vivant,NonOrg,558886,1,1047,toytractor01b.png,People_129_h.jpg,3
104,Think,Emotion,Vivant,Org,562737,1,828,tiger02.png,People_202_h.jpg,3
105,Baseline,Neutral,Vivant,NonOrg,566472,2,574,backfloat.png,Black.jpg,3
106,No-Think,Emotion,Vivant,Org,573125,1,745,saintbernard.png,People_222_h.jpg,3
107,No-Think,Neutral,Non vivant,NonOrg,576576,2,1201,bikehelmet.png,Landscapes_034_h.jpg,3
108,Baseline,Neutral,Vivant,NonOrg,580528,2,450,bicycle.png,Black.jpg,3
109,Baseline,Neutral,Non vivant,Org,583996,1,1561,raccoon.png,Black.jpg,3
110,Think,Emotion,Vivant,NonOrg,588214,1,1226,binoculars01b.png,Animals_045_h.jpg,3
111,Baseline,Neutral,Vivant,Org,592449,1,756,skunk.png,Black.jpg,3
112,No-Think,Emotion,Vivant,NonOrg,595867,2,1339,airhockeypaddle01a.png,Animals_032_h.jpg,3
113,Baseline,Neutral,Vivant,Org,600252,1,831,siamesecat.png,Black.jpg,3
114,Think,Neutral,Vivant,NonOrg,606971,1,1866,bib.png,Faces_044_h.jpg,3
115,Think,Emotion,Vivant,Org,611840,1,651,sturgeon.png,Faces_366_h.jpg,3
116,No-Think,Emotion,Vivant,NonOrg,615308,2,1547,bassguitar.png,People_208_h.jpg,3
117,Think,Neutral,Non vivant,NonOrg,619876,2,1536,alarmclock01.png,Landscapes_049_h.jpg,3
118,No-Think,Emotion,Non vivant,NonOrg,624395,2,774,scotchtape.png,Landscapes_007_h.jpg,3
119,Think,Emotion,Non vivant,NonOrg,628080,2,804,aceofdiamond.png,Objects_109_h.jpg,3
120,No-Think,Emotion,Non vivant,Org,631748,1,1517,toad.png,Objects_138_h.jpg,3
121,Baseline,Emotion,Non vivant,NonOrg,636316,2,564,dice02a.png,Black.jpg,3
122,Think,Neutral,Vivant,Org,639651,2,817,moose.png,Faces_224_h.jpg,3
123,Baseline,Emotion,Non vivant,NonOrg,643452,2,572,scale01b.png,Black.jpg,3
124,No-Think,Neutral,Non vivant,Org,646837,1,655,lion.png,Landscapes_038_h.jpg,3
125,Think,Neutral,Vivant,Org,650288,1,720,kangaroo.png,People_138_h.jpg,3
126,No-Think,Emotion,Vivant,Org,653890,1,1465,tern.png,People_198_h.jpg,3
127,Baseline,Neutral,Non vivant,Org,658191,1,571,killerwhale.png,Black.jpg,3
128,Think,Emotion,Non vivant,Org,661559,2,990,cow.png,Landscapes_026_h.jpg,3
129,Think,Emotion,Non vivant,Org,665561,2,877,squirrel.png,Objects_157_h.jpg,3
130,Baseline,Neutral,Non vivant,NonOrg,669129,2,810,bandage.png,Black.jpg,3
131,Baseline,Emotion,Non vivant,Org,672830,1,510,swallow.png,Black.jpg,3
132,No-Think,Emotion,Non vivant,NonOrg,676098,2,1085,toaster02.png,Objects_151_h.jpg,3
