,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Baseline,Neutral,Vivant,NonOrg,147423,2,1161,bib.png,Black.jpg,1
1,Think,Emotion,Non vivant,NonOrg,151375,2,1842,dice02a.png,Landscapes_025_h.jpg,1
2,Think,Neutral,Non vivant,NonOrg,155943,2,1477,banjo.png,Objects_099_h.jpg,1
3,No-Think,Emotion,Non vivant,Org,160378,1,1352,tortoise01.png,Objects_233_h.jpg,1
4,No-Think,Neutral,Non vivant,Org,164497,1,892,lion.png,Landscapes_038_h.jpg,1
5,Baseline,Emotion,Vivant,NonOrg,168065,2,624,toytractor01b.png,Black.jpg,1
6,No-Think,Neutral,Non vivant,NonOrg,171466,2,713,usbcable01b.png,Landscapes_048_h.jpg,1
7,No-Think,Neutral,Non vivant,NonOrg,175251,2,787,bikehelmet.png,Landscapes_034_h.jpg,1
8,Baseline,Neutral,Non vivant,NonOrg,178936,2,847,alarmclock01.png,Black.jpg,1
9,No-Think,Emotion,Non vivant,NonOrg,182504,2,733,scotchtape.png,Landscapes_007_h.jpg,1
10,Think,Neutral,Non vivant,NonOrg,186238,2,1249,bandage.png,Objects_204_h.jpg,1
11,Think,Neutral,Vivant,NonOrg,190207,1,1365,backfloat.png,People_109_h.jpg,1
12,Baseline,Neutral,Vivant,NonOrg,194358,2,1100,alarmclock02b.png,Black.jpg,1
13,Baseline,Neutral,Vivant,Org,198293,2,1026,moose.png,Black.jpg,1
14,Baseline,Emotion,Vivant,Org,202278,1,1135,tiger02.png,Black.jpg,1
15,No-Think,Neutral,Vivant,Org,206263,1,1250,caribou01.png,Faces_308_h.jpg,1
16,No-Think,Emotion,Non vivant,NonOrg,210331,2,859,toaster02.png,Objects_151_h.jpg,1
17,Baseline,Emotion,Non vivant,Org,214099,1,1170,squirrel.png,Black.jpg,1
18,Baseline,Emotion,Non vivant,NonOrg,218118,2,1084,balloon01b.png,Black.jpg,1
19,No-Think,Emotion,Non vivant,Org,222069,1,976,toad.png,Objects_138_h.jpg,1
20,Think,Emotion,Vivant,NonOrg,225854,1,2102,beachpaddle01a.png,People_233_h.jpg,1
21,No-Think,Neutral,Non vivant,Org,230789,1,1888,hen.png,Objects_082_h.jpg,1
22,Think,Emotion,Vivant,NonOrg,235708,1,2162,antenna.png,People_216_h.jpg,1
23,Think,Neutral,Vivant,Org,240976,1,1249,skunk.png,Faces_276_h.jpg,1
24,Think,Emotion,Vivant,Org,250247,1,1492,rockbass.png,People_240_h.jpg,1
25,Baseline,Emotion,Non vivant,Org,254465,1,1182,cow.png,Black.jpg,1
26,No-Think,Emotion,Vivant,Org,258550,1,1331,saintbernard.png,People_222_h.jpg,1
27,Think,Emotion,Non vivant,Org,262685,2,1366,swallow.png,Objects_144_h.jpg,1
28,No-Think,Emotion,Vivant,NonOrg,267153,2,1576,airhockeypaddle01a.png,Animals_032_h.jpg,1
29,No-Think,Neutral,Vivant,NonOrg,271722,2,1169,amphora.png,People_105_h.jpg,1
30,Baseline,Emotion,Non vivant,NonOrg,275924,2,763,aceofdiamond.png,Black.jpg,1
31,Think,Emotion,Non vivant,Org,279458,2,1440,sheep.png,Landscapes_139_h.jpg,1
32,No-Think,Neutral,Vivant,NonOrg,283943,2,1653,baseball01a.png,Faces_024_h.jpg,1
33,Baseline,Neutral,Vivant,Org,288328,1,936,kangaroo.png,Black.jpg,1
34,Think,Neutral,Vivant,Org,300900,1,1435,siamesecat.png,People_146_h.jpg,1
35,Baseline,Neutral,Non vivant,NonOrg,309053,2,879,armchair01.png,Black.jpg,1
36,Baseline,Emotion,Vivant,Org,312905,1,1430,sturgeon.png,Black.jpg,1
37,Think,Emotion,Vivant,Org,317440,1,1748,stuffedpuffin.png,People_227_h.jpg,1
38,No-Think,Neutral,Vivant,Org,322042,1,1315,beaver.png,People_155_h.jpg,1
