,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Baseline,Neutral,Vivant,NonOrg,190429,2,2855,alarmclock02b.png,Black.jpg,1
1,Think,Emotion,Non vivant,NonOrg,196148,2,1428,scotchtape.png,Landscapes_007_h.jpg,1
2,Think,Emotion,Vivant,Org,200549,1,853,saintbernard.png,People_222_h.jpg,1
3,No-Think,Emotion,Vivant,Org,204184,1,907,stuffedpuffin.png,People_227_h.jpg,1
4,No-Think,Emotion,Non vivant,Org,207936,1,906,sheep.png,Landscapes_139_h.jpg,1
5,Think,Neutral,Vivant,NonOrg,211737,2,794,baseball01a.png,Faces_024_h.jpg,1
6,No-Think,Neutral,Vivant,Org,215388,1,652,siamesecat.png,People_146_h.jpg,1
7,Think,Emotion,Vivant,NonOrg,219123,2,837,bassguitar.png,People_208_h.jpg,1
8,Baseline,Neutral,Non vivant,Org,222975,2,1843,dromedary.png,Black.jpg,1
9,Baseline,Emotion,Vivant,Org,227760,2,907,sturgeon.png,Black.jpg,1
10,No-Think,Emotion,Non vivant,NonOrg,231611,2,712,dice02a.png,Landscapes_025_h.jpg,1
11,Think,Neutral,Non vivant,NonOrg,235130,1,1201,usbcable01b.png,Landscapes_048_h.jpg,1
12,Baseline,Neutral,Vivant,Org,239181,2,1297,kangaroo.png,Black.jpg,1
13,Baseline,Emotion,Non vivant,Org,243416,1,855,squirrel.png,Black.jpg,1
14,No-Think,Neutral,Vivant,NonOrg,246967,1,1171,backfloat.png,People_109_h.jpg,1
15,Baseline,Emotion,Non vivant,NonOrg,251052,2,810,balloon01b.png,Black.jpg,1
16,Think,Neutral,Vivant,Org,254670,1,804,caribou01.png,Faces_308_h.jpg,1
17,Think,Emotion,Non vivant,Org,258305,1,985,tortoise01.png,Objects_233_h.jpg,1
18,Think,Neutral,Non vivant,NonOrg,262323,2,1122,bikehelmet.png,Landscapes_034_h.jpg,1
19,Baseline,Neutral,Vivant,Org,266258,2,951,moose.png,Black.jpg,1
20,Baseline,Neutral,Non vivant,NonOrg,270093,2,1462,armchair01.png,Black.jpg,1
21,Think,Emotion,Non vivant,NonOrg,274562,2,1707,toaster02.png,Objects_151_h.jpg,1
22,No-Think,Emotion,Vivant,Org,279247,1,791,rockbass.png,People_240_h.jpg,1
23,Baseline,Neutral,Vivant,NonOrg,282848,2,831,bib.png,Black.jpg,1
24,No-Think,Emotion,Vivant,NonOrg,286433,2,1384,antenna.png,People_216_h.jpg,1
25,No-Think,Emotion,Non vivant,Org,290684,2,1365,swallow.png,Objects_144_h.jpg,1
26,No-Think,Neutral,Non vivant,NonOrg,294819,2,1470,banjo.png,Objects_099_h.jpg,1
27,No-Think,Emotion,Non vivant,NonOrg,299171,2,745,scale01b.png,Objects_127_h.jpg,1
28,Think,Neutral,Non vivant,Org,302889,1,671,hen.png,Objects_082_h.jpg,1
29,Think,Emotion,Vivant,Org,306591,2,1064,tern.png,People_198_h.jpg,1
30,Baseline,Emotion,Vivant,NonOrg,310592,2,996,binoculars01b.png,Black.jpg,1
31,Baseline,Emotion,Vivant,Org,314627,2,980,tiger02.png,Black.jpg,1
32,Think,Emotion,Vivant,NonOrg,318445,1,1354,airhockeypaddle01a.png,Animals_032_h.jpg,1
33,Think,Emotion,Non vivant,Org,322780,2,1336,toad.png,Objects_138_h.jpg,1
34,No-Think,Emotion,Vivant,NonOrg,326965,1,1139,beachpaddle01a.png,People_233_h.jpg,1
35,No-Think,Neutral,Non vivant,Org,330883,2,1588,killerwhale.png,Objects_214_h.jpg,1
36,No-Think,Neutral,Non vivant,Org,335369,2,1202,raccoon.png,Objects_169_h.jpg,1
37,Think,Neutral,Vivant,Org,339453,1,1438,beaver.png,People_155_h.jpg,1
38,Baseline,Emotion,Non vivant,Org,343839,1,1273,cow.png,Black.jpg,1
39,Baseline,Emotion,Non vivant,NonOrg,348007,2,957,aceofdiamond.png,Black.jpg,1
40,No-Think,Neutral,Vivant,Org,351925,1,2358,skunk.png,Faces_276_h.jpg,1
41,Baseline,Emotion,Vivant,NonOrg,357260,2,913,toytractor01b.png,Black.jpg,1
42,No-Think,Neutral,Vivant,NonOrg,361045,2,1576,bicycle.png,Faces_045_h.jpg,1
43,Think,Neutral,Vivant,NonOrg,365380,2,1551,amphora.png,People_105_h.jpg,1
44,Baseline,Neutral,Non vivant,NonOrg,369865,2,761,alarmclock01.png,Black.jpg,1
45,Think,Neutral,Non vivant,Org,373400,2,1391,lion.png,Landscapes_038_h.jpg,1
46,Baseline,Neutral,Non vivant,Org,377585,1,869,blackbear.png,Black.jpg,1
47,No-Think,Neutral,Non vivant,NonOrg,381253,2,1270,bandage.png,Objects_204_h.jpg,1
48,Baseline,Neutral,Non vivant,Org,385205,1,979,dromedary.png,Black.jpg,2
49,Baseline,Neutral,Non vivant,NonOrg,389173,2,611,armchair01.png,Black.jpg,2
50,No-Think,Neutral,Vivant,NonOrg,392758,1,1229,backfloat.png,People_109_h.jpg,2
51,Baseline,Emotion,Vivant,NonOrg,396976,2,905,toytractor01b.png,Black.jpg,2
52,Think,Emotion,Vivant,NonOrg,400794,1,1024,bassguitar.png,People_208_h.jpg,2
53,No-Think,Neutral,Vivant,Org,404462,2,1110,siamesecat.png,People_146_h.jpg,2
54,Baseline,Neutral,Non vivant,NonOrg,408397,2,593,alarmclock01.png,Black.jpg,2
55,No-Think,Neutral,Vivant,Org,411648,1,1593,skunk.png,Faces_276_h.jpg,2
56,Think,Emotion,Vivant,Org,416050,1,909,saintbernard.png,People_222_h.jpg,2
57,No-Think,Neutral,Vivant,NonOrg,419968,2,1150,bicycle.png,Faces_045_h.jpg,2
58,Baseline,Emotion,Non vivant,NonOrg,424137,2,964,aceofdiamond.png,Black.jpg,2
59,Think,Neutral,Non vivant,NonOrg,428055,2,2112,bikehelmet.png,Landscapes_034_h.jpg,2
60,Baseline,Emotion,Non vivant,Org,432873,1,1105,squirrel.png,Black.jpg,2
61,No-Think,Neutral,Non vivant,NonOrg,436925,2,1408,banjo.png,Objects_099_h.jpg,2
62,No-Think,Emotion,Non vivant,NonOrg,441043,2,975,scale01b.png,Objects_127_h.jpg,2
63,Think,Neutral,Vivant,Org,444995,1,904,beaver.png,People_155_h.jpg,2
64,Baseline,Emotion,Vivant,Org,448529,2,1272,tiger02.png,Black.jpg,2
65,No-Think,Neutral,Non vivant,NonOrg,452598,2,861,bandage.png,Objects_204_h.jpg,2
66,Baseline,Neutral,Vivant,Org,456266,1,1202,moose.png,Black.jpg,2
67,No-Think,Emotion,Vivant,Org,460217,1,1612,stuffedpuffin.png,People_227_h.jpg,2
68,Think,Emotion,Non vivant,NonOrg,464569,2,1612,scotchtape.png,Landscapes_007_h.jpg,2
69,Baseline,Neutral,Vivant,NonOrg,469121,2,914,alarmclock02b.png,Black.jpg,2
70,Think,Emotion,Non vivant,Org,473039,2,2100,toad.png,Objects_138_h.jpg,2
71,Think,Neutral,Vivant,NonOrg,478208,1,1243,baseball01a.png,Faces_024_h.jpg,2
72,Baseline,Neutral,Vivant,Org,482126,1,1038,kangaroo.png,Black.jpg,2
73,No-Think,Emotion,Non vivant,Org,486144,1,895,swallow.png,Objects_144_h.jpg,2
74,Baseline,Emotion,Non vivant,Org,490046,1,856,cow.png,Black.jpg,2
75,Baseline,Neutral,Non vivant,Org,493780,1,591,blackbear.png,Black.jpg,2
76,Baseline,Emotion,Vivant,NonOrg,497165,2,1027,binoculars01b.png,Black.jpg,2
77,No-Think,Emotion,Vivant,NonOrg,501050,2,1716,antenna.png,People_216_h.jpg,2
78,Think,Neutral,Non vivant,NonOrg,505685,2,1387,usbcable01b.png,Landscapes_048_h.jpg,2
79,No-Think,Emotion,Non vivant,Org,509770,2,1395,sheep.png,Landscapes_139_h.jpg,2
80,No-Think,Emotion,Non vivant,NonOrg,514072,2,1066,dice02a.png,Landscapes_025_h.jpg,2
81,Think,Emotion,Non vivant,Org,517923,2,1166,tortoise01.png,Objects_233_h.jpg,2
82,Baseline,Neutral,Vivant,NonOrg,522091,2,1274,bib.png,Black.jpg,2
83,No-Think,Emotion,Vivant,NonOrg,526076,2,1201,beachpaddle01a.png,People_233_h.jpg,2
84,No-Think,Neutral,Non vivant,Org,530311,2,1492,killerwhale.png,Objects_214_h.jpg,2
85,Baseline,Emotion,Non vivant,NonOrg,534646,2,1527,balloon01b.png,Black.jpg,2
86,Think,Neutral,Non vivant,Org,538865,2,1346,hen.png,Objects_082_h.jpg,2
87,Think,Emotion,Vivant,NonOrg,543050,1,1561,airhockeypaddle01a.png,Animals_032_h.jpg,2
88,Think,Emotion,Non vivant,NonOrg,547535,2,1701,toaster02.png,Objects_151_h.jpg,2
89,No-Think,Emotion,Vivant,Org,552036,1,1434,rockbass.png,People_240_h.jpg,2
90,Think,Neutral,Vivant,NonOrg,556488,1,1287,amphora.png,People_105_h.jpg,2
91,Think,Emotion,Vivant,Org,560790,1,1236,tern.png,People_198_h.jpg,2
92,Think,Neutral,Non vivant,Org,564691,2,1103,lion.png,Landscapes_038_h.jpg,2
93,Think,Neutral,Vivant,Org,568710,1,1381,caribou01.png,Faces_308_h.jpg,2
94,Baseline,Emotion,Vivant,Org,572895,1,896,sturgeon.png,Black.jpg,2
95,No-Think,Neutral,Non vivant,Org,576763,1,892,raccoon.png,Objects_169_h.jpg,2
96,No-Think,Emotion,Non vivant,NonOrg,580681,2,771,scale01b.png,Objects_127_h.jpg,3
97,Think,Neutral,Vivant,NonOrg,607942,1,1091,baseball01a.png,Faces_024_h.jpg,3
98,Think,Neutral,Vivant,Org,611776,1,634,caribou01.png,Faces_308_h.jpg,3
99,No-Think,Emotion,Vivant,NonOrg,615211,2,1162,antenna.png,People_216_h.jpg,3
100,Baseline,Neutral,Vivant,NonOrg,619179,2,698,alarmclock02b.png,Black.jpg,3
101,Think,Emotion,Non vivant,NonOrg,622814,2,953,toaster02.png,Objects_151_h.jpg,3
102,No-Think,Neutral,Vivant,NonOrg,626466,2,1108,bicycle.png,Faces_045_h.jpg,3
103,Think,Neutral,Non vivant,Org,630250,2,837,hen.png,Objects_082_h.jpg,3
104,No-Think,Emotion,Non vivant,Org,633768,1,1402,swallow.png,Objects_144_h.jpg,3
