,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Non vivant,NonOrg,128857,2,2757,banjo.png,Objects_099_h.jpg,1
1,Baseline,Emotion,Vivant,NonOrg,134259,2,1539,bassguitar.png,Black.jpg,1
2,Think,Neutral,Vivant,NonOrg,138810,1,1709,bicycle.png,Faces_045_h.jpg,1
3,Think,Emotion,Non vivant,Org,143462,2,1606,sheep.png,Landscapes_139_h.jpg,1
4,Think,Neutral,Vivant,NonOrg,147847,1,2157,backfloat.png,People_109_h.jpg,1
5,Baseline,Emotion,Vivant,Org,152966,1,1850,tern.png,Black.jpg,1
6,No-Think,Neutral,Non vivant,NonOrg,157835,2,791,armchair01.png,Objects_043_h.jpg,1
7,No-Think,Neutral,Vivant,NonOrg,161469,2,1647,alarmclock02b.png,People_048_h.jpg,1
8,Think,Emotion,Non vivant,NonOrg,166155,2,2033,dice02a.png,Landscapes_025_h.jpg,1
9,No-Think,Neutral,Non vivant,Org,171040,1,1198,dromedary.png,Landscapes_073_h.jpg,1
10,Think,Neutral,Non vivant,NonOrg,175191,2,1221,bandage.png,Objects_204_h.jpg,1
11,Baseline,Neutral,Vivant,Org,179193,1,1034,beaver.png,Black.jpg,1
12,Think,Emotion,Vivant,NonOrg,183145,2,2839,beachpaddle01a.png,People_233_h.jpg,1
13,Think,Emotion,Vivant,Org,188730,1,1266,rockbass.png,People_240_h.jpg,1
14,No-Think,Neutral,Vivant,NonOrg,192965,1,2071,bib.png,Faces_044_h.jpg,1
15,Baseline,Emotion,Non vivant,NonOrg,197817,2,1549,scotchtape.png,Black.jpg,1
16,No-Think,Neutral,Non vivant,NonOrg,202219,2,796,alarmclock01.png,Landscapes_049_h.jpg,1
17,Baseline,Emotion,Non vivant,Org,205803,1,1002,tortoise01.png,Black.jpg,1
18,No-Think,Neutral,Vivant,Org,209638,1,1025,kangaroo.png,People_138_h.jpg,1
19,Think,Neutral,Vivant,Org,213590,1,2382,skunk.png,Faces_276_h.jpg,1
20,No-Think,Emotion,Non vivant,NonOrg,218792,2,936,aceofdiamond.png,Objects_109_h.jpg,1
21,Baseline,Neutral,Vivant,Org,222643,1,999,caribou01.png,Black.jpg,1
22,Think,Emotion,Vivant,Org,226378,1,1419,stuffedpuffin.png,People_227_h.jpg,1
23,Baseline,Neutral,Vivant,NonOrg,230697,2,896,amphora.png,Black.jpg,1
24,Baseline,Neutral,Non vivant,Org,234598,1,963,lion.png,Black.jpg,1
25,Baseline,Emotion,Non vivant,NonOrg,238266,2,1471,toaster02.png,Black.jpg,1
26,Think,Emotion,Non vivant,NonOrg,242484,2,1201,scale01b.png,Objects_127_h.jpg,1
27,Baseline,Emotion,Vivant,Org,246453,1,808,saintbernard.png,Black.jpg,1
28,No-Think,Emotion,Non vivant,Org,250237,1,855,cow.png,Landscapes_026_h.jpg,1
29,Think,Emotion,Vivant,NonOrg,259941,1,1418,antenna.png,People_216_h.jpg,1
30,Think,Emotion,Non vivant,Org,264243,2,1201,swallow.png,Objects_144_h.jpg,1
31,No-Think,Emotion,Vivant,Org,268495,1,1309,sturgeon.png,Faces_366_h.jpg,1
32,Baseline,Emotion,Vivant,NonOrg,272530,2,1542,airhockeypaddle01a.png,Black.jpg,1
33,No-Think,Neutral,Non vivant,Org,276815,1,966,blackbear.png,Objects_085_h.jpg,1
34,Baseline,Neutral,Non vivant,NonOrg,280833,2,662,bikehelmet.png,Black.jpg,1
35,No-Think,Emotion,Non vivant,Org,284384,1,836,squirrel.png,Objects_157_h.jpg,1
36,No-Think,Neutral,Vivant,Org,288236,1,766,moose.png,Faces_224_h.jpg,1
37,No-Think,Emotion,Vivant,NonOrg,291970,2,955,binoculars01b.png,Animals_045_h.jpg,1
38,Think,Neutral,Vivant,Org,295822,1,2059,siamesecat.png,People_146_h.jpg,1
39,Baseline,Neutral,Vivant,NonOrg,300774,2,748,baseball01a.png,Black.jpg,1
40,No-Think,Emotion,Vivant,Org,304209,1,853,tiger02.png,People_202_h.jpg,1
41,Think,Neutral,Non vivant,Org,307943,2,983,raccoon.png,Objects_169_h.jpg,1
42,Baseline,Neutral,Non vivant,NonOrg,311628,2,1558,usbcable01b.png,Black.jpg,1
43,Think,Neutral,Non vivant,Org,316030,2,1257,killerwhale.png,Objects_214_h.jpg,1
44,Baseline,Neutral,Non vivant,Org,320332,1,824,hen.png,Black.jpg,1
45,No-Think,Emotion,Non vivant,NonOrg,324016,2,870,balloon01b.png,Landscapes_004_h.jpg,1
46,Baseline,Emotion,Non vivant,Org,327734,1,1200,toad.png,Black.jpg,1
47,Baseline,Emotion,Vivant,NonOrg,331753,2,1341,airhockeypaddle01a.png,Black.jpg,2
48,Think,Emotion,Non vivant,Org,335988,2,1419,sheep.png,Landscapes_139_h.jpg,2
49,Baseline,Neutral,Non vivant,Org,340089,1,702,lion.png,Black.jpg,2
50,Baseline,Neutral,Vivant,NonOrg,343641,2,678,baseball01a.png,Black.jpg,2
51,No-Think,Emotion,Vivant,Org,347075,1,794,tiger02.png,People_202_h.jpg,2
52,Baseline,Emotion,Vivant,Org,350510,1,673,tern.png,Black.jpg,2
53,Think,Neutral,Vivant,Org,353878,1,1299,siamesecat.png,People_146_h.jpg,2
54,No-Think,Neutral,Non vivant,Org,358046,1,566,blackbear.png,Objects_085_h.jpg,2
55,Baseline,Emotion,Non vivant,NonOrg,361548,2,600,scotchtape.png,Black.jpg,2
56,No-Think,Neutral,Vivant,NonOrg,364932,2,1422,alarmclock02b.png,People_048_h.jpg,2
57,Think,Emotion,Non vivant,NonOrg,369284,2,1716,dice02a.png,Landscapes_025_h.jpg,2
58,Think,Neutral,Non vivant,NonOrg,374003,2,988,bandage.png,Objects_204_h.jpg,2
59,Think,Neutral,Vivant,NonOrg,377954,1,839,backfloat.png,People_109_h.jpg,2
60,Think,Emotion,Vivant,Org,381555,1,1954,stuffedpuffin.png,People_227_h.jpg,2
61,Think,Emotion,Non vivant,NonOrg,386574,2,1318,scale01b.png,Objects_127_h.jpg,2
62,No-Think,Emotion,Vivant,NonOrg,390576,2,1670,toytractor01b.png,People_129_h.jpg,2
63,Baseline,Emotion,Non vivant,Org,395194,1,755,tortoise01.png,Black.jpg,2
64,Think,Emotion,Non vivant,Org,398712,2,1047,swallow.png,Objects_144_h.jpg,2
65,Baseline,Neutral,Vivant,NonOrg,402780,1,690,amphora.png,Black.jpg,2
66,No-Think,Neutral,Non vivant,NonOrg,406398,2,1421,alarmclock01.png,Landscapes_049_h.jpg,2
67,Think,Neutral,Vivant,Org,410817,1,1225,skunk.png,Faces_276_h.jpg,2
68,Think,Emotion,Vivant,Org,415019,1,1704,rockbass.png,People_240_h.jpg,2
69,No-Think,Neutral,Vivant,Org,419554,1,1295,kangaroo.png,People_138_h.jpg,2
70,Baseline,Neutral,Non vivant,NonOrg,423689,2,825,bikehelmet.png,Black.jpg,2
71,No-Think,Neutral,Vivant,Org,427540,1,769,moose.png,Faces_224_h.jpg,2
72,Baseline,Neutral,Non vivant,NonOrg,431141,2,609,usbcable01b.png,Black.jpg,2
73,No-Think,Neutral,Non vivant,NonOrg,434493,2,1078,armchair01.png,Objects_043_h.jpg,2
74,Think,Neutral,Non vivant,Org,438344,2,850,killerwhale.png,Objects_214_h.jpg,2
75,No-Think,Emotion,Vivant,NonOrg,442012,2,1478,binoculars01b.png,Animals_045_h.jpg,2
76,No-Think,Emotion,Vivant,Org,446497,1,1154,sturgeon.png,Faces_366_h.jpg,2
77,Baseline,Neutral,Vivant,Org,450299,1,601,caribou01.png,Black.jpg,2
78,Baseline,Emotion,Non vivant,NonOrg,453617,2,685,toaster02.png,Black.jpg,2
79,Baseline,Neutral,Non vivant,Org,457002,1,554,hen.png,Black.jpg,2
80,Think,Neutral,Vivant,NonOrg,460253,1,1250,bicycle.png,Faces_045_h.jpg,2
81,Think,Neutral,Non vivant,NonOrg,464204,2,935,banjo.png,Objects_099_h.jpg,2
82,Baseline,Emotion,Non vivant,Org,467889,1,575,toad.png,Black.jpg,2
83,No-Think,Neutral,Vivant,NonOrg,471174,2,1267,bib.png,Faces_044_h.jpg,2
84,Think,Neutral,Non vivant,Org,475359,2,986,raccoon.png,Objects_169_h.jpg,2
85,Think,Emotion,Vivant,NonOrg,479110,1,1242,antenna.png,People_216_h.jpg,2
86,No-Think,Emotion,Non vivant,Org,483178,1,756,cow.png,Landscapes_026_h.jpg,2
87,Baseline,Emotion,Vivant,NonOrg,486880,2,589,bassguitar.png,Black.jpg,2
88,No-Think,Neutral,Non vivant,Org,490315,1,785,dromedary.png,Landscapes_073_h.jpg,2
89,No-Think,Emotion,Non vivant,NonOrg,493799,2,620,balloon01b.png,Landscapes_004_h.jpg,2
90,Baseline,Emotion,Vivant,Org,497284,1,552,saintbernard.png,Black.jpg,2
91,No-Think,Emotion,Non vivant,NonOrg,500485,2,645,aceofdiamond.png,Objects_109_h.jpg,2
92,Baseline,Neutral,Vivant,Org,503787,1,827,beaver.png,Black.jpg,2
93,Think,Emotion,Vivant,NonOrg,507255,1,1713,beachpaddle01a.png,People_233_h.jpg,2
94,No-Think,Emotion,Non vivant,Org,511940,1,776,squirrel.png,Objects_157_h.jpg,2
95,No-Think,Emotion,Vivant,NonOrg,515524,2,1123,toytractor01b.png,People_129_h.jpg,3
96,Baseline,Emotion,Non vivant,NonOrg,533648,2,1457,toaster02.png,Black.jpg,3
97,Think,Neutral,Non vivant,NonOrg,537917,2,815,bandage.png,Objects_204_h.jpg,3
98,Baseline,Emotion,Non vivant,Org,541468,1,614,toad.png,Black.jpg,3
99,Baseline,Emotion,Vivant,Org,544953,1,742,tern.png,Black.jpg,3
100,Baseline,Emotion,Non vivant,Org,548637,1,570,tortoise01.png,Black.jpg,3
101,No-Think,Emotion,Vivant,Org,551889,1,874,tiger02.png,People_202_h.jpg,3
102,No-Think,Emotion,Non vivant,NonOrg,555774,2,563,balloon01b.png,Landscapes_004_h.jpg,3
103,Baseline,Neutral,Non vivant,NonOrg,559175,2,664,usbcable01b.png,Black.jpg,3
104,Think,Emotion,Vivant,Org,562693,1,1070,stuffedpuffin.png,People_227_h.jpg,3
105,Baseline,Neutral,Vivant,NonOrg,566811,2,867,amphora.png,Black.jpg,3
106,Baseline,Emotion,Vivant,Org,570596,1,593,saintbernard.png,Black.jpg,3
107,No-Think,Neutral,Non vivant,NonOrg,573897,2,964,alarmclock01.png,Landscapes_049_h.jpg,3
108,Baseline,Neutral,Non vivant,NonOrg,577749,2,762,bikehelmet.png,Black.jpg,3
109,Baseline,Neutral,Non vivant,Org,581183,1,483,hen.png,Black.jpg,3
110,No-Think,Neutral,Vivant,Org,584468,1,647,kangaroo.png,People_138_h.jpg,3
111,No-Think,Emotion,Vivant,NonOrg,587836,2,864,binoculars01b.png,Animals_045_h.jpg,3
112,Think,Neutral,Vivant,Org,591371,1,1020,skunk.png,Faces_276_h.jpg,3
113,No-Think,Neutral,Vivant,NonOrg,595222,2,1417,alarmclock02b.png,People_048_h.jpg,3
114,No-Think,Neutral,Non vivant,NonOrg,599457,2,1021,armchair01.png,Objects_043_h.jpg,3
115,Think,Neutral,Vivant,NonOrg,603209,1,1039,backfloat.png,People_109_h.jpg,3
116,Think,Emotion,Non vivant,NonOrg,607060,2,1698,dice02a.png,Landscapes_025_h.jpg,3
117,No-Think,Neutral,Vivant,Org,611595,1,951,moose.png,Faces_224_h.jpg,3
118,No-Think,Emotion,Non vivant,Org,615530,1,792,squirrel.png,Objects_157_h.jpg,3
119,No-Think,Neutral,Non vivant,Org,619382,1,746,dromedary.png,Landscapes_073_h.jpg,3
120,Think,Neutral,Non vivant,Org,622933,2,1054,raccoon.png,Objects_169_h.jpg,3
121,No-Think,Emotion,Non vivant,Org,626651,1,875,cow.png,Landscapes_026_h.jpg,3
122,Think,Emotion,Vivant,Org,630303,1,1370,rockbass.png,People_240_h.jpg,3
123,Think,Emotion,Vivant,NonOrg,634521,1,1129,antenna.png,People_216_h.jpg,3
124,Baseline,Emotion,Vivant,NonOrg,638639,2,1096,airhockeypaddle01a.png,Black.jpg,3
125,Baseline,Emotion,Vivant,NonOrg,642441,2,741,bassguitar.png,Black.jpg,3
126,Think,Neutral,Non vivant,Org,646126,2,1327,killerwhale.png,Objects_214_h.jpg,3
127,Think,Neutral,Vivant,Org,650344,1,1003,siamesecat.png,People_146_h.jpg,3
128,No-Think,Emotion,Vivant,Org,654012,1,1079,sturgeon.png,Faces_366_h.jpg,3
129,Baseline,Neutral,Vivant,NonOrg,657930,2,1268,baseball01a.png,Black.jpg,3
130,Think,Neutral,Non vivant,NonOrg,662182,2,1035,banjo.png,Objects_099_h.jpg,3
131,Baseline,Emotion,Non vivant,NonOrg,666150,2,734,scotchtape.png,Black.jpg,3
132,Think,Emotion,Non vivant,NonOrg,669551,2,994,scale01b.png,Objects_127_h.jpg,3
133,Baseline,Neutral,Vivant,Org,673436,1,680,caribou01.png,Black.jpg,3
134,Baseline,Neutral,Non vivant,Org,676938,1,417,lion.png,Black.jpg,3
135,No-Think,Neutral,Non vivant,Org,680406,1,628,blackbear.png,Objects_085_h.jpg,3
136,Think,Emotion,Vivant,NonOrg,684024,1,1858,beachpaddle01a.png,People_233_h.jpg,3
137,No-Think,Neutral,Vivant,NonOrg,688926,2,1113,bib.png,Faces_044_h.jpg,3
138,Think,Emotion,Non vivant,Org,693044,2,1318,swallow.png,Objects_144_h.jpg,3
139,Think,Emotion,Non vivant,Org,697329,2,1272,sheep.png,Landscapes_139_h.jpg,3
140,Baseline,Neutral,Vivant,Org,701547,1,650,beaver.png,Black.jpg,3
141,No-Think,Emotion,Non vivant,NonOrg,705199,2,798,aceofdiamond.png,Objects_109_h.jpg,3
142,Think,Neutral,Vivant,NonOrg,708917,1,1009,bicycle.png,Faces_045_h.jpg,3
143,No-Think,Emotion,Vivant,Org,712885,1,653,sturgeon.png,Faces_366_h.jpg,4
144,No-Think,Neutral,Vivant,NonOrg,716386,2,1104,alarmclock02b.png,People_048_h.jpg,4
145,Think,Neutral,Non vivant,Org,720304,2,1272,killerwhale.png,Objects_214_h.jpg,4
146,No-Think,Emotion,Vivant,Org,724590,1,676,tiger02.png,People_202_h.jpg,4
147,No-Think,Emotion,Non vivant,NonOrg,728058,2,849,balloon01b.png,Landscapes_004_h.jpg,4
148,No-Think,Emotion,Non vivant,Org,731859,1,647,cow.png,Landscapes_026_h.jpg,4
149,No-Think,Neutral,Non vivant,Org,735494,1,607,blackbear.png,Objects_085_h.jpg,4
