,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Baseline,Neutral,Non vivant,NonOrg,101321,2,2738,banjo.png,Black.jpg,1
1,No-Think,Neutral,Non vivant,NonOrg,112742,2,2323,usbcable01b.png,Landscapes_048_h.jpg,1
2,Baseline,Emotion,Vivant,NonOrg,117778,2,2199,beachpaddle01a.png,Black.jpg,1
3,Baseline,Neutral,Non vivant,Org,122846,1,2614,killerwhale.png,Black.jpg,1
4,No-Think,Emotion,Non vivant,NonOrg,128499,2,2418,toaster02.png,Objects_151_h.jpg,1
5,Baseline,Emotion,Non vivant,NonOrg,133751,2,1778,dice02a.png,Black.jpg,1
6,No-Think,Emotion,Vivant,NonOrg,138319,2,2715,bassguitar.png,People_208_h.jpg,1
7,No-Think,Neutral,Vivant,NonOrg,156360,2,2788,amphora.png,People_105_h.jpg,1
8,Think,Neutral,Vivant,NonOrg,162262,1,1700,bib.png,Faces_044_h.jpg,1
9,No-Think,Emotion,Non vivant,NonOrg,166747,2,2860,scotchtape.png,Landscapes_007_h.jpg,1
10,No-Think,Emotion,Non vivant,Org,172432,1,1812,tortoise01.png,Objects_233_h.jpg,1
11,Baseline,Emotion,Non vivant,NonOrg,177051,2,1607,scale01b.png,Black.jpg,1
12,Think,Neutral,Vivant,NonOrg,181569,1,1492,alarmclock02b.png,People_048_h.jpg,1
13,Think,Neutral,Vivant,Org,185954,1,1842,kangaroo.png,People_138_h.jpg,1
14,Think,Neutral,Non vivant,Org,190823,2,1729,dromedary.png,Landscapes_073_h.jpg,1
15,No-Think,Neutral,Non vivant,Org,195325,1,2829,hen.png,Objects_082_h.jpg,1
16,Baseline,Emotion,Vivant,NonOrg,201194,2,1098,antenna.png,Black.jpg,1
17,No-Think,Neutral,Vivant,NonOrg,205312,2,1844,baseball01a.png,Faces_024_h.jpg,1
18,No-Think,Emotion,Vivant,Org,209880,1,2932,saintbernard.png,People_222_h.jpg,1
19,No-Think,Neutral,Vivant,Org,215583,1,1665,caribou01.png,Faces_308_h.jpg,1
20,No-Think,Neutral,Non vivant,NonOrg,220251,2,2212,bikehelmet.png,Landscapes_034_h.jpg,1
21,Think,Emotion,Vivant,Org,225353,1,2637,tiger02.png,People_202_h.jpg,1
22,Baseline,Neutral,Vivant,NonOrg,230755,2,1050,bicycle.png,Black.jpg,1
23,Think,Neutral,Non vivant,Org,234640,2,1631,blackbear.png,Objects_085_h.jpg,1
24,Baseline,Neutral,Vivant,NonOrg,239275,2,954,backfloat.png,Black.jpg,1
25,Think,Neutral,Non vivant,NonOrg,243193,2,2271,alarmclock01.png,Landscapes_049_h.jpg,1
26,Think,Emotion,Non vivant,Org,248179,2,1789,squirrel.png,Objects_157_h.jpg,1
27,Baseline,Neutral,Non vivant,Org,252864,2,789,raccoon.png,Black.jpg,1
28,No-Think,Emotion,Non vivant,Org,256615,1,2414,toad.png,Objects_138_h.jpg,1
29,Think,Neutral,Vivant,Org,262001,1,1890,moose.png,Faces_224_h.jpg,1
30,Baseline,Neutral,Vivant,Org,266603,1,1060,siamesecat.png,Black.jpg,1
31,Think,Emotion,Vivant,NonOrg,270637,1,1637,toytractor01b.png,People_129_h.jpg,1
32,No-Think,Emotion,Vivant,NonOrg,280858,2,2341,airhockeypaddle01a.png,Animals_032_h.jpg,1
33,Baseline,Emotion,Non vivant,Org,292096,1,1168,sheep.png,Black.jpg,1
34,Baseline,Emotion,Non vivant,Org,295964,1,1743,swallow.png,Black.jpg,1
35,Think,Emotion,Vivant,NonOrg,300699,1,2364,binoculars01b.png,Animals_045_h.jpg,1
36,Baseline,Emotion,Vivant,Org,305885,1,1406,rockbass.png,Black.jpg,1
37,Baseline,Emotion,Vivant,Org,309969,1,1066,stuffedpuffin.png,Black.jpg,1
38,Baseline,Neutral,Non vivant,NonOrg,326226,2,2124,bandage.png,Black.jpg,1
39,Baseline,Neutral,Vivant,Org,331294,1,1322,skunk.png,Black.jpg,1
40,No-Think,Neutral,Vivant,Org,335563,1,1379,beaver.png,People_155_h.jpg,1
41,Baseline,Emotion,Vivant,NonOrg,339798,2,1147,beachpaddle01a.png,Black.jpg,2
42,Think,Neutral,Non vivant,Org,343716,2,1874,blackbear.png,Objects_085_h.jpg,2
43,No-Think,Neutral,Non vivant,Org,348334,1,2051,hen.png,Objects_082_h.jpg,2
44,No-Think,Neutral,Vivant,NonOrg,353403,2,2478,baseball01a.png,Faces_024_h.jpg,2
45,No-Think,Neutral,Non vivant,NonOrg,358855,2,2256,bikehelmet.png,Landscapes_034_h.jpg,2
46,Baseline,Emotion,Non vivant,Org,364091,1,2491,sheep.png,Black.jpg,2
47,Think,Neutral,Non vivant,NonOrg,369476,2,2292,armchair01.png,Objects_043_h.jpg,2
48,Baseline,Emotion,Non vivant,NonOrg,374561,2,868,dice02a.png,Black.jpg,2
49,No-Think,Emotion,Non vivant,NonOrg,378146,2,1403,toaster02.png,Objects_151_h.jpg,2
