,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Non vivant,NonOrg,71960,2,1279,alarmclock01.png,Landscapes_049_h.jpg,1
1,Baseline,Neutral,Vivant,NonOrg,76211,2,1154,amphora.png,Black.jpg,1
2,Baseline,Neutral,Non vivant,NonOrg,80396,2,1130,usbcable01b.png,Black.jpg,1
3,No-Think,Emotion,Non vivant,NonOrg,84465,2,746,scale01b.png,Objects_127_h.jpg,1
4,Think,Emotion,Vivant,NonOrg,88166,1,2405,binoculars01b.png,Animals_045_h.jpg,1
5,Baseline,Neutral,Vivant,NonOrg,93435,2,871,baseball01a.png,Black.jpg,1
6,No-Think,Emotion,Vivant,NonOrg,97186,1,1785,beachpaddle01a.png,People_233_h.jpg,1
7,Baseline,Emotion,Non vivant,Org,101671,1,863,toad.png,Black.jpg,1
8,Baseline,Neutral,Non vivant,Org,105473,1,752,hen.png,Black.jpg,1
9,Think,Neutral,Non vivant,NonOrg,108941,2,1759,armchair01.png,Objects_043_h.jpg,1
10,Think,Neutral,Vivant,NonOrg,113676,2,1348,alarmclock02b.png,People_048_h.jpg,1
11,Think,Emotion,Vivant,NonOrg,118011,1,1859,toytractor01b.png,People_129_h.jpg,1
12,No-Think,Neutral,Non vivant,Org,122863,1,1346,killerwhale.png,Objects_214_h.jpg,1
13,Think,Neutral,Vivant,Org,127165,1,1608,moose.png,Faces_224_h.jpg,1
14,Think,Emotion,Non vivant,Org,131816,2,1603,squirrel.png,Objects_157_h.jpg,1
15,No-Think,Neutral,Vivant,NonOrg,136135,2,1533,bicycle.png,Faces_045_h.jpg,1
16,Baseline,Emotion,Non vivant,NonOrg,140603,2,574,scotchtape.png,Black.jpg,1
17,Baseline,Neutral,Non vivant,NonOrg,143971,2,501,bikehelmet.png,Black.jpg,1
18,Think,Neutral,Non vivant,Org,147456,2,1608,blackbear.png,Objects_085_h.jpg,1
19,Think,Emotion,Non vivant,NonOrg,152041,2,1895,aceofdiamond.png,Objects_109_h.jpg,1
20,Baseline,Emotion,Vivant,NonOrg,156660,2,740,bassguitar.png,Black.jpg,1
21,Baseline,Emotion,Vivant,Org,160394,1,930,tern.png,Black.jpg,1
22,No-Think,Neutral,Vivant,Org,164196,1,1076,skunk.png,Faces_276_h.jpg,1
23,Baseline,Neutral,Vivant,Org,168247,1,653,caribou01.png,Black.jpg,1
24,No-Think,Neutral,Non vivant,NonOrg,171632,2,831,banjo.png,Objects_099_h.jpg,1
25,Baseline,Neutral,Non vivant,Org,175150,1,523,lion.png,Black.jpg,1
26,Think,Emotion,Non vivant,NonOrg,178752,2,1469,balloon01b.png,Landscapes_004_h.jpg,1
27,No-Think,Emotion,Non vivant,NonOrg,182987,2,1237,dice02a.png,Landscapes_025_h.jpg,1
28,Think,Emotion,Vivant,Org,187121,1,1323,tiger02.png,People_202_h.jpg,1
29,Baseline,Emotion,Non vivant,NonOrg,191273,2,565,toaster02.png,Black.jpg,1
30,No-Think,Neutral,Non vivant,Org,194774,1,955,raccoon.png,Objects_169_h.jpg,1
31,Think,Neutral,Vivant,NonOrg,198409,1,1353,bib.png,Faces_044_h.jpg,1
32,No-Think,Emotion,Non vivant,Org,202744,1,1073,swallow.png,Objects_144_h.jpg,1
33,Baseline,Neutral,Vivant,Org,206646,1,940,beaver.png,Black.jpg,1
34,No-Think,Neutral,Vivant,Org,210264,1,852,siamesecat.png,People_146_h.jpg,1
35,Think,Emotion,Non vivant,Org,213832,1,574,cow.png,Landscapes_026_h.jpg,1
36,Think,Emotion,Vivant,Org,217317,1,1713,sturgeon.png,Faces_366_h.jpg,1
37,Baseline,Emotion,Non vivant,Org,221985,1,1079,tortoise01.png,Black.jpg,1
38,No-Think,Emotion,Vivant,Org,226070,1,808,stuffedpuffin.png,People_227_h.jpg,1
39,No-Think,Emotion,Vivant,Org,229705,1,1524,rockbass.png,People_240_h.jpg,1
40,No-Think,Neutral,Vivant,NonOrg,234273,2,1689,backfloat.png,People_109_h.jpg,1
41,Baseline,Emotion,Vivant,NonOrg,238775,2,1150,airhockeypaddle01a.png,Black.jpg,1
42,Think,Neutral,Vivant,Org,242877,1,1255,kangaroo.png,People_138_h.jpg,1
43,Think,Neutral,Non vivant,Org,246978,1,1304,dromedary.png,Landscapes_073_h.jpg,1
44,No-Think,Emotion,Non vivant,Org,251297,2,1059,sheep.png,Landscapes_139_h.jpg,1
45,No-Think,Emotion,Vivant,NonOrg,255265,2,1608,antenna.png,People_216_h.jpg,1
46,No-Think,Neutral,Non vivant,NonOrg,259566,2,995,bandage.png,Objects_204_h.jpg,1
47,Think,Emotion,Vivant,NonOrg,263535,1,1598,toytractor01b.png,People_129_h.jpg,2
48,Think,Emotion,Vivant,Org,268103,1,1206,tiger02.png,People_202_h.jpg,2
49,No-Think,Neutral,Non vivant,Org,272205,1,1491,killerwhale.png,Objects_214_h.jpg,2
50,Baseline,Emotion,Vivant,Org,276590,1,618,tern.png,Black.jpg,2
51,Baseline,Neutral,Vivant,NonOrg,279958,2,410,baseball01a.png,Black.jpg,2
52,Baseline,Emotion,Non vivant,Org,283059,1,644,toad.png,Black.jpg,2
53,No-Think,Emotion,Vivant,NonOrg,289862,2,1559,antenna.png,People_216_h.jpg,2
54,No-Think,Neutral,Non vivant,NonOrg,297465,2,648,banjo.png,Objects_099_h.jpg,2
55,Baseline,Neutral,Non vivant,Org,301066,1,730,lion.png,Black.jpg,2
56,Baseline,Neutral,Non vivant,NonOrg,304467,2,549,bikehelmet.png,Black.jpg,2
57,No-Think,Emotion,Non vivant,NonOrg,307702,2,914,scale01b.png,Objects_127_h.jpg,2
58,No-Think,Neutral,Non vivant,Org,311603,1,626,raccoon.png,Objects_169_h.jpg,2
59,No-Think,Neutral,Vivant,NonOrg,315055,2,455,backfloat.png,People_109_h.jpg,2
60,Baseline,Emotion,Non vivant,NonOrg,318323,2,659,toaster02.png,Black.jpg,2
61,Think,Emotion,Non vivant,Org,321691,2,1454,squirrel.png,Objects_157_h.jpg,2
62,Think,Neutral,Non vivant,Org,329060,2,768,blackbear.png,Objects_085_h.jpg,2
63,No-Think,Neutral,Vivant,Org,332845,1,958,skunk.png,Faces_276_h.jpg,2
64,Baseline,Neutral,Vivant,NonOrg,336513,2,908,amphora.png,Black.jpg,2
65,Baseline,Emotion,Vivant,Org,340331,1,924,saintbernard.png,Black.jpg,2
66,Think,Emotion,Non vivant,NonOrg,344216,2,1802,balloon01b.png,Landscapes_004_h.jpg,2
67,Think,Neutral,Vivant,Org,348785,1,1252,kangaroo.png,People_138_h.jpg,2
68,No-Think,Emotion,Non vivant,Org,352753,1,2071,sheep.png,Landscapes_139_h.jpg,2
69,Baseline,Neutral,Vivant,Org,357821,1,459,beaver.png,Black.jpg,2
70,Think,Neutral,Vivant,NonOrg,361056,1,1711,alarmclock02b.png,People_048_h.jpg,2
71,No-Think,Neutral,Vivant,Org,365624,1,925,siamesecat.png,People_146_h.jpg,2
72,No-Think,Neutral,Vivant,NonOrg,369476,2,1191,bicycle.png,Faces_045_h.jpg,2
73,Think,Neutral,Vivant,NonOrg,373294,1,1205,bib.png,Faces_044_h.jpg,2
74,Think,Emotion,Non vivant,NonOrg,377262,2,2129,aceofdiamond.png,Objects_109_h.jpg,2
75,No-Think,Emotion,Non vivant,Org,382148,1,1135,swallow.png,Objects_144_h.jpg,2
76,Think,Neutral,Vivant,Org,386282,1,1152,moose.png,Faces_224_h.jpg,2
77,Baseline,Neutral,Vivant,Org,390301,1,563,caribou01.png,Black.jpg,2
78,No-Think,Emotion,Non vivant,NonOrg,393635,2,987,dice02a.png,Landscapes_025_h.jpg,2
79,Baseline,Emotion,Non vivant,Org,397287,1,931,tortoise01.png,Black.jpg,2
80,Think,Emotion,Vivant,Org,401005,1,1048,sturgeon.png,Faces_366_h.jpg,2
81,Think,Neutral,Non vivant,NonOrg,404723,2,1192,armchair01.png,Objects_043_h.jpg,2
82,Baseline,Emotion,Vivant,NonOrg,408725,2,740,bassguitar.png,Black.jpg,2
83,Think,Emotion,Vivant,NonOrg,412259,1,1655,binoculars01b.png,Animals_045_h.jpg,2
84,No-Think,Neutral,Non vivant,NonOrg,416644,2,564,bandage.png,Objects_204_h.jpg,2
85,Think,Neutral,Non vivant,Org,420079,1,1439,dromedary.png,Landscapes_073_h.jpg,2
86,Think,Neutral,Non vivant,NonOrg,424264,2,1308,alarmclock01.png,Landscapes_049_h.jpg,2
87,No-Think,Emotion,Vivant,Org,428249,1,2205,rockbass.png,People_240_h.jpg,2
88,No-Think,Emotion,Vivant,NonOrg,433384,1,1036,beachpaddle01a.png,People_233_h.jpg,2
89,No-Think,Emotion,Vivant,Org,437302,1,1300,stuffedpuffin.png,People_227_h.jpg,2
90,Baseline,Neutral,Non vivant,Org,441421,1,1646,hen.png,Black.jpg,2
91,Think,Emotion,Non vivant,Org,446089,1,1538,cow.png,Landscapes_026_h.jpg,2
92,Baseline,Neutral,Non vivant,NonOrg,450641,2,1103,usbcable01b.png,Black.jpg,3
93,Think,Emotion,Non vivant,NonOrg,479119,2,985,balloon01b.png,Landscapes_004_h.jpg,3
94,No-Think,Emotion,Vivant,NonOrg,483120,2,1373,antenna.png,People_216_h.jpg,3
95,Think,Emotion,Non vivant,Org,487189,2,1245,cow.png,Landscapes_026_h.jpg,3
96,Baseline,Emotion,Non vivant,Org,491207,1,1061,tortoise01.png,Black.jpg,3
97,Baseline,Emotion,Vivant,NonOrg,495192,2,467,bassguitar.png,Black.jpg,3
98,Baseline,Emotion,Vivant,Org,501778,1,468,tern.png,Black.jpg,3
99,Baseline,Emotion,Vivant,NonOrg,508397,2,540,airhockeypaddle01a.png,Black.jpg,3
100,Baseline,Neutral,Non vivant,Org,511681,1,546,lion.png,Black.jpg,3
101,No-Think,Emotion,Vivant,Org,515033,1,1058,stuffedpuffin.png,People_227_h.jpg,3
102,Think,Neutral,Non vivant,Org,519134,2,745,blackbear.png,Objects_085_h.jpg,3
103,Baseline,Emotion,Non vivant,Org,522586,1,884,toad.png,Black.jpg,3
104,Think,Neutral,Vivant,NonOrg,526237,1,889,bib.png,Faces_044_h.jpg,3
105,Think,Emotion,Vivant,NonOrg,530155,2,1337,binoculars01b.png,Animals_045_h.jpg,3
106,Baseline,Neutral,Vivant,NonOrg,534224,2,1120,baseball01a.png,Black.jpg,3
107,No-Think,Neutral,Vivant,NonOrg,538242,2,541,backfloat.png,People_109_h.jpg,3
108,Baseline,Emotion,Non vivant,NonOrg,541543,2,510,scotchtape.png,Black.jpg,3
109,Think,Neutral,Vivant,NonOrg,544828,1,761,alarmclock02b.png,People_048_h.jpg,3
110,Think,Neutral,Non vivant,NonOrg,548479,2,863,armchair01.png,Objects_043_h.jpg,3
111,Baseline,Neutral,Vivant,NonOrg,552114,2,489,amphora.png,Black.jpg,3
112,Think,Emotion,Vivant,NonOrg,555515,1,994,toytractor01b.png,People_129_h.jpg,3
113,No-Think,Emotion,Vivant,Org,559183,1,540,rockbass.png,People_240_h.jpg,3
114,Think,Emotion,Vivant,Org,562651,1,482,sturgeon.png,Faces_366_h.jpg,3
115,Think,Neutral,Vivant,Org,565869,1,484,kangaroo.png,People_138_h.jpg,3
116,No-Think,Neutral,Vivant,Org,569104,1,489,siamesecat.png,People_146_h.jpg,3
117,No-Think,Neutral,Non vivant,Org,572539,1,471,raccoon.png,Objects_169_h.jpg,3
118,No-Think,Emotion,Non vivant,NonOrg,575857,2,1339,dice02a.png,Landscapes_025_h.jpg,3
119,Think,Neutral,Non vivant,NonOrg,579908,2,784,alarmclock01.png,Landscapes_049_h.jpg,3
120,No-Think,Emotion,Vivant,NonOrg,583543,2,1299,beachpaddle01a.png,People_233_h.jpg,3
121,No-Think,Emotion,Non vivant,Org,587561,1,533,swallow.png,Objects_144_h.jpg,3
122,Baseline,Neutral,Vivant,Org,590812,1,527,caribou01.png,Black.jpg,3
123,Think,Emotion,Non vivant,Org,594080,2,956,squirrel.png,Objects_157_h.jpg,3
124,No-Think,Emotion,Non vivant,NonOrg,598015,2,639,scale01b.png,Objects_127_h.jpg,3
125,Think,Neutral,Non vivant,Org,601567,2,1764,dromedary.png,Landscapes_073_h.jpg,3
126,No-Think,Neutral,Non vivant,NonOrg,605968,2,993,banjo.png,Objects_099_h.jpg,3
127,Think,Neutral,Vivant,Org,609953,1,832,moose.png,Faces_224_h.jpg,3
128,No-Think,Neutral,Vivant,Org,613605,1,1503,skunk.png,Faces_276_h.jpg,3
129,Baseline,Neutral,Vivant,Org,617923,1,823,beaver.png,Black.jpg,3
130,No-Think,Neutral,Vivant,NonOrg,621674,1,852,bicycle.png,Faces_045_h.jpg,3
131,No-Think,Neutral,Non vivant,NonOrg,625242,2,793,bandage.png,Objects_204_h.jpg,3
