,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Baseline,Emotion,Non vivant,NonOrg,352591,2,1753,scale01b.png,Black.jpg,1
1,Baseline,Neutral,Non vivant,Org,357110,1,793,raccoon.png,Black.jpg,1
2,Baseline,Emotion,Vivant,NonOrg,360561,2,990,beachpaddle01a.png,Black.jpg,1
3,Baseline,Emotion,Non vivant,Org,364412,1,641,sheep.png,Black.jpg,1
4,Think,Emotion,Non vivant,Org,367747,2,965,toad.png,Objects_138_h.jpg,1
5,Baseline,Neutral,Vivant,NonOrg,371715,2,1297,backfloat.png,Black.jpg,1
6,Baseline,Neutral,Non vivant,NonOrg,375700,2,1000,banjo.png,Black.jpg,1
7,Baseline,Neutral,Vivant,NonOrg,379685,2,1124,bicycle.png,Black.jpg,1
8,Think,Emotion,Non vivant,NonOrg,383570,2,912,toaster02.png,Objects_151_h.jpg,1
9,No-Think,Emotion,Non vivant,NonOrg,387188,2,2985,aceofdiamond.png,Objects_109_h.jpg,1
10,Baseline,Emotion,Vivant,Org,393190,1,1674,stuffedpuffin.png,Black.jpg,1
11,Think,Emotion,Vivant,Org,397775,1,1439,tern.png,People_198_h.jpg,1
12,No-Think,Neutral,Non vivant,Org,402144,2,1062,blackbear.png,Objects_085_h.jpg,1
13,Think,Neutral,Non vivant,NonOrg,406245,2,2722,bikehelmet.png,Landscapes_034_h.jpg,1
14,No-Think,Emotion,Vivant,Org,412064,1,2428,sturgeon.png,Faces_366_h.jpg,1
15,No-Think,Neutral,Vivant,Org,417533,1,1222,moose.png,Faces_224_h.jpg,1
16,Think,Neutral,Non vivant,Org,421701,2,1880,lion.png,Landscapes_038_h.jpg,1
17,Think,Neutral,Vivant,Org,426387,1,2132,caribou01.png,Faces_308_h.jpg,1
18,Think,Neutral,Non vivant,NonOrg,431522,2,1009,usbcable01b.png,Landscapes_048_h.jpg,1
19,No-Think,Neutral,Non vivant,NonOrg,435607,2,708,alarmclock01.png,Landscapes_049_h.jpg,1
20,Baseline,Emotion,Vivant,Org,439108,1,959,rockbass.png,Black.jpg,1
21,No-Think,Neutral,Non vivant,NonOrg,442926,2,1281,armchair01.png,Objects_043_h.jpg,1
22,Baseline,Emotion,Vivant,NonOrg,447278,2,785,antenna.png,Black.jpg,1
