,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Vivant,NonOrg,123761,1,2158,backfloat.png,People_109_h.jpg,1
1,No-Think,Neutral,Vivant,Org,128779,1,1441,beaver.png,People_155_h.jpg,1
2,Think,Neutral,Non vivant,Org,133298,2,1614,raccoon.png,Objects_169_h.jpg,1
3,Baseline,Neutral,Non vivant,Org,137866,1,909,dromedary.png,Black.jpg,1
4,Baseline,Neutral,Vivant,Org,141501,1,818,kangaroo.png,Black.jpg,1
5,Baseline,Emotion,Non vivant,Org,145269,1,646,squirrel.png,Black.jpg,1
6,Baseline,Neutral,Vivant,NonOrg,148704,2,1213,bib.png,Black.jpg,1
7,Baseline,Emotion,Vivant,Org,152672,1,587,sturgeon.png,Black.jpg,1
8,No-Think,Emotion,Vivant,Org,156290,1,1399,tern.png,People_198_h.jpg,1
9,No-Think,Neutral,Non vivant,Org,160642,1,735,lion.png,Landscapes_038_h.jpg,1
10,Baseline,Neutral,Vivant,Org,164076,1,517,moose.png,Black.jpg,1
11,Baseline,Neutral,Non vivant,NonOrg,167578,2,592,armchair01.png,Black.jpg,1
12,Think,Neutral,Vivant,Org,170996,1,1697,skunk.png,Faces_276_h.jpg,1
13,No-Think,Emotion,Non vivant,Org,175464,1,954,toad.png,Objects_138_h.jpg,1
14,Think,Emotion,Non vivant,Org,179399,2,1489,sheep.png,Landscapes_139_h.jpg,1
15,Think,Emotion,Vivant,NonOrg,183801,1,2693,beachpaddle01a.png,People_233_h.jpg,1
16,Think,Emotion,Vivant,Org,189453,1,1931,rockbass.png,People_240_h.jpg,1
17,Baseline,Emotion,Non vivant,NonOrg,194138,2,1042,aceofdiamond.png,Black.jpg,1
18,No-Think,Emotion,Vivant,NonOrg,198040,2,1693,airhockeypaddle01a.png,Animals_032_h.jpg,1
19,Think,Emotion,Vivant,Org,202541,1,1429,stuffedpuffin.png,People_227_h.jpg,1
20,Think,Emotion,Non vivant,NonOrg,206743,2,1600,scale01b.png,Objects_127_h.jpg,1
21,Baseline,Emotion,Non vivant,Org,211178,1,798,cow.png,Black.jpg,1
22,No-Think,Emotion,Non vivant,Org,214796,1,1171,tortoise01.png,Objects_233_h.jpg,1
23,Think,Emotion,Non vivant,Org,218814,2,1127,swallow.png,Objects_144_h.jpg,1
24,Think,Neutral,Vivant,NonOrg,222733,1,1619,bicycle.png,Faces_045_h.jpg,1
25,No-Think,Neutral,Vivant,NonOrg,227101,2,2068,amphora.png,People_105_h.jpg,1
26,Baseline,Emotion,Non vivant,NonOrg,232186,2,1060,balloon01b.png,Black.jpg,1
27,Baseline,Neutral,Vivant,NonOrg,235988,2,685,alarmclock02b.png,Black.jpg,1
28,No-Think,Neutral,Vivant,Org,239522,1,1276,caribou01.png,Faces_308_h.jpg,1
29,No-Think,Emotion,Non vivant,NonOrg,243841,2,1292,scotchtape.png,Landscapes_007_h.jpg,1
30,No-Think,Neutral,Non vivant,Org,247826,1,1018,hen.png,Objects_082_h.jpg,1
31,Baseline,Neutral,Non vivant,NonOrg,251744,2,841,alarmclock01.png,Black.jpg,1
32,Think,Neutral,Vivant,Org,255412,1,970,siamesecat.png,People_146_h.jpg,1
33,Think,Neutral,Non vivant,Org,259430,2,1860,killerwhale.png,Objects_214_h.jpg,1
34,No-Think,Emotion,Vivant,NonOrg,264199,2,1301,bassguitar.png,People_208_h.jpg,1
35,Baseline,Neutral,Non vivant,Org,268484,1,1154,blackbear.png,Black.jpg,1
36,Think,Neutral,Non vivant,NonOrg,272369,2,1115,bandage.png,Objects_204_h.jpg,1
37,No-Think,Neutral,Vivant,NonOrg,276203,2,1813,baseball01a.png,Faces_024_h.jpg,1
38,Think,Emotion,Non vivant,NonOrg,280872,2,1648,dice02a.png,Landscapes_025_h.jpg,1
39,No-Think,Neutral,Non vivant,NonOrg,285290,2,1420,bikehelmet.png,Landscapes_034_h.jpg,1
40,No-Think,Neutral,Non vivant,NonOrg,289575,2,1197,usbcable01b.png,Landscapes_048_h.jpg,1
41,Think,Emotion,Vivant,NonOrg,293744,1,2080,antenna.png,People_216_h.jpg,1
42,Baseline,Emotion,Vivant,NonOrg,298879,2,1069,toytractor01b.png,Black.jpg,1
43,Think,Neutral,Non vivant,NonOrg,302847,2,1442,banjo.png,Objects_099_h.jpg,1
44,Baseline,Emotion,Vivant,Org,307316,1,789,tiger02.png,Black.jpg,1
45,No-Think,Emotion,Non vivant,NonOrg,311117,2,1204,toaster02.png,Objects_151_h.jpg,1
46,No-Think,Emotion,Vivant,Org,315135,1,970,saintbernard.png,People_222_h.jpg,1
47,Baseline,Emotion,Vivant,NonOrg,319087,2,1122,binoculars01b.png,Black.jpg,1
48,No-Think,Emotion,Vivant,Org,322955,1,1608,tern.png,People_198_h.jpg,2
49,Think,Neutral,Non vivant,NonOrg,327423,2,1294,bandage.png,Objects_204_h.jpg,2
50,Think,Emotion,Non vivant,Org,331675,2,1977,sheep.png,Landscapes_139_h.jpg,2
51,Baseline,Neutral,Vivant,NonOrg,336343,2,804,alarmclock02b.png,Black.jpg,2
52,Think,Neutral,Non vivant,Org,340062,2,1427,killerwhale.png,Objects_214_h.jpg,2
53,Baseline,Neutral,Non vivant,NonOrg,344480,2,856,armchair01.png,Black.jpg,2
54,Baseline,Neutral,Non vivant,Org,348331,1,835,blackbear.png,Black.jpg,2
55,Think,Neutral,Vivant,Org,352133,1,1734,skunk.png,Faces_276_h.jpg,2
56,Think,Neutral,Vivant,NonOrg,356868,1,2063,backfloat.png,People_109_h.jpg,2
57,No-Think,Neutral,Vivant,NonOrg,361953,2,2429,baseball01a.png,Faces_024_h.jpg,2
58,Baseline,Emotion,Vivant,NonOrg,367256,2,792,toytractor01b.png,Black.jpg,2
59,No-Think,Emotion,Non vivant,Org,370774,1,2311,tortoise01.png,Objects_233_h.jpg,2
60,Baseline,Emotion,Non vivant,Org,376126,1,1078,cow.png,Black.jpg,2
61,Baseline,Emotion,Vivant,Org,379910,1,732,sturgeon.png,Black.jpg,2
62,Think,Emotion,Non vivant,Org,383612,2,1420,swallow.png,Objects_144_h.jpg,2
63,No-Think,Emotion,Non vivant,NonOrg,387964,2,1439,toaster02.png,Objects_151_h.jpg,2
64,No-Think,Neutral,Non vivant,Org,392132,1,1512,hen.png,Objects_082_h.jpg,2
65,Think,Emotion,Vivant,Org,396517,1,2240,rockbass.png,People_240_h.jpg,2
66,No-Think,Emotion,Non vivant,NonOrg,401752,2,1118,scotchtape.png,Landscapes_007_h.jpg,2
67,Think,Neutral,Vivant,Org,405887,1,2493,siamesecat.png,People_146_h.jpg,2
68,No-Think,Neutral,Non vivant,NonOrg,411256,2,1008,usbcable01b.png,Landscapes_048_h.jpg,2
69,No-Think,Emotion,Vivant,NonOrg,414974,2,1438,bassguitar.png,People_208_h.jpg,2
70,Baseline,Neutral,Non vivant,NonOrg,419226,2,642,alarmclock01.png,Black.jpg,2
71,No-Think,Emotion,Vivant,NonOrg,422677,2,735,airhockeypaddle01a.png,Animals_032_h.jpg,2
72,Baseline,Neutral,Vivant,Org,426362,1,752,moose.png,Black.jpg,2
73,Think,Emotion,Vivant,NonOrg,430130,1,1685,beachpaddle01a.png,People_233_h.jpg,2
74,Baseline,Emotion,Non vivant,NonOrg,434615,2,740,aceofdiamond.png,Black.jpg,2
75,Baseline,Neutral,Vivant,NonOrg,438317,2,754,bib.png,Black.jpg,2
76,Think,Emotion,Non vivant,NonOrg,441818,2,1291,scale01b.png,Objects_127_h.jpg,2
77,Think,Neutral,Non vivant,NonOrg,445903,2,1235,banjo.png,Objects_099_h.jpg,2
78,No-Think,Emotion,Non vivant,Org,449871,1,1705,toad.png,Objects_138_h.jpg,2
79,Think,Emotion,Vivant,NonOrg,454490,1,1378,antenna.png,People_216_h.jpg,2
80,No-Think,Neutral,Vivant,NonOrg,458841,2,1665,amphora.png,People_105_h.jpg,2
81,Baseline,Neutral,Non vivant,Org,463493,1,797,dromedary.png,Black.jpg,2
82,Baseline,Emotion,Vivant,Org,466944,1,819,tiger02.png,Black.jpg,2
83,Think,Emotion,Vivant,Org,470512,1,1549,stuffedpuffin.png,People_227_h.jpg,2
84,Baseline,Emotion,Non vivant,Org,474881,1,790,squirrel.png,Black.jpg,2
85,Baseline,Emotion,Vivant,NonOrg,478382,2,701,binoculars01b.png,Black.jpg,2
86,No-Think,Neutral,Non vivant,Org,482017,1,1051,lion.png,Landscapes_038_h.jpg,2
87,Think,Emotion,Non vivant,NonOrg,485768,2,1370,dice02a.png,Landscapes_025_h.jpg,2
88,No-Think,Neutral,Vivant,Org,489870,1,1292,beaver.png,People_155_h.jpg,2
89,Think,Neutral,Non vivant,Org,494155,2,1359,raccoon.png,Objects_169_h.jpg,2
90,Baseline,Neutral,Vivant,Org,498340,1,833,kangaroo.png,Black.jpg,2
91,No-Think,Emotion,Vivant,Org,501891,1,1101,saintbernard.png,People_222_h.jpg,2
92,No-Think,Neutral,Non vivant,NonOrg,505960,2,972,bikehelmet.png,Landscapes_034_h.jpg,2
93,Think,Neutral,Vivant,NonOrg,509744,1,1483,bicycle.png,Faces_045_h.jpg,2
94,No-Think,Neutral,Vivant,Org,514196,1,1350,caribou01.png,Faces_308_h.jpg,2
95,Baseline,Emotion,Non vivant,NonOrg,518514,2,623,balloon01b.png,Black.jpg,2
96,Think,Emotion,Vivant,NonOrg,521832,1,1408,beachpaddle01a.png,People_233_h.jpg,3
97,No-Think,Emotion,Vivant,Org,541407,1,1315,saintbernard.png,People_222_h.jpg,3
98,No-Think,Neutral,Non vivant,NonOrg,545692,2,999,usbcable01b.png,Landscapes_048_h.jpg,3
99,Baseline,Emotion,Vivant,Org,549460,1,722,sturgeon.png,Black.jpg,3
100,Baseline,Neutral,Non vivant,NonOrg,553128,2,599,armchair01.png,Black.jpg,3
101,Think,Emotion,Non vivant,NonOrg,556713,2,1021,dice02a.png,Landscapes_025_h.jpg,3
102,No-Think,Emotion,Non vivant,NonOrg,560414,2,1054,scotchtape.png,Landscapes_007_h.jpg,3
103,No-Think,Neutral,Vivant,Org,564349,1,865,beaver.png,People_155_h.jpg,3
104,Baseline,Emotion,Non vivant,Org,568184,1,811,cow.png,Black.jpg,3
105,Think,Neutral,Vivant,NonOrg,571769,1,1034,bicycle.png,Faces_045_h.jpg,3
106,No-Think,Neutral,Vivant,NonOrg,575770,2,1538,baseball01a.png,Faces_024_h.jpg,3
107,No-Think,Emotion,Non vivant,Org,580305,1,905,tortoise01.png,Objects_233_h.jpg,3
108,No-Think,Emotion,Vivant,NonOrg,584040,2,1058,airhockeypaddle01a.png,Animals_032_h.jpg,3
109,Baseline,Neutral,Non vivant,Org,588125,1,587,blackbear.png,Black.jpg,3
110,Baseline,Neutral,Non vivant,Org,591476,1,562,dromedary.png,Black.jpg,3
111,Baseline,Emotion,Vivant,NonOrg,594661,2,698,binoculars01b.png,Black.jpg,3
112,Baseline,Neutral,Non vivant,NonOrg,598095,2,634,alarmclock01.png,Black.jpg,3
113,Think,Neutral,Non vivant,Org,601747,2,1356,killerwhale.png,Objects_214_h.jpg,3
114,Think,Emotion,Non vivant,Org,605765,2,1445,swallow.png,Objects_144_h.jpg,3
115,No-Think,Neutral,Non vivant,Org,609883,1,1267,hen.png,Objects_082_h.jpg,3
116,No-Think,Emotion,Vivant,Org,613818,1,2125,tern.png,People_198_h.jpg,3
117,Think,Emotion,Non vivant,Org,618954,2,1122,sheep.png,Landscapes_139_h.jpg,3
118,Baseline,Emotion,Non vivant,NonOrg,622905,2,922,aceofdiamond.png,Black.jpg,3
119,Baseline,Emotion,Vivant,Org,626473,1,645,tiger02.png,Black.jpg,3
120,Baseline,Neutral,Vivant,Org,630008,1,506,kangaroo.png,Black.jpg,3
121,No-Think,Emotion,Non vivant,Org,633376,1,795,toad.png,Objects_138_h.jpg,3
122,No-Think,Emotion,Vivant,NonOrg,637061,2,852,bassguitar.png,People_208_h.jpg,3
123,Baseline,Emotion,Non vivant,NonOrg,640946,2,704,balloon01b.png,Black.jpg,3
124,No-Think,Neutral,Non vivant,Org,644564,1,1125,lion.png,Landscapes_038_h.jpg,3
125,Think,Neutral,Non vivant,NonOrg,648348,2,1006,bandage.png,Objects_204_h.jpg,3
126,Think,Emotion,Vivant,Org,652050,1,691,rockbass.png,People_240_h.jpg,3
127,Think,Emotion,Vivant,Org,655401,1,973,stuffedpuffin.png,People_227_h.jpg,3
128,Baseline,Emotion,Non vivant,Org,659119,1,737,squirrel.png,Black.jpg,3
129,Baseline,Emotion,Vivant,NonOrg,662871,2,851,toytractor01b.png,Black.jpg,3
130,Baseline,Neutral,Vivant,Org,666489,1,810,moose.png,Black.jpg,3
131,Baseline,Neutral,Vivant,NonOrg,670174,2,561,bib.png,Black.jpg,3
132,No-Think,Neutral,Vivant,NonOrg,673391,2,1703,amphora.png,People_105_h.jpg,3
133,Think,Neutral,Non vivant,NonOrg,677927,2,1062,banjo.png,Objects_099_h.jpg,3
134,Think,Emotion,Vivant,NonOrg,681811,1,977,antenna.png,People_216_h.jpg,3
135,Think,Neutral,Vivant,Org,685713,1,1127,siamesecat.png,People_146_h.jpg,3
