,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Vivant,NonOrg,126607,1,1815,amphora.png,People_105_h.jpg,1
1,Think,Neutral,Non vivant,Org,131393,2,1334,lion.png,Landscapes_038_h.jpg,1
2,Baseline,Emotion,Vivant,Org,135728,1,1215,rockbass.png,Black.jpg,1
3,Baseline,Emotion,Non vivant,Org,139963,1,818,sheep.png,Black.jpg,1
4,Think,Emotion,Vivant,Org,143581,1,1248,tern.png,People_198_h.jpg,1
5,No-Think,Neutral,Non vivant,Org,147566,2,1143,dromedary.png,Landscapes_073_h.jpg,1
6,No-Think,Emotion,Vivant,NonOrg,155302,2,2476,binoculars01b.png,Animals_045_h.jpg,1
7,Think,Emotion,Vivant,Org,160537,1,1681,saintbernard.png,People_222_h.jpg,1
8,Baseline,Emotion,Vivant,Org,164889,1,1239,stuffedpuffin.png,Black.jpg,1
9,No-Think,Neutral,Vivant,Org,169124,1,501,moose.png,Faces_224_h.jpg,1
10,No-Think,Emotion,Non vivant,Org,172709,1,494,cow.png,Landscapes_026_h.jpg,1
11,No-Think,Emotion,Vivant,Org,176110,1,605,sturgeon.png,Faces_366_h.jpg,1
12,Baseline,Neutral,Non vivant,NonOrg,179745,2,596,banjo.png,Black.jpg,1
13,Baseline,Emotion,Vivant,NonOrg,183363,2,685,beachpaddle01a.png,Black.jpg,1
14,Baseline,Neutral,Vivant,Org,186964,1,679,siamesecat.png,Black.jpg,1
15,Think,Neutral,Non vivant,NonOrg,190716,2,1017,usbcable01b.png,Landscapes_048_h.jpg,1
16,Think,Emotion,Vivant,NonOrg,194717,1,971,bassguitar.png,People_208_h.jpg,1
17,No-Think,Emotion,Non vivant,NonOrg,198419,2,1041,aceofdiamond.png,Objects_109_h.jpg,1
18,No-Think,Emotion,Vivant,NonOrg,202354,2,593,toytractor01b.png,People_129_h.jpg,1
19,Think,Neutral,Vivant,Org,214175,1,1252,beaver.png,People_155_h.jpg,1
20,No-Think,Neutral,Vivant,NonOrg,218126,2,768,bib.png,Faces_044_h.jpg,1
21,Baseline,Neutral,Vivant,NonOrg,221644,2,868,bicycle.png,Black.jpg,1
22,Baseline,Emotion,Non vivant,NonOrg,225563,2,530,dice02a.png,Black.jpg,1
23,Baseline,Neutral,Vivant,Org,229114,1,644,skunk.png,Black.jpg,1
24,Baseline,Neutral,Non vivant,NonOrg,232699,2,780,bandage.png,Black.jpg,1
25,No-Think,Neutral,Non vivant,NonOrg,236350,2,740,armchair01.png,Objects_043_h.jpg,1
26,Think,Neutral,Vivant,Org,239952,1,1215,caribou01.png,Faces_308_h.jpg,1
27,Baseline,Emotion,Non vivant,NonOrg,243953,2,717,scale01b.png,Black.jpg,1
28,Think,Neutral,Non vivant,Org,247638,2,1399,hen.png,Objects_082_h.jpg,1
29,Baseline,Neutral,Vivant,NonOrg,252006,2,698,backfloat.png,Black.jpg,1
30,Think,Neutral,Non vivant,NonOrg,255641,2,913,bikehelmet.png,Landscapes_034_h.jpg,1
31,Baseline,Neutral,Non vivant,Org,259359,1,917,raccoon.png,Black.jpg,1
32,Think,Neutral,Vivant,NonOrg,263044,2,929,baseball01a.png,Faces_024_h.jpg,1
33,Baseline,Emotion,Non vivant,Org,266629,1,1433,swallow.png,Black.jpg,1
34,Think,Emotion,Non vivant,NonOrg,270830,2,1233,scotchtape.png,Landscapes_007_h.jpg,1
35,Think,Emotion,Vivant,NonOrg,274832,1,1832,airhockeypaddle01a.png,Animals_032_h.jpg,1
