,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,Think,Neutral,Non vivant,NonOrg,105198,2,1777,alarmclock01.png,Landscapes_049_h.jpg,1
1,No-Think,Neutral,Non vivant,NonOrg,109983,2,1720,bikehelmet.png,Landscapes_034_h.jpg,1
2,Think,Emotion,Non vivant,NonOrg,114769,2,2533,aceofdiamond.png,Objects_109_h.jpg,1
3,No-Think,Emotion,Vivant,Org,133693,1,1902,tern.png,People_198_h.jpg,1
4,Baseline,Neutral,Non vivant,NonOrg,144714,2,825,bandage.png,Black.jpg,1
5,Baseline,Emotion,Vivant,Org,148298,1,1270,rockbass.png,Black.jpg,1
6,No-Think,Neutral,Non vivant,Org,152483,1,1800,lion.png,Landscapes_038_h.jpg,1
7,No-Think,Emotion,Non vivant,NonOrg,157185,1,1265,toaster02.png,Objects_151_h.jpg,1
8,No-Think,Emotion,Non vivant,Org,167856,1,1081,toad.png,Objects_138_h.jpg,1
9,Baseline,Neutral,Vivant,NonOrg,171957,2,1017,bicycle.png,Black.jpg,1
10,No-Think,Neutral,Vivant,Org,176042,1,1183,caribou01.png,Faces_308_h.jpg,1
11,Think,Emotion,Non vivant,Org,180194,2,2359,cow.png,Landscapes_026_h.jpg,1
12,Baseline,Neutral,Vivant,Org,192949,1,714,skunk.png,Black.jpg,1
13,Baseline,Emotion,Non vivant,NonOrg,196717,2,779,scale01b.png,Black.jpg,1
14,Think,Emotion,Vivant,Org,206538,1,2658,sturgeon.png,Faces_366_h.jpg,1
15,Baseline,Emotion,Vivant,NonOrg,211973,2,2289,beachpaddle01a.png,Black.jpg,1
16,Baseline,Emotion,Vivant,Org,217125,1,1481,stuffedpuffin.png,Black.jpg,1
17,Think,Emotion,Vivant,NonOrg,221627,2,2567,toytractor01b.png,People_129_h.jpg,1
18,No-Think,Emotion,Vivant,NonOrg,227079,1,1707,airhockeypaddle01a.png,Animals_032_h.jpg,1
19,No-Think,Neutral,Vivant,NonOrg,231547,2,2236,amphora.png,People_105_h.jpg,1
20,Baseline,Emotion,Non vivant,Org,236499,1,782,sheep.png,Black.jpg,1
21,No-Think,Neutral,Non vivant,Org,240117,1,1799,hen.png,Objects_082_h.jpg,1
22,Baseline,Neutral,Non vivant,Org,244686,1,1308,killerwhale.png,Black.jpg,1
23,Baseline,Neutral,Non vivant,NonOrg,253606,2,1007,banjo.png,Black.jpg,1
24,No-Think,Neutral,Vivant,NonOrg,257491,2,2913,baseball01a.png,Faces_024_h.jpg,1
25,Think,Emotion,Non vivant,Org,267945,2,2466,squirrel.png,Objects_157_h.jpg,1
26,No-Think,Emotion,Non vivant,NonOrg,273414,2,2300,scotchtape.png,Landscapes_007_h.jpg,1
27,Baseline,Neutral,Non vivant,Org,278682,1,541,raccoon.png,Black.jpg,1
28,Think,Neutral,Non vivant,Org,282167,2,2271,blackbear.png,Objects_085_h.jpg,1
29,Think,Neutral,Vivant,Org,295322,1,2033,moose.png,Faces_224_h.jpg,1
30,Baseline,Neutral,Vivant,NonOrg,300258,2,1971,backfloat.png,Black.jpg,1
31,Think,Neutral,Non vivant,Org,304959,2,2355,dromedary.png,Landscapes_073_h.jpg,1
32,No-Think,Neutral,Vivant,Org,310245,1,2193,beaver.png,People_155_h.jpg,1
33,Think,Emotion,Non vivant,NonOrg,315230,2,2632,balloon01b.png,Landscapes_004_h.jpg,1
34,Baseline,Emotion,Vivant,NonOrg,320532,2,2942,antenna.png,Black.jpg,1
35,Baseline,Emotion,Non vivant,Org,326201,1,1220,swallow.png,Black.jpg,1
36,Think,Neutral,Vivant,Org,330436,1,2077,kangaroo.png,People_138_h.jpg,1
37,Think,Neutral,Vivant,NonOrg,335371,1,2612,bib.png,Faces_044_h.jpg,1
38,Baseline,Emotion,Vivant,NonOrg,340907,2,1186,beachpaddle01a.png,Black.jpg,2
39,No-Think,Neutral,Non vivant,Org,352111,1,2119,hen.png,Objects_082_h.jpg,2
40,No-Think,Neutral,Vivant,Org,356980,1,912,caribou01.png,Faces_308_h.jpg,2
41,Baseline,Neutral,Vivant,NonOrg,366934,2,1362,backfloat.png,Black.jpg,2
42,No-Think,Emotion,Vivant,Org,375587,1,1407,tern.png,People_198_h.jpg,2
43,Baseline,Neutral,Non vivant,NonOrg,379905,2,1968,banjo.png,Black.jpg,2
44,No-Think,Emotion,Vivant,NonOrg,384624,2,1269,airhockeypaddle01a.png,Animals_032_h.jpg,2
45,No-Think,Emotion,Non vivant,Org,395161,1,1312,tortoise01.png,Objects_233_h.jpg,2
46,No-Think,Emotion,Non vivant,NonOrg,399263,2,1289,scotchtape.png,Landscapes_007_h.jpg,2
47,Baseline,Emotion,Non vivant,NonOrg,403365,2,1209,dice02a.png,Black.jpg,2
48,Baseline,Neutral,Vivant,NonOrg,407216,2,435,bicycle.png,Black.jpg,2
49,Think,Neutral,Vivant,NonOrg,422855,1,2905,bib.png,Faces_044_h.jpg,2
50,No-Think,Neutral,Vivant,NonOrg,428708,2,2291,baseball01a.png,Faces_024_h.jpg,2
51,No-Think,Emotion,Vivant,Org,433693,1,1581,saintbernard.png,People_222_h.jpg,2
52,Baseline,Neutral,Non vivant,NonOrg,438061,2,1343,bandage.png,Black.jpg,2
53,Think,Emotion,Non vivant,Org,448515,2,2571,cow.png,Landscapes_026_h.jpg,2
54,Think,Emotion,Vivant,NonOrg,453834,1,2442,toytractor01b.png,People_129_h.jpg,2
55,Think,Neutral,Vivant,Org,459103,1,1568,kangaroo.png,People_138_h.jpg,2
56,Baseline,Neutral,Non vivant,Org,463388,1,1414,killerwhale.png,Black.jpg,2
57,Baseline,Emotion,Vivant,NonOrg,467690,2,755,antenna.png,Black.jpg,2
58,No-Think,Emotion,Non vivant,NonOrg,471124,2,2015,toaster02.png,Objects_151_h.jpg,2
59,No-Think,Neutral,Non vivant,NonOrg,476043,2,1157,usbcable01b.png,Landscapes_048_h.jpg,2
60,Think,Neutral,Vivant,Org,479878,1,1621,moose.png,Faces_224_h.jpg,2
61,Think,Neutral,Non vivant,Org,484246,2,1795,dromedary.png,Landscapes_073_h.jpg,2
62,Think,Neutral,Non vivant,Org,488731,2,2417,blackbear.png,Objects_085_h.jpg,2
63,Think,Emotion,Non vivant,NonOrg,494033,2,2049,aceofdiamond.png,Objects_109_h.jpg,2
64,Baseline,Neutral,Vivant,Org,512541,1,746,skunk.png,Black.jpg,2
65,No-Think,Neutral,Non vivant,Org,516025,1,1010,lion.png,Landscapes_038_h.jpg,2
66,No-Think,Neutral,Vivant,NonOrg,519677,2,938,amphora.png,People_105_h.jpg,2
67,Baseline,Emotion,Non vivant,Org,523345,1,419,swallow.png,Black.jpg,2
68,No-Think,Emotion,Vivant,NonOrg,526663,2,1187,bassguitar.png,People_208_h.jpg,2
69,Baseline,Emotion,Vivant,Org,530764,1,1515,stuffedpuffin.png,Black.jpg,2
70,Baseline,Emotion,Non vivant,NonOrg,535033,2,1062,scale01b.png,Black.jpg,2
71,Think,Emotion,Non vivant,Org,538884,2,2072,squirrel.png,Objects_157_h.jpg,2
72,No-Think,Emotion,Non vivant,Org,543703,1,1413,toad.png,Objects_138_h.jpg,2
73,Think,Emotion,Vivant,Org,547888,1,2233,sturgeon.png,Faces_366_h.jpg,2
74,Baseline,Emotion,Vivant,Org,553123,1,1137,rockbass.png,Black.jpg,2
75,Think,Neutral,Non vivant,NonOrg,557025,2,1742,armchair01.png,Objects_043_h.jpg,2
76,Baseline,Emotion,Non vivant,Org,561526,1,1169,swallow.png,Black.jpg,3
77,Baseline,Emotion,Non vivant,NonOrg,576082,2,1332,scale01b.png,Black.jpg,3
78,Baseline,Neutral,Non vivant,Org,584535,1,1411,raccoon.png,Black.jpg,3
79,No-Think,Neutral,Non vivant,NonOrg,588937,2,1362,usbcable01b.png,Landscapes_048_h.jpg,3
80,Baseline,Emotion,Non vivant,Org,593089,1,636,sheep.png,Black.jpg,3
81,Think,Neutral,Non vivant,Org,596573,2,1798,dromedary.png,Landscapes_073_h.jpg,3
82,Baseline,Neutral,Non vivant,NonOrg,601075,2,1686,bandage.png,Black.jpg,3
83,No-Think,Neutral,Vivant,NonOrg,611379,2,1453,baseball01a.png,Faces_024_h.jpg,3
84,Baseline,Emotion,Vivant,NonOrg,615647,2,1173,beachpaddle01a.png,Black.jpg,3
85,No-Think,Emotion,Vivant,NonOrg,619816,2,788,airhockeypaddle01a.png,Animals_032_h.jpg,3
86,Think,Neutral,Vivant,NonOrg,623451,1,1989,alarmclock02b.png,People_048_h.jpg,3
87,No-Think,Emotion,Vivant,NonOrg,628102,2,1059,bassguitar.png,People_208_h.jpg,3
88,Baseline,Emotion,Vivant,NonOrg,631837,2,552,antenna.png,Black.jpg,3
89,Think,Emotion,Non vivant,NonOrg,635372,2,1769,balloon01b.png,Landscapes_004_h.jpg,3
90,Think,Emotion,Non vivant,NonOrg,639840,2,2607,aceofdiamond.png,Objects_109_h.jpg,3
91,Baseline,Neutral,Non vivant,Org,645292,1,709,killerwhale.png,Black.jpg,3
92,No-Think,Neutral,Non vivant,NonOrg,648744,2,948,bikehelmet.png,Landscapes_034_h.jpg,3
93,No-Think,Emotion,Non vivant,NonOrg,652679,2,2874,scotchtape.png,Landscapes_007_h.jpg,3
