,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
0,No-Think,Neutral,Vivant,Org,80130,1,2653,kangaroo.png,People_138_h.jpg,1
1,Baseline,Emotion,Non vivant,NonOrg,85549,2,2006,dice02a.png,Black.jpg,1
2,Baseline,Neutral,Non vivant,Org,90334,1,1201,killerwhale.png,Black.jpg,1
3,Baseline,Emotion,Vivant,NonOrg,100271,2,1966,antenna.png,Black.jpg,1
4,Baseline,Emotion,Non vivant,Org,105023,1,1348,sheep.png,Black.jpg,1
5,Think,Neutral,Vivant,Org,109142,1,2383,caribou01.png,Faces_308_h.jpg,1
6,Think,Neutral,Vivant,NonOrg,122797,1,2322,amphora.png,People_105_h.jpg,1
7,No-Think,Neutral,Non vivant,NonOrg,128132,2,2912,alarmclock01.png,Landscapes_049_h.jpg,1
8,Think,Emotion,Vivant,NonOrg,142071,2,2514,airhockeypaddle01a.png,Animals_032_h.jpg,1
9,No-Think,Neutral,Non vivant,Org,160728,1,1699,blackbear.png,Objects_085_h.jpg,1
10,Baseline,Neutral,Vivant,NonOrg,181770,2,2423,bicycle.png,Black.jpg,1
11,No-Think,Emotion,Vivant,Org,187022,1,2987,sturgeon.png,Faces_366_h.jpg,1
12,No-Think,Neutral,Vivant,NonOrg,193058,2,2078,alarmclock02b.png,People_048_h.jpg,1
13,Baseline,Neutral,Non vivant,NonOrg,197826,2,1062,banjo.png,Black.jpg,1
14,No-Think,Emotion,Non vivant,Org,201678,1,2793,cow.png,Landscapes_026_h.jpg,1
15,Baseline,Neutral,Vivant,Org,215166,1,2218,siamesecat.png,Black.jpg,1
16,No-Think,Emotion,Vivant,NonOrg,227521,2,2250,binoculars01b.png,Animals_045_h.jpg,1
17,No-Think,Emotion,Non vivant,NonOrg,232706,2,2070,aceofdiamond.png,Objects_109_h.jpg,1
18,Baseline,Emotion,Non vivant,Org,266703,1,2220,swallow.png,Black.jpg,1
19,Think,Neutral,Non vivant,NonOrg,271755,1,2176,bikehelmet.png,Landscapes_034_h.jpg,1
20,Think,Neutral,Non vivant,NonOrg,276774,2,2365,usbcable01b.png,Landscapes_048_h.jpg,1
21,Baseline,Emotion,Vivant,Org,290212,1,1419,stuffedpuffin.png,Black.jpg,1
22,Baseline,Neutral,Non vivant,NonOrg,294631,2,2547,bandage.png,Black.jpg,1
23,Baseline,Emotion,Non vivant,NonOrg,307952,2,2756,scale01b.png,Black.jpg,1
24,Baseline,Emotion,Vivant,Org,313705,1,813,rockbass.png,Black.jpg,1
25,Think,Emotion,Non vivant,Org,337998,2,2746,tortoise01.png,Objects_233_h.jpg,1
26,Baseline,Emotion,Vivant,NonOrg,350936,2,1035,beachpaddle01a.png,Black.jpg,1
27,No-Think,Neutral,Non vivant,Org,355038,1,1204,dromedary.png,Landscapes_073_h.jpg,1
28,Think,Emotion,Non vivant,Org,367126,2,2554,tortoise01.png,Objects_233_h.jpg,2
29,Think,Neutral,Vivant,NonOrg,372411,1,2360,baseball01a.png,Faces_024_h.jpg,2
30,Baseline,Neutral,Vivant,NonOrg,377563,2,2121,backfloat.png,Black.jpg,2
31,Baseline,Emotion,Vivant,NonOrg,382298,2,1411,beachpaddle01a.png,Black.jpg,2
32,No-Think,Neutral,Non vivant,NonOrg,386416,2,1615,alarmclock01.png,Landscapes_049_h.jpg,2
33,No-Think,Neutral,Vivant,Org,414861,1,2519,moose.png,Faces_224_h.jpg,2
34,Baseline,Emotion,Vivant,NonOrg,420180,2,1179,antenna.png,Black.jpg,2
35,Baseline,Neutral,Vivant,NonOrg,424348,2,1997,bicycle.png,Black.jpg,2
36,Baseline,Emotion,Non vivant,Org,429100,1,2569,swallow.png,Black.jpg,2
37,No-Think,Neutral,Non vivant,Org,448741,1,2205,blackbear.png,Objects_085_h.jpg,2
38,Baseline,Neutral,Non vivant,Org,460996,1,1761,killerwhale.png,Black.jpg,2
39,Baseline,Emotion,Vivant,Org,465581,1,1010,rockbass.png,Black.jpg,2
40,Baseline,Emotion,Non vivant,NonOrg,476485,2,984,dice02a.png,Black.jpg,2
41,Think,Neutral,Vivant,NonOrg,480203,1,1972,amphora.png,People_105_h.jpg,2
42,No-Think,Emotion,Non vivant,NonOrg,490874,2,2818,balloon01b.png,Landscapes_004_h.jpg,2
43,Think,Neutral,Vivant,Org,496510,1,2576,caribou01.png,Faces_308_h.jpg,2
44,No-Think,Emotion,Vivant,NonOrg,501978,2,2320,toytractor01b.png,People_129_h.jpg,2
45,Think,Neutral,Vivant,Org,507047,1,2989,beaver.png,People_155_h.jpg,2
46,No-Think,Neutral,Vivant,Org,520402,1,2580,kangaroo.png,People_138_h.jpg,2
47,No-Think,Emotion,Vivant,NonOrg,525738,2,1661,binoculars01b.png,Animals_045_h.jpg,2
48,No-Think,Neutral,Non vivant,Org,530389,1,1367,dromedary.png,Landscapes_073_h.jpg,2
49,Baseline,Emotion,Non vivant,Org,534441,1,2437,sheep.png,Black.jpg,2
50,Baseline,Neutral,Non vivant,Org,557483,1,1003,raccoon.png,Black.jpg,2
51,Baseline,Neutral,Non vivant,NonOrg,572523,2,2162,bandage.png,Black.jpg,2
52,Baseline,Emotion,Vivant,Org,577491,1,1490,stuffedpuffin.png,Black.jpg,2
53,Baseline,Neutral,Vivant,Org,588896,1,1226,siamesecat.png,Black.jpg,2
54,No-Think,Neutral,Vivant,NonOrg,608587,2,837,bib.png,Faces_044_h.jpg,2
55,Baseline,Emotion,Non vivant,NonOrg,612188,2,416,scale01b.png,Black.jpg,2
56,Baseline,Neutral,Vivant,Org,645001,1,1621,siamesecat.png,Black.jpg,3
57,Baseline,Emotion,Vivant,NonOrg,703874,2,1128,beachpaddle01a.png,Black.jpg,3
58,No-Think,Neutral,Vivant,Org,726299,1,2069,kangaroo.png,People_138_h.jpg,3
59,Think,Emotion,Non vivant,Org,731168,1,984,toad.png,Objects_138_h.jpg,3
60,Think,Neutral,Vivant,NonOrg,742072,1,1449,baseball01a.png,Faces_024_h.jpg,3
61,Baseline,Neutral,Vivant,NonOrg,753193,2,984,backfloat.png,Black.jpg,3
62,Think,Emotion,Non vivant,Org,764731,2,2079,tortoise01.png,Objects_233_h.jpg,3
63,Baseline,Emotion,Non vivant,NonOrg,769816,2,860,scale01b.png,Black.jpg,3
64,No-Think,Neutral,Non vivant,NonOrg,780370,2,2524,armchair01.png,Objects_043_h.jpg,3
65,No-Think,Emotion,Non vivant,NonOrg,785672,2,1916,aceofdiamond.png,Objects_109_h.jpg,3
66,No-Think,Emotion,Vivant,Org,790574,1,1405,sturgeon.png,Faces_366_h.jpg,3
67,Baseline,Emotion,Vivant,Org,794643,1,1118,rockbass.png,Black.jpg,3
68,Baseline,Neutral,Non vivant,Org,809849,1,2882,killerwhale.png,Black.jpg,3
69,Baseline,Neutral,Vivant,Org,821837,1,917,skunk.png,Black.jpg,3
70,Baseline,Neutral,Non vivant,NonOrg,825605,2,794,banjo.png,Black.jpg,3
71,No-Think,Emotion,Non vivant,Org,841128,1,1336,cow.png,Landscapes_026_h.jpg,3
72,No-Think,Emotion,Vivant,NonOrg,845446,2,2287,toytractor01b.png,People_129_h.jpg,3
73,Baseline,Emotion,Non vivant,Org,850581,1,2795,swallow.png,Black.jpg,3
74,Baseline,Emotion,Non vivant,Org,891981,2,1908,sheep.png,Black.jpg,3
75,Think,Emotion,Vivant,NonOrg,896866,1,2058,bassguitar.png,People_208_h.jpg,3
76,No-Think,Emotion,Non vivant,NonOrg,928428,3,1898,balloon01b.png,Landscapes_004_h.jpg,3
77,Think,Emotion,Non vivant,NonOrg,952671,2,1994,scotchtape.png,Landscapes_007_h.jpg,3
78,No-Think,Neutral,Non vivant,Org,957423,1,1873,blackbear.png,Objects_085_h.jpg,3
79,Think,Emotion,Non vivant,NonOrg,962225,1,1403,scotchtape.png,Landscapes_007_h.jpg,4
80,Baseline,Neutral,Non vivant,NonOrg,966443,2,1648,banjo.png,Black.jpg,4
81,Think,Neutral,Non vivant,NonOrg,979382,2,2260,usbcable01b.png,Landscapes_048_h.jpg,4
82,Think,Neutral,Non vivant,NonOrg,1014329,2,1684,bikehelmet.png,Landscapes_034_h.jpg,4
83,Think,Emotion,Vivant,Org,1019064,1,1407,saintbernard.png,People_222_h.jpg,4
84,No-Think,Emotion,Vivant,Org,1051543,1,1508,sturgeon.png,Faces_366_h.jpg,4
85,No-Think,Neutral,Non vivant,Org,1055995,1,2916,dromedary.png,Landscapes_073_h.jpg,4
86,No-Think,Neutral,Vivant,Org,1073268,1,560,kangaroo.png,People_138_h.jpg,4
87,No-Think,Emotion,Non vivant,NonOrg,1083522,2,1223,aceofdiamond.png,Objects_109_h.jpg,4
88,No-Think,Neutral,Non vivant,Org,1095193,1,1438,blackbear.png,Objects_085_h.jpg,4
89,Baseline,Emotion,Vivant,Org,1115001,1,1017,stuffedpuffin.png,Black.jpg,4
90,Baseline,Emotion,Non vivant,NonOrg,1135643,2,691,scale01b.png,Black.jpg,4
91,Think,Neutral,Vivant,NonOrg,1139211,1,2575,amphora.png,People_105_h.jpg,4
92,Baseline,Neutral,Vivant,NonOrg,1148748,2,779,backfloat.png,Black.jpg,4
93,No-Think,Emotion,Vivant,NonOrg,1152316,2,2558,binoculars01b.png,Animals_045_h.jpg,4
