,Subject,Condition,Time,Length,AUC,Percent_intrusion
193,31NLI,No-Think,18,4,0.6131826189078097,
396,32CVI,No-Think,9,2,0.6823529411764706,
703,34LME,No-Think,20,4,0.618103448275862,
901,35QSY,No-Think,10,2,0.5826979472140762,
1152,36LSA,No-Think,10,3,0.642591533180778,
1466,37BMA,No-Think,23,2,0.6024904214559387,
1697,38MAX,No-Think,19,3,0.5746463142218913,
1910,39BDA,No-Think,12,1,0.5674603174603174,
2136,40MMA,No-Think,7,2,0.5891686058811085,
2406,41BAL,No-Think,11,2,0.7449664429530201,
2726,42SPE,No-Think,25,2,0.5798679060665362,
2961,44SMU,No-Think,22,2,0.627389951089373,
3171,45MJA,No-Think,14,2,0.5849663196570729,
3451,46SQU,No-Think,20,2,0.6028206364513018,
3657,47HMA,No-Think,11,3,0.552435312024353,
3931,50JOC,No-Think,16,2,0.568234064785789,
4212,52PFA,No-Think,22,3,0.5861486486486487,
4431,53SMA,No-Think,16,2,0.631024096385542,
4651,55MNI,No-Think,10,2,0.6174428104575163,
4983,56BCL,No-Think,26,4,0.5837468982630273,
5172,57NCO,No-Think,14,3,0.9556962025316456,
5236,57NCO,No-Think,27,2,0.9556962025316456,
5468,58BAN,No-Think,23,4,0.6392931392931392,
5657,59DIN,No-Think,11,3,0.5805555555555556,
5991,60CAN,No-Think,28,2,0.5870941392689402,
68,31NLI,Think,18,4,,56.59340659340659
271,32CVI,Think,9,2,,33.5195530726257
578,34LME,Think,20,4,,16.3265306122449
776,35QSY,Think,10,2,,52.35602094240838
1027,36LSA,Think,10,3,,54.19354838709678
1341,37BMA,Think,23,2,,71.875
1572,38MAX,Think,19,3,,40.31413612565445
1785,39BDA,Think,12,1,,55.494505494505496
2011,40MMA,Think,7,2,,30.319148936170215
2281,41BAL,Think,11,2,,63.31360946745562
2601,42SPE,Think,25,2,,73.5632183908046
2836,44SMU,Think,22,2,,56.98924731182796
3046,45MJA,Think,14,2,,64.73684210526316
3326,46SQU,Think,20,2,,38.095238095238095
3532,47HMA,Think,11,3,,63.35078534031413
3806,50JOC,Think,16,2,,55.223880597014926
4087,52PFA,Think,22,3,,19.2090395480226
4306,53SMA,Think,16,2,,48.40425531914894
4526,55MNI,Think,10,2,,31.976744186046513
4858,56BCL,Think,26,4,,53.93258426966292
5047,57NCO,Think,14,3,,13.017751479289942
5343,58BAN,Think,23,4,,38.17204301075269
5532,59DIN,Think,11,3,,28.021978021978022
5866,60CAN,Think,28,2,,44.3609022556391
