,Subject,Condition,Time,Length,AUC,Percent_intrusion
25,31NLI,DecodingThink,10,1,0.5789782736347622,
133,32CVI,DecodingThink,6,4,0.6477941176470589,
356,34LME,DecodingThink,26,2,0.6092364532019705,
406,35QSY,DecodingThink,11,2,0.589149560117302,
624,36LSA,DecodingThink,29,5,0.657179633867277,
712,37BMA,DecodingThink,22,3,0.5938697318007662,
862,38MAX,DecodingThink,27,3,0.5832092330603127,
901,39BDA,DecodingThink,10,2,0.6041666666666666,
1016,40MMA,DecodingThink,8,2,0.5941400465411466,
1161,41BAL,DecodingThink,12,2,0.7684563758389262,
1356,42SPE,DecodingThink,26,2,0.5728351272015656,
1377,44SMU,DecodingThink,5,3,0.7065362383281458,
1611,45MJA,DecodingThink,27,2,0.6022657685241886,
1691,46SQU,DecodingThink,18,2,0.5713596914175506,
1822,47HMA,DecodingThink,19,3,0.5613394216133941,
1876,50JOC,DecodingThink,5,2,0.6195402298850574,
2072,52PFA,DecodingThink,19,3,0.6043918918918919,
2152,53SMA,DecodingThink,10,3,0.6253765060240964,
2326,55MNI,DecodingThink,20,2,0.5866013071895425,
2447,56BCL,DecodingThink,19,3,0.6118693134822167,
2594,57NCO,DecodingThink,23,5,0.9968354430379747,
2686,58BAN,DecodingThink,17,2,0.6427581427581427,
2791,59DIN,DecodingThink,13,2,0.5805555555555555,
2986,60CAN,DecodingThink,27,2,0.571063916683684,
