,Subject,Condition,Emotion,Block,Image,IntrusionRating,Timing,Length
0,31NLI,DecodingThink,Neutral,1,Animals_088_h.jpg,3,250,10
1,31NLI,DecodingThink,Neutral,1,Faces_306_v.jpg,3,560,10
2,31NLI,DecodingThink,Emotion,1,Objects_010_h.jpg,3,1620,10
3,31NLI,DecodingThink,Emotion,1,People_204_v.jpg,3,2690,10
4,31NLI,DecodingThink,Emotion,1,Faces_156_h.jpg,3,360,10
5,31NLI,DecodingThink,Neutral,1,Faces_123_h.jpg,3,280,10
6,31NLI,DecodingThink,Neutral,1,Faces_123_h.jpg,3,2450,10
7,31NLI,DecodingThink,Neutral,2,People_164_h.jpg,3,450,10
8,31NLI,DecodingThink,Neutral,2,Animals_043_h.jpg,3,1520,10
9,31NLI,DecodingThink,Emotion,2,People_205_v.jpg,3,2520,10
10,31NLI,DecodingThink,Neutral,2,People_249_h.jpg,3,770,10
11,31NLI,DecodingThink,Emotion,3,People_019_v.jpg,1,340,10
12,31NLI,DecodingThink,Neutral,3,Animals_105_h.jpg,3,250,10
13,31NLI,DecodingThink,Emotion,3,Objects_006_h.jpg,3,230,10
14,31NLI,DecodingThink,Emotion,3,Objects_010_h.jpg,1,1330,10
15,31NLI,DecodingThink,Emotion,3,Objects_010_h.jpg,1,1400,10
16,31NLI,DecodingThink,Emotion,3,Objects_010_h.jpg,1,2390,10
17,31NLI,DecodingThink,Neutral,3,Faces_306_v.jpg,3,310,10
18,31NLI,DecodingThink,Neutral,3,People_035_h.jpg,3,2330,10
19,31NLI,DecodingThink,Neutral,3,Objects_029_h.jpg,3,210,10
20,31NLI,DecodingThink,Emotion,3,People_090_v.jpg,3,430,10
21,31NLI,DecodingThink,Emotion,3,People_090_v.jpg,3,1160,10
22,31NLI,DecodingThink,Emotion,3,Faces_156_h.jpg,3,220,10
23,31NLI,DecodingThink,Emotion,3,People_204_v.jpg,3,560,10
24,31NLI,DecodingThink,Emotion,3,People_204_v.jpg,3,1970,10
25,31NLI,DecodingThink,Emotion,3,Animals_065_h.jpg,3,490,10
26,31NLI,DecodingThink,Emotion,3,Animals_065_h.jpg,3,2440,10
27,31NLI,DecodingThink,Emotion,4,People_204_v.jpg,3,1620,10
28,31NLI,DecodingThink,Emotion,4,Animals_008_v.jpg,3,2030,10
29,31NLI,DecodingThink,Neutral,4,Faces_306_v.jpg,3,250,10
30,31NLI,DecodingThink,Emotion,4,Faces_368_h.jpg,3,2160,10
31,31NLI,DecodingThink,Emotion,4,Faces_156_h.jpg,3,2890,10
32,31NLI,DecodingThink,Neutral,4,Faces_123_h.jpg,3,420,10
33,31NLI,DecodingThink,Emotion,5,Animals_008_v.jpg,3,480,10
34,31NLI,DecodingThink,Emotion,5,Animals_008_v.jpg,3,2870,10
35,31NLI,DecodingThink,Emotion,5,People_205_v.jpg,3,240,10
36,31NLI,DecodingThink,Emotion,5,People_205_v.jpg,3,2440,10
37,31NLI,DecodingThink,Neutral,5,Animals_088_h.jpg,3,2870,10
38,31NLI,DecodingThink,Neutral,5,Objects_029_h.jpg,3,340,10
39,31NLI,DecodingThink,Emotion,5,People_204_v.jpg,3,2710,10
40,31NLI,DecodingThink,Emotion,5,Animals_065_h.jpg,3,250,10
41,31NLI,DecodingThink,Emotion,5,Animals_065_h.jpg,3,1390,10
42,31NLI,DecodingThink,Emotion,5,People_090_v.jpg,3,2370,10
43,31NLI,DecodingThink,Emotion,5,Faces_368_h.jpg,3,1300,10
44,31NLI,DecodingThink,Neutral,5,Animals_043_h.jpg,1,1400,10
45,31NLI,DecodingThink,Neutral,5,Faces_292_h.jpg,3,460,10
46,31NLI,DecodingThink,Neutral,5,Faces_292_h.jpg,3,1680,10
47,31NLI,DecodingThink,Neutral,5,People_164_h.jpg,3,2100,10
48,31NLI,DecodingThink,Neutral,5,Faces_306_v.jpg,3,1350,10
49,31NLI,DecodingThink,Neutral,5,Objects_200_h.jpg,3,210,10
50,31NLI,DecodingThink,Neutral,5,Objects_200_h.jpg,3,2530,10
51,31NLI,DecodingThink,Emotion,5,Objects_022_h.jpg,3,1620,10
52,31NLI,DecodingThink,Emotion,5,Objects_022_h.jpg,3,2000,10
53,31NLI,DecodingThink,Emotion,5,Objects_022_h.jpg,3,2560,10
54,31NLI,DecodingThink,Emotion,5,Objects_022_h.jpg,3,2830,10
55,31NLI,DecodingThink,Emotion,6,Objects_010_h.jpg,1,220,10
56,31NLI,DecodingThink,Emotion,6,Objects_010_h.jpg,1,1540,10
57,31NLI,DecodingThink,Neutral,6,Faces_306_v.jpg,3,2520,10
58,31NLI,DecodingThink,Neutral,6,Animals_105_h.jpg,3,2770,10
59,31NLI,DecodingThink,Emotion,6,People_204_v.jpg,3,1630,10
60,31NLI,DecodingThink,Emotion,6,People_204_v.jpg,3,2280,10
61,31NLI,DecodingThink,Neutral,6,Animals_088_h.jpg,3,310,10
62,31NLI,DecodingThink,Emotion,6,Faces_368_h.jpg,3,530,10
63,31NLI,DecodingThink,Emotion,6,Faces_368_h.jpg,3,2030,10
64,31NLI,DecodingThink,Emotion,6,Faces_368_h.jpg,3,2670,10
65,31NLI,DecodingThink,Neutral,6,People_164_h.jpg,3,2230,10
66,31NLI,DecodingThink,Neutral,6,People_164_h.jpg,3,2660,10
67,31NLI,DecodingThink,Neutral,6,People_164_h.jpg,3,2890,10
68,31NLI,DecodingThink,Neutral,6,People_249_h.jpg,3,1160,10
69,31NLI,DecodingThink,Neutral,6,People_249_h.jpg,3,2470,10
70,31NLI,DecodingThink,Neutral,6,People_249_h.jpg,3,2570,10
71,31NLI,DecodingThink,Neutral,6,Animals_043_h.jpg,1,1250,10
72,31NLI,DecodingThink,Emotion,6,People_205_v.jpg,3,950,10
73,31NLI,DecodingThink,Neutral,7,Faces_123_h.jpg,3,230,10
74,31NLI,DecodingThink,Neutral,7,Faces_123_h.jpg,3,1190,10
75,31NLI,DecodingThink,Emotion,7,Animals_065_h.jpg,3,230,10
76,31NLI,DecodingThink,Emotion,7,Animals_065_h.jpg,3,2770,10
77,31NLI,DecodingThink,Emotion,7,Faces_368_h.jpg,1,1180,10
78,31NLI,DecodingThink,Emotion,7,Faces_368_h.jpg,1,1970,10
79,31NLI,DecodingThink,Emotion,7,Objects_006_h.jpg,3,240,10
80,31NLI,DecodingThink,Emotion,7,Objects_006_h.jpg,3,1320,10
81,31NLI,DecodingThink,Neutral,7,Animals_088_h.jpg,3,420,10
82,31NLI,DecodingThink,Emotion,7,Faces_156_h.jpg,1,2610,10
83,31NLI,DecodingThink,Emotion,7,Animals_008_v.jpg,1,530,10
84,31NLI,DecodingThink,Emotion,7,People_019_v.jpg,1,2770,10
85,31NLI,DecodingThink,Emotion,7,People_090_v.jpg,3,320,10
86,31NLI,DecodingThink,Emotion,7,People_090_v.jpg,3,460,10
87,31NLI,DecodingThink,Emotion,7,People_090_v.jpg,3,1680,10
88,31NLI,DecodingThink,Emotion,7,People_090_v.jpg,3,2170,10
89,31NLI,DecodingThink,Emotion,7,Objects_022_h.jpg,3,1560,10
90,31NLI,DecodingThink,Emotion,7,Objects_022_h.jpg,3,2280,10
91,31NLI,DecodingThink,Emotion,7,Objects_022_h.jpg,3,2810,10
92,31NLI,DecodingThink,Emotion,7,Objects_022_h.jpg,3,2890,10
93,31NLI,DecodingThink,Emotion,7,People_204_v.jpg,3,1390,10
94,31NLI,DecodingThink,Emotion,7,People_204_v.jpg,3,2200,10
95,31NLI,DecodingThink,Emotion,7,People_204_v.jpg,3,2790,10
96,31NLI,DecodingThink,Emotion,7,People_204_v.jpg,3,2870,10
97,31NLI,DecodingThink,Emotion,7,People_205_v.jpg,3,990,10
98,31NLI,DecodingThink,Emotion,7,People_205_v.jpg,3,1100,10
99,31NLI,DecodingThink,Emotion,7,People_205_v.jpg,3,1480,10
100,31NLI,DecodingThink,Emotion,7,People_205_v.jpg,3,1620,10
101,31NLI,DecodingThink,Emotion,7,People_205_v.jpg,3,2250,10
102,31NLI,DecodingThink,Neutral,8,Objects_029_h.jpg,1,1390,10
103,31NLI,DecodingThink,Neutral,8,Objects_029_h.jpg,1,1580,10
