,Subject,Condition,Block,Events
0,31NLI,Think,1-2,1.8043478260869565
1,31NLI,Think,3-4,1.108695652173913
2,31NLI,Think,5-6,0.9130434782608695
3,31NLI,Think,7-8,0.8636363636363636
4,31NLI,No-Think,1-2,1.5434782608695652
5,31NLI,No-Think,3-4,0.8666666666666667
6,31NLI,No-Think,5-6,0.6086956521739131
7,31NLI,No-Think,7-8,0.717391304347826
8,32CVI,Think,1-2,0.5319148936170213
9,32CVI,Think,3-4,0.5777777777777777
10,32CVI,Think,5-6,0.38636363636363635
11,32CVI,Think,7-8,0.4418604651162791
12,32CVI,No-Think,1-2,0.7608695652173914
13,32CVI,No-Think,3-4,0.75
14,32CVI,No-Think,5-6,0.7045454545454546
15,32CVI,No-Think,7-8,0.5348837209302325
16,34LME,Think,1-2,0.14893617021276595
17,34LME,Think,3-4,0.3111111111111111
18,34LME,Think,5-6,0.15625
19,34LME,Think,7-8,0.08695652173913043
20,34LME,No-Think,1-2,0.574468085106383
21,34LME,No-Think,3-4,0.3695652173913043
22,34LME,No-Think,5-6,0.17142857142857143
23,34LME,No-Think,7-8,0.043478260869565216
24,35QSY,Think,1-2,0.7083333333333334
25,35QSY,Think,3-4,0.9583333333333334
26,35QSY,Think,5-6,0.6808510638297872
27,35QSY,Think,7-8,0.7708333333333334
28,35QSY,No-Think,1-2,0.7872340425531915
29,35QSY,No-Think,3-4,0.851063829787234
30,35QSY,No-Think,5-6,0.7291666666666666
31,35QSY,No-Think,7-8,0.6086956521739131
32,36LSA,Think,1-2,1.4090909090909092
33,36LSA,Think,3-4,0.9047619047619048
34,36LSA,Think,5-6,1.2571428571428571
35,36LSA,Think,7-8,1.1764705882352942
36,36LSA,No-Think,1-2,1.0208333333333333
37,36LSA,No-Think,3-4,1.0434782608695652
38,36LSA,No-Think,5-6,1.1951219512195121
39,36LSA,No-Think,7-8,0.825
40,37BMA,Think,1-2,1.7291666666666667
41,37BMA,Think,3-4,1.4791666666666667
42,37BMA,Think,5-6,1.4791666666666667
43,37BMA,Think,7-8,1.5208333333333333
44,37BMA,No-Think,1-2,1.6458333333333333
45,37BMA,No-Think,3-4,2.0208333333333335
46,37BMA,No-Think,5-6,2.3333333333333335
47,37BMA,No-Think,7-8,1.9166666666666667
48,38MAX,Think,1-2,0.625
49,38MAX,Think,3-4,0.6666666666666666
50,38MAX,Think,5-6,0.6666666666666666
51,38MAX,Think,7-8,0.5106382978723404
52,38MAX,No-Think,1-2,1.2083333333333333
53,38MAX,No-Think,3-4,1.3333333333333333
54,38MAX,No-Think,5-6,0.8125
55,38MAX,No-Think,7-8,0.7083333333333334
56,39BDA,Think,1-2,1.3478260869565217
57,39BDA,Think,3-4,1.108695652173913
58,39BDA,Think,5-6,0.8888888888888888
59,39BDA,Think,7-8,0.8222222222222222
60,39BDA,No-Think,1-2,0.6458333333333334
61,39BDA,No-Think,3-4,0.5434782608695652
62,39BDA,No-Think,5-6,0.7872340425531915
63,39BDA,No-Think,7-8,0.8888888888888888
64,40MMA,Think,1-2,0.4166666666666667
65,40MMA,Think,3-4,0.5
66,40MMA,Think,5-6,0.3617021276595745
67,40MMA,Think,7-8,0.40425531914893614
68,40MMA,No-Think,1-2,0.3958333333333333
69,40MMA,No-Think,3-4,0.4791666666666667
70,40MMA,No-Think,5-6,0.3958333333333333
71,40MMA,No-Think,7-8,0.4583333333333333
72,41BAL,Think,1-2,1.434782608695652
73,41BAL,Think,3-4,1.391304347826087
74,41BAL,Think,5-6,2.0714285714285716
75,41BAL,Think,7-8,2.142857142857143
76,41BAL,No-Think,1-2,1.0222222222222221
77,41BAL,No-Think,3-4,1.075
78,41BAL,No-Think,5-6,1.3125
79,41BAL,No-Think,7-8,1.7297297297297298
80,42SPE,Think,1-2,3.1818181818181817
81,42SPE,Think,3-4,2.159090909090909
82,42SPE,Think,5-6,2.13953488372093
83,42SPE,Think,7-8,1.3255813953488371
84,42SPE,No-Think,1-2,2.8125
85,42SPE,No-Think,3-4,2.5208333333333335
86,42SPE,No-Think,5-6,2.1458333333333335
87,42SPE,No-Think,7-8,0.975609756097561
88,44SMU,Think,1-2,0.9375
89,44SMU,Think,3-4,0.9333333333333333
90,44SMU,Think,5-6,0.9574468085106383
91,44SMU,Think,7-8,1.391304347826087
92,44SMU,No-Think,1-2,1.5208333333333333
93,44SMU,No-Think,3-4,0.9318181818181818
94,44SMU,No-Think,5-6,1.1702127659574468
95,44SMU,No-Think,7-8,1.1702127659574468
96,45MJA,Think,1-2,2.1875
97,45MJA,Think,3-4,1.2291666666666667
98,45MJA,Think,5-6,2.130434782608696
99,45MJA,Think,7-8,2.2083333333333335
100,45MJA,No-Think,1-2,2.297872340425532
101,45MJA,No-Think,3-4,1.2916666666666667
102,45MJA,No-Think,5-6,2.2127659574468086
103,45MJA,No-Think,7-8,1.8043478260869565
104,46SQU,Think,1-2,0.425531914893617
105,46SQU,Think,3-4,0.5833333333333334
106,46SQU,Think,5-6,0.6170212765957447
107,46SQU,Think,7-8,0.6595744680851063
108,46SQU,No-Think,1-2,0.5208333333333334
109,46SQU,No-Think,3-4,0.625
110,46SQU,No-Think,5-6,0.5106382978723404
111,46SQU,No-Think,7-8,0.6595744680851063
112,47HMA,Think,1-2,2.0625
113,47HMA,Think,3-4,1.6458333333333333
114,47HMA,Think,5-6,1.0
115,47HMA,Think,7-8,1.0638297872340425
