,Subject,Condition,Block,Events
0,31NLI,Think,1-2,0.9047619047619048
1,31NLI,Think,3-4,1.4523809523809523
2,31NLI,Think,5-6,1.7826086956521738
3,31NLI,Think,7-8,2.0277777777777777
4,32CVI,Think,1-2,0.6046511627906976
5,32CVI,Think,3-4,0.9761904761904762
6,32CVI,Think,5-6,0.9302325581395349
7,32CVI,Think,7-8,0.975609756097561
8,34LME,Think,1-2,0.425531914893617
9,34LME,Think,3-4,0.8372093023255814
10,34LME,Think,5-6,0.2857142857142857
11,34LME,Think,7-8,0.4090909090909091
12,35QSY,Think,1-2,1.2826086956521738
13,35QSY,Think,3-4,1.434782608695652
14,35QSY,Think,5-6,1.391304347826087
15,35QSY,Think,7-8,0.875
16,36LSA,Think,1-2,5.409090909090909
17,36LSA,Think,3-4,5.309523809523809
18,36LSA,Think,5-6,4.828571428571428
19,36LSA,Think,7-8,4.852941176470588
20,37BMA,Think,1-2,0.6304347826086957
21,37BMA,Think,3-4,0.7916666666666666
22,37BMA,Think,5-6,0.7872340425531915
23,37BMA,Think,7-8,0.8125
24,38MAX,Think,1-2,2.6666666666666665
25,38MAX,Think,3-4,2.75
26,38MAX,Think,5-6,3.375
27,38MAX,Think,7-8,3.021276595744681
28,39BDA,Think,1-2,3.8260869565217392
29,39BDA,Think,3-4,4.260869565217392
30,39BDA,Think,5-6,3.75
31,39BDA,Think,7-8,3.911111111111111
32,40MMA,Think,1-2,0.5208333333333334
33,40MMA,Think,3-4,1.0666666666666667
34,40MMA,Think,5-6,0.7021276595744681
35,40MMA,Think,7-8,0.5217391304347826
36,41BAL,Think,1-2,3.869565217391304
37,41BAL,Think,3-4,5.021739130434782
38,41BAL,Think,5-6,6.428571428571429
39,41BAL,Think,7-8,6.057142857142857
40,42SPE,Think,1-2,1.619047619047619
41,42SPE,Think,3-4,2.627906976744186
42,42SPE,Think,5-6,2.8095238095238093
43,42SPE,Think,7-8,2.951219512195122
44,44SMU,Think,1-2,4.041666666666667
45,44SMU,Think,3-4,3.6
46,44SMU,Think,5-6,3.8085106382978724
47,44SMU,Think,7-8,4.155555555555556
48,45MJA,Think,1-2,1.851063829787234
49,45MJA,Think,3-4,1.7446808510638299
50,45MJA,Think,5-6,1.9565217391304348
51,45MJA,Think,7-8,1.5416666666666667
52,46SQU,Think,1-2,8.914893617021276
53,46SQU,Think,3-4,9.3125
54,46SQU,Think,5-6,8.361702127659575
55,46SQU,Think,7-8,8.574468085106384
56,47HMA,Think,1-2,10.166666666666666
57,47HMA,Think,3-4,8.375
58,47HMA,Think,5-6,7.375
59,47HMA,Think,7-8,6.787234042553192
60,50JOC,Think,1-2,2.255813953488372
61,50JOC,Think,3-4,3.8378378378378377
62,50JOC,Think,5-6,2.72972972972973
63,50JOC,Think,7-8,2.1875
64,52PFA,Think,1-2,3.0444444444444443
65,52PFA,Think,3-4,3.688888888888889
66,52PFA,Think,5-6,3.6363636363636362
67,52PFA,Think,7-8,3.642857142857143
68,53SMA,Think,1-2,7.9787234042553195
69,53SMA,Think,3-4,6.127659574468085
70,53SMA,Think,5-6,7.148936170212766
71,53SMA,Think,7-8,6.127659574468085
72,55MNI,Think,1-2,4.127659574468085
73,55MNI,Think,3-4,5.565217391304348
74,55MNI,Think,5-6,4.4523809523809526
75,55MNI,Think,7-8,4.675675675675675
76,56BCL,Think,1-2,13.541666666666666
77,56BCL,Think,3-4,13.391304347826088
78,56BCL,Think,5-6,13.0
79,56BCL,Think,7-8,12.571428571428571
80,57NCO,Think,1-2,1.0434782608695652
81,57NCO,Think,3-4,0.9574468085106383
82,57NCO,Think,5-6,1.0212765957446808
83,57NCO,Think,7-8,0.8888888888888888
84,58BAN,Think,1-2,0.2857142857142857
85,58BAN,Think,3-4,0.3333333333333333
86,58BAN,Think,5-6,0.08695652173913043
87,58BAN,Think,7-8,0.19047619047619047
88,59DIN,Think,1-2,1.1555555555555554
89,59DIN,Think,3-4,0.8666666666666667
90,59DIN,Think,5-6,0.9333333333333333
91,59DIN,Think,7-8,1.0227272727272727
92,60CAN,Think,1-2,4.842105263157895
93,60CAN,Think,3-4,6.368421052631579
94,60CAN,Think,5-6,5.464285714285714
95,60CAN,Think,7-8,5.142857142857143
