,Block,Condition,Emotion,Image,IntrusionRating,Length,Subject,Timing
0,1.0,Think,Emotion,People_217_h.jpg,3.0,40.0,31NLI,2950.0
1,1.0,Think,Emotion,People_077_v.jpg,3.0,40.0,31NLI,970.0
2,1.0,Think,Emotion,People_077_v.jpg,3.0,40.0,31NLI,2500.0
3,1.0,Think,Emotion,People_077_v.jpg,3.0,40.0,31NLI,2580.0
4,1.0,Think,Neutral,People_179_h.jpg,3.0,40.0,31NLI,830.0
5,1.0,Think,Neutral,People_179_h.jpg,3.0,40.0,31NLI,2420.0
6,1.0,Think,Emotion,Animals_041_h.jpg,3.0,40.0,31NLI,1370.0
7,1.0,Think,Emotion,Animals_041_h.jpg,3.0,40.0,31NLI,1920.0
8,1.0,Think,Neutral,Objects_049_h.jpg,3.0,40.0,31NLI,2150.0
9,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,220.0
10,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,620.0
11,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,970.0
12,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,1220.0
13,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,1700.0
14,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,1830.0
15,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,1970.0
16,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,2160.0
17,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,2560.0
18,1.0,Think,Emotion,Objects_126_h.jpg,1.0,40.0,31NLI,2650.0
19,1.0,Think,Neutral,People_091_h.jpg,3.0,40.0,31NLI,1270.0
20,1.0,Think,Neutral,People_091_h.jpg,3.0,40.0,31NLI,1520.0
21,1.0,Think,Neutral,People_091_h.jpg,3.0,40.0,31NLI,2390.0
22,1.0,Think,Emotion,People_220_h.jpg,3.0,40.0,31NLI,1190.0
23,1.0,Think,Emotion,People_220_h.jpg,3.0,40.0,31NLI,1400.0
24,1.0,Think,Emotion,People_220_h.jpg,3.0,40.0,31NLI,1710.0
