,Subject,Condition,Emotion,Block,Image,Intrusion,Length
0,31NLI,Think,Emotion,1,People_217_h.jpg,2160,20
1,31NLI,Think,Emotion,1,People_217_h.jpg,2380,20
2,31NLI,Think,Emotion,1,People_217_h.jpg,2520,20
3,31NLI,Think,Neutral,1,People_179_h.jpg,700,20
4,31NLI,Think,Neutral,1,People_179_h.jpg,830,20
5,31NLI,Think,Emotion,1,Animals_041_h.jpg,880,20
6,31NLI,Think,Neutral,1,Objects_049_h.jpg,2000,20
7,31NLI,Think,Emotion,1,Animals_078_h.jpg,1380,20
8,31NLI,Think,Emotion,1,Animals_078_h.jpg,2050,20
9,31NLI,Think,Neutral,1,Faces_219_v.jpg,2660,20
10,31NLI,Think,Emotion,1,Objects_154_h.jpg,1080,20
11,31NLI,Think,Emotion,1,Objects_154_h.jpg,1940,20
12,31NLI,Think,Emotion,1,Objects_154_h.jpg,2140,20
13,31NLI,Think,Emotion,1,Objects_011_h.jpg,2130,20
14,31NLI,Think,Emotion,1,Objects_023_v.jpg,220,20
15,31NLI,Think,Emotion,1,Objects_023_v.jpg,330,20
16,31NLI,Think,Emotion,1,Objects_023_v.jpg,1050,20
17,31NLI,Think,Emotion,1,Objects_023_v.jpg,1540,20
18,31NLI,Think,Emotion,1,People_209_v.jpg,1380,20
19,31NLI,Think,Emotion,1,People_209_v.jpg,2750,20
20,31NLI,Think,Neutral,1,Animals_097_h.jpg,1090,20
21,31NLI,Think,Emotion,2,Animals_078_h.jpg,240,20
22,31NLI,Think,Emotion,2,Animals_078_h.jpg,430,20
23,31NLI,Think,Emotion,2,Animals_078_h.jpg,1030,20
24,31NLI,Think,Emotion,2,Animals_078_h.jpg,1280,20
25,31NLI,Think,Emotion,2,Animals_078_h.jpg,1390,20
26,31NLI,Think,Emotion,2,Animals_078_h.jpg,2110,20
27,31NLI,Think,Emotion,2,Animals_078_h.jpg,2320,20
28,31NLI,Think,Neutral,2,People_148_h.jpg,250,20
29,31NLI,Think,Neutral,2,People_179_h.jpg,1790,20
30,31NLI,Think,Neutral,2,People_179_h.jpg,2090,20
31,31NLI,Think,Neutral,2,Animals_213_h.jpg,420,20
32,31NLI,Think,Neutral,2,Animals_213_h.jpg,560,20
33,31NLI,Think,Neutral,2,Animals_213_h.jpg,2460,20
34,31NLI,Think,Emotion,2,Objects_023_v.jpg,830,20
35,31NLI,Think,Neutral,2,Objects_242_h.jpg,980,20
36,31NLI,Think,Neutral,2,People_097_h.jpg,280,20
37,31NLI,Think,Neutral,2,People_097_h.jpg,1180,20
38,31NLI,Think,Neutral,3,People_179_h.jpg,650,20
39,31NLI,Think,Emotion,3,Objects_011_h.jpg,2400,20
40,31NLI,Think,Neutral,3,People_091_h.jpg,1010,20
41,31NLI,Think,Neutral,3,People_091_h.jpg,1220,20
42,31NLI,Think,Neutral,3,People_091_h.jpg,2140,20
43,31NLI,Think,Neutral,3,Objects_242_h.jpg,2930,20
44,31NLI,Think,Neutral,3,People_148_h.jpg,210,20
45,31NLI,Think,Neutral,3,People_148_h.jpg,970,20
46,31NLI,Think,Neutral,3,Animals_132_h.jpg,540,20
47,31NLI,Think,Neutral,3,Animals_132_h.jpg,1760,20
48,31NLI,Think,Neutral,3,Animals_132_h.jpg,2150,20
49,31NLI,Think,Neutral,3,Animals_132_h.jpg,2220,20
50,31NLI,Think,Emotion,3,People_209_v.jpg,1350,20
51,31NLI,Think,Emotion,3,People_209_v.jpg,2740,20
52,31NLI,Think,Neutral,3,Animals_097_h.jpg,2210,20
53,31NLI,Think,Neutral,3,Animals_097_h.jpg,2570,20
54,31NLI,Think,Emotion,3,Animals_041_h.jpg,480,20
55,31NLI,Think,Neutral,3,Faces_219_v.jpg,1430,20
56,31NLI,Think,Neutral,3,Faces_219_v.jpg,1730,20
57,31NLI,Think,Emotion,3,Objects_126_h.jpg,970,20
58,31NLI,Think,Emotion,3,Objects_126_h.jpg,1530,20
59,31NLI,Think,Emotion,4,Objects_023_v.jpg,1280,20
60,31NLI,Think,Emotion,4,Objects_023_v.jpg,1450,20
61,31NLI,Think,Emotion,4,Objects_023_v.jpg,1800,20
62,31NLI,Think,Emotion,4,Objects_023_v.jpg,2070,20
63,31NLI,Think,Neutral,4,Animals_132_h.jpg,2110,20
64,31NLI,Think,Neutral,4,Animals_132_h.jpg,2390,20
65,31NLI,Think,Emotion,4,People_209_v.jpg,920,20
66,31NLI,Think,Neutral,4,People_148_h.jpg,910,20
67,31NLI,Think,Neutral,4,People_148_h.jpg,1430,20
68,31NLI,Think,Neutral,4,People_148_h.jpg,1820,20
69,31NLI,Think,Emotion,4,Animals_078_h.jpg,2320,20
70,31NLI,Think,Emotion,4,Animals_078_h.jpg,2610,20
71,31NLI,Think,Neutral,4,Animals_213_h.jpg,850,20
72,31NLI,Think,Neutral,4,Animals_097_h.jpg,480,20
73,31NLI,Think,Neutral,4,Animals_097_h.jpg,2100,20
74,31NLI,Think,Emotion,4,Objects_126_h.jpg,260,20
75,31NLI,Think,Emotion,4,People_220_h.jpg,2420,20
76,31NLI,Think,Emotion,4,Animals_039_h.jpg,950,20
77,31NLI,Think,Emotion,4,Objects_088_h.jpg,340,20
78,31NLI,Think,Emotion,4,Objects_088_h.jpg,930,20
79,31NLI,Think,Emotion,4,Objects_088_h.jpg,2080,20
80,31NLI,Think,Emotion,4,Objects_088_h.jpg,2290,20
81,31NLI,Think,Emotion,4,Objects_088_h.jpg,2420,20
82,31NLI,Think,Emotion,4,Objects_088_h.jpg,2830,20
83,31NLI,Think,Emotion,4,Objects_088_h.jpg,2950,20
84,31NLI,Think,Neutral,4,People_091_h.jpg,740,20
85,31NLI,Think,Neutral,4,People_091_h.jpg,1350,20
86,31NLI,Think,Neutral,4,People_091_h.jpg,1590,20
87,31NLI,Think,Neutral,4,People_091_h.jpg,1840,20
