,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Emotion,47118,People_217_h.jpg,3,1
1,1,No-Think,Emotion,52620,Faces_368_h.jpg,1,1
2,2,Think,Neutral,57839,Faces_211_h.jpg,3,1
3,3,Think,Emotion,63541,People_077_v.jpg,3,1
4,4,No-Think,Neutral,68643,Faces_292_h.jpg,3,1
5,5,Think,Neutral,74362,People_179_h.jpg,3,1
6,6,No-Think,Neutral,79631,People_095_h.jpg,3,1
7,7,Think,Neutral,85483,Animals_132_h.jpg,3,1
8,8,Think,Emotion,90635,Animals_041_h.jpg,3,1
9,9,No-Think,Neutral,96120,People_164_h.jpg,3,1
10,10,Think,Neutral,101889,Objects_049_h.jpg,3,1
11,11,Think,Emotion,106675,Objects_126_h.jpg,1,1
12,12,Think,Neutral,113110,People_091_h.jpg,3,1
13,13,Think,Emotion,118062,People_220_h.jpg,3,1
14,14,No-Think,Neutral,123164,Animals_088_h.jpg,3,1
15,15,Think,Emotion,130417,Animals_039_h.jpg,3,1
16,16,No-Think,Emotion,135603,Objects_022_h.jpg,3,1
17,17,No-Think,Neutral,142572,Objects_200_h.jpg,1,1
18,18,No-Think,Emotion,147641,People_090_v.jpg,3,1
19,19,No-Think,Neutral,152392,Animals_043_h.jpg,3,1
20,20,No-Think,Neutral,157394,Faces_306_v.jpg,3,1
21,21,No-Think,Emotion,162947,People_019_v.jpg,3,1
23,23,No-Think,Neutral,174384,People_249_h.jpg,3,1
24,24,Think,Emotion,180053,Objects_088_h.jpg,3,1
25,25,Think,Emotion,185188,Animals_078_h.jpg,3,1
26,26,No-Think,Emotion,190107,People_205_v.jpg,3,1
27,27,No-Think,Emotion,195026,Objects_010_h.jpg,3,1
28,28,No-Think,Neutral,201728,People_035_h.jpg,3,1
29,29,Think,Neutral,207097,Faces_219_v.jpg,3,1
30,30,Think,Neutral,211915,Animals_213_h.jpg,1,1
32,32,No-Think,Emotion,223270,People_204_v.jpg,3,1
33,33,No-Think,Emotion,228339,Objects_006_h.jpg,3,1
34,34,Think,Neutral,233424,People_148_h.jpg,3,1
35,35,Think,Emotion,238092,Objects_154_h.jpg,3,1
36,36,Think,Emotion,243211,Objects_011_h.jpg,3,1
37,37,Think,Emotion,248313,Objects_023_v.jpg,3,1
38,38,Think,Emotion,253315,People_209_v.jpg,3,1
39,39,Think,Neutral,258350,Animals_097_h.jpg,3,1
40,40,No-Think,Emotion,263686,Animals_065_h.jpg,3,1
41,41,No-Think,Neutral,268804,Objects_029_h.jpg,3,1
42,42,No-Think,Emotion,273823,Animals_008_v.jpg,3,1
43,43,Think,Neutral,278992,Objects_242_h.jpg,3,1
44,44,Think,Neutral,283761,People_097_h.jpg,3,1
45,45,No-Think,Neutral,288680,Animals_105_h.jpg,3,1
46,46,No-Think,Emotion,293631,Faces_156_h.jpg,3,1
47,47,No-Think,Neutral,299300,Faces_123_h.jpg,3,1
48,48,Think,Emotion,305585,Animals_078_h.jpg,3,2
49,49,No-Think,Neutral,310504,People_164_h.jpg,3,2
51,51,No-Think,Neutral,321808,Objects_200_h.jpg,1,2
52,52,No-Think,Emotion,326710,Objects_010_h.jpg,3,2
53,53,Think,Neutral,331929,People_148_h.jpg,3,2
54,54,No-Think,Emotion,337798,People_090_v.jpg,3,2
55,55,Think,Neutral,343333,People_179_h.jpg,3,2
56,56,No-Think,Emotion,348385,Animals_008_v.jpg,3,2
57,57,Think,Emotion,353254,Objects_011_h.jpg,3,2
58,58,No-Think,Neutral,358122,Animals_088_h.jpg,3,2
59,59,Think,Neutral,363958,Faces_211_h.jpg,1,2
60,60,No-Think,Emotion,369594,Animals_065_h.jpg,3,2
61,61,Think,Neutral,375162,Animals_213_h.jpg,3,2
62,62,No-Think,Emotion,380131,Faces_368_h.jpg,3,2
63,63,Think,Emotion,385033,Objects_023_v.jpg,3,2
64,64,Think,Neutral,389985,Animals_132_h.jpg,3,2
65,65,Think,Emotion,395337,People_209_v.jpg,3,2
66,66,Think,Emotion,401273,Animals_039_h.jpg,3,2
67,67,No-Think,Neutral,406258,Faces_306_v.jpg,3,2
68,68,Think,Emotion,411160,Animals_041_h.jpg,3,2
69,69,Think,Emotion,416095,Objects_088_h.jpg,3,2
70,70,Think,Neutral,420980,Animals_097_h.jpg,3,2
71,71,No-Think,Neutral,425715,Animals_043_h.jpg,3,2
72,72,No-Think,Neutral,430484,People_095_h.jpg,3,2
73,73,Think,Neutral,435853,Objects_049_h.jpg,3,2
74,74,No-Think,Neutral,440605,People_035_h.jpg,3,2
75,75,Think,Emotion,445340,People_077_v.jpg,3,2
76,76,Think,Neutral,450425,Objects_242_h.jpg,3,2
77,77,No-Think,Emotion,455144,Objects_022_h.jpg,3,2
78,78,No-Think,Neutral,460162,Objects_029_h.jpg,3,2
79,79,No-Think,Emotion,465331,People_204_v.jpg,3,2
80,80,Think,Emotion,470666,People_217_h.jpg,3,2
81,81,No-Think,Neutral,475501,Animals_105_h.jpg,1,2
82,82,Think,Emotion,480537,Objects_126_h.jpg,1,2
