,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Neutral,186722,People_179_h.jpg,3,1
1,1,Think,Neutral,192591,People_148_h.jpg,1,1
2,2,Think,Emotion,198543,People_209_v.jpg,3,1
3,3,No-Think,Neutral,203595,Animals_105_h.jpg,2,1
4,4,No-Think,Neutral,209130,People_249_h.jpg,1,1
5,5,No-Think,Neutral,214632,Animals_088_h.jpg,1,1
6,6,No-Think,Neutral,219634,Animals_043_h.jpg,1,1
7,7,Think,Neutral,224853,Animals_097_h.jpg,3,1
8,8,Think,Neutral,230422,Objects_049_h.jpg,1,1
9,9,Think,Emotion,235557,Animals_039_h.jpg,2,1
10,10,Think,Neutral,240609,People_097_h.jpg,3,1
11,11,Think,Neutral,245661,Animals_132_h.jpg,3,1
12,12,No-Think,Neutral,250814,Faces_292_h.jpg,1,1
13,13,Think,Emotion,256149,Objects_011_h.jpg,3,1
14,14,Think,Emotion,261034,Objects_023_v.jpg,2,1
15,15,No-Think,Emotion,265986,People_204_v.jpg,2,1
16,16,Think,Emotion,271038,Animals_078_h.jpg,2,1
17,17,No-Think,Emotion,276424,Objects_010_h.jpg,3,1
18,18,No-Think,Emotion,281675,People_019_v.jpg,1,1
19,19,No-Think,Emotion,287444,Objects_006_h.jpg,1,1
20,20,Think,Emotion,292646,Objects_154_h.jpg,3,1
21,21,No-Think,Emotion,297631,Animals_008_v.jpg,1,1
22,22,No-Think,Neutral,302567,Faces_123_h.jpg,2,1
23,23,No-Think,Emotion,307719,Objects_022_h.jpg,1,1
24,24,Think,Neutral,312971,Faces_184_h.jpg,3,1
25,25,No-Think,Emotion,318239,Animals_065_h.jpg,1,1
26,26,Think,Emotion,323425,People_077_v.jpg,3,1
27,27,No-Think,Neutral,328643,Objects_200_h.jpg,1,1
28,28,No-Think,Emotion,333745,Faces_368_h.jpg,1,1
29,29,Think,Neutral,338764,Faces_211_h.jpg,3,1
30,30,Think,Emotion,343683,People_220_h.jpg,3,1
31,31,No-Think,Emotion,348685,People_090_v.jpg,1,1
32,32,No-Think,Emotion,354087,People_230_h.jpg,1,1
33,33,Think,Emotion,359389,Objects_088_h.jpg,3,1
34,34,No-Think,Neutral,364524,Faces_306_v.jpg,1,1
35,35,Think,Emotion,370226,People_217_h.jpg,3,1
36,36,Think,Emotion,375245,Animals_041_h.jpg,3,1
37,37,No-Think,Neutral,380263,People_035_h.jpg,2,1
38,38,No-Think,Neutral,385433,People_164_h.jpg,1,1
39,39,Think,Emotion,390684,Objects_126_h.jpg,3,1
40,40,No-Think,Emotion,395853,People_205_v.jpg,1,1
41,41,Think,Neutral,400621,Animals_213_h.jpg,3,1
42,42,No-Think,Neutral,405790,People_095_h.jpg,2,1
43,43,Think,Neutral,410575,People_091_h.jpg,3,1
44,44,No-Think,Emotion,415677,Faces_156_h.jpg,2,1
45,45,Think,Neutral,420529,Faces_219_v.jpg,2,1
46,46,No-Think,Neutral,425631,Objects_029_h.jpg,3,1
47,47,Think,Neutral,430783,Objects_242_h.jpg,3,1
48,48,Think,Emotion,436219,Objects_126_h.jpg,3,2
49,49,No-Think,Emotion,441421,Objects_022_h.jpg,1,2
50,50,Think,Neutral,446606,Objects_049_h.jpg,1,2
51,51,Think,Neutral,451424,Animals_213_h.jpg,3,2
52,52,Think,Neutral,456793,Animals_097_h.jpg,3,2
53,53,No-Think,Emotion,461862,People_230_h.jpg,1,2
54,54,No-Think,Neutral,466931,Animals_043_h.jpg,1,2
55,55,Think,Neutral,472216,People_097_h.jpg,3,2
56,56,Think,Neutral,477201,People_179_h.jpg,3,2
57,57,Think,Emotion,482553,Objects_154_h.jpg,3,2
58,58,No-Think,Neutral,487488,People_249_h.jpg,1,2
59,59,Think,Neutral,492557,People_148_h.jpg,2,2
60,60,No-Think,Emotion,497692,Faces_368_h.jpg,1,2
61,61,No-Think,Neutral,502911,Objects_029_h.jpg,1,2
62,62,No-Think,Neutral,507696,Faces_292_h.jpg,1,2
63,63,Think,Neutral,512632,Animals_132_h.jpg,3,2
64,64,Think,Neutral,517583,Objects_242_h.jpg,3,2
65,65,No-Think,Neutral,522919,Objects_200_h.jpg,1,2
66,66,Think,Neutral,528304,Faces_211_h.jpg,3,2
67,67,No-Think,Emotion,533540,Objects_006_h.jpg,2,2
68,68,Think,Emotion,538625,Objects_011_h.jpg,3,2
69,69,Think,Neutral,543610,Faces_219_v.jpg,2,2
70,70,Think,Emotion,548479,People_220_h.jpg,3,2
71,71,Think,Emotion,553581,Animals_041_h.jpg,3,2
72,72,Think,Emotion,558516,Objects_023_v.jpg,3,2
73,73,No-Think,Emotion,563668,Animals_065_h.jpg,1,2
74,74,Think,Emotion,568920,People_209_v.jpg,3,2
77,77,No-Think,Emotion,584409,Animals_008_v.jpg,1,2
78,78,No-Think,Neutral,589612,Faces_306_v.jpg,1,2
79,79,No-Think,Emotion,594563,People_019_v.jpg,1,2
80,80,Think,Emotion,599732,People_077_v.jpg,3,2
81,81,No-Think,Neutral,605017,People_035_h.jpg,1,2
82,82,Think,Emotion,610270,Objects_088_h.jpg,3,2
83,83,No-Think,Neutral,615438,People_095_h.jpg,1,2
84,84,No-Think,Emotion,620624,Objects_010_h.jpg,2,2
85,85,No-Think,Neutral,625492,Faces_123_h.jpg,1,2
87,87,Think,Neutral,636096,People_091_h.jpg,3,2
88,88,No-Think,Neutral,641465,Animals_105_h.jpg,1,2
89,89,Think,Emotion,646617,People_217_h.jpg,3,2
90,90,Think,Emotion,652269,Animals_078_h.jpg,1,2
91,91,No-Think,Emotion,657539,Faces_156_h.jpg,1,2
92,92,No-Think,Emotion,663123,People_205_v.jpg,1,2
93,93,No-Think,Neutral,668742,Animals_088_h.jpg,1,2
94,94,Think,Neutral,673794,Faces_184_h.jpg,3,2
95,95,No-Think,Emotion,679246,People_090_v.jpg,1,2
96,96,Think,Emotion,684415,People_220_h.jpg,3,3
97,98,Think,Neutral,920590,Animals_097_h.jpg,3,3
98,99,No-Think,Emotion,925475,Objects_006_h.jpg,1,3
99,100,No-Think,Emotion,930494,People_019_v.jpg,1,3
100,101,No-Think,Neutral,935713,People_035_h.jpg,1,3
101,102,No-Think,Neutral,941131,Objects_029_h.jpg,2,3
102,103,Think,Neutral,946267,People_179_h.jpg,3,3
103,104,Think,Emotion,951319,Animals_039_h.jpg,3,3
104,105,No-Think,Emotion,956754,People_204_v.jpg,1,3
105,106,No-Think,Neutral,961973,Animals_088_h.jpg,1,3
106,107,Think,Neutral,967192,Animals_213_h.jpg,3,3
107,108,No-Think,Neutral,972394,Faces_292_h.jpg,1,3
108,109,Think,Emotion,977413,People_077_v.jpg,3,3
109,110,No-Think,Neutral,982981,Animals_105_h.jpg,1,3
110,111,Think,Neutral,988383,Faces_219_v.jpg,2,3
111,112,Think,Neutral,993302,Objects_049_h.jpg,1,3
112,113,Think,Neutral,998104,People_091_h.jpg,3,3
113,114,No-Think,Neutral,1002855,People_249_h.jpg,2,3
114,115,Think,Emotion,1007757,Objects_126_h.jpg,3,3
115,116,No-Think,Neutral,1012526,Faces_306_v.jpg,1,3
116,117,No-Think,Emotion,1017544,Animals_065_h.jpg,1,3
117,118,Think,Neutral,1022630,Faces_211_h.jpg,3,3
118,119,No-Think,Emotion,1028082,Objects_010_h.jpg,2,3
119,120,No-Think,Neutral,1033601,Faces_123_h.jpg,1,3
121,122,Think,Emotion,1044189,People_209_v.jpg,3,3
122,123,No-Think,Neutral,1049357,People_095_h.jpg,1,3
123,124,No-Think,Emotion,1054342,Faces_156_h.jpg,1,3
124,125,Think,Emotion,1059427,Objects_154_h.jpg,3,3
125,126,Think,Emotion,1064813,Objects_011_h.jpg,3,3
126,127,Think,Emotion,1070049,Animals_078_h.jpg,2,3
127,128,No-Think,Emotion,1075284,Animals_008_v.jpg,1,3
128,129,No-Think,Neutral,1080819,Animals_043_h.jpg,1,3
129,130,Think,Emotion,1085938,Objects_023_v.jpg,3,3
130,131,No-Think,Emotion,1091423,People_090_v.jpg,1,3
132,133,Think,Emotion,1101360,Animals_041_h.jpg,3,3
133,134,No-Think,Emotion,1106546,People_205_v.jpg,1,3
134,135,No-Think,Emotion,1111748,People_230_h.jpg,1,3
135,136,Think,Neutral,1116766,People_097_h.jpg,3,3
136,137,Think,Neutral,1121668,Animals_132_h.jpg,3,3
137,138,Think,Neutral,1126687,Faces_184_h.jpg,3,3
138,139,Think,Neutral,1131455,People_148_h.jpg,3,3
