,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,90624,Objects_088_h.jpg,1,1
1,1,No-Think,Neutral,96009,Faces_184_h.jpg,2,1
2,2,No-Think,Emotion,101845,Objects_023_v.jpg,1,1
3,3,No-Think,Neutral,106863,Animals_213_h.jpg,2,1
4,4,Think,Neutral,111915,Animals_105_h.jpg,2,1
5,5,Think,Emotion,117817,Animals_065_h.jpg,2,1
6,6,No-Think,Emotion,123020,Animals_078_h.jpg,1,1
7,7,Think,Neutral,127971,People_164_h.jpg,2,1
8,8,No-Think,Neutral,133190,People_091_h.jpg,1,1
9,9,Think,Emotion,138425,People_230_h.jpg,2,1
10,10,No-Think,Emotion,143377,People_209_v.jpg,1,1
11,11,No-Think,Neutral,148713,People_097_h.jpg,2,1
12,12,Think,Emotion,153781,Animals_008_v.jpg,2,1
13,13,No-Think,Emotion,159484,Objects_154_h.jpg,1,1
14,14,No-Think,Emotion,164419,People_077_v.jpg,2,1
15,15,Think,Neutral,169438,Faces_123_h.jpg,3,1
16,16,Think,Emotion,174640,Objects_010_h.jpg,3,1
17,17,Think,Neutral,179892,Objects_029_h.jpg,3,1
18,18,Think,Neutral,184877,Animals_043_h.jpg,3,1
19,19,Think,Neutral,190629,Faces_292_h.jpg,3,1
20,20,No-Think,Neutral,195131,People_148_h.jpg,1,1
21,21,Think,Neutral,199967,People_035_h.jpg,3,1
22,22,Think,Emotion,204685,People_205_v.jpg,3,1
23,23,No-Think,Neutral,211070,Animals_097_h.jpg,2,1
24,24,Think,Neutral,217023,People_249_h.jpg,3,1
25,25,No-Think,Neutral,221991,Animals_132_h.jpg,1,1
26,26,No-Think,Emotion,227310,People_217_h.jpg,1,1
27,27,No-Think,Neutral,232495,Faces_211_h.jpg,2,1
28,28,No-Think,Neutral,237531,Faces_219_v.jpg,1,1
29,29,No-Think,Neutral,242699,People_179_h.jpg,2,1
30,30,No-Think,Emotion,247685,Objects_011_h.jpg,2,1
32,32,Think,Emotion,258606,People_019_v.jpg,3,1
33,33,No-Think,Emotion,263657,People_220_h.jpg,1,1
34,34,Think,Neutral,268743,People_095_h.jpg,3,1
35,35,No-Think,Emotion,281848,Objects_126_h.jpg,1,1
36,36,Think,Emotion,287583,Faces_368_h.jpg,3,1
37,37,No-Think,Emotion,292802,Animals_041_h.jpg,2,1
38,38,No-Think,Neutral,297904,Objects_049_h.jpg,2,1
39,39,Think,Emotion,302956,Faces_156_h.jpg,3,1
40,40,Think,Emotion,307708,People_090_v.jpg,3,1
41,41,No-Think,Neutral,312260,Objects_242_h.jpg,1,1
42,42,Think,Emotion,317628,People_204_v.jpg,2,1
43,43,Think,Neutral,322564,Animals_088_h.jpg,3,1
44,44,Think,Emotion,333301,Objects_006_h.jpg,3,1
45,45,Think,Neutral,338170,Objects_200_h.jpg,3,1
46,46,Think,Emotion,343388,Objects_022_h.jpg,2,1
47,47,Think,Neutral,348907,Faces_306_v.jpg,3,1
48,48,No-Think,Neutral,360162,Faces_211_h.jpg,1,2
49,49,Think,Neutral,366031,People_035_h.jpg,3,2
50,50,Think,Emotion,371499,People_205_v.jpg,3,2
51,51,No-Think,Neutral,377235,People_097_h.jpg,1,2
52,52,Think,Emotion,382554,Animals_008_v.jpg,2,2
53,53,No-Think,Neutral,387806,Objects_049_h.jpg,1,2
54,54,Think,Neutral,393591,Animals_043_h.jpg,3,2
55,55,Think,Emotion,398627,Animals_065_h.jpg,3,2
56,56,Think,Emotion,403979,Objects_022_h.jpg,3,2
57,57,Think,Emotion,409065,Faces_156_h.jpg,3,2
58,58,Think,Neutral,414433,Faces_306_v.jpg,3,2
59,59,No-Think,Neutral,419651,Faces_184_h.jpg,2,2
60,60,No-Think,Neutral,425271,People_179_h.jpg,2,2
61,61,No-Think,Neutral,430256,Objects_242_h.jpg,1,2
62,62,Think,Emotion,435558,People_230_h.jpg,2,2
63,63,Think,Neutral,441843,Objects_200_h.jpg,3,2
64,64,No-Think,Emotion,447245,Objects_088_h.jpg,1,2
65,65,No-Think,Emotion,452814,People_217_h.jpg,1,2
66,66,Think,Neutral,458183,People_095_h.jpg,3,2
67,67,Think,Emotion,463468,People_019_v.jpg,3,2
68,68,No-Think,Neutral,468654,People_091_h.jpg,2,2
69,69,Think,Emotion,474639,People_090_v.jpg,3,2
70,70,No-Think,Emotion,479508,Objects_011_h.jpg,1,2
71,71,Think,Emotion,484843,People_204_v.jpg,2,2
72,72,Think,Neutral,490145,Faces_292_h.jpg,3,2
73,73,Think,Emotion,495731,Objects_006_h.jpg,3,2
74,74,No-Think,Neutral,501000,Animals_132_h.jpg,1,2
75,75,No-Think,Emotion,506118,Objects_023_v.jpg,1,2
76,76,No-Think,Emotion,511354,People_077_v.jpg,1,2
77,77,No-Think,Neutral,516489,Faces_219_v.jpg,2,2
78,78,No-Think,Emotion,521458,Animals_078_h.jpg,1,2
79,79,Think,Neutral,526526,Faces_123_h.jpg,3,2
80,80,No-Think,Emotion,531778,Animals_041_h.jpg,2,2
81,81,Think,Neutral,536714,Objects_029_h.jpg,3,2
82,82,No-Think,Emotion,542482,Objects_126_h.jpg,1,2
