,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,198638,People_223_h.jpg,1,1
1,1,Think,Neutral,206391,Animals_097_h.jpg,3,1
2,2,Think,Emotion,212993,People_077_v.jpg,3,1
3,3,Think,Emotion,218062,Animals_078_h.jpg,3,1
5,5,Think,Neutral,277085,People_097_h.jpg,3,1
6,6,Think,Emotion,284038,Objects_088_h.jpg,3,1
7,7,No-Think,Emotion,289290,Objects_013_h.jpg,1,1
8,8,No-Think,Emotion,294875,Objects_106_v.jpg,2,1
9,9,Think,Neutral,300527,Objects_242_h.jpg,3,1
10,10,No-Think,Neutral,306213,People_149_h.jpg,2,1
11,11,Think,Emotion,311432,Objects_023_v.jpg,3,1
12,12,No-Think,Neutral,317834,Objects_164_h.jpg,1,1
13,13,No-Think,Neutral,323086,Animals_155_v.jpg,2,1
14,14,No-Think,Neutral,328156,People_026_h.jpg,2,1
15,15,Think,Emotion,333424,People_220_h.jpg,3,1
16,16,Think,Neutral,338642,People_148_h.jpg,1,1
17,17,Think,Neutral,344895,Animals_213_h.jpg,3,1
18,18,No-Think,Neutral,350097,People_100_h.jpg,1,1
19,19,Think,Emotion,355149,Objects_126_h.jpg,3,1
20,20,No-Think,Emotion,360517,People_239_h.jpg,2,1
21,21,Think,Emotion,365786,Animals_039_h.jpg,3,1
22,22,No-Think,Emotion,371805,People_213_v.jpg,2,1
23,23,No-Think,Emotion,377441,Faces_296_h.jpg,1,1
24,24,Think,Neutral,382527,People_091_h.jpg,3,1
25,25,No-Think,Emotion,387328,People_247_v.jpg,1,1
26,26,Think,Neutral,392313,Faces_211_h.jpg,3,1
27,27,Think,Neutral,397232,Animals_132_h.jpg,3,1
28,28,No-Think,Neutral,402284,People_151_h.jpg,1,1
29,29,No-Think,Emotion,407386,Objects_007_h.jpg,2,1
30,30,Think,Emotion,412504,Objects_011_h.jpg,3,1
31,31,No-Think,Neutral,417723,Faces_065_h.jpg,2,1
32,32,No-Think,Emotion,423442,Animals_018_h.jpg,1,1
33,33,Think,Neutral,428611,Objects_049_h.jpg,3,1
34,34,Think,Emotion,433663,People_217_h.jpg,3,1
35,35,Think,Emotion,438548,People_209_v.jpg,3,1
