,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,163613,Objects_022_h.jpg,1,1
1,1,Think,Neutral,170649,People_026_h.jpg,3,1
2,2,No-Think,Neutral,178402,Faces_123_h.jpg,2,1
3,3,Think,Emotion,183722,Faces_296_h.jpg,3,1
4,4,No-Think,Neutral,189573,Animals_043_h.jpg,1,1
5,5,No-Think,Emotion,194959,Animals_065_h.jpg,1,1
6,6,Think,Neutral,200227,People_100_h.jpg,3,1
7,7,Think,Emotion,205513,People_247_v.jpg,3,1
8,8,Think,Emotion,210581,Objects_125_h.jpg,3,1
9,9,No-Think,Emotion,215550,People_019_v.jpg,1,1
10,10,Think,Neutral,221753,Faces_065_h.jpg,3,1
11,11,No-Think,Emotion,227438,People_090_v.jpg,1,1
12,12,No-Think,Neutral,233107,Faces_306_v.jpg,2,1
13,13,Think,Emotion,238626,Objects_021_v.jpg,3,1
14,14,Think,Neutral,244295,People_149_h.jpg,3,1
15,15,Think,Neutral,249096,Animals_108_h.jpg,3,1
16,16,Think,Neutral,253948,Objects_164_h.jpg,3,1
17,17,No-Think,Neutral,259100,Objects_200_h.jpg,1,1
18,18,Think,Emotion,265253,Objects_013_h.jpg,3,1
19,19,Think,Emotion,270972,Animals_062_h.jpg,3,1
20,20,Think,Emotion,276140,People_239_h.jpg,3,1
21,21,No-Think,Emotion,281209,People_204_v.jpg,1,1
22,22,No-Think,Emotion,286961,Objects_010_h.jpg,2,1
23,23,No-Think,Emotion,292797,People_205_v.jpg,1,1
24,24,Think,Neutral,298849,Animals_155_v.jpg,3,1
25,25,No-Think,Neutral,303818,People_164_h.jpg,1,1
26,26,No-Think,Emotion,309720,Faces_368_h.jpg,1,1
27,27,Think,Emotion,315005,Objects_007_h.jpg,3,1
28,28,No-Think,Neutral,320174,People_249_h.jpg,1,1
29,29,No-Think,Neutral,326093,Faces_292_h.jpg,1,1
30,30,Think,Emotion,331829,Animals_018_h.jpg,3,1
31,31,Think,Emotion,337131,Objects_106_v.jpg,3,1
32,32,Think,Neutral,342049,People_151_h.jpg,3,1
33,33,No-Think,Neutral,346884,People_095_h.jpg,2,1
34,34,No-Think,Neutral,352604,Objects_029_h.jpg,1,1
35,35,Think,Neutral,358506,Faces_061_h.jpg,3,1
36,36,Think,Emotion,363374,People_223_h.jpg,3,1
37,37,Think,Neutral,368626,People_028_h.jpg,3,1
38,38,No-Think,Emotion,373611,Faces_156_h.jpg,1,1
39,39,No-Think,Emotion,381181,Objects_006_h.jpg,1,1
40,40,No-Think,Emotion,387800,Animals_008_v.jpg,1,1
41,41,Think,Neutral,393336,Objects_270_h.jpg,3,1
42,42,Think,Emotion,401622,People_213_v.jpg,3,1
43,43,No-Think,Emotion,406891,People_230_h.jpg,2,1
44,44,No-Think,Neutral,413060,People_035_h.jpg,1,1
45,45,No-Think,Neutral,418962,Animals_088_h.jpg,3,1
46,46,No-Think,Neutral,425898,Animals_105_h.jpg,1,1
47,47,Think,Neutral,431934,Faces_060_h.jpg,3,1
48,48,Think,Neutral,436653,People_151_h.jpg,3,2
49,49,No-Think,Neutral,441771,Animals_105_h.jpg,1,2
50,50,No-Think,Emotion,447924,Faces_368_h.jpg,1,2
51,51,No-Think,Neutral,453793,Objects_200_h.jpg,1,2
52,52,No-Think,Emotion,459311,Faces_156_h.jpg,1,2
53,53,Think,Emotion,464513,Animals_018_h.jpg,2,2
54,54,No-Think,Neutral,472950,People_164_h.jpg,1,2
55,55,No-Think,Neutral,478069,Faces_306_v.jpg,2,2
