,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Emotion,171933,Animals_065_h.jpg,3,1
1,1,Think,Neutral,176685,People_249_h.jpg,3,1
2,2,No-Think,Emotion,181620,People_213_v.jpg,2,1
3,3,Think,Emotion,186622,People_090_v.jpg,3,1
4,4,No-Think,Emotion,191841,People_247_v.jpg,1,1
5,5,No-Think,Neutral,196776,Animals_108_h.jpg,2,1
6,6,Think,Emotion,201912,Objects_022_h.jpg,3,1
7,7,Think,Neutral,206563,Faces_292_h.jpg,3,1
8,8,No-Think,Neutral,212132,Objects_270_h.jpg,1,1
9,9,No-Think,Neutral,217651,Faces_060_h.jpg,1,1
10,10,No-Think,Neutral,222786,People_149_h.jpg,1,1
11,11,Think,Emotion,228121,Objects_006_h.jpg,3,1
12,12,No-Think,Emotion,233507,People_239_h.jpg,2,1
13,13,Think,Emotion,238492,People_019_v.jpg,3,1
14,14,No-Think,Emotion,243844,People_223_h.jpg,1,1
15,15,Think,Neutral,248980,Objects_200_h.jpg,3,1
16,16,No-Think,Emotion,254048,Objects_007_h.jpg,1,1
17,17,No-Think,Neutral,259384,People_028_h.jpg,2,1
18,18,Think,Neutral,264235,Faces_306_v.jpg,3,1
19,19,No-Think,Emotion,269154,Animals_062_h.jpg,1,1
20,20,No-Think,Neutral,274223,People_026_h.jpg,1,1
21,21,Think,Emotion,279091,Faces_368_h.jpg,3,1
22,22,No-Think,Neutral,284010,People_151_h.jpg,1,1
23,23,No-Think,Neutral,289345,Animals_155_v.jpg,2,1
24,24,Think,Emotion,294631,Objects_010_h.jpg,3,1
25,25,Think,Neutral,299666,Animals_043_h.jpg,3,1
26,26,No-Think,Emotion,304801,Objects_125_h.jpg,1,1
27,27,No-Think,Neutral,309870,People_100_h.jpg,2,1
28,28,No-Think,Neutral,314888,Faces_061_h.jpg,2,1
29,29,Think,Neutral,320224,People_164_h.jpg,3,1
30,30,Think,Emotion,325092,Faces_156_h.jpg,3,1
31,31,No-Think,Emotion,329961,Faces_296_h.jpg,1,1
32,32,Think,Emotion,335080,People_230_h.jpg,3,1
33,33,No-Think,Emotion,339832,Objects_013_h.jpg,1,1
34,34,Think,Emotion,345717,Animals_008_v.jpg,3,1
35,35,Think,Neutral,350686,Animals_088_h.jpg,3,1
36,36,Think,Emotion,355588,People_204_v.jpg,3,1
37,37,Think,Neutral,360640,People_035_h.jpg,3,1
38,38,No-Think,Neutral,365508,Faces_065_h.jpg,1,1
39,39,Think,Neutral,370377,People_095_h.jpg,3,1
40,40,No-Think,Emotion,375712,Animals_018_h.jpg,1,1
41,41,Think,Neutral,380747,Animals_105_h.jpg,3,1
42,42,No-Think,Neutral,385716,Objects_164_h.jpg,1,1
43,43,Think,Emotion,391685,People_205_v.jpg,3,1
44,44,Think,Neutral,396537,Faces_123_h.jpg,3,1
45,45,No-Think,Emotion,401689,Objects_106_v.jpg,2,1
46,46,No-Think,Emotion,406591,Objects_021_v.jpg,2,1
47,47,Think,Neutral,411526,Objects_029_h.jpg,3,1
48,48,Think,Emotion,416395,Animals_008_v.jpg,3,2
49,49,No-Think,Neutral,421413,People_028_h.jpg,1,2
50,50,Think,Emotion,426565,People_230_h.jpg,3,2
51,51,No-Think,Neutral,431767,Faces_061_h.jpg,1,2
52,52,Think,Neutral,437169,Animals_105_h.jpg,3,2
53,53,Think,Emotion,442221,People_090_v.jpg,3,2
54,54,Think,Neutral,447023,People_035_h.jpg,3,2
55,55,Think,Emotion,451742,Faces_156_h.jpg,3,2
56,56,Think,Neutral,456894,Faces_292_h.jpg,3,2
57,57,No-Think,Neutral,462013,People_149_h.jpg,1,2
58,58,No-Think,Neutral,467781,Objects_164_h.jpg,1,2
59,59,No-Think,Emotion,473133,Animals_062_h.jpg,2,2
60,60,Think,Emotion,478035,Animals_065_h.jpg,3,2
61,61,Think,Neutral,483021,Objects_200_h.jpg,3,2
62,62,Think,Neutral,488123,Faces_306_v.jpg,3,2
63,63,Think,Emotion,492991,Faces_368_h.jpg,3,2
64,64,Think,Emotion,498743,People_204_v.jpg,3,2
65,65,No-Think,Emotion,503529,Objects_013_h.jpg,1,2
66,66,No-Think,Emotion,509231,Objects_007_h.jpg,2,2
67,67,Think,Neutral,514216,People_164_h.jpg,3,2
68,68,Think,Neutral,519518,Animals_088_h.jpg,3,2
69,69,Think,Emotion,524170,People_205_v.jpg,3,2
70,70,Think,Emotion,528888,Objects_006_h.jpg,3,2
71,71,No-Think,Neutral,533857,People_151_h.jpg,1,2
72,72,No-Think,Emotion,539743,Faces_296_h.jpg,2,2
73,73,No-Think,Neutral,545428,Faces_060_h.jpg,1,2
74,74,No-Think,Neutral,550497,People_026_h.jpg,3,2
75,75,No-Think,Emotion,555849,People_239_h.jpg,2,2
76,76,No-Think,Emotion,561568,Animals_018_h.jpg,1,2
77,77,No-Think,Emotion,566453,People_213_v.jpg,1,2
78,78,No-Think,Neutral,572055,Objects_270_h.jpg,1,2
79,79,No-Think,Emotion,577140,People_247_v.jpg,1,2
