,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Neutral,161626,People_179_h.jpg,3,1
1,1,No-Think,Neutral,170729,Animals_132_h.jpg,2,1
2,2,No-Think,Emotion,176215,Animals_041_h.jpg,2,1
3,3,No-Think,Emotion,181567,Objects_088_h.jpg,1,1
4,4,No-Think,Emotion,187069,Objects_126_h.jpg,2,1
5,5,Think,Neutral,192271,Animals_108_h.jpg,3,1
6,6,No-Think,Emotion,197690,People_220_h.jpg,2,1
7,7,Think,Neutral,202642,People_026_h.jpg,3,1
8,8,Think,Neutral,207710,Faces_061_h.jpg,3,1
9,9,Think,Emotion,212779,People_239_h.jpg,3,1
10,10,No-Think,Neutral,217781,Faces_184_h.jpg,1,1
11,11,Think,Neutral,222799,Faces_060_h.jpg,3,1
12,12,Think,Emotion,227768,Objects_106_v.jpg,3,1
13,13,No-Think,Neutral,232620,Faces_211_h.jpg,2,1
14,14,No-Think,Emotion,237405,Objects_011_h.jpg,2,1
15,15,Think,Neutral,242157,Objects_270_h.jpg,3,1
16,16,Think,Emotion,247509,Objects_013_h.jpg,3,1
17,17,No-Think,Emotion,252628,Objects_023_v.jpg,2,1
18,18,Think,Emotion,257613,People_223_h.jpg,3,1
19,19,Think,Emotion,262482,Animals_018_h.jpg,3,1
20,20,Think,Neutral,267400,People_149_h.jpg,3,1
21,21,Think,Neutral,272085,Animals_155_v.jpg,3,1
22,22,No-Think,Emotion,277105,People_077_v.jpg,1,1
23,23,No-Think,Neutral,282206,Faces_219_v.jpg,1,1
24,24,No-Think,Neutral,287241,Animals_097_h.jpg,2,1
25,25,No-Think,Emotion,292144,Animals_039_h.jpg,2,1
26,26,No-Think,Emotion,297178,Objects_154_h.jpg,2,1
27,27,Think,Emotion,302380,Animals_062_h.jpg,3,1
28,28,Think,Neutral,307349,People_151_h.jpg,3,1
29,29,Think,Neutral,312134,Faces_065_h.jpg,3,1
30,30,Think,Neutral,316936,People_100_h.jpg,3,1
31,31,Think,Emotion,321921,People_247_v.jpg,3,1
32,32,No-Think,Neutral,326940,Objects_049_h.jpg,1,1
33,33,No-Think,Neutral,331909,Objects_242_h.jpg,1,1
34,34,No-Think,Neutral,336660,Animals_213_h.jpg,1,1
35,35,No-Think,Emotion,341612,Animals_078_h.jpg,2,1
36,36,Think,Neutral,346431,People_028_h.jpg,3,1
