,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Neutral,179198,People_100_h.jpg,3,1
1,1,No-Think,Neutral,184300,Faces_219_v.jpg,2,1
2,2,Think,Neutral,192320,Objects_164_h.jpg,3,1
3,3,Think,Neutral,197772,Faces_060_h.jpg,3,1
4,4,Think,Emotion,203358,People_247_v.jpg,3,1
5,5,Think,Emotion,208593,Objects_007_h.jpg,3,1
6,6,Think,Neutral,213828,Faces_065_h.jpg,3,1
7,7,No-Think,Emotion,219147,Objects_126_h.jpg,1,1
8,8,Think,Neutral,225433,People_149_h.jpg,3,1
9,9,No-Think,Neutral,230652,Animals_213_h.jpg,1,1
10,10,Think,Emotion,236954,Objects_125_h.jpg,3,1
11,11,No-Think,Emotion,242139,Objects_011_h.jpg,1,1
12,12,Think,Neutral,247308,Animals_155_v.jpg,3,1
13,13,No-Think,Emotion,252527,Animals_039_h.jpg,1,1
14,14,Think,Emotion,257545,Objects_013_h.jpg,3,1
15,15,No-Think,Emotion,262798,People_220_h.jpg,1,1
16,16,No-Think,Emotion,267716,People_209_v.jpg,1,1
17,17,No-Think,Neutral,272585,Faces_211_h.jpg,1,1
18,18,Think,Emotion,277670,Objects_021_v.jpg,3,1
19,19,Think,Neutral,283572,Faces_061_h.jpg,3,1
20,20,No-Think,Neutral,288624,Objects_049_h.jpg,2,1
21,21,No-Think,Neutral,294143,Objects_242_h.jpg,2,1
22,22,No-Think,Emotion,300112,Animals_078_h.jpg,1,1
23,23,No-Think,Neutral,305081,People_091_h.jpg,1,1
24,24,No-Think,Emotion,309882,Animals_041_h.jpg,1,1
25,25,No-Think,Emotion,315184,People_077_v.jpg,1,1
26,26,No-Think,Neutral,319603,People_148_h.jpg,2,1
27,27,No-Think,Emotion,324605,Objects_023_v.jpg,2,1
28,28,No-Think,Neutral,330340,People_179_h.jpg,2,1
29,29,Think,Emotion,335859,People_239_h.jpg,3,1
30,30,No-Think,Neutral,340911,Animals_097_h.jpg,1,1
31,31,Think,Emotion,347114,Animals_062_h.jpg,3,1
32,32,Think,Emotion,351865,People_223_h.jpg,3,1
33,33,No-Think,Emotion,356834,Objects_154_h.jpg,1,1
34,34,No-Think,Neutral,362169,People_097_h.jpg,1,1
35,35,No-Think,Emotion,366988,People_217_h.jpg,1,1
36,36,Think,Neutral,371840,People_026_h.jpg,3,1
37,37,Think,Emotion,376575,Objects_106_v.jpg,3,1
38,38,Think,Neutral,381810,People_028_h.jpg,3,1
39,39,Think,Neutral,387046,Objects_270_h.jpg,3,1
40,40,No-Think,Neutral,391964,Faces_184_h.jpg,1,1
41,41,Think,Emotion,397200,Faces_296_h.jpg,3,1
42,42,No-Think,Emotion,402152,Objects_088_h.jpg,1,1
43,43,Think,Emotion,407487,People_213_v.jpg,3,1
44,44,No-Think,Neutral,412606,Animals_132_h.jpg,2,1
45,45,Think,Neutral,417908,People_151_h.jpg,3,1
46,46,Think,Emotion,424844,Animals_018_h.jpg,3,1
47,47,Think,Neutral,430546,Animals_108_h.jpg,3,1
48,48,No-Think,Neutral,435681,Faces_211_h.jpg,1,2
49,49,Think,Neutral,440733,Faces_060_h.jpg,3,2
50,50,No-Think,Emotion,445818,Animals_078_h.jpg,1,2
51,51,No-Think,Emotion,451637,People_220_h.jpg,1,2
52,52,Think,Emotion,457073,Objects_125_h.jpg,3,2
53,53,Think,Neutral,461991,Animals_108_h.jpg,3,2
54,54,Think,Emotion,467227,Faces_296_h.jpg,3,2
55,55,Think,Neutral,472279,Animals_155_v.jpg,3,2
56,56,Think,Neutral,477364,People_028_h.jpg,3,2
57,57,No-Think,Emotion,482383,Animals_041_h.jpg,1,2
58,58,No-Think,Emotion,487802,Objects_023_v.jpg,1,2
59,59,Think,Emotion,492854,Objects_021_v.jpg,3,2
60,60,No-Think,Neutral,497973,Objects_242_h.jpg,1,2
61,61,Think,Neutral,503124,Objects_164_h.jpg,3,2
62,62,No-Think,Neutral,507893,People_179_h.jpg,1,2
63,63,No-Think,Emotion,513245,Animals_039_h.jpg,1,2
64,64,Think,Neutral,518380,People_100_h.jpg,3,2
65,65,Think,Emotion,523099,Animals_018_h.jpg,3,2
66,66,Think,Neutral,528317,People_151_h.jpg,3,2
67,67,Think,Neutral,533153,People_149_h.jpg,3,2
68,68,No-Think,Emotion,538255,Objects_011_h.jpg,1,2
69,69,Think,Neutral,543890,Faces_065_h.jpg,3,2
70,70,No-Think,Emotion,548975,Objects_126_h.jpg,1,2
71,71,Think,Emotion,554094,Animals_062_h.jpg,3,2
72,72,Think,Neutral,558846,People_026_h.jpg,3,2
73,73,No-Think,Neutral,563764,Faces_219_v.jpg,2,2
74,74,No-Think,Emotion,568983,Objects_154_h.jpg,2,2
75,75,No-Think,Neutral,574002,Objects_049_h.jpg,1,2
76,76,No-Think,Neutral,578870,People_091_h.jpg,1,2
77,77,Think,Emotion,584039,Objects_013_h.jpg,2,2
78,78,Think,Neutral,590608,Faces_061_h.jpg,3,2
79,79,No-Think,Neutral,596044,Animals_213_h.jpg,1,2
80,80,No-Think,Neutral,601679,People_148_h.jpg,1,2
81,81,Think,Emotion,606648,People_239_h.jpg,3,2
82,82,Think,Emotion,611616,People_223_h.jpg,3,2
83,83,No-Think,Neutral,616518,Animals_097_h.jpg,3,2
84,84,Think,Neutral,621870,Objects_270_h.jpg,3,2
85,85,No-Think,Neutral,626956,People_097_h.jpg,1,2
86,86,No-Think,Emotion,631941,People_217_h.jpg,1,2
87,87,No-Think,Neutral,637010,Animals_132_h.jpg,2,2
88,88,No-Think,Emotion,641795,Objects_088_h.jpg,1,2
89,89,Think,Emotion,647080,People_247_v.jpg,3,2
90,90,Think,Emotion,652132,Objects_106_v.jpg,3,2
91,91,No-Think,Emotion,658051,People_209_v.jpg,1,2
92,92,Think,Emotion,663321,People_213_v.jpg,3,2
93,93,Think,Emotion,668255,Objects_007_h.jpg,3,2
94,94,No-Think,Neutral,673607,Faces_184_h.jpg,3,2
95,95,No-Think,Emotion,678743,People_077_v.jpg,1,2
96,96,Think,Neutral,684028,Objects_164_h.jpg,3,3
97,98,No-Think,Neutral,989763,People_179_h.jpg,1,3
98,99,No-Think,Emotion,994649,People_209_v.jpg,1,3
99,100,No-Think,Emotion,999517,Objects_126_h.jpg,1,3
100,101,Think,Neutral,1004819,People_100_h.jpg,3,3
101,102,No-Think,Neutral,1009771,Animals_132_h.jpg,1,3
102,103,Think,Emotion,1015323,Objects_007_h.jpg,3,3
103,104,No-Think,Neutral,1020275,People_097_h.jpg,1,3
104,105,Think,Neutral,1025411,Objects_270_h.jpg,3,3
105,106,Think,Neutral,1030513,Animals_155_v.jpg,3,3
106,107,Think,Emotion,1035531,Objects_021_v.jpg,3,3
107,108,Think,Neutral,1040617,People_028_h.jpg,3,3
108,109,No-Think,Neutral,1046269,People_148_h.jpg,1,3
109,110,No-Think,Emotion,1051421,People_217_h.jpg,1,3
110,111,Think,Emotion,1056906,Objects_125_h.jpg,3,3
111,112,No-Think,Emotion,1062225,Objects_088_h.jpg,1,3
112,113,No-Think,Neutral,1067394,Faces_184_h.jpg,1,3
113,114,Think,Emotion,1072862,Objects_106_v.jpg,3,3
114,115,Think,Neutral,1077998,Faces_061_h.jpg,3,3
115,116,No-Think,Neutral,1082816,Animals_097_h.jpg,1,3
116,117,Think,Neutral,1087952,People_149_h.jpg,3,3
117,118,Think,Emotion,1093505,Animals_062_h.jpg,3,3
118,119,No-Think,Emotion,1098623,Objects_023_v.jpg,1,3
119,120,No-Think,Neutral,1103608,Objects_049_h.jpg,1,3
120,121,No-Think,Neutral,1108694,Faces_211_h.jpg,1,3
121,122,Think,Emotion,1113695,Faces_296_h.jpg,3,3
122,123,No-Think,Emotion,1118530,People_220_h.jpg,1,3
123,124,No-Think,Neutral,1123682,Faces_219_v.jpg,1,3
124,125,Think,Emotion,1128634,Animals_018_h.jpg,3,3
125,126,Think,Neutral,1133519,Faces_060_h.jpg,3,3
126,127,No-Think,Emotion,1139038,Animals_041_h.jpg,1,3
127,128,Think,Emotion,1144790,People_239_h.jpg,3,3
128,129,Think,Neutral,1150259,Faces_065_h.jpg,3,3
129,130,No-Think,Emotion,1155278,Animals_039_h.jpg,1,3
130,131,Think,Emotion,1160363,People_213_v.jpg,3,3
131,132,No-Think,Neutral,1165298,Animals_213_h.jpg,1,3
