,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Neutral,145210,Objects_049_h.jpg,2,1
1,1,No-Think,Neutral,150529,Faces_060_h.jpg,1,1
2,2,No-Think,Emotion,156715,People_247_v.jpg,1,1
3,3,Think,Emotion,163367,Objects_154_h.jpg,3,1
4,4,No-Think,Neutral,168435,Animals_108_h.jpg,2,1
5,5,No-Think,Neutral,174287,People_100_h.jpg,2,1
7,7,No-Think,Neutral,185225,Animals_155_v.jpg,2,1
8,8,No-Think,Emotion,191477,Objects_013_h.jpg,1,1
9,9,No-Think,Emotion,197229,Objects_007_h.jpg,2,1
10,10,No-Think,Emotion,203064,People_239_h.jpg,1,1
11,11,Think,Neutral,208966,Faces_219_v.jpg,3,1
12,12,Think,Neutral,213885,Objects_242_h.jpg,2,1
13,13,Think,Emotion,219687,Objects_126_h.jpg,3,1
14,14,No-Think,Emotion,224505,Objects_106_v.jpg,2,1
15,15,No-Think,Emotion,230591,Animals_018_h.jpg,2,1
16,16,No-Think,Neutral,236243,Faces_061_h.jpg,2,1
17,17,No-Think,Emotion,242162,Animals_062_h.jpg,2,1
18,18,No-Think,Neutral,248731,Faces_065_h.jpg,2,1
19,19,No-Think,Neutral,254299,Objects_270_h.jpg,2,1
20,20,Think,Emotion,259885,Objects_011_h.jpg,3,1
22,22,Think,Neutral,269188,People_091_h.jpg,2,1
23,23,Think,Emotion,286561,Objects_023_v.jpg,3,1
24,24,No-Think,Neutral,291512,People_149_h.jpg,2,1
25,25,No-Think,Emotion,297031,Objects_125_h.jpg,2,1
26,26,No-Think,Emotion,302666,Objects_021_v.jpg,2,1
27,27,Think,Neutral,308202,Faces_184_h.jpg,1,1
28,28,No-Think,Neutral,313270,People_026_h.jpg,1,1
29,29,No-Think,Emotion,320073,People_213_v.jpg,2,1
30,30,Think,Neutral,325775,People_097_h.jpg,3,1
31,31,No-Think,Neutral,331143,Objects_164_h.jpg,2,1
32,32,No-Think,Neutral,337029,People_151_h.jpg,1,1
33,33,Think,Neutral,344465,Animals_213_h.jpg,3,1
34,34,Think,Neutral,349266,Animals_132_h.jpg,3,1
35,35,No-Think,Neutral,354368,People_028_h.jpg,2,1
36,36,Think,Neutral,360053,People_179_h.jpg,3,1
37,37,Think,Emotion,365439,Animals_039_h.jpg,3,1
38,38,Think,Neutral,370124,Faces_211_h.jpg,3,1
39,39,Think,Emotion,375209,People_209_v.jpg,3,1
40,40,Think,Neutral,380511,People_148_h.jpg,3,1
41,41,Think,Emotion,387880,Objects_088_h.jpg,3,1
42,42,Think,Emotion,393532,Animals_078_h.jpg,2,1
43,43,Think,Emotion,399634,People_077_v.jpg,3,1
44,44,No-Think,Emotion,405603,Faces_296_h.jpg,2,1
45,45,Think,Neutral,411255,Animals_097_h.jpg,3,1
46,46,No-Think,Emotion,416557,People_223_h.jpg,2,1
47,47,Think,Emotion,422892,Animals_041_h.jpg,3,1
48,48,Think,Neutral,428845,People_148_h.jpg,3,2
49,49,No-Think,Emotion,437748,Animals_062_h.jpg,1,2
50,50,Think,Neutral,443617,People_091_h.jpg,3,2
51,51,Think,Neutral,448635,Faces_219_v.jpg,3,2
52,52,No-Think,Neutral,453653,Objects_164_h.jpg,2,2
53,53,No-Think,Emotion,459806,People_239_h.jpg,1,2
54,54,No-Think,Emotion,465858,Animals_018_h.jpg,1,2
55,55,Think,Neutral,472543,Animals_132_h.jpg,2,2
