,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,154602,Objects_007_h.jpg,1,1
1,1,No-Think,Neutral,161854,People_149_h.jpg,1,1
2,2,No-Think,Emotion,167640,People_223_h.jpg,1,1
3,3,No-Think,Emotion,173291,Animals_018_h.jpg,2,1
4,4,No-Think,Emotion,178127,Faces_296_h.jpg,1,1
5,5,Think,Neutral,183762,Animals_097_h.jpg,3,1
6,6,Think,Neutral,188914,Animals_213_h.jpg,3,1
7,7,Think,Emotion,194150,Objects_011_h.jpg,3,1
8,8,Think,Emotion,199352,Objects_023_v.jpg,3,1
9,9,Think,Emotion,204670,Objects_154_h.jpg,3,1
10,10,No-Think,Emotion,210189,Objects_125_h.jpg,1,1
11,11,No-Think,Emotion,215708,Objects_106_v.jpg,1,1
12,12,No-Think,Neutral,221460,Faces_065_h.jpg,1,1
13,13,No-Think,Emotion,226946,Animals_062_h.jpg,1,1
14,14,Think,Neutral,232481,Animals_132_h.jpg,3,1
15,15,Think,Neutral,237416,People_091_h.jpg,3,1
16,16,No-Think,Neutral,242468,Objects_164_h.jpg,1,1
17,17,No-Think,Neutral,247537,People_026_h.jpg,2,1
18,18,Think,Neutral,252756,People_148_h.jpg,3,1
19,19,No-Think,Emotion,258958,People_247_v.jpg,1,1
20,20,Think,Neutral,264327,Faces_184_h.jpg,3,1
21,21,Think,Emotion,269429,People_220_h.jpg,3,1
22,22,Think,Emotion,274898,Animals_039_h.jpg,3,1
23,23,No-Think,Neutral,280216,People_100_h.jpg,1,1
24,24,No-Think,Neutral,285502,Animals_108_h.jpg,1,1
25,25,No-Think,Neutral,291487,Faces_061_h.jpg,2,1
26,26,Think,Neutral,296606,Faces_211_h.jpg,3,1
27,27,Think,Neutral,302175,Objects_049_h.jpg,3,1
28,28,Think,Neutral,306828,People_179_h.jpg,3,1
29,29,Think,Neutral,311812,Faces_219_v.jpg,3,1
30,30,Think,Emotion,316914,People_209_v.jpg,3,1
31,31,Think,Emotion,321999,Objects_126_h.jpg,3,1
32,32,Think,Emotion,327552,People_217_h.jpg,3,1
33,33,Think,Neutral,332837,Objects_242_h.jpg,3,1
34,34,Think,Emotion,338189,People_077_v.jpg,3,1
35,35,No-Think,Neutral,343374,People_028_h.jpg,1,1
36,36,Think,Emotion,348593,Objects_088_h.jpg,2,1
37,37,No-Think,Neutral,354462,Animals_155_v.jpg,3,1
38,38,No-Think,Neutral,359764,People_151_h.jpg,1,1
39,39,Think,Neutral,364983,People_097_h.jpg,3,1
40,40,No-Think,Neutral,370168,Objects_270_h.jpg,1,1
41,41,No-Think,Emotion,375937,People_213_v.jpg,2,1
42,42,Think,Emotion,381589,Animals_041_h.jpg,3,1
43,43,Think,Emotion,386558,Animals_078_h.jpg,3,1
44,44,No-Think,Emotion,391626,Objects_013_h.jpg,1,1
45,45,No-Think,Neutral,396979,Faces_060_h.jpg,1,1
46,46,No-Think,Emotion,402197,Objects_021_v.jpg,1,1
47,47,No-Think,Emotion,407349,People_239_h.jpg,1,1
48,48,No-Think,Emotion,412635,Faces_296_h.jpg,1,2
49,49,No-Think,Emotion,417920,Animals_018_h.jpg,1,2
50,50,Think,Emotion,422939,People_220_h.jpg,3,2
51,51,Think,Neutral,428007,People_148_h.jpg,3,2
52,52,No-Think,Emotion,432943,Animals_062_h.jpg,1,2
53,53,No-Think,Neutral,438245,Objects_270_h.jpg,1,2
54,54,No-Think,Neutral,443747,People_026_h.jpg,1,2
55,55,Think,Emotion,448565,People_217_h.jpg,2,2
56,56,Think,Emotion,453701,People_209_v.jpg,3,2
57,57,Think,Emotion,458736,Animals_078_h.jpg,3,2
58,58,No-Think,Neutral,463705,Animals_155_v.jpg,1,2
59,59,Think,Emotion,468740,Objects_011_h.jpg,3,2
60,60,Think,Emotion,473792,Objects_154_h.jpg,3,2
61,61,No-Think,Neutral,479294,Faces_060_h.jpg,2,2
62,62,No-Think,Emotion,484396,Objects_125_h.jpg,1,2
63,63,No-Think,Emotion,489581,People_223_h.jpg,1,2
64,64,Think,Emotion,495050,Objects_088_h.jpg,3,2
65,65,Think,Emotion,499869,Objects_126_h.jpg,3,2
66,66,No-Think,Emotion,505154,People_239_h.jpg,1,2
