,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,139408,People_019_v.jpg,2,1
1,1,Think,Emotion,144911,Objects_154_h.jpg,3,1
2,2,Think,Neutral,150179,Faces_211_h.jpg,3,1
3,3,Think,Emotion,155231,Animals_039_h.jpg,3,1
4,4,No-Think,Emotion,160650,People_205_v.jpg,2,1
5,5,No-Think,Neutral,166219,People_095_h.jpg,2,1
6,6,No-Think,Emotion,171538,Animals_065_h.jpg,2,1
7,7,No-Think,Emotion,177073,Faces_368_h.jpg,2,1
8,8,Think,Emotion,182392,People_209_v.jpg,3,1
9,9,Think,Emotion,189311,Objects_088_h.jpg,3,1
10,10,Think,Neutral,194730,Faces_184_h.jpg,3,1
11,11,No-Think,Neutral,199832,Faces_292_h.jpg,2,1
12,12,No-Think,Neutral,205684,People_249_h.jpg,2,1
13,13,Think,Neutral,211470,Animals_213_h.jpg,3,1
14,14,No-Think,Emotion,216355,Animals_008_v.jpg,2,1
15,15,No-Think,Emotion,221924,People_090_v.jpg,2,1
16,16,No-Think,Emotion,227726,Objects_006_h.jpg,1,1
17,17,Think,Neutral,233262,People_148_h.jpg,3,1
18,18,No-Think,Emotion,238781,Objects_022_h.jpg,2,1
19,19,Think,Emotion,244783,Objects_023_v.jpg,3,1
20,20,No-Think,Neutral,250135,Faces_306_v.jpg,2,1
21,21,Think,Neutral,255454,People_091_h.jpg,3,1
22,22,No-Think,Emotion,260490,Faces_156_h.jpg,2,1
23,23,Think,Emotion,266275,Objects_011_h.jpg,3,1
24,24,No-Think,Emotion,271293,Objects_010_h.jpg,1,1
25,25,No-Think,Neutral,278163,Animals_043_h.jpg,2,1
26,26,No-Think,Emotion,284265,People_204_v.jpg,1,1
27,27,Think,Emotion,289934,Animals_078_h.jpg,3,1
29,29,No-Think,Neutral,344055,Objects_200_h.jpg,2,1
30,30,No-Think,Neutral,350708,People_035_h.jpg,2,1
31,31,Think,Emotion,356743,People_077_v.jpg,3,1
32,32,No-Think,Neutral,362445,Faces_123_h.jpg,2,1
33,33,Think,Neutral,368448,Objects_049_h.jpg,3,1
34,34,Think,Neutral,373783,Animals_132_h.jpg,3,1
35,35,Think,Emotion,379385,People_220_h.jpg,3,1
36,36,Think,Emotion,385004,People_217_h.jpg,3,1
37,37,Think,Neutral,390056,Objects_242_h.jpg,3,1
38,38,Think,Neutral,395608,People_097_h.jpg,3,1
39,39,No-Think,Neutral,401111,Objects_029_h.jpg,2,1
40,40,No-Think,Neutral,407446,People_164_h.jpg,1,1
41,41,No-Think,Neutral,413349,Animals_105_h.jpg,2,1
42,42,Think,Neutral,419118,Faces_219_v.jpg,3,1
43,43,Think,Emotion,424603,Animals_041_h.jpg,3,1
44,44,No-Think,Emotion,429772,People_230_h.jpg,2,1
45,45,Think,Emotion,435942,Objects_126_h.jpg,3,1
46,46,Think,Neutral,441943,People_179_h.jpg,3,1
47,47,No-Think,Neutral,447512,Animals_088_h.jpg,1,1
48,48,Think,Emotion,454465,Animals_078_h.jpg,3,2
49,49,No-Think,Emotion,459733,Faces_368_h.jpg,2,2
50,50,Think,Emotion,465886,Animals_039_h.jpg,3,2
51,51,Think,Emotion,472238,People_220_h.jpg,3,2
52,52,No-Think,Emotion,477640,Objects_006_h.jpg,1,2
53,53,No-Think,Neutral,483776,People_249_h.jpg,1,2
54,54,Think,Neutral,488829,Animals_213_h.jpg,3,2
55,55,No-Think,Emotion,493947,Animals_008_v.jpg,2,2
56,56,No-Think,Emotion,499599,Faces_156_h.jpg,1,2
57,57,No-Think,Emotion,505468,Objects_010_h.jpg,2,2
58,58,Think,Neutral,510937,Faces_184_h.jpg,3,2
59,59,Think,Emotion,516289,Objects_154_h.jpg,3,2
60,60,Think,Emotion,521458,Objects_011_h.jpg,3,2
61,61,No-Think,Emotion,526443,People_204_v.jpg,2,2
62,62,Think,Neutral,532362,Objects_242_h.jpg,3,2
63,63,Think,Emotion,537748,People_217_h.jpg,3,2
64,64,No-Think,Neutral,543166,People_095_h.jpg,1,2
65,65,Think,Emotion,548735,Objects_088_h.jpg,3,2
66,66,Think,Emotion,554037,People_077_v.jpg,3,2
67,67,Think,Neutral,559256,Faces_219_v.jpg,3,2
68,68,No-Think,Neutral,564458,Faces_292_h.jpg,2,2
69,69,No-Think,Neutral,569993,Animals_105_h.jpg,2,2
70,70,No-Think,Neutral,575545,People_164_h.jpg,1,2
71,71,Think,Neutral,580964,Animals_097_h.jpg,3,2
72,72,No-Think,Neutral,586433,Objects_029_h.jpg,2,2
73,73,No-Think,Emotion,591418,Objects_022_h.jpg,1,2
74,74,Think,Neutral,597020,People_179_h.jpg,3,2
75,75,No-Think,Neutral,602372,Animals_043_h.jpg,2,2
76,76,No-Think,Emotion,607558,Animals_065_h.jpg,1,2
77,77,Think,Neutral,613027,People_091_h.jpg,3,2
78,78,No-Think,Neutral,618379,Faces_306_v.jpg,1,2
79,79,No-Think,Neutral,623748,Animals_088_h.jpg,2,2
80,80,No-Think,Neutral,629100,Faces_123_h.jpg,1,2
81,81,No-Think,Emotion,634452,People_230_h.jpg,1,2
82,82,Think,Emotion,640071,People_209_v.jpg,3,2
83,83,Think,Neutral,645323,Animals_132_h.jpg,3,2
84,84,No-Think,Emotion,650458,People_090_v.jpg,3,2
85,85,Think,Neutral,656143,People_148_h.jpg,3,2
86,86,Think,Emotion,661379,Objects_023_v.jpg,3,2
87,87,Think,Emotion,666598,Objects_126_h.jpg,3,2
88,88,Think,Emotion,671816,Animals_041_h.jpg,3,2
89,89,Think,Neutral,677435,Faces_211_h.jpg,3,2
90,90,No-Think,Emotion,682687,People_019_v.jpg,2,2
91,91,No-Think,Neutral,688389,Objects_200_h.jpg,2,2
92,92,Think,Neutral,694425,People_097_h.jpg,3,2
93,93,No-Think,Neutral,700227,People_035_h.jpg,1,2
94,94,No-Think,Emotion,706046,People_205_v.jpg,3,2
95,95,Think,Neutral,711048,Objects_049_h.jpg,3,2
96,96,Think,Neutral,716550,Animals_132_h.jpg,3,3
97,98,No-Think,Neutral,1017051,Faces_123_h.jpg,2,3
98,99,Think,Emotion,1023071,Animals_039_h.jpg,3,3
99,100,Think,Emotion,1028022,People_209_v.jpg,3,3
100,101,Think,Neutral,1033174,People_148_h.jpg,3,3
101,102,No-Think,Neutral,1038693,People_095_h.jpg,2,3
102,103,No-Think,Neutral,1045145,People_035_h.jpg,2,3
