,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Neutral,145083,People_149_h.jpg,1,1
1,1,No-Think,Emotion,150235,Objects_007_h.jpg,2,1
2,2,No-Think,Emotion,155537,Objects_021_v.jpg,1,1
3,3,Think,Neutral,160439,Faces_292_h.jpg,3,1
4,4,Think,Emotion,165341,People_230_h.jpg,2,1
5,5,No-Think,Emotion,171493,People_247_v.jpg,1,1
6,6,No-Think,Emotion,176695,Objects_125_h.jpg,2,1
7,7,No-Think,Neutral,181497,Objects_164_h.jpg,1,1
8,8,Think,Neutral,186499,Animals_043_h.jpg,3,1
9,9,Think,Neutral,191685,People_164_h.jpg,3,1
10,10,No-Think,Neutral,197804,People_100_h.jpg,2,1
11,11,Think,Neutral,203222,Objects_029_h.jpg,3,1
12,12,No-Think,Neutral,208491,Faces_061_h.jpg,1,1
13,13,No-Think,Emotion,213726,Animals_062_h.jpg,1,1
14,14,No-Think,Neutral,218662,Animals_108_h.jpg,1,1
15,15,Think,Neutral,223814,Animals_105_h.jpg,3,1
16,16,Think,Neutral,228649,People_035_h.jpg,2,1
17,17,Think,Emotion,234385,Objects_006_h.jpg,3,1
18,18,No-Think,Neutral,239903,People_026_h.jpg,1,1
19,19,No-Think,Emotion,244789,Objects_013_h.jpg,1,1
20,20,Think,Neutral,249891,People_249_h.jpg,3,1
21,21,No-Think,Neutral,254827,People_028_h.jpg,2,1
22,22,No-Think,Neutral,259761,People_151_h.jpg,2,1
23,23,No-Think,Neutral,264730,Objects_270_h.jpg,2,1
24,24,Think,Neutral,269348,Faces_306_v.jpg,3,1
25,25,Think,Emotion,274584,People_090_v.jpg,3,1
26,26,Think,Emotion,279836,People_019_v.jpg,3,1
27,27,Think,Emotion,285188,Objects_010_h.jpg,3,1
28,28,No-Think,Neutral,289906,Animals_155_v.jpg,2,1
29,29,No-Think,Neutral,294791,Faces_060_h.jpg,2,1
30,30,Think,Neutral,299543,People_095_h.jpg,3,1
31,31,Think,Emotion,304278,Animals_008_v.jpg,3,1
32,32,No-Think,Emotion,309180,Objects_106_v.jpg,2,1
33,33,Think,Emotion,314266,People_204_v.jpg,3,1
34,34,Think,Emotion,319151,Faces_368_h.jpg,3,1
35,35,Think,Emotion,324303,Objects_022_h.jpg,3,1
36,36,Think,Emotion,329288,Animals_065_h.jpg,3,1
37,37,Think,Neutral,334274,Objects_200_h.jpg,3,1
38,38,Think,Emotion,339242,People_205_v.jpg,3,1
39,39,No-Think,Emotion,344528,People_239_h.jpg,1,1
40,40,No-Think,Emotion,349546,Animals_018_h.jpg,1,1
41,41,No-Think,Emotion,354565,People_213_v.jpg,1,1
42,42,Think,Neutral,359784,Faces_123_h.jpg,3,1
43,43,No-Think,Emotion,365086,People_223_h.jpg,1,1
44,44,No-Think,Emotion,370638,Faces_296_h.jpg,1,1
45,45,Think,Emotion,375623,Faces_156_h.jpg,3,1
46,46,Think,Neutral,380708,Animals_088_h.jpg,3,1
47,47,No-Think,Neutral,385494,Faces_065_h.jpg,2,1
48,48,No-Think,Emotion,390495,Objects_013_h.jpg,1,2
49,49,No-Think,Emotion,396131,Objects_007_h.jpg,1,2
50,50,Think,Emotion,401767,Objects_010_h.jpg,3,2
51,51,Think,Neutral,406752,People_249_h.jpg,3,2
52,52,No-Think,Neutral,411604,Animals_108_h.jpg,1,2
53,53,Think,Emotion,417156,Faces_368_h.jpg,3,2
54,54,No-Think,Emotion,422108,Objects_106_v.jpg,1,2
55,55,Think,Emotion,427577,Faces_156_h.jpg,3,2
56,56,Think,Neutral,432795,Animals_105_h.jpg,3,2
57,57,No-Think,Emotion,437831,People_213_v.jpg,1,2
58,58,Think,Emotion,442716,Animals_008_v.jpg,3,2
59,59,No-Think,Neutral,447851,People_026_h.jpg,1,2
60,60,No-Think,Emotion,453320,People_223_h.jpg,2,2
61,61,No-Think,Neutral,458305,Faces_065_h.jpg,1,2
62,62,Think,Emotion,463591,People_205_v.jpg,3,2
63,63,No-Think,Emotion,468626,People_239_h.jpg,1,2
64,64,No-Think,Neutral,473745,People_100_h.jpg,2,2
65,65,No-Think,Emotion,478947,Objects_021_v.jpg,1,2
66,66,Think,Neutral,483865,Faces_292_h.jpg,3,2
67,67,Think,Neutral,488917,People_164_h.jpg,3,2
68,68,Think,Emotion,493620,People_230_h.jpg,3,2
69,69,Think,Emotion,498704,People_204_v.jpg,3,2
70,70,Think,Emotion,503590,Objects_022_h.jpg,3,2
71,71,No-Think,Emotion,509042,Faces_296_h.jpg,1,2
72,72,No-Think,Neutral,514110,People_028_h.jpg,2,2
73,73,Think,Neutral,519129,Objects_029_h.jpg,3,2
74,74,Think,Neutral,524131,Animals_088_h.jpg,3,2
75,75,No-Think,Emotion,529733,Objects_125_h.jpg,2,2
76,76,Think,Neutral,535019,Faces_123_h.jpg,3,2
77,77,Think,Neutral,540221,Animals_043_h.jpg,3,2
78,78,Think,Neutral,545173,Faces_306_v.jpg,3,2
79,79,Think,Neutral,550258,People_035_h.jpg,3,2
80,80,No-Think,Neutral,555843,People_149_h.jpg,1,2
81,81,Think,Emotion,560779,People_090_v.jpg,3,2
82,82,No-Think,Emotion,565947,People_247_v.jpg,1,2
83,83,No-Think,Emotion,570883,Animals_062_h.jpg,1,2
84,84,Think,Neutral,575651,People_095_h.jpg,3,2
85,85,No-Think,Neutral,580786,Objects_164_h.jpg,2,2
86,86,Think,Emotion,585672,People_019_v.jpg,3,2
87,87,Think,Neutral,591824,Objects_200_h.jpg,3,2
88,88,No-Think,Neutral,596876,Animals_155_v.jpg,2,2
89,89,No-Think,Neutral,601628,People_151_h.jpg,1,2
90,90,Think,Emotion,606646,Objects_006_h.jpg,3,2
91,91,No-Think,Neutral,611898,Objects_270_h.jpg,2,2
92,92,No-Think,Neutral,617084,Faces_061_h.jpg,1,2
