,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,150458,Objects_006_h.jpg,2,1
1,1,No-Think,Emotion,155776,People_230_h.jpg,3,1
2,2,No-Think,Emotion,161128,People_090_v.jpg,3,1
3,3,Think,Neutral,166314,Objects_049_h.jpg,3,1
4,4,Think,Emotion,171316,People_209_v.jpg,3,1
5,5,Think,Emotion,176551,Objects_126_h.jpg,3,1
6,6,Think,Emotion,181553,Objects_023_v.jpg,3,1
7,7,No-Think,Neutral,186472,Faces_123_h.jpg,2,1
8,8,No-Think,Neutral,191424,People_164_h.jpg,2,1
9,9,Think,Neutral,196159,Objects_242_h.jpg,3,1
10,10,Think,Emotion,201644,Animals_039_h.jpg,3,1
11,11,Think,Emotion,206479,Objects_154_h.jpg,3,1
12,12,Think,Neutral,211231,People_097_h.jpg,3,1
13,13,Think,Neutral,216250,Faces_219_v.jpg,3,1
14,14,No-Think,Emotion,221569,Faces_368_h.jpg,2,1
15,15,Think,Neutral,227321,Animals_213_h.jpg,3,1
16,16,No-Think,Neutral,232523,People_095_h.jpg,3,1
17,17,No-Think,Emotion,237792,Animals_008_v.jpg,3,1
18,18,No-Think,Emotion,243110,People_205_v.jpg,3,1
19,19,Think,Emotion,248146,People_077_v.jpg,3,1
20,20,No-Think,Neutral,252814,Faces_306_v.jpg,2,1
21,21,No-Think,Neutral,258200,Faces_292_h.jpg,2,1
22,22,No-Think,Emotion,263669,People_204_v.jpg,1,1
23,23,No-Think,Neutral,269421,Animals_105_h.jpg,3,1
24,24,Think,Emotion,274973,Animals_078_h.jpg,3,1
25,25,Think,Neutral,279958,People_148_h.jpg,3,1
26,26,No-Think,Neutral,285377,Objects_029_h.jpg,2,1
27,27,No-Think,Neutral,290229,People_249_h.jpg,1,1
28,28,Think,Emotion,295881,People_217_h.jpg,3,1
29,29,No-Think,Neutral,301467,Animals_088_h.jpg,2,1
30,30,Think,Neutral,306485,Faces_184_h.jpg,3,1
31,31,Think,Neutral,311537,Animals_132_h.jpg,3,1
32,32,No-Think,Emotion,316989,Faces_156_h.jpg,2,1
33,33,No-Think,Neutral,322175,Animals_043_h.jpg,2,1
35,35,Think,Neutral,332779,Animals_097_h.jpg,3,1
38,38,No-Think,Emotion,347701,Objects_010_h.jpg,1,1
39,39,No-Think,Emotion,353670,Animals_065_h.jpg,2,1
40,40,No-Think,Emotion,359122,Objects_022_h.jpg,2,1
41,41,Think,Neutral,363958,People_091_h.jpg,3,1
42,42,Think,Emotion,368893,Objects_011_h.jpg,3,1
43,43,Think,Emotion,374295,Animals_041_h.jpg,3,1
44,44,No-Think,Emotion,379264,People_019_v.jpg,2,1
45,45,Think,Neutral,385249,People_179_h.jpg,3,1
46,46,Think,Emotion,390235,People_220_h.jpg,3,1
47,47,No-Think,Neutral,395387,Objects_200_h.jpg,2,1
48,48,Think,Neutral,400772,People_148_h.jpg,3,2
49,49,Think,Neutral,405607,Faces_211_h.jpg,3,2
50,50,Think,Emotion,410743,Objects_023_v.jpg,3,2
51,51,Think,Neutral,415661,Faces_184_h.jpg,3,2
52,52,No-Think,Neutral,420947,People_164_h.jpg,2,2
53,53,No-Think,Emotion,425882,People_204_v.jpg,2,2
54,54,Think,Neutral,430667,People_091_h.jpg,3,2
55,55,Think,Neutral,435969,Animals_213_h.jpg,3,2
56,56,Think,Neutral,441054,Animals_097_h.jpg,3,2
57,57,No-Think,Neutral,446090,Animals_043_h.jpg,2,2
58,58,Think,Emotion,451592,People_220_h.jpg,3,2
59,59,Think,Emotion,456627,Animals_078_h.jpg,3,2
60,60,No-Think,Emotion,461663,Objects_022_h.jpg,2,2
61,61,No-Think,Neutral,467031,Objects_200_h.jpg,1,2
62,62,No-Think,Emotion,472217,Objects_010_h.jpg,1,2
63,63,Think,Emotion,477202,Objects_154_h.jpg,3,2
64,64,No-Think,Emotion,482504,Animals_065_h.jpg,3,2
65,65,No-Think,Neutral,487989,People_035_h.jpg,3,2
66,66,No-Think,Emotion,493325,Faces_368_h.jpg,3,2
67,67,No-Think,Emotion,498760,People_205_v.jpg,3,2
68,68,No-Think,Neutral,503763,Faces_292_h.jpg,2,2
69,69,Think,Neutral,508648,People_179_h.jpg,3,2
70,70,No-Think,Neutral,513516,People_249_h.jpg,1,2
71,71,Think,Emotion,518568,Objects_126_h.jpg,3,2
72,72,No-Think,Emotion,523303,Faces_156_h.jpg,1,2
73,73,Think,Emotion,528305,Objects_011_h.jpg,3,2
74,74,No-Think,Emotion,533374,Animals_008_v.jpg,2,2
75,75,No-Think,Emotion,539410,Objects_006_h.jpg,2,2
76,76,No-Think,Neutral,544428,Animals_088_h.jpg,2,2
77,77,No-Think,Neutral,549530,Faces_306_v.jpg,1,2
78,78,No-Think,Neutral,554615,Faces_123_h.jpg,2,2
79,79,Think,Neutral,560101,Animals_132_h.jpg,3,2
80,80,No-Think,Neutral,565253,People_095_h.jpg,2,2
81,81,Think,Emotion,570122,People_217_h.jpg,3,2
83,83,No-Think,Emotion,580242,People_230_h.jpg,1,2
84,84,Think,Emotion,585327,Objects_088_h.jpg,3,2
85,85,Think,Emotion,590279,Animals_041_h.jpg,3,2
86,86,Think,Emotion,595481,People_077_v.jpg,3,2
87,87,Think,Neutral,600617,People_097_h.jpg,3,2
88,88,Think,Neutral,605685,Objects_242_h.jpg,3,2
89,89,Think,Neutral,610571,Objects_049_h.jpg,3,2
90,90,Think,Neutral,616123,Faces_219_v.jpg,3,2
91,91,No-Think,Neutral,621258,Animals_105_h.jpg,2,2
