,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Neutral,141669,People_164_h.jpg,1,1
1,1,No-Think,Emotion,146389,Objects_013_h.jpg,1,1
2,2,No-Think,Emotion,187087,People_223_h.jpg,2,1
3,3,Think,Neutral,193173,Animals_105_h.jpg,3,1
4,4,No-Think,Emotion,198458,Objects_106_v.jpg,1,1
5,5,Think,Neutral,204727,Animals_088_h.jpg,2,1
6,6,Think,Neutral,211914,Objects_200_h.jpg,3,1
7,7,Think,Emotion,217716,Objects_010_h.jpg,3,1
8,8,No-Think,Emotion,222784,People_213_v.jpg,1,1
9,9,No-Think,Emotion,228437,People_247_v.jpg,1,1
10,10,Think,Emotion,233972,Objects_006_h.jpg,3,1
11,11,Think,Neutral,239174,People_035_h.jpg,3,1
12,12,No-Think,Neutral,244926,People_026_h.jpg,2,1
13,13,No-Think,Neutral,250712,Objects_270_h.jpg,1,1
14,14,Think,Neutral,255931,People_095_h.jpg,3,1
15,15,No-Think,Neutral,263184,Animals_108_h.jpg,1,1
16,16,Think,Emotion,269469,People_019_v.jpg,3,1
17,17,No-Think,Emotion,274471,Animals_018_h.jpg,1,1
18,18,No-Think,Neutral,280174,People_028_h.jpg,2,1
20,20,No-Think,Neutral,291495,Faces_060_h.jpg,2,1
21,21,Think,Neutral,297647,Faces_306_v.jpg,3,1
22,22,No-Think,Emotion,302466,People_239_h.jpg,1,1
23,23,Think,Emotion,308268,Faces_368_h.jpg,3,1
24,24,Think,Neutral,314387,People_249_h.jpg,3,1
25,25,Think,Emotion,319589,Objects_022_h.jpg,3,1
26,26,Think,Emotion,325191,People_230_h.jpg,3,1
27,27,No-Think,Emotion,330343,Objects_125_h.jpg,2,1
28,28,No-Think,Emotion,335712,Animals_062_h.jpg,1,1
29,29,No-Think,Emotion,341631,Faces_296_h.jpg,2,1
30,30,No-Think,Neutral,346733,Animals_155_v.jpg,3,1
31,31,Think,Neutral,354319,Animals_043_h.jpg,3,1
32,32,Think,Emotion,361239,Faces_156_h.jpg,3,1
33,33,Think,Neutral,366574,Objects_029_h.jpg,3,1
34,34,No-Think,Emotion,371959,Objects_007_h.jpg,2,1
35,35,No-Think,Neutral,377728,People_149_h.jpg,1,1
36,36,No-Think,Neutral,382647,Faces_065_h.jpg,2,1
37,37,Think,Emotion,388566,People_205_v.jpg,3,1
38,38,Think,Emotion,393801,Animals_008_v.jpg,3,1
39,39,No-Think,Emotion,399570,Objects_021_v.jpg,1,1
40,40,Think,Emotion,406723,People_090_v.jpg,3,1
41,41,No-Think,Neutral,414059,People_151_h.jpg,1,1
42,42,No-Think,Neutral,419128,Faces_061_h.jpg,1,1
43,43,Think,Neutral,425180,Faces_123_h.jpg,3,1
44,44,No-Think,Neutral,430950,People_100_h.jpg,1,1
45,45,Think,Neutral,437135,Faces_292_h.jpg,3,1
46,46,No-Think,Neutral,442537,Objects_164_h.jpg,1,1
47,47,Think,Emotion,448122,People_204_v.jpg,3,1
48,48,Think,Neutral,453841,People_164_h.jpg,3,2
49,49,Think,Neutral,461628,People_035_h.jpg,3,2
50,50,No-Think,Neutral,469347,People_028_h.jpg,2,2
51,51,No-Think,Neutral,475050,Objects_270_h.jpg,1,2
52,52,Think,Emotion,482136,People_090_v.jpg,3,2
53,53,No-Think,Neutral,487571,Animals_155_v.jpg,1,2
54,54,No-Think,Emotion,494040,People_213_v.jpg,1,2
55,55,Think,Neutral,501393,People_249_h.jpg,3,2
56,56,Think,Emotion,506545,Objects_006_h.jpg,3,2
57,57,No-Think,Neutral,511814,Faces_065_h.jpg,2,2
58,58,Think,Neutral,517449,Objects_200_h.jpg,3,2
59,59,Think,Neutral,522751,Animals_088_h.jpg,3,2
60,60,No-Think,Emotion,528337,People_247_v.jpg,1,2
61,61,No-Think,Emotion,534556,People_223_h.jpg,1,2
62,62,Think,Emotion,541359,Animals_008_v.jpg,3,2
63,63,No-Think,Emotion,546644,Faces_296_h.jpg,2,2
64,64,Think,Neutral,553580,Faces_306_v.jpg,3,2
66,66,Think,Neutral,566352,Objects_029_h.jpg,3,2
67,67,Think,Emotion,572754,People_205_v.jpg,3,2
68,68,No-Think,Emotion,579540,Objects_021_v.jpg,1,2
69,69,No-Think,Emotion,586060,Objects_013_h.jpg,2,2
70,70,No-Think,Emotion,591328,Animals_062_h.jpg,2,2
71,71,No-Think,Neutral,597097,People_100_h.jpg,2,2
72,72,No-Think,Neutral,603049,People_151_h.jpg,1,2
73,73,Think,Emotion,609885,People_230_h.jpg,3,2
74,74,Think,Emotion,615054,Faces_368_h.jpg,3,2
75,75,Think,Emotion,621923,People_204_v.jpg,3,2
76,76,No-Think,Neutral,629360,People_026_h.jpg,1,2
77,77,Think,Emotion,635129,Faces_156_h.jpg,3,2
78,78,Think,Neutral,642098,People_095_h.jpg,3,2
79,79,Think,Emotion,649117,People_019_v.jpg,3,2
80,80,No-Think,Neutral,654236,People_149_h.jpg,1,2
81,81,Think,Neutral,660605,Animals_105_h.jpg,3,2
82,82,Think,Neutral,667425,Faces_292_h.jpg,3,2
83,83,No-Think,Neutral,672961,Faces_060_h.jpg,2,2
84,84,No-Think,Emotion,678729,Objects_125_h.jpg,2,2
