,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Neutral,219893,People_091_h.jpg,1,1
1,1,Think,Neutral,226146,Objects_164_h.jpg,3,1
2,2,Think,Neutral,232048,People_028_h.jpg,3,1
3,3,No-Think,Emotion,237533,People_077_v.jpg,2,1
4,4,Think,Emotion,242852,People_239_h.jpg,3,1
5,5,No-Think,Emotion,247771,Objects_126_h.jpg,2,1
6,6,Think,Emotion,252956,Faces_296_h.jpg,3,1
7,7,Think,Emotion,258075,Objects_013_h.jpg,3,1
8,8,No-Think,Neutral,263243,People_097_h.jpg,1,1
9,9,No-Think,Neutral,268812,People_179_h.jpg,1,1
10,10,No-Think,Neutral,274264,Animals_213_h.jpg,2,1
11,11,No-Think,Neutral,279400,Faces_184_h.jpg,1,1
12,12,Think,Neutral,285119,People_149_h.jpg,3,1
13,13,No-Think,Neutral,290454,People_148_h.jpg,1,1
14,14,Think,Emotion,295839,People_223_h.jpg,3,1
15,15,Think,Emotion,301208,Objects_021_v.jpg,3,1
16,16,Think,Neutral,306344,People_026_h.jpg,3,1
17,17,No-Think,Neutral,311279,Objects_049_h.jpg,2,1
18,18,No-Think,Emotion,316698,Objects_088_h.jpg,1,1
19,19,No-Think,Emotion,322233,People_220_h.jpg,1,1
21,21,Think,Neutral,333254,People_151_h.jpg,3,1
22,22,Think,Neutral,338307,Faces_061_h.jpg,3,1
23,23,Think,Neutral,343591,Animals_155_v.jpg,3,1
24,24,Think,Emotion,348610,Objects_007_h.jpg,3,1
25,25,No-Think,Emotion,354446,Objects_011_h.jpg,1,1
26,26,No-Think,Emotion,359381,People_209_v.jpg,1,1
27,27,No-Think,Neutral,364550,Faces_219_v.jpg,1,1
28,28,No-Think,Emotion,369752,Objects_023_v.jpg,1,1
29,29,No-Think,Neutral,374904,Objects_242_h.jpg,1,1
30,30,Think,Neutral,380106,Objects_270_h.jpg,3,1
31,31,Think,Emotion,385308,People_213_v.jpg,3,1
32,32,Think,Emotion,390410,Objects_106_v.jpg,3,1
33,33,No-Think,Emotion,395912,Animals_039_h.jpg,1,1
34,34,No-Think,Emotion,401114,Animals_041_h.jpg,2,1
35,35,Think,Emotion,406316,Animals_018_h.jpg,3,1
36,36,No-Think,Emotion,412118,Objects_154_h.jpg,1,1
37,37,Think,Neutral,417520,People_100_h.jpg,3,1
38,38,Think,Neutral,423006,Animals_108_h.jpg,3,1
39,39,No-Think,Emotion,428058,People_217_h.jpg,1,1
40,40,No-Think,Neutral,433260,Animals_097_h.jpg,2,1
41,41,Think,Neutral,438412,Faces_060_h.jpg,3,1
42,42,Think,Emotion,443947,Objects_125_h.jpg,3,1
43,43,Think,Emotion,449116,People_247_v.jpg,3,1
44,44,No-Think,Neutral,454451,Animals_132_h.jpg,1,1
45,45,Think,Emotion,459803,Animals_062_h.jpg,3,1
