,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Neutral,126003,People_091_h.jpg,3,1
1,1,No-Think,Neutral,131439,Animals_108_h.jpg,2,1
2,2,No-Think,Neutral,137224,Faces_065_h.jpg,2,1
3,3,Think,Neutral,142710,People_148_h.jpg,3,1
4,4,Think,Emotion,147662,Animals_078_h.jpg,3,1
5,5,Think,Neutral,152664,Animals_132_h.jpg,3,1
6,6,Think,Neutral,157699,Faces_219_v.jpg,3,1
7,7,Think,Emotion,162667,Objects_011_h.jpg,3,1
8,8,Think,Emotion,167786,Animals_041_h.jpg,3,1
9,9,Think,Neutral,173205,Objects_242_h.jpg,3,1
10,10,No-Think,Emotion,178457,Objects_125_h.jpg,2,1
11,11,Think,Emotion,183709,Objects_023_v.jpg,3,1
12,12,Think,Neutral,188811,Faces_211_h.jpg,3,1
13,13,Think,Neutral,193596,Animals_097_h.jpg,3,1
14,14,Think,Neutral,198815,People_097_h.jpg,3,1
15,15,Think,Emotion,203851,People_217_h.jpg,3,1
16,16,No-Think,Emotion,208969,Faces_296_h.jpg,2,1
17,17,No-Think,Emotion,215221,Objects_021_v.jpg,2,1
18,18,No-Think,Neutral,221290,Faces_060_h.jpg,3,1
19,19,Think,Neutral,226592,People_179_h.jpg,3,1
20,20,No-Think,Emotion,231911,Animals_018_h.jpg,2,1
21,21,No-Think,Neutral,237763,People_028_h.jpg,2,1
22,22,No-Think,Emotion,242982,Objects_106_v.jpg,2,1
23,23,No-Think,Neutral,248167,Objects_164_h.jpg,2,1
24,24,Think,Emotion,253636,Objects_126_h.jpg,3,1
25,25,No-Think,Emotion,261323,Animals_062_h.jpg,2,1
26,26,Think,Neutral,267208,Animals_213_h.jpg,3,1
27,27,No-Think,Neutral,272560,People_026_h.jpg,2,1
28,28,No-Think,Emotion,278246,Objects_007_h.jpg,2,1
29,29,No-Think,Neutral,283381,Objects_270_h.jpg,2,1
30,30,No-Think,Emotion,288483,Objects_013_h.jpg,1,1
31,31,Think,Emotion,293969,People_077_v.jpg,3,1
32,32,No-Think,Emotion,299204,People_239_h.jpg,2,1
33,33,No-Think,Emotion,304739,People_247_v.jpg,2,1
34,34,No-Think,Neutral,310175,Faces_061_h.jpg,2,1
35,35,No-Think,Emotion,315110,People_223_h.jpg,2,1
36,36,Think,Emotion,320612,Objects_154_h.jpg,3,1
37,37,Think,Neutral,325831,Faces_184_h.jpg,3,1
38,38,No-Think,Emotion,331667,People_213_v.jpg,2,1
39,39,Think,Emotion,337219,People_209_v.jpg,3,1
40,40,No-Think,Neutral,342404,Animals_155_v.jpg,3,1
41,41,No-Think,Neutral,348523,People_151_h.jpg,2,1
42,42,Think,Emotion,354926,People_220_h.jpg,3,1
43,43,Think,Neutral,360128,Objects_049_h.jpg,3,1
44,44,Think,Emotion,366247,Animals_039_h.jpg,3,1
45,45,No-Think,Neutral,371382,People_100_h.jpg,1,1
46,46,Think,Emotion,377818,Objects_088_h.jpg,3,1
47,47,No-Think,Neutral,383337,People_149_h.jpg,2,1
48,48,No-Think,Neutral,389507,Animals_155_v.jpg,2,2
49,49,Think,Neutral,396325,Faces_184_h.jpg,3,2
51,51,No-Think,Neutral,408080,Faces_061_h.jpg,1,2
52,52,No-Think,Emotion,413132,Animals_018_h.jpg,1,2
53,53,No-Think,Emotion,417800,Objects_106_v.jpg,2,2
54,54,Think,Neutral,422786,Faces_211_h.jpg,3,2
55,55,Think,Emotion,427804,People_209_v.jpg,3,2
56,56,Think,Neutral,432789,People_097_h.jpg,3,2
57,57,No-Think,Emotion,437991,People_213_v.jpg,2,2
58,58,No-Think,Neutral,444411,Objects_270_h.jpg,2,2
59,59,No-Think,Emotion,450746,Faces_296_h.jpg,2,2
60,60,No-Think,Emotion,455898,Objects_125_h.jpg,2,2
63,63,No-Think,Emotion,471655,Animals_062_h.jpg,2,2
64,64,No-Think,Emotion,477073,People_239_h.jpg,2,2
65,65,Think,Emotion,482309,Animals_039_h.jpg,3,2
66,66,No-Think,Neutral,487344,Faces_065_h.jpg,2,2
67,67,Think,Neutral,493396,Objects_242_h.jpg,3,2
68,68,No-Think,Neutral,498448,People_149_h.jpg,2,2
69,69,No-Think,Neutral,504868,People_026_h.jpg,2,2
70,70,No-Think,Emotion,510186,Objects_007_h.jpg,2,2
71,71,Think,Emotion,515505,Animals_041_h.jpg,3,2
72,72,Think,Neutral,520607,Animals_132_h.jpg,3,2
73,73,Think,Emotion,525626,Animals_078_h.jpg,3,2
74,74,No-Think,Emotion,531211,People_223_h.jpg,2,2
75,75,No-Think,Emotion,536813,People_247_v.jpg,1,2
76,76,Think,Emotion,541632,People_217_h.jpg,3,2
77,77,Think,Emotion,547067,Objects_011_h.jpg,3,2
78,78,Think,Emotion,551802,Objects_126_h.jpg,3,2
79,79,Think,Emotion,556805,Objects_023_v.jpg,3,2
80,80,Think,Neutral,561906,Objects_049_h.jpg,3,2
81,81,No-Think,Emotion,566525,Objects_013_h.jpg,1,2
82,82,Think,Emotion,572427,People_220_h.jpg,3,2
83,83,No-Think,Neutral,577329,Objects_164_h.jpg,2,2
84,84,Think,Emotion,582281,Objects_154_h.jpg,3,2
85,85,Think,Neutral,587250,People_179_h.jpg,3,2
86,86,No-Think,Neutral,592118,People_028_h.jpg,2,2
87,87,No-Think,Neutral,597754,Animals_108_h.jpg,1,2
88,88,Think,Neutral,602706,People_091_h.jpg,3,2
89,89,Think,Emotion,607841,People_077_v.jpg,3,2
90,90,Think,Neutral,612693,Animals_213_h.jpg,3,2
91,91,No-Think,Neutral,617478,People_151_h.jpg,2,2
92,92,Think,Neutral,623297,People_148_h.jpg,3,2
93,93,Think,Neutral,628216,Animals_097_h.jpg,3,2
94,94,No-Think,Emotion,633084,Objects_021_v.jpg,2,2
95,95,Think,Neutral,638353,Faces_219_v.jpg,3,2
96,96,Think,Emotion,643755,Animals_041_h.jpg,3,3
97,98,No-Think,Emotion,945339,Objects_007_h.jpg,2,3
98,99,Think,Neutral,950274,Animals_097_h.jpg,3,3
99,100,No-Think,Neutral,955126,Animals_155_v.jpg,1,3
100,101,No-Think,Neutral,961195,People_100_h.jpg,1,3
101,102,No-Think,Emotion,965947,Objects_125_h.jpg,2,3
102,103,No-Think,Neutral,971349,People_149_h.jpg,2,3
103,104,Think,Emotion,976685,People_077_v.jpg,3,3
104,105,No-Think,Emotion,981720,People_213_v.jpg,2,3
105,106,Think,Neutral,986722,Animals_132_h.jpg,3,3
106,107,No-Think,Neutral,991824,Faces_061_h.jpg,2,3
108,109,No-Think,Neutral,1001795,Objects_270_h.jpg,2,3
109,110,No-Think,Neutral,1006930,Objects_164_h.jpg,2,3
110,111,Think,Neutral,1011698,Faces_219_v.jpg,3,3
111,112,Think,Neutral,1016517,People_179_h.jpg,3,3
112,113,No-Think,Neutral,1021069,Faces_060_h.jpg,2,3
113,114,No-Think,Neutral,1026421,People_026_h.jpg,2,3
114,115,Think,Neutral,1032290,Objects_049_h.jpg,3,3
115,116,Think,Emotion,1037458,Objects_126_h.jpg,3,3
116,117,Think,Neutral,1042761,Faces_211_h.jpg,3,3
117,118,Think,Emotion,1047496,People_209_v.jpg,3,3
118,119,No-Think,Neutral,1052731,People_028_h.jpg,2,3
119,120,No-Think,Emotion,1058683,Animals_062_h.jpg,3,3
120,121,Think,Neutral,1063669,People_097_h.jpg,3,3
121,122,Think,Emotion,1068371,Objects_088_h.jpg,3,3
122,123,No-Think,Emotion,1073006,People_247_v.jpg,2,3
123,124,Think,Emotion,1078208,Animals_039_h.jpg,3,3
124,125,No-Think,Emotion,1082876,People_239_h.jpg,1,3
125,126,Think,Emotion,1087811,Objects_011_h.jpg,3,3
126,127,Think,Neutral,1092830,Objects_242_h.jpg,3,3
127,128,No-Think,Neutral,1097865,Animals_108_h.jpg,2,3
128,129,No-Think,Emotion,1102601,People_223_h.jpg,2,3
129,130,Think,Neutral,1108337,People_091_h.jpg,3,3
130,131,No-Think,Emotion,1113471,Faces_296_h.jpg,1,3
131,132,Think,Emotion,1118523,Objects_154_h.jpg,3,3
132,133,No-Think,Emotion,1123492,Animals_018_h.jpg,1,3
133,134,No-Think,Emotion,1128627,Objects_013_h.jpg,1,3
134,135,No-Think,Neutral,1133846,People_151_h.jpg,1,3
135,136,Think,Neutral,1138915,Animals_213_h.jpg,3,3
136,137,Think,Neutral,1144083,People_148_h.jpg,3,3
137,138,Think,Emotion,1149119,People_217_h.jpg,3,3
138,139,Think,Emotion,1154104,People_220_h.jpg,3,3
139,140,Think,Emotion,1158922,Objects_023_v.jpg,3,3
140,141,No-Think,Neutral,1163941,Faces_065_h.jpg,2,3
141,142,Think,Emotion,1169294,Animals_078_h.jpg,3,3
142,143,No-Think,Emotion,1174295,Objects_021_v.jpg,2,3
143,144,No-Think,Emotion,1179781,Objects_106_v.jpg,1,3
144,145,No-Think,Neutral,1184949,Animals_108_h.jpg,2,4
145,146,No-Think,Emotion,1190735,Objects_007_h.jpg,3,4
146,147,Think,Neutral,1195754,People_179_h.jpg,2,4
147,148,No-Think,Neutral,1200489,People_151_h.jpg,2,4
148,149,Think,Neutral,1205474,Objects_049_h.jpg,3,4
149,150,Think,Emotion,1211243,People_209_v.jpg,3,4
150,151,No-Think,Neutral,1216161,Faces_060_h.jpg,2,4
151,152,Think,Emotion,1221130,Animals_039_h.jpg,3,4
152,153,No-Think,Neutral,1226082,People_100_h.jpg,2,4
153,154,Think,Emotion,1231601,Objects_011_h.jpg,3,4
154,155,No-Think,Emotion,1236719,Animals_018_h.jpg,3,4
155,156,Think,Emotion,1242638,Animals_078_h.jpg,3,4
156,157,Think,Emotion,1247674,Objects_154_h.jpg,3,4
157,158,Think,Neutral,1253126,Faces_211_h.jpg,3,4
158,159,No-Think,Neutral,1257878,Objects_164_h.jpg,1,4
