,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Emotion,162364,People_019_v.jpg,3,1
1,1,No-Think,Neutral,167065,People_148_h.jpg,2,1
2,2,Think,Neutral,172901,Faces_292_h.jpg,3,1
3,3,Think,Neutral,177736,People_035_h.jpg,3,1
4,4,Think,Emotion,183539,People_204_v.jpg,3,1
5,5,Think,Neutral,188407,People_249_h.jpg,3,1
6,6,No-Think,Neutral,193159,Animals_213_h.jpg,2,1
7,7,No-Think,Emotion,198111,Objects_088_h.jpg,2,1
8,8,Think,Emotion,203713,Animals_065_h.jpg,3,1
9,9,No-Think,Neutral,208515,Objects_049_h.jpg,1,1
10,10,Think,Emotion,213584,Objects_022_h.jpg,3,1
11,11,No-Think,Emotion,218769,People_217_h.jpg,1,1
12,12,Think,Emotion,224338,People_230_h.jpg,3,1
13,13,Think,Neutral,229573,Animals_043_h.jpg,3,1
14,14,Think,Neutral,234375,People_095_h.jpg,3,1
15,15,Think,Neutral,239560,People_164_h.jpg,3,1
16,16,No-Think,Emotion,244963,Animals_041_h.jpg,1,1
17,17,No-Think,Neutral,251199,Faces_211_h.jpg,2,1
18,18,No-Think,Neutral,256534,Faces_219_v.jpg,2,1
19,19,Think,Emotion,262336,Animals_008_v.jpg,3,1
20,20,No-Think,Emotion,267721,Objects_154_h.jpg,2,1
21,21,Think,Emotion,276308,Faces_368_h.jpg,3,1
22,22,Think,Neutral,281710,Animals_088_h.jpg,3,1
23,23,Think,Neutral,287029,Objects_029_h.jpg,3,1
24,24,No-Think,Neutral,291747,Faces_184_h.jpg,1,1
25,25,No-Think,Neutral,298567,People_097_h.jpg,2,1
26,26,No-Think,Neutral,303919,Animals_132_h.jpg,2,1
27,27,No-Think,Neutral,308971,Animals_097_h.jpg,2,1
28,28,No-Think,Emotion,314673,People_220_h.jpg,2,1
29,29,No-Think,Emotion,319808,Objects_023_v.jpg,2,1
30,30,No-Think,Neutral,324810,People_091_h.jpg,2,1
31,31,Think,Neutral,330029,Faces_123_h.jpg,3,1
32,32,No-Think,Neutral,335431,Objects_242_h.jpg,2,1
33,33,Think,Emotion,340300,People_205_v.jpg,3,1
34,34,Think,Neutral,345202,Objects_200_h.jpg,3,1
35,35,No-Think,Emotion,349970,People_209_v.jpg,1,1
36,36,Think,Emotion,355656,Faces_156_h.jpg,3,1
37,37,Think,Neutral,360408,Animals_105_h.jpg,3,1
38,38,Think,Neutral,365109,Faces_306_v.jpg,3,1
39,39,No-Think,Emotion,370228,Objects_126_h.jpg,2,1
40,40,Think,Emotion,374980,Objects_006_h.jpg,3,1
41,41,No-Think,Emotion,380049,Animals_039_h.jpg,1,1
42,42,No-Think,Emotion,385617,Objects_011_h.jpg,2,1
43,43,Think,Emotion,390686,Objects_010_h.jpg,3,1
44,44,No-Think,Emotion,395421,People_077_v.jpg,2,1
45,45,No-Think,Neutral,400607,People_179_h.jpg,2,1
46,46,Think,Emotion,406175,People_090_v.jpg,3,1
47,47,No-Think,Emotion,410961,Animals_078_h.jpg,1,1
48,48,No-Think,Neutral,418647,People_179_h.jpg,2,2
49,49,Think,Emotion,424599,Faces_156_h.jpg,3,2
50,50,No-Think,Neutral,429334,Objects_049_h.jpg,2,2
51,51,Think,Neutral,434320,Animals_043_h.jpg,3,2
52,52,No-Think,Emotion,439522,People_077_v.jpg,1,2
53,53,No-Think,Emotion,444607,Animals_041_h.jpg,1,2
54,54,No-Think,Neutral,449459,Faces_211_h.jpg,2,2
55,55,No-Think,Emotion,454861,Animals_078_h.jpg,1,2
56,56,No-Think,Emotion,460030,People_209_v.jpg,1,2
57,57,No-Think,Neutral,465865,People_148_h.jpg,2,2
58,58,Think,Neutral,470750,Objects_029_h.jpg,3,2
59,59,No-Think,Neutral,475436,People_091_h.jpg,2,2
60,60,Think,Neutral,481721,People_035_h.jpg,3,2
61,61,No-Think,Emotion,486340,Objects_088_h.jpg,2,2
62,62,Think,Neutral,491242,Faces_306_v.jpg,3,2
63,63,No-Think,Neutral,496077,People_097_h.jpg,2,2
64,64,No-Think,Neutral,501096,Faces_219_v.jpg,1,2
65,65,Think,Emotion,506331,People_230_h.jpg,3,2
66,66,No-Think,Neutral,510983,Animals_132_h.jpg,2,2
67,67,Think,Neutral,516085,People_164_h.jpg,3,2
68,68,No-Think,Emotion,520853,Objects_154_h.jpg,2,2
69,69,Think,Emotion,526155,People_204_v.jpg,3,2
70,70,No-Think,Emotion,531058,People_217_h.jpg,1,2
71,71,Think,Emotion,535976,Animals_065_h.jpg,3,2
72,72,Think,Neutral,541161,Animals_088_h.jpg,3,2
73,73,No-Think,Emotion,549281,Objects_011_h.jpg,1,2
74,74,Think,Neutral,554533,Objects_200_h.jpg,3,2
75,75,No-Think,Neutral,559235,Faces_184_h.jpg,1,2
76,76,No-Think,Neutral,564037,Objects_242_h.jpg,1,2
77,77,Think,Neutral,568772,Faces_292_h.jpg,3,2
78,78,Think,Neutral,573624,People_249_h.jpg,3,2
79,79,Think,Neutral,578759,Animals_105_h.jpg,3,2
80,80,Think,Emotion,583661,Objects_022_h.jpg,3,2
81,81,No-Think,Neutral,588496,Animals_097_h.jpg,2,2
82,82,Think,Emotion,593532,People_090_v.jpg,3,2
83,83,No-Think,Emotion,598367,Animals_039_h.jpg,1,2
84,84,No-Think,Emotion,603969,People_220_h.jpg,2,2
85,85,Think,Neutral,608754,People_095_h.jpg,3,2
86,86,No-Think,Neutral,613639,Animals_213_h.jpg,1,2
87,87,Think,Emotion,618508,People_205_v.jpg,3,2
88,88,Think,Neutral,623277,Faces_123_h.jpg,3,2
89,89,Think,Emotion,628529,People_019_v.jpg,3,2
90,90,Think,Emotion,633331,Faces_368_h.jpg,3,2
91,91,No-Think,Emotion,638616,Objects_126_h.jpg,2,2
92,92,Think,Emotion,643601,Animals_008_v.jpg,3,2
94,94,Think,Emotion,654473,Objects_010_h.jpg,3,2
95,95,Think,Emotion,659407,Objects_006_h.jpg,3,2
96,96,No-Think,Emotion,664526,People_220_h.jpg,2,3
97,98,No-Think,Neutral,905170,People_148_h.jpg,1,3
98,99,Think,Emotion,909872,People_204_v.jpg,3,3
99,100,Think,Neutral,914807,Objects_029_h.jpg,3,3
100,101,Think,Emotion,920209,Faces_156_h.jpg,3,3
101,102,No-Think,Emotion,924861,People_077_v.jpg,1,3
102,103,No-Think,Neutral,930080,Animals_097_h.jpg,2,3
103,104,Think,Emotion,935432,People_230_h.jpg,3,3
104,105,No-Think,Neutral,940550,People_091_h.jpg,1,3
105,106,Think,Neutral,946686,Animals_105_h.jpg,3,3
106,107,Think,Neutral,951621,People_249_h.jpg,3,3
107,108,Think,Emotion,956340,People_205_v.jpg,3,3
108,109,Think,Neutral,961342,Animals_043_h.jpg,3,3
109,110,No-Think,Emotion,966327,Objects_126_h.jpg,1,3
