,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,138306,Animals_008_v.jpg,1,1
1,1,No-Think,Neutral,145659,Faces_123_h.jpg,1,1
2,2,Think,Emotion,150878,People_247_v.jpg,3,1
3,3,Think,Neutral,156263,Faces_065_h.jpg,3,1
4,4,Think,Neutral,161332,People_151_h.jpg,3,1
5,5,No-Think,Neutral,166401,People_035_h.jpg,1,1
6,6,Think,Emotion,171687,Faces_296_h.jpg,3,1
7,7,Think,Emotion,176855,Objects_125_h.jpg,3,1
8,8,No-Think,Emotion,182574,Animals_065_h.jpg,3,1
9,9,Think,Neutral,188676,Objects_164_h.jpg,3,1
10,10,No-Think,Emotion,193995,People_205_v.jpg,1,1
11,11,No-Think,Emotion,198930,Faces_156_h.jpg,1,1
12,12,Think,Neutral,203582,Animals_155_v.jpg,3,1
13,13,Think,Emotion,209384,Animals_018_h.jpg,3,1
14,14,No-Think,Emotion,214236,Faces_368_h.jpg,1,1
15,15,Think,Emotion,218871,Objects_007_h.jpg,3,1
16,16,Think,Neutral,223973,Faces_061_h.jpg,3,1
17,17,No-Think,Emotion,229108,Objects_010_h.jpg,1,1
18,18,No-Think,Neutral,234377,People_249_h.jpg,1,1
19,19,Think,Neutral,239079,People_100_h.jpg,3,1
20,20,No-Think,Neutral,244364,Faces_292_h.jpg,1,1
21,21,No-Think,Emotion,249333,People_230_h.jpg,1,1
22,22,Think,Emotion,254285,Objects_106_v.jpg,3,1
23,23,No-Think,Neutral,259687,People_095_h.jpg,1,1
24,24,Think,Emotion,264572,People_213_v.jpg,3,1
25,25,No-Think,Emotion,269758,Objects_006_h.jpg,1,1
26,26,Think,Emotion,274893,Objects_021_v.jpg,3,1
27,27,Think,Emotion,279628,People_223_h.jpg,3,1
28,28,No-Think,Neutral,285030,Objects_029_h.jpg,1,1
29,29,No-Think,Neutral,289832,Animals_088_h.jpg,1,1
30,30,No-Think,Neutral,294550,Animals_043_h.jpg,1,1
31,31,No-Think,Emotion,300853,People_090_v.jpg,1,1
32,32,No-Think,Neutral,305888,Faces_306_v.jpg,1,1
33,33,Think,Emotion,310907,Objects_013_h.jpg,3,1
34,34,Think,Neutral,316842,People_026_h.jpg,3,1
35,35,No-Think,Emotion,322828,People_204_v.jpg,1,1
36,36,No-Think,Neutral,329064,People_164_h.jpg,1,1
37,37,Think,Emotion,334032,People_239_h.jpg,3,1
38,38,No-Think,Neutral,339301,Animals_105_h.jpg,1,1
39,39,No-Think,Neutral,344103,Objects_200_h.jpg,1,1
40,40,Think,Neutral,348972,People_028_h.jpg,3,1
41,41,Think,Neutral,353840,People_149_h.jpg,3,1
42,42,Think,Neutral,358926,Animals_108_h.jpg,3,1
44,44,Think,Emotion,369496,Animals_062_h.jpg,3,1
45,45,Think,Neutral,375299,Faces_060_h.jpg,3,1
46,46,Think,Neutral,380567,Objects_270_h.jpg,3,1
47,47,No-Think,Emotion,386053,Objects_022_h.jpg,1,1
48,48,Think,Neutral,394923,People_028_h.jpg,3,2
49,49,Think,Neutral,400708,Objects_270_h.jpg,3,2
50,50,No-Think,Neutral,409879,Faces_306_v.jpg,1,2
51,51,No-Think,Emotion,415431,Faces_368_h.jpg,1,2
52,52,Think,Emotion,420900,Animals_018_h.jpg,1,2
53,53,No-Think,Neutral,428769,Animals_043_h.jpg,1,2
54,54,No-Think,Neutral,434305,Animals_088_h.jpg,1,2
55,55,Think,Emotion,439390,People_247_v.jpg,3,2
56,56,No-Think,Emotion,444492,Animals_065_h.jpg,1,2
57,57,No-Think,Emotion,449562,Faces_156_h.jpg,1,2
58,58,No-Think,Emotion,454696,Objects_006_h.jpg,1,2
59,59,Think,Neutral,459598,Animals_155_v.jpg,3,2
60,60,No-Think,Neutral,464233,People_095_h.jpg,1,2
61,61,Think,Neutral,469619,People_026_h.jpg,3,2
62,62,Think,Emotion,474587,People_223_h.jpg,3,2
63,63,No-Think,Neutral,479606,Animals_105_h.jpg,1,2
65,65,Think,Neutral,498397,Faces_061_h.jpg,3,2
66,66,No-Think,Emotion,505299,People_205_v.jpg,1,2
67,67,Think,Emotion,510551,Objects_007_h.jpg,3,2
68,68,No-Think,Emotion,517604,People_090_v.jpg,1,2
70,70,No-Think,Neutral,529409,Faces_123_h.jpg,1,2
71,71,Think,Emotion,534544,Objects_125_h.jpg,3,2
72,72,Think,Emotion,539880,People_239_h.jpg,3,2
73,73,Think,Neutral,545265,Faces_060_h.jpg,3,2
74,74,No-Think,Neutral,550200,People_249_h.jpg,1,2
75,75,Think,Neutral,555135,Objects_164_h.jpg,3,2
76,76,No-Think,Emotion,560854,Objects_022_h.jpg,1,2
77,77,Think,Emotion,565973,Faces_296_h.jpg,3,2
79,79,No-Think,Neutral,577311,Objects_029_h.jpg,1,2
80,80,Think,Emotion,582429,Objects_013_h.jpg,3,2
81,81,Think,Neutral,587531,People_100_h.jpg,3,2
82,82,Think,Emotion,592567,Objects_106_v.jpg,3,2
83,83,No-Think,Neutral,597935,Objects_200_h.jpg,1,2
84,84,No-Think,Emotion,603638,People_230_h.jpg,1,2
85,85,Think,Neutral,608806,People_149_h.jpg,3,2
86,86,No-Think,Neutral,614275,People_035_h.jpg,1,2
87,87,Think,Neutral,619177,Animals_108_h.jpg,3,2
88,88,No-Think,Emotion,624046,People_204_v.jpg,1,2
89,89,Think,Neutral,629248,Faces_065_h.jpg,3,2
90,90,Think,Emotion,634600,People_213_v.jpg,3,2
91,91,No-Think,Emotion,639685,Animals_008_v.jpg,1,2
92,92,No-Think,Emotion,644353,Objects_010_h.jpg,1,2
93,93,Think,Emotion,649122,Objects_021_v.jpg,3,2
94,94,Think,Emotion,653990,Animals_062_h.jpg,3,2
95,95,No-Think,Neutral,659693,Faces_292_h.jpg,1,2
96,96,No-Think,Emotion,665712,Faces_368_h.jpg,1,3
97,98,Think,Emotion,1012397,Objects_021_v.jpg,3,3
98,99,Think,Emotion,1018933,Animals_062_h.jpg,3,3
99,100,No-Think,Neutral,1024051,People_164_h.jpg,1,3
100,101,Think,Emotion,1029453,Objects_013_h.jpg,3,3
101,102,No-Think,Neutral,1035289,Faces_123_h.jpg,1,3
102,103,Think,Neutral,1041308,Faces_060_h.jpg,3,3
103,104,No-Think,Emotion,1046377,People_230_h.jpg,1,3
104,105,No-Think,Emotion,1051195,Objects_006_h.jpg,1,3
106,107,Think,Neutral,1061850,People_026_h.jpg,3,3
107,108,Think,Neutral,1069052,People_151_h.jpg,3,3
108,109,No-Think,Emotion,1074688,Animals_008_v.jpg,1,3
109,110,No-Think,Neutral,1079756,Objects_200_h.jpg,1,3
110,111,No-Think,Emotion,1084558,People_204_v.jpg,1,3
111,112,Think,Emotion,1089877,People_213_v.jpg,3,3
112,113,Think,Emotion,1095896,Objects_007_h.jpg,3,3
113,114,No-Think,Neutral,1101431,Faces_306_v.jpg,1,3
114,115,Think,Neutral,1107017,Faces_065_h.jpg,3,3
115,116,No-Think,Neutral,1112952,Animals_043_h.jpg,1,3
116,117,Think,Emotion,1118455,People_247_v.jpg,3,3
117,118,Think,Emotion,1123840,Objects_106_v.jpg,3,3
118,119,Think,Neutral,1129209,Objects_164_h.jpg,3,3
119,120,Think,Neutral,1134561,People_100_h.jpg,3,3
120,121,No-Think,Neutral,1139480,Animals_105_h.jpg,1,3
121,122,Think,Emotion,1144531,Faces_296_h.jpg,3,3
122,123,No-Think,Neutral,1149534,Objects_029_h.jpg,1,3
123,124,Think,Neutral,1155336,Objects_270_h.jpg,3,3
124,125,Think,Emotion,1160554,People_239_h.jpg,1,3
125,126,No-Think,Emotion,1167274,People_090_v.jpg,1,3
126,127,No-Think,Emotion,1172442,Objects_022_h.jpg,1,3
127,128,Think,Neutral,1177594,Animals_108_h.jpg,3,3
128,129,No-Think,Emotion,1182813,Animals_065_h.jpg,1,3
129,130,Think,Neutral,1187665,People_028_h.jpg,3,3
130,131,No-Think,Emotion,1192884,Faces_156_h.jpg,1,3
131,132,Think,Emotion,1198002,Objects_125_h.jpg,3,3
132,133,No-Think,Neutral,1203321,Animals_088_h.jpg,1,3
133,134,Think,Neutral,1208423,Faces_061_h.jpg,3,3
134,135,No-Think,Neutral,1214092,People_035_h.jpg,1,3
135,136,No-Think,Neutral,1218927,People_095_h.jpg,1,3
136,137,Think,Emotion,1223779,People_223_h.jpg,3,3
137,138,No-Think,Emotion,1228931,Objects_010_h.jpg,1,3
138,139,No-Think,Neutral,1233933,Faces_292_h.jpg,1,3
139,140,No-Think,Neutral,1239618,People_249_h.jpg,1,3
140,141,Think,Neutral,1245204,People_149_h.jpg,3,3
141,142,No-Think,Emotion,1250606,People_205_v.jpg,1,3
142,143,Think,Emotion,1256742,Animals_018_h.jpg,3,3
143,144,Think,Neutral,1262861,Animals_155_v.jpg,3,3
144,145,Think,Neutral,1267979,People_100_h.jpg,3,4
145,146,Think,Neutral,1273416,Faces_060_h.jpg,3,4
146,147,No-Think,Emotion,1283085,Faces_156_h.jpg,1,4
148,149,No-Think,Neutral,1297708,Faces_123_h.jpg,1,4
149,150,Think,Emotion,1304160,Objects_125_h.jpg,3,4
150,151,Think,Emotion,1310129,Animals_062_h.jpg,3,4
151,152,No-Think,Neutral,1315881,Faces_292_h.jpg,1,4
152,153,No-Think,Neutral,1321834,Objects_029_h.jpg,1,4
153,154,Think,Neutral,1327036,Objects_270_h.jpg,3,4
154,155,Think,Neutral,1331888,Animals_155_v.jpg,3,4
155,156,No-Think,Emotion,1338107,People_204_v.jpg,1,4
156,157,No-Think,Emotion,1344226,Objects_010_h.jpg,1,4
157,158,No-Think,Neutral,1349061,Faces_306_v.jpg,1,4
158,159,Think,Emotion,1354380,Animals_018_h.jpg,3,4
159,160,No-Think,Neutral,1359782,Objects_200_h.jpg,1,4
160,161,No-Think,Emotion,1365067,Faces_368_h.jpg,1,4
161,162,Think,Emotion,1370036,People_239_h.jpg,3,4
162,163,No-Think,Emotion,1374854,People_090_v.jpg,1,4
163,164,Think,Emotion,1381090,Faces_296_h.jpg,3,4
164,165,Think,Emotion,1385825,People_247_v.jpg,3,4
165,166,Think,Emotion,1392495,People_223_h.jpg,3,4
167,168,No-Think,Neutral,1406067,People_035_h.jpg,1,4
168,169,Think,Emotion,1411335,Objects_106_v.jpg,3,4
169,170,Think,Neutral,1416821,Objects_164_h.jpg,3,4
