,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,202308,People_217_h.jpg,2,1
1,1,No-Think,Neutral,207593,People_179_h.jpg,2,1
2,2,No-Think,Emotion,212396,Objects_011_h.jpg,2,1
3,3,Think,Emotion,217547,People_019_v.jpg,3,1
4,4,Think,Neutral,222633,Faces_123_h.jpg,1,1
5,5,Think,Emotion,228585,Faces_156_h.jpg,3,1
6,6,Think,Emotion,233486,Objects_006_h.jpg,3,1
7,7,Think,Neutral,238422,Faces_292_h.jpg,3,1
8,8,No-Think,Emotion,243290,Animals_041_h.jpg,1,1
9,9,Think,Emotion,248126,Faces_368_h.jpg,2,1
10,10,Think,Neutral,253328,People_095_h.jpg,3,1
11,11,Think,Emotion,258263,People_090_v.jpg,3,1
12,12,No-Think,Neutral,263265,People_091_h.jpg,2,1
13,13,Think,Neutral,268000,People_164_h.jpg,1,1
14,14,Think,Neutral,273869,People_249_h.jpg,3,1
15,15,No-Think,Neutral,278904,People_148_h.jpg,1,1
16,16,No-Think,Neutral,284273,Objects_242_h.jpg,2,1
17,17,Think,Emotion,289492,Animals_065_h.jpg,3,1
18,18,No-Think,Emotion,294444,People_209_v.jpg,2,1
19,19,No-Think,Emotion,299496,Animals_039_h.jpg,2,1
20,20,Think,Emotion,304298,People_230_h.jpg,3,1
21,21,No-Think,Neutral,309333,Animals_132_h.jpg,2,1
22,22,Think,Emotion,314118,People_205_v.jpg,3,1
23,23,No-Think,Emotion,319037,Animals_078_h.jpg,1,1
24,24,No-Think,Neutral,324155,Faces_219_v.jpg,2,1
25,25,Think,Neutral,329207,Animals_043_h.jpg,1,1
26,26,No-Think,Emotion,334209,Objects_126_h.jpg,2,1
27,27,No-Think,Emotion,339328,Objects_088_h.jpg,2,1
28,28,No-Think,Neutral,344146,Faces_184_h.jpg,2,1
29,29,No-Think,Neutral,349182,People_097_h.jpg,2,1
30,30,Think,Neutral,354734,Animals_105_h.jpg,3,1
31,31,Think,Emotion,366405,Objects_022_h.jpg,3,1
32,32,No-Think,Emotion,371140,People_077_v.jpg,2,1
33,33,Think,Neutral,376092,Objects_200_h.jpg,3,1
34,34,Think,Emotion,381244,Animals_008_v.jpg,3,1
35,35,No-Think,Neutral,386280,Animals_213_h.jpg,2,1
36,36,Think,Neutral,391448,People_035_h.jpg,3,1
37,37,Think,Emotion,396467,People_204_v.jpg,3,1
38,38,No-Think,Neutral,401502,Objects_049_h.jpg,2,1
39,39,Think,Neutral,407088,Objects_029_h.jpg,3,1
40,40,Think,Neutral,412123,Animals_088_h.jpg,1,1
41,41,No-Think,Neutral,417242,Faces_211_h.jpg,2,1
42,42,No-Think,Emotion,422410,People_220_h.jpg,2,1
43,43,Think,Neutral,427362,Faces_306_v.jpg,2,1
44,44,No-Think,Emotion,432814,Objects_154_h.jpg,2,1
45,45,No-Think,Emotion,438116,Objects_023_v.jpg,2,1
46,46,No-Think,Neutral,443419,Animals_097_h.jpg,2,1
47,47,Think,Emotion,448604,Objects_010_h.jpg,3,1
48,48,Think,Emotion,453539,Faces_156_h.jpg,2,2
49,49,No-Think,Emotion,458674,People_077_v.jpg,3,2
50,50,No-Think,Neutral,464360,Animals_213_h.jpg,2,2
51,51,No-Think,Emotion,469645,Animals_041_h.jpg,1,2
52,52,No-Think,Neutral,474931,People_148_h.jpg,2,2
53,53,Think,Emotion,479633,People_204_v.jpg,3,2
54,54,No-Think,Emotion,484402,Objects_154_h.jpg,2,2
55,55,Think,Emotion,489853,Animals_065_h.jpg,3,2
56,56,No-Think,Neutral,495122,Animals_132_h.jpg,2,2
57,57,No-Think,Emotion,500224,People_217_h.jpg,2,2
58,58,No-Think,Emotion,505193,Animals_078_h.jpg,2,2
59,59,Think,Emotion,510628,Objects_006_h.jpg,3,2
60,60,No-Think,Neutral,515930,People_097_h.jpg,2,2
61,61,Think,Emotion,521432,Objects_010_h.jpg,3,2
62,62,No-Think,Emotion,528869,People_220_h.jpg,2,2
63,63,Think,Neutral,534271,Faces_306_v.jpg,3,2
64,64,No-Think,Neutral,539556,Objects_242_h.jpg,2,2
65,65,Think,Neutral,544658,Objects_200_h.jpg,3,2
66,66,No-Think,Neutral,549743,Animals_097_h.jpg,2,2
67,67,Think,Neutral,555012,People_095_h.jpg,3,2
68,68,Think,Neutral,561581,Faces_292_h.jpg,2,2
69,69,Think,Emotion,568151,People_230_h.jpg,3,2
70,70,Think,Neutral,573019,People_249_h.jpg,3,2
71,71,Think,Neutral,577921,People_035_h.jpg,3,2
72,72,No-Think,Neutral,582973,People_091_h.jpg,2,2
73,73,Think,Emotion,587925,Faces_368_h.jpg,3,2
74,74,No-Think,Emotion,595128,Objects_023_v.jpg,2,2
75,75,Think,Emotion,601981,People_205_v.jpg,3,2
76,76,No-Think,Neutral,607149,Faces_219_v.jpg,2,2
77,77,Think,Emotion,612251,People_090_v.jpg,2,2
78,78,No-Think,Neutral,617637,Objects_049_h.jpg,2,2
79,79,No-Think,Emotion,622939,Objects_088_h.jpg,2,2
80,80,No-Think,Emotion,627857,Objects_011_h.jpg,2,2
81,81,Think,Neutral,632542,Animals_088_h.jpg,1,2
82,82,Think,Neutral,637511,Animals_105_h.jpg,3,2
83,83,No-Think,Neutral,642813,Faces_184_h.jpg,2,2
84,84,Think,Emotion,647948,Objects_022_h.jpg,3,2
85,85,Think,Neutral,653000,Objects_029_h.jpg,3,2
86,86,Think,Neutral,658336,People_164_h.jpg,3,2
87,87,No-Think,Neutral,663555,People_179_h.jpg,1,2
88,88,No-Think,Neutral,668390,Faces_211_h.jpg,2,2
89,89,Think,Emotion,673775,People_019_v.jpg,3,2
90,90,Think,Neutral,678861,Animals_043_h.jpg,1,2
91,91,No-Think,Emotion,688331,Animals_039_h.jpg,3,2
92,92,Think,Emotion,694417,Animals_008_v.jpg,3,2
93,93,No-Think,Emotion,699352,People_209_v.jpg,1,2
94,94,No-Think,Emotion,704621,Objects_126_h.jpg,2,2
95,95,Think,Neutral,710840,Faces_123_h.jpg,3,2
96,96,Think,Neutral,716158,Faces_123_h.jpg,3,3
97,98,Think,Neutral,1168602,Objects_029_h.jpg,3,3
98,99,Think,Neutral,1173571,Animals_105_h.jpg,3,3
99,100,No-Think,Neutral,1178506,People_179_h.jpg,2,3
100,101,Think,Neutral,1183341,Faces_292_h.jpg,3,3
101,102,No-Think,Neutral,1188394,People_097_h.jpg,2,3
102,103,Think,Emotion,1193278,Objects_006_h.jpg,3,3
103,104,No-Think,Neutral,1198614,Animals_213_h.jpg,2,3
104,105,No-Think,Emotion,1204649,Objects_126_h.jpg,2,3
105,106,Think,Emotion,1210618,People_090_v.jpg,3,3
106,107,Think,Emotion,1215604,Objects_022_h.jpg,3,3
107,108,Think,Neutral,1221589,People_035_h.jpg,3,3
108,109,No-Think,Neutral,1226608,Animals_132_h.jpg,2,3
109,110,Think,Emotion,1232877,Faces_156_h.jpg,3,3
110,111,No-Think,Emotion,1238079,People_217_h.jpg,2,3
111,112,Think,Emotion,1243465,Faces_368_h.jpg,3,3
112,113,No-Think,Emotion,1248600,Objects_154_h.jpg,2,3
113,114,No-Think,Neutral,1253819,Objects_049_h.jpg,2,3
114,115,Think,Neutral,1259237,Animals_088_h.jpg,1,3
115,116,No-Think,Emotion,1264373,Animals_041_h.jpg,3,3
116,117,No-Think,Emotion,1270058,People_209_v.jpg,1,3
117,118,Think,Emotion,1275794,People_205_v.jpg,3,3
118,119,No-Think,Neutral,1280796,People_148_h.jpg,2,3
119,120,Think,Neutral,1287048,People_095_h.jpg,3,3
120,121,Think,Emotion,1292250,Animals_065_h.jpg,3,3
121,122,No-Think,Emotion,1297286,Objects_011_h.jpg,2,3
122,123,No-Think,Neutral,1303305,Faces_211_h.jpg,2,3
123,124,No-Think,Neutral,1308257,Faces_184_h.jpg,1,3
124,125,Think,Neutral,1313642,People_164_h.jpg,3,3
125,126,Think,Emotion,1318744,People_204_v.jpg,3,3
126,127,No-Think,Emotion,1323596,Animals_039_h.jpg,2,3
128,129,Think,Emotion,1334333,People_019_v.jpg,3,3
129,130,Think,Neutral,1339269,Objects_200_h.jpg,1,3
130,131,Think,Neutral,1345221,Faces_306_v.jpg,3,3
