,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,Think,Neutral,146662,Faces_219_v.jpg,3,1
1,1,No-Think,Emotion,155649,Objects_022_h.jpg,1,1
2,2,No-Think,Neutral,163202,Objects_200_h.jpg,2,1
3,3,Think,Emotion,170588,Animals_039_h.jpg,3,1
4,4,Think,Neutral,177457,People_091_h.jpg,3,1
5,5,No-Think,Emotion,183409,Animals_065_h.jpg,2,1
6,6,Think,Neutral,190012,People_097_h.jpg,3,1
7,7,No-Think,Emotion,196665,People_205_v.jpg,3,1
8,8,Think,Neutral,203401,Faces_184_h.jpg,3,1
9,9,Think,Emotion,208836,People_209_v.jpg,3,1
10,10,No-Think,Neutral,214688,Animals_088_h.jpg,2,1
11,11,No-Think,Emotion,221975,People_204_v.jpg,2,1
12,12,Think,Emotion,227760,Objects_088_h.jpg,3,1
13,13,No-Think,Neutral,233829,Faces_306_v.jpg,2,1
14,14,No-Think,Emotion,240065,Objects_006_h.jpg,2,1
15,15,Think,Emotion,246134,People_217_h.jpg,1,1
16,16,No-Think,Emotion,253587,People_090_v.jpg,3,1
17,17,No-Think,Neutral,263841,Objects_029_h.jpg,2,1
18,18,Think,Neutral,270243,Objects_049_h.jpg,3,1
19,19,Think,Neutral,275896,Objects_242_h.jpg,3,1
20,20,No-Think,Neutral,281565,People_249_h.jpg,3,1
21,21,Think,Neutral,290735,People_148_h.jpg,3,1
22,22,No-Think,Emotion,296638,People_019_v.jpg,2,1
23,23,No-Think,Neutral,305741,Faces_123_h.jpg,1,1
24,24,Think,Emotion,310843,Animals_041_h.jpg,3,1
25,25,No-Think,Emotion,316545,Faces_368_h.jpg,2,1
26,26,Think,Emotion,323414,Objects_011_h.jpg,3,1
27,27,No-Think,Neutral,330033,People_164_h.jpg,2,1
28,28,Think,Neutral,336453,Animals_213_h.jpg,3,1
29,29,Think,Neutral,342872,Faces_211_h.jpg,3,1
30,30,Think,Emotion,349691,Objects_154_h.jpg,3,1
31,31,Think,Emotion,356210,People_220_h.jpg,3,1
32,32,Think,Emotion,364614,Animals_078_h.jpg,3,1
33,33,No-Think,Neutral,371233,People_095_h.jpg,2,1
34,34,Think,Emotion,380036,People_077_v.jpg,3,1
35,35,Think,Neutral,387773,People_179_h.jpg,3,1
36,36,Think,Neutral,394976,Animals_097_h.jpg,3,1
37,37,No-Think,Emotion,400711,Animals_008_v.jpg,2,1
38,38,No-Think,Emotion,406980,People_230_h.jpg,2,1
39,39,No-Think,Neutral,414033,People_035_h.jpg,2,1
40,40,Think,Emotion,420035,Objects_126_h.jpg,3,1
41,41,No-Think,Neutral,425737,Faces_292_h.jpg,3,1
42,42,Think,Neutral,435958,Animals_132_h.jpg,3,1
43,43,No-Think,Neutral,443878,Animals_043_h.jpg,2,1
44,44,No-Think,Emotion,457200,Faces_156_h.jpg,2,1
45,45,No-Think,Neutral,464469,Animals_105_h.jpg,2,1
47,47,No-Think,Emotion,476224,Objects_010_h.jpg,2,1
48,48,No-Think,Emotion,481743,Faces_368_h.jpg,2,2
49,49,No-Think,Neutral,491380,People_095_h.jpg,3,2
51,51,No-Think,Emotion,508720,People_204_v.jpg,2,2
52,52,No-Think,Emotion,514489,Objects_022_h.jpg,2,2
53,53,Think,Neutral,519557,People_148_h.jpg,3,2
54,54,No-Think,Neutral,524493,Faces_292_h.jpg,2,2
55,55,Think,Emotion,530446,People_217_h.jpg,3,2
56,56,No-Think,Emotion,540249,Objects_010_h.jpg,2,2
57,57,No-Think,Neutral,546318,Animals_088_h.jpg,2,2
58,58,Think,Neutral,552604,Faces_211_h.jpg,3,2
59,59,No-Think,Neutral,559023,People_164_h.jpg,3,2
60,60,No-Think,Emotion,572178,People_230_h.jpg,1,2
