,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
0,0,No-Think,Emotion,102950,Objects_023_v.jpg,2,1
1,1,No-Think,Neutral,122458,Faces_219_v.jpg,1,1
2,2,Think,Neutral,134262,Faces_306_v.jpg,3,1
3,3,No-Think,Emotion,142866,Objects_088_h.jpg,2,1
4,4,Think,Neutral,150035,People_164_h.jpg,3,1
5,5,Think,Neutral,159255,People_249_h.jpg,3,1
6,6,No-Think,Neutral,166925,Objects_242_h.jpg,2,1
7,7,No-Think,Emotion,174128,Objects_154_h.jpg,1,1
8,8,Think,Neutral,182898,Objects_029_h.jpg,3,1
9,9,Think,Emotion,191618,Objects_022_h.jpg,3,1
10,10,No-Think,Neutral,197904,People_148_h.jpg,1,1
11,11,No-Think,Neutral,207474,Faces_184_h.jpg,1,1
13,13,No-Think,Neutral,221446,Objects_049_h.jpg,2,1
14,14,Think,Emotion,227465,Objects_006_h.jpg,2,1
15,15,Think,Emotion,233701,Animals_008_v.jpg,3,1
16,16,Think,Emotion,241137,People_230_h.jpg,3,1
17,17,No-Think,Neutral,248224,People_091_h.jpg,2,1
18,18,No-Think,Emotion,254060,People_209_v.jpg,1,1
20,20,No-Think,Emotion,267764,People_217_h.jpg,3,1
21,21,Think,Emotion,273767,People_205_v.jpg,3,1
23,23,Think,Neutral,285721,Faces_292_h.jpg,3,1
24,24,Think,Neutral,291774,People_095_h.jpg,3,1
25,25,Think,Emotion,299593,Faces_156_h.jpg,3,1
26,26,No-Think,Neutral,305612,Faces_211_h.jpg,1,1
27,27,Think,Emotion,312015,Faces_368_h.jpg,3,1
28,28,Think,Neutral,319084,Animals_088_h.jpg,3,1
29,29,No-Think,Neutral,324486,People_097_h.jpg,2,1
30,30,No-Think,Neutral,331939,Animals_213_h.jpg,2,1
31,31,No-Think,Emotion,344611,Animals_041_h.jpg,1,1
32,32,Think,Neutral,350531,Objects_200_h.jpg,3,1
33,33,Think,Neutral,355515,Faces_123_h.jpg,2,1
34,34,Think,Emotion,367553,People_090_v.jpg,3,1
36,36,Think,Emotion,384560,People_204_v.jpg,3,1
37,37,No-Think,Emotion,392229,Objects_011_h.jpg,2,1
38,38,Think,Emotion,398215,Animals_065_h.jpg,3,1
39,39,No-Think,Emotion,403367,Animals_039_h.jpg,1,1
40,40,No-Think,Neutral,412804,People_179_h.jpg,1,1
41,41,Think,Emotion,422625,People_019_v.jpg,3,1
42,42,No-Think,Neutral,428460,Animals_132_h.jpg,1,1
43,43,Think,Emotion,435313,Objects_010_h.jpg,3,1
44,44,No-Think,Emotion,442082,People_077_v.jpg,2,1
45,45,No-Think,Emotion,449202,Objects_126_h.jpg,3,1
46,46,No-Think,Neutral,455087,Animals_097_h.jpg,3,1
47,47,No-Think,Emotion,461857,Animals_078_h.jpg,1,1
48,48,No-Think,Emotion,470577,Objects_154_h.jpg,2,2
49,49,No-Think,Neutral,476279,People_148_h.jpg,2,2
50,50,No-Think,Emotion,483265,Animals_078_h.jpg,1,2
52,52,No-Think,Neutral,498871,Faces_219_v.jpg,1,2
53,53,Think,Neutral,507024,Objects_029_h.jpg,3,2
55,55,Think,Neutral,518879,Faces_123_h.jpg,2,2
56,56,Think,Neutral,524698,People_164_h.jpg,3,2
59,59,No-Think,Emotion,549924,Objects_126_h.jpg,2,2
60,60,Think,Emotion,555993,People_205_v.jpg,3,2
61,61,No-Think,Emotion,561429,People_217_h.jpg,1,2
62,62,No-Think,Emotion,570115,Animals_041_h.jpg,1,2
63,63,No-Think,Emotion,575868,Objects_088_h.jpg,3,2
64,64,Think,Emotion,581120,People_090_v.jpg,3,2
65,65,No-Think,Neutral,588056,Objects_242_h.jpg,2,2
66,66,No-Think,Neutral,594675,Objects_049_h.jpg,1,2
67,67,Think,Emotion,601261,Objects_022_h.jpg,3,2
68,68,No-Think,Neutral,608130,Animals_097_h.jpg,1,2
69,69,No-Think,Neutral,614616,Animals_213_h.jpg,3,2
71,71,Think,Neutral,625654,Animals_088_h.jpg,3,2
73,73,No-Think,Neutral,643127,Animals_132_h.jpg,2,2
74,74,No-Think,Emotion,649080,Animals_039_h.jpg,2,2
75,75,Think,Emotion,654882,People_230_h.jpg,4,2
77,77,No-Think,Emotion,670304,People_209_v.jpg,2,2
79,79,No-Think,Neutral,681892,Faces_211_h.jpg,2,2
80,80,Think,Neutral,688796,Faces_292_h.jpg,3,2
81,81,Think,Emotion,695047,People_019_v.jpg,2,2
82,82,No-Think,Neutral,701200,Faces_184_h.jpg,1,2
83,83,Think,Neutral,708203,Animals_043_h.jpg,3,2
84,84,No-Think,Emotion,716289,Objects_023_v.jpg,1,2
85,85,No-Think,Emotion,723108,People_077_v.jpg,1,2
86,86,Think,Emotion,730578,Objects_006_h.jpg,2,2
87,87,Think,Neutral,736113,Objects_200_h.jpg,3,2
89,89,Think,Emotion,751269,Animals_065_h.jpg,3,2
