,Subject,Condition,Time,Length,AUC,Percent_intrusion
0,31NLI,Think,5,1,,80.21978021978022
1,31NLI,Think,5,2,,18.13186813186813
2,31NLI,Think,5,3,,1.098901098901099
3,31NLI,Think,5,4,,0.0
4,31NLI,Think,5,5,,0.0
5,31NLI,Think,6,1,,97.25274725274726
6,31NLI,Think,6,2,,62.08791208791209
7,31NLI,Think,6,3,,19.230769230769234
8,31NLI,Think,6,4,,3.8461538461538463
9,31NLI,Think,6,5,,1.6483516483516485
10,31NLI,Think,7,1,,90.65934065934066
11,31NLI,Think,7,2,,46.7032967032967
12,31NLI,Think,7,3,,8.791208791208792
13,31NLI,Think,7,4,,2.197802197802198
14,31NLI,Think,7,5,,0.0
15,31NLI,Think,8,1,,97.8021978021978
16,31NLI,Think,8,2,,59.34065934065934
17,31NLI,Think,8,3,,22.52747252747253
18,31NLI,Think,8,4,,7.142857142857142
19,31NLI,Think,8,5,,1.098901098901099
20,31NLI,Think,9,1,,95.05494505494505
21,31NLI,Think,9,2,,37.362637362637365
22,31NLI,Think,9,3,,2.197802197802198
23,31NLI,Think,9,4,,0.0
24,31NLI,Think,9,5,,0.0
25,31NLI,Think,10,1,,98.35164835164835
26,31NLI,Think,10,2,,69.23076923076923
27,31NLI,Think,10,3,,23.076923076923077
28,31NLI,Think,10,4,,5.4945054945054945
29,31NLI,Think,10,5,,1.098901098901099
30,31NLI,Think,11,1,,97.8021978021978
31,31NLI,Think,11,2,,60.98901098901099
32,31NLI,Think,11,3,,21.428571428571427
33,31NLI,Think,11,4,,5.4945054945054945
34,31NLI,Think,11,5,,1.6483516483516485
35,31NLI,Think,12,1,,95.05494505494505
36,31NLI,Think,12,2,,65.93406593406593
37,31NLI,Think,12,3,,31.318681318681318
38,31NLI,Think,12,4,,8.791208791208792
39,31NLI,Think,12,5,,2.197802197802198
40,31NLI,Think,13,1,,98.35164835164835
41,31NLI,Think,13,2,,71.97802197802197
42,31NLI,Think,13,3,,28.021978021978022
43,31NLI,Think,13,4,,11.538461538461538
44,31NLI,Think,13,5,,2.7472527472527473
45,31NLI,Think,14,1,,100.0
46,31NLI,Think,14,2,,98.9010989010989
47,31NLI,Think,14,3,,77.47252747252747
48,31NLI,Think,14,4,,48.35164835164835
49,31NLI,Think,14,5,,30.21978021978022
50,31NLI,Think,15,1,,100.0
51,31NLI,Think,15,2,,96.15384615384616
52,31NLI,Think,15,3,,69.23076923076923
53,31NLI,Think,15,4,,42.30769230769231
54,31NLI,Think,15,5,,22.52747252747253
55,31NLI,Think,16,1,,100.0
56,31NLI,Think,16,2,,92.3076923076923
57,31NLI,Think,16,3,,53.84615384615385
58,31NLI,Think,16,4,,23.626373626373624
59,31NLI,Think,16,5,,9.340659340659341
60,31NLI,Think,17,1,,100.0
61,31NLI,Think,17,2,,90.65934065934066
62,31NLI,Think,17,3,,53.2967032967033
63,31NLI,Think,17,4,,26.923076923076923
64,31NLI,Think,17,5,,8.791208791208792
65,31NLI,Think,18,1,,100.0
66,31NLI,Think,18,2,,99.45054945054946
67,31NLI,Think,18,3,,82.96703296703298
68,31NLI,Think,18,4,,56.59340659340659
69,31NLI,Think,18,5,,33.51648351648351
70,31NLI,Think,19,1,,100.0
71,31NLI,Think,19,2,,95.05494505494505
72,31NLI,Think,19,3,,62.637362637362635
73,31NLI,Think,19,4,,43.40659340659341
74,31NLI,Think,19,5,,24.725274725274726
75,31NLI,Think,20,1,,99.45054945054946
76,31NLI,Think,20,2,,89.56043956043956
77,31NLI,Think,20,3,,50.0
78,31NLI,Think,20,4,,21.428571428571427
79,31NLI,Think,20,5,,9.340659340659341
80,31NLI,Think,21,1,,100.0
81,31NLI,Think,21,2,,62.08791208791209
82,31NLI,Think,21,3,,18.681318681318682
83,31NLI,Think,21,4,,4.395604395604396
84,31NLI,Think,21,5,,0.0
85,31NLI,Think,22,1,,59.89010989010989
86,31NLI,Think,22,2,,8.241758241758241
87,31NLI,Think,22,3,,0.0
88,31NLI,Think,22,4,,0.0
89,31NLI,Think,22,5,,0.0
90,31NLI,Think,23,1,,60.43956043956044
91,31NLI,Think,23,2,,5.4945054945054945
92,31NLI,Think,23,3,,0.0
93,31NLI,Think,23,4,,0.0
94,31NLI,Think,23,5,,0.0
95,31NLI,Think,24,1,,56.043956043956044
96,31NLI,Think,24,2,,7.142857142857142
97,31NLI,Think,24,3,,1.6483516483516485
98,31NLI,Think,24,4,,0.0
99,31NLI,Think,24,5,,0.0
100,31NLI,Think,25,1,,68.13186813186813
101,31NLI,Think,25,2,,15.384615384615385
102,31NLI,Think,25,3,,2.7472527472527473
103,31NLI,Think,25,4,,1.098901098901099
104,31NLI,Think,25,5,,0.5494505494505495
105,31NLI,Think,26,1,,99.45054945054946
106,31NLI,Think,26,2,,67.58241758241759
107,31NLI,Think,26,3,,19.78021978021978
108,31NLI,Think,26,4,,4.395604395604396
109,31NLI,Think,26,5,,2.197802197802198
110,31NLI,Think,27,1,,100.0
111,31NLI,Think,27,2,,59.34065934065934
112,31NLI,Think,27,3,,15.934065934065933
113,31NLI,Think,27,4,,2.197802197802198
114,31NLI,Think,27,5,,0.5494505494505495
115,31NLI,Think,28,1,,97.8021978021978
116,31NLI,Think,28,2,,38.46153846153847
117,31NLI,Think,28,3,,5.4945054945054945
118,31NLI,Think,28,4,,1.098901098901099
119,31NLI,Think,28,5,,0.0
120,31NLI,Think,29,1,,96.7032967032967
121,31NLI,Think,29,2,,39.56043956043956
122,31NLI,Think,29,3,,6.043956043956044
123,31NLI,Think,29,4,,0.5494505494505495
124,31NLI,Think,29,5,,0.0
125,31NLI,No-Think,5,1,0.508220786846741,
126,31NLI,No-Think,5,2,0.5088813857897827,
127,31NLI,No-Think,5,3,0.4980182031708749,
128,31NLI,No-Think,5,4,0.5,
129,31NLI,No-Think,5,5,0.5,
130,31NLI,No-Think,6,1,0.48091603053435117,
131,31NLI,No-Think,6,2,0.5495449207281269,
132,31NLI,No-Think,6,3,0.5090281855549031,
133,31NLI,No-Think,6,4,0.49221961244862006,
134,31NLI,No-Think,6,5,0.4980182031708749,
135,31NLI,No-Think,7,1,0.4659424544920727,
136,31NLI,No-Think,7,2,0.5252495596007046,
137,31NLI,No-Think,7,3,0.5091749853200235,
138,31NLI,No-Think,7,4,0.5018349970640047,
139,31NLI,No-Think,7,5,0.5076335877862596,
140,31NLI,No-Think,8,1,0.5251761597181445,
141,31NLI,No-Think,8,2,0.5136523781561949,
142,31NLI,No-Think,8,3,0.5091749853200235,
143,31NLI,No-Think,8,4,0.5171021726365237,
144,31NLI,No-Think,8,5,0.5,
145,31NLI,No-Think,9,1,0.5308279506752789,
146,31NLI,No-Think,9,2,0.5612889019377569,
147,31NLI,No-Think,9,3,0.5687022900763359,
148,31NLI,No-Think,9,4,0.5114503816793893,
149,31NLI,No-Think,9,5,0.5,
150,31NLI,No-Think,10,1,0.5289929536112743,
