,Subject,Condition,Time,Length,AUC,Percent_intrusion
0,31NLI,DecodingThink,5,1,0.5019817968291251,
1,31NLI,DecodingThink,5,2,0.5205519671168526,
2,31NLI,DecodingThink,5,3,0.5012477980035231,
3,31NLI,DecodingThink,5,4,0.5056517909571345,
4,31NLI,DecodingThink,5,5,0.5,
5,31NLI,DecodingThink,6,1,0.5,
6,31NLI,DecodingThink,6,2,0.4943482090428655,
7,31NLI,DecodingThink,6,3,0.4933940105695831,
8,31NLI,DecodingThink,6,4,0.5350117439812097,
9,31NLI,DecodingThink,6,5,0.5146799765120377,
10,31NLI,DecodingThink,7,1,0.4943482090428655,
11,31NLI,DecodingThink,7,2,0.5498385202583677,
12,31NLI,DecodingThink,7,3,0.5552701115678215,
13,31NLI,DecodingThink,7,4,0.5114503816793893,
14,31NLI,DecodingThink,7,5,0.5,
15,31NLI,DecodingThink,8,1,0.48576042278332354,
16,31NLI,DecodingThink,8,2,0.5110099823840282,
17,31NLI,DecodingThink,8,3,0.5038167938931297,
18,31NLI,DecodingThink,8,4,0.5,
19,31NLI,DecodingThink,8,5,0.5,
20,31NLI,DecodingThink,9,1,0.5135789782736347,
21,31NLI,DecodingThink,9,2,0.5019083969465649,
22,31NLI,DecodingThink,9,3,0.5186435701702877,
23,31NLI,DecodingThink,9,4,0.5094685848502641,
24,31NLI,DecodingThink,9,5,0.5076335877862596,
25,31NLI,DecodingThink,10,1,0.5789782736347622,
26,31NLI,DecodingThink,10,2,0.5055049911920141,
27,31NLI,DecodingThink,10,3,0.4980182031708749,
28,31NLI,DecodingThink,10,4,0.5,
29,31NLI,DecodingThink,10,5,0.5,
30,31NLI,DecodingThink,11,1,0.4723282442748092,
31,31NLI,DecodingThink,11,2,0.5087345860246624,
32,31NLI,DecodingThink,11,3,0.4940546095126248,
33,31NLI,DecodingThink,11,4,0.4807692307692308,
34,31NLI,DecodingThink,11,5,0.5,
35,31NLI,DecodingThink,12,1,0.5155607751027599,
36,31NLI,DecodingThink,12,2,0.5533617146212566,
37,31NLI,DecodingThink,12,3,0.5242953611274223,
38,31NLI,DecodingThink,12,4,0.4998532002348796,
39,31NLI,DecodingThink,12,5,0.5,
40,31NLI,DecodingThink,13,1,0.4961832061068702,
41,31NLI,DecodingThink,13,2,0.4167645331767469,
42,31NLI,DecodingThink,13,3,0.5355989430416911,
43,31NLI,DecodingThink,13,4,0.5169553728714034,
44,31NLI,DecodingThink,13,5,0.5056517909571345,
45,31NLI,DecodingThink,14,1,0.4961832061068702,
46,31NLI,DecodingThink,14,2,0.48899001761597183,
47,31NLI,DecodingThink,14,3,0.4692454492072813,
48,31NLI,DecodingThink,14,4,0.47577803875513797,
49,31NLI,DecodingThink,14,5,0.5032295948326483,
50,31NLI,DecodingThink,15,1,0.5,
51,31NLI,DecodingThink,15,2,0.5138725778038755,
52,31NLI,DecodingThink,15,3,0.528919553728714,
53,31NLI,DecodingThink,15,4,0.48781561949500885,
54,31NLI,DecodingThink,15,5,0.5055049911920141,
55,31NLI,DecodingThink,16,1,0.4943482090428655,
56,31NLI,DecodingThink,16,2,0.5167351732237229,
57,31NLI,DecodingThink,16,3,0.4742366412213741,
58,31NLI,DecodingThink,16,4,0.45177627715795654,
59,31NLI,DecodingThink,16,5,0.48840281855549034,
60,31NLI,DecodingThink,17,1,0.4847328244274809,
61,31NLI,DecodingThink,17,2,0.4384174985320024,
62,31NLI,DecodingThink,17,3,0.47254844392248974,
63,31NLI,DecodingThink,17,4,0.47298884321785084,
64,31NLI,DecodingThink,17,5,0.4845860246623605,
65,31NLI,DecodingThink,18,1,0.4961832061068702,
66,31NLI,DecodingThink,18,2,0.4741632413388138,
67,31NLI,DecodingThink,18,3,0.4336465061655901,
68,31NLI,DecodingThink,18,4,0.4940546095126248,
69,31NLI,DecodingThink,18,5,0.5076335877862596,
70,31NLI,DecodingThink,19,1,0.5057985907222549,
71,31NLI,DecodingThink,19,2,0.49875220199647685,
72,31NLI,DecodingThink,19,3,0.4964034057545508,
73,31NLI,DecodingThink,19,4,0.5126981796829125,
74,31NLI,DecodingThink,19,5,0.5131385789782736,
75,31NLI,DecodingThink,20,1,0.46029066353493836,
76,31NLI,DecodingThink,20,2,0.5598943041691133,
77,31NLI,DecodingThink,20,3,0.5647386964180858,
78,31NLI,DecodingThink,20,4,0.5076335877862596,
79,31NLI,DecodingThink,20,5,0.5038167938931297,
80,31NLI,DecodingThink,21,1,0.4793746330005872,
81,31NLI,DecodingThink,21,2,0.5093951849677041,
82,31NLI,DecodingThink,21,3,0.5049177921315327,
83,31NLI,DecodingThink,21,4,0.5073399882560188,
84,31NLI,DecodingThink,21,5,0.49221961244862006,
85,31NLI,DecodingThink,22,1,0.45537287140340577,
86,31NLI,DecodingThink,22,2,0.5358925425719319,
87,31NLI,DecodingThink,22,3,0.5152671755725191,
88,31NLI,DecodingThink,22,4,0.5038167938931297,
89,31NLI,DecodingThink,22,5,0.5,
90,31NLI,DecodingThink,23,1,0.4475924838520259,
91,31NLI,DecodingThink,23,2,0.4939078097475044,
92,31NLI,DecodingThink,23,3,0.5038167938931297,
93,31NLI,DecodingThink,23,4,0.5,
94,31NLI,DecodingThink,23,5,0.5,
