Condition,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,No-Think,No-Think,No-Think,No-Think,No-Think,No-Think,No-Think,No-Think,Think,Think,Think,Think,Think,Think,Think,Think
Block,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8
Subject,,,,,,,,,,,,,,,,,,,,,,,,
31NLI,0.7112307692307693,0.8476666666666667,0.7483333333333334,0.697,0.596,0.612,0.7308,1.317,1.1028666666666667,1.0939166666666666,0.9187692307692307,0.7468888888888889,0.9791666666666666,0.99975,0.7806666666666666,0.8361666666666666,1.4627857142857141,1.4156428571428572,1.28025,1.3992857142857142,1.0809333333333333,1.0166153846153847,1.1732142857142858,1.0714166666666667
32CVI,1.51725,1.1133125,1.126,1.156625,1.067375,0.7428125,0.8055454545454545,1.0470625,1.5557333333333334,1.3453333333333333,1.5863125,1.7012,1.812,1.2918125,1.3153846153846154,1.6111875,1.9487999999999999,1.882125,1.4613333333333332,1.8156428571428571,1.817875,1.2262142857142857,0.9248,1.1808125
33FAM,1.04325,1.3702,1.6947999999999999,1.093375,1.127,1.0207857142857144,0.596,1.0013846153846153,1.5165333333333333,1.7758,1.6059285714285714,1.3748333333333334,1.3926666666666667,1.2630666666666666,0.8057333333333333,1.040125,1.8531333333333335,1.8124285714285713,1.579076923076923,1.648642857142857,1.3194000000000001,1.4245384615384615,1.008,0.8974375
34LME,0.9704375,0.737,0.6619166666666666,0.6567142857142857,0.606,0.6286428571428571,0.5685,0.571,1.2764000000000002,1.10775,0.9301333333333334,0.995125,1.0213571428571429,0.823875,0.9152666666666667,0.8178333333333334,1.9736923076923076,1.4876666666666667,1.111625,1.1780666666666666,1.0334375,1.1465625,1.0672666666666666,1.0046666666666666
35QSY,1.3695333333333333,1.260857142857143,1.097625,0.9500666666666667,1.0744666666666667,0.9215714285714286,0.711,0.841,1.6885625,1.6208,1.1804666666666668,1.062375,1.0527857142857142,1.0885,0.8571818181818182,0.8475454545454545,2.1062142857142856,1.8442142857142858,1.4804375,1.310142857142857,1.2422666666666666,1.0907777777777778,0.7978571428571429,0.9986666666666666
36LSA,1.6741428571428572,1.2334375,0.9154285714285715,0.6819,0.7238,0.6550833333333334,0.5722142857142857,0.6152307692307692,1.7204666666666666,1.687875,1.2955384615384615,1.0826923076923076,1.050625,1.0395714285714286,0.7506363636363637,0.8123846153846154,1.6406153846153846,1.7290625,1.0951875,1.2618666666666665,1.2545333333333333,1.377857142857143,0.9923846153846153,1.0615384615384615
37BMA,1.1735,1.103375,0.8292666666666666,0.8459333333333333,0.693,0.6887692307692307,0.6298571428571429,0.5487692307692307,1.3342,1.5528,1.208,1.1828666666666665,0.8464285714285714,0.6229285714285715,0.7796153846153846,0.9646153846153847,1.6346666666666667,1.4554375,1.4428125,1.221875,1.2061333333333335,0.8076666666666666,0.843875,0.7488125
38MAX,1.4563125,1.264125,0.6715,0.6430769230769231,0.63425,0.5291666666666667,0.49275,0.4436666666666667,1.508142857142857,1.5146875,1.0704,0.7745,0.61025,0.6190909090909091,0.44916666666666666,0.614,1.8494285714285714,1.98475,1.1247333333333334,1.0395333333333332,0.884,0.7559375,0.6469333333333332,0.6178666666666667
39BDA,0.9535,0.7649285714285714,0.6989333333333333,0.6101333333333333,0.5591818181818181,0.6551428571428571,0.6774545454545455,0.48693333333333333,1.5451875,1.2985,1.0693125,0.9400769230769231,0.8252857142857143,0.7466428571428572,0.7344166666666666,0.8263571428571429,1.8490666666666666,1.361375,1.0562142857142858,1.0559375,0.9871333333333333,0.827625,0.778,1.0202
40MMA,0.94425,1.022875,0.7533125,0.7376666666666666,0.5812,0.7522000000000001,0.6520714285714285,0.5921666666666666,1.2529375,1.0403125,1.0148125,0.807375,0.9429333333333333,0.8785625,0.9556875,0.6661428571428571,1.580625,1.6243125,1.1278125,1.12625,0.8820625,1.0649375,0.8206666666666667,0.8410666666666667
41BAL,1.2033125,1.1233125,0.8910625,0.9176,0.8599333333333333,1.0044545454545455,0.8031111111111111,1.055090909090909,1.813076923076923,1.571625,1.1989333333333334,1.1046875,1.1345999999999998,0.9630909090909091,0.9314166666666667,0.9671818181818181,2.1878888888888888,2.213076923076923,1.975909090909091,1.5171666666666668,1.6828333333333332,1.5321666666666667,1.4418461538461538,1.8137142857142858
42SPE,1.26125,1.1956,1.1557857142857142,1.0684545454545455,1.0376666666666667,1.1604666666666668,0.7397272727272728,0.854,1.550357142857143,1.6626153846153846,1.5271666666666668,1.3515454545454546,1.3288461538461538,1.5367857142857142,1.3162,1.0322,1.6973333333333334,1.6682142857142859,1.772142857142857,1.7417857142857143,1.6695,1.3264615384615386,1.182642857142857,0.9426666666666667
44SMU,0.951,0.672125,0.5434615384615384,0.6085,0.5217142857142857,0.668,0.6729333333333333,0.5851000000000001,1.262875,0.8715625,0.761375,0.7376666666666666,0.729375,0.5785384615384616,0.661625,0.6902307692307693,1.2643125,0.96075,0.853375,0.808125,0.8243125,0.6946875,0.6518125,0.716125
45MJA,1.0955625,0.7989375,0.9997999999999999,0.7750666666666667,0.8693076923076922,0.7023571428571429,0.53175,0.4837692307692308,1.4309375,1.421125,1.43725,1.425875,1.1046875,1.0124375,0.8067857142857143,0.7376923076923078,1.6238125,1.7633125,1.7320625,1.4254666666666667,1.6117333333333332,1.11425,1.181875,0.779875
46SQU,1.183875,0.899875,0.6840769230769231,0.525125,0.5279285714285714,0.5287777777777778,0.5175454545454545,0.4488888888888889,1.287,0.9873125,0.8582000000000001,0.7190625,0.7072857142857143,0.6715,0.6246666666666666,0.5690714285714286,1.146875,1.196625,1.097,0.7986875,0.934875,0.7014375,0.820125,0.6814
47HMA,1.1867999999999999,0.8777333333333334,0.8452857142857143,0.8814615384615384,0.96425,0.8495454545454545,0.766,0.7086153846153846,1.164875,1.10775,0.9736875,0.8720666666666668,0.9266153846153846,0.8185714285714285,0.8225714285714285,0.7913571428571429,2.1672857142857143,1.8035555555555556,1.8726666666666667,1.4096153846153845,1.4552,1.5418666666666665,1.0519375,1.0132727272727273
49STH,1.1308125,0.7093333333333334,0.6857142857142857,0.6875,0.6542727272727272,0.72,0.56575,0.64275,1.339875,1.1299333333333335,1.0548,0.8673571428571429,0.7473333333333334,1.0675454545454546,0.6158333333333333,0.7988333333333334,1.7554,1.21225,0.9604375,0.76775,0.6666,0.7032666666666667,0.7445,0.6148666666666667
