,Subject,Time,Percentage
0,31NLI,20,0.08171206225680934
1,31NLI,70,0.2490272373540856
2,31NLI,120,0.17120622568093385
3,31NLI,170,0.15953307392996108
4,31NLI,220,0.1517509727626459
5,31NLI,270,0.17898832684824903
6,32CVI,20,0.0
7,32CVI,70,0.3684210526315789
8,32CVI,120,0.0
9,32CVI,170,0.3157894736842105
10,32CVI,220,0.15789473684210525
11,32CVI,270,0.15789473684210525
12,33FAM,20,0.09246575342465753
13,33FAM,70,0.1506849315068493
14,33FAM,120,0.21232876712328766
15,33FAM,170,0.18835616438356165
16,33FAM,220,0.1952054794520548
17,33FAM,270,0.14726027397260275
18,34LME,20,0.2037037037037037
19,34LME,70,0.09259259259259259
20,34LME,120,0.18518518518518517
21,34LME,170,0.12962962962962962
22,34LME,220,0.2037037037037037
23,34LME,270,0.18518518518518517
24,35QSY,20,0.13333333333333333
25,35QSY,70,0.13333333333333333
26,35QSY,120,0.1111111111111111
27,35QSY,170,0.17777777777777778
28,35QSY,220,0.24444444444444444
29,35QSY,270,0.13333333333333333
30,36LSA,20,0.16791044776119404
31,36LSA,70,0.12313432835820895
32,36LSA,120,0.19776119402985073
33,36LSA,170,0.1865671641791045
34,36LSA,220,0.1865671641791045
35,36LSA,270,0.12686567164179105
36,37BMA,20,0.36363636363636365
37,37BMA,70,0.09090909090909091
38,37BMA,120,0.09090909090909091
39,37BMA,170,0.0
40,37BMA,220,0.18181818181818182
41,37BMA,270,0.2727272727272727
42,38MAX,20,0.0
43,38MAX,70,0.43333333333333335
44,38MAX,120,0.06666666666666667
45,38MAX,170,0.23333333333333334
46,38MAX,220,0.13333333333333333
47,38MAX,270,0.1
48,39BDA,20,0.5555555555555556
49,39BDA,70,0.05555555555555555
50,39BDA,120,0.05555555555555555
51,39BDA,170,0.16666666666666666
52,39BDA,220,0.1111111111111111
53,39BDA,270,0.05555555555555555
54,40MMA,20,0.037037037037037035
55,40MMA,70,0.1111111111111111
56,40MMA,120,0.25925925925925924
57,40MMA,170,0.2222222222222222
58,40MMA,220,0.14814814814814814
59,40MMA,270,0.18518518518518517
60,41BAL,20,0.0
61,41BAL,70,0.3333333333333333
62,41BAL,120,0.3333333333333333
63,41BAL,170,0.3333333333333333
64,41BAL,220,0.0
65,41BAL,270,0.0
66,42SPE,20,0.20634920634920634
67,42SPE,70,0.1111111111111111
68,42SPE,120,0.21428571428571427
69,42SPE,170,0.15873015873015872
70,42SPE,220,0.15079365079365079
71,42SPE,270,0.12698412698412698
72,44SMU,20,0.1111111111111111
73,44SMU,70,0.16666666666666666
74,44SMU,120,0.2222222222222222
75,44SMU,170,0.2777777777777778
76,44SMU,220,0.16666666666666666
77,44SMU,270,0.05555555555555555
78,45MJA,20,0.10084033613445378
79,45MJA,70,0.16806722689075632
80,45MJA,120,0.15126050420168066
81,45MJA,170,0.20168067226890757
82,45MJA,220,0.18487394957983194
83,45MJA,270,0.15966386554621848
84,46SQU,20,0.13793103448275862
85,46SQU,70,0.1839080459770115
86,46SQU,120,0.1724137931034483
87,46SQU,170,0.13793103448275862
88,46SQU,220,0.1839080459770115
89,46SQU,270,0.16091954022988506
90,47HMA,20,0.10101010101010101
91,47HMA,70,0.18181818181818182
92,47HMA,120,0.18181818181818182
93,47HMA,170,0.20202020202020202
94,47HMA,220,0.1717171717171717
95,47HMA,270,0.15151515151515152
96,49STH,20,0.08823529411764706
97,49STH,70,0.19117647058823528
98,49STH,120,0.14705882352941177
99,49STH,170,0.14705882352941177
100,49STH,220,0.22058823529411764
101,49STH,270,0.20588235294117646
102,50JOC,20,0.08333333333333333
103,50JOC,70,0.21875
104,50JOC,120,0.13541666666666666
105,50JOC,170,0.125
106,50JOC,220,0.1875
107,50JOC,270,0.25
108,52PFA,20,0.14035087719298245
109,52PFA,70,0.19298245614035087
110,52PFA,120,0.17543859649122806
111,52PFA,170,0.15789473684210525
112,52PFA,220,0.22807017543859648
113,52PFA,270,0.07017543859649122
114,53SMA,20,0.21428571428571427
115,53SMA,70,0.07142857142857142
116,53SMA,120,0.14285714285714285
117,53SMA,170,0.2857142857142857
118,53SMA,220,0.21428571428571427
119,53SMA,270,0.07142857142857142
120,54CCA,20,0.10714285714285714
121,54CCA,70,0.17857142857142858
122,54CCA,120,0.21428571428571427
123,54CCA,170,0.17857142857142858
124,54CCA,220,0.17857142857142858
125,54CCA,270,0.10714285714285714
126,55MNI,20,0.10852713178294573
127,55MNI,70,0.12403100775193798
128,55MNI,120,0.20155038759689922
129,55MNI,170,0.16279069767441862
130,55MNI,220,0.2248062015503876
131,55MNI,270,0.16279069767441862
132,56BCL,20,0.030927835051546393
133,56BCL,70,0.24742268041237114
134,56BCL,120,0.24742268041237114
135,56BCL,170,0.21649484536082475
136,56BCL,220,0.18556701030927836
137,56BCL,270,0.07216494845360824
138,57NCO,20,0.0
139,57NCO,70,0.0
140,57NCO,120,0.0
141,57NCO,170,0.0
142,57NCO,220,1.0
143,57NCO,270,0.0
144,58BAN,20,0.05673758865248227
145,58BAN,70,0.19148936170212766
146,58BAN,120,0.22695035460992907
147,58BAN,170,0.1702127659574468
148,58BAN,220,0.19858156028368795
149,58BAN,270,0.14893617021276595
150,59DIN,20,0.1292517006802721
151,59DIN,70,0.20408163265306123
152,59DIN,120,0.14285714285714285
153,59DIN,170,0.1564625850340136
154,59DIN,220,0.19727891156462585
155,59DIN,270,0.16326530612244897
156,60CAN,20,0.024096385542168676
157,60CAN,70,0.1927710843373494
158,60CAN,120,0.24096385542168675
159,60CAN,170,0.1927710843373494
160,60CAN,220,0.18072289156626506
161,60CAN,270,0.12048192771084337
