,Subject,Block,Events
0,31NLI,1-2,2.6341463414634148
1,31NLI,3-4,1.6388888888888888
2,31NLI,5-6,1.90625
3,31NLI,7-8,1.3181818181818181
4,32CVI,1-2,1.4
5,33FAM,1-2,0.5806451612903226
6,33FAM,3-4,0.6571428571428571
7,33FAM,5-6,0.14285714285714285
8,34LME,1-2,2.411764705882353
9,34LME,3-4,1.1111111111111112
10,34LME,5-6,0.375
11,35QSY,1-2,1.588235294117647
12,35QSY,5-6,0.875
13,36LSA,1-2,2.0930232558139537
14,36LSA,3-4,1.75
15,36LSA,5-6,1.7941176470588236
16,36LSA,7-8,1.3428571428571427
17,37BMA,1-2,0.25
18,38MAX,1-2,0.5333333333333333
19,38MAX,3-4,1.5
20,38MAX,5-6,0.75
21,39BDA,1-2,0.3333333333333333
22,39BDA,3-4,0.2727272727272727
23,40MMA,1-2,1.5
24,40MMA,5-6,0.75
25,40MMA,7-8,0.3333333333333333
26,42SPE,1-2,0.8918918918918919
27,42SPE,3-4,1.08
28,42SPE,5-6,1.3
29,42SPE,7-8,1.35
30,44SMU,1-2,0.75
31,45MJA,1-2,2.823529411764706
32,45MJA,3-4,1.4
33,45MJA,5-6,2.6666666666666665
34,45MJA,7-8,3.5714285714285716
35,46SQU,1-2,0.71875
36,46SQU,3-4,0.7647058823529411
37,46SQU,5-6,0.6538461538461539
38,46SQU,7-8,0.7
39,47HMA,1-2,3.0
40,47HMA,3-4,2.142857142857143
41,47HMA,5-6,1.4444444444444444
42,49STH,1-2,0.6666666666666666
43,49STH,3-4,0.7777777777777778
44,49STH,5-6,0.7272727272727273
45,49STH,7-8,0.4117647058823529
46,50JOC,1-2,1.3235294117647058
47,50JOC,3-4,1.0769230769230769
48,50JOC,5-6,0.9411764705882353
49,50JOC,7-8,0.7
50,52PFA,1-2,1.4736842105263157
51,52PFA,3-4,1.3333333333333333
52,53SMA,1-2,1.375
53,54CCA,1-2,0.9285714285714286
54,54CCA,3-4,0.5
55,54CCA,5-6,0.4
56,55MNI,1-2,0.8974358974358975
57,55MNI,3-4,0.9428571428571428
58,55MNI,5-6,0.9375
59,55MNI,7-8,0.8157894736842105
60,56BCL,1-2,1.8275862068965518
61,56BCL,3-4,1.6666666666666667
62,56BCL,5-6,1.6
63,56BCL,7-8,0.375
64,58BAN,1-2,1.2857142857142858
65,58BAN,3-4,0.725
66,58BAN,5-6,1.096774193548387
67,58BAN,7-8,0.6857142857142857
68,59DIN,1-2,1.325
69,59DIN,3-4,1.5
70,59DIN,5-6,1.16
71,59DIN,7-8,0.47058823529411764
72,60CAN,1-2,1.6521739130434783
73,60CAN,3-4,1.5
74,60CAN,5-6,0.8333333333333334
75,60CAN,7-8,1.375
