,Subject,Block,Emotion,Time
0,31NLI,1,Neutral,48
1,31NLI,1,Neutral,47
2,31NLI,1,Neutral,104
3,31NLI,1,Emotion,62
4,31NLI,1,Neutral,41
5,31NLI,1,Neutral,180
6,31NLI,1,Emotion,301
7,31NLI,1,Emotion,68
8,31NLI,1,Emotion,123
9,31NLI,1,Neutral,120
10,31NLI,1,Emotion,102
11,31NLI,1,Neutral,83
12,31NLI,1,Neutral,90
13,31NLI,2,Neutral,121
14,31NLI,2,Emotion,223
15,31NLI,2,Emotion,93
16,31NLI,2,Neutral,204
17,31NLI,2,Emotion,179
18,31NLI,2,Emotion,61
19,31NLI,2,Neutral,68
20,31NLI,2,Neutral,119
21,31NLI,2,Neutral,308
22,31NLI,2,Neutral,91
23,31NLI,2,Emotion,109
24,31NLI,2,Neutral,107
25,31NLI,2,Emotion,104
26,31NLI,2,Emotion,87
27,31NLI,2,Emotion,61
28,31NLI,2,Emotion,216
29,31NLI,2,Neutral,58
30,31NLI,2,Neutral,144
31,31NLI,3,Neutral,309
32,31NLI,3,Neutral,157
33,31NLI,3,Neutral,272
34,31NLI,3,Emotion,96
35,31NLI,3,Neutral,78
36,31NLI,3,Neutral,198
37,31NLI,3,Neutral,79
38,31NLI,3,Emotion,237
39,31NLI,3,Neutral,226
40,31NLI,3,Neutral,97
41,31NLI,3,Emotion,68
42,31NLI,3,Emotion,169
43,31NLI,3,Neutral,114
44,31NLI,3,Emotion,94
45,31NLI,3,Emotion,202
46,31NLI,3,Emotion,45
47,31NLI,4,Emotion,117
48,31NLI,4,Neutral,49
49,31NLI,4,Neutral,287
50,31NLI,4,Neutral,132
51,31NLI,4,Emotion,292
52,31NLI,4,Emotion,81
53,31NLI,4,Neutral,99
54,31NLI,4,Emotion,183
55,31NLI,4,Neutral,82
56,31NLI,4,Neutral,102
57,31NLI,5,Neutral,84
58,31NLI,5,Emotion,138
59,31NLI,5,Neutral,83
60,31NLI,5,Neutral,106
61,31NLI,5,Emotion,244
62,31NLI,5,Emotion,60
63,31NLI,5,Neutral,224
64,31NLI,5,Neutral,211
65,31NLI,5,Emotion,42
66,31NLI,5,Neutral,105
67,31NLI,5,Neutral,77
68,31NLI,5,Neutral,146
69,31NLI,6,Neutral,53
70,31NLI,6,Emotion,131
71,31NLI,6,Neutral,85
72,31NLI,6,Neutral,67
73,31NLI,6,Emotion,103
74,31NLI,6,Emotion,96
75,31NLI,6,Neutral,90
76,31NLI,6,Emotion,191
77,31NLI,6,Neutral,307
78,31NLI,6,Emotion,92
79,31NLI,7,Emotion,111
80,31NLI,7,Emotion,276
81,31NLI,7,Neutral,131
82,31NLI,7,Neutral,77
83,31NLI,7,Emotion,207
84,31NLI,7,Emotion,256
85,31NLI,7,Emotion,66
86,31NLI,7,Neutral,94
87,31NLI,7,Neutral,107
88,31NLI,8,Emotion,109
89,31NLI,8,Emotion,99
90,31NLI,8,Neutral,62
