nSub,Baseline,No-Think,Think
31NLI,100.0,91.6666666666667,95.83333333333334
32CVI,87.5,75.0,87.5
34LME,87.5,95.83333333333334,91.6666666666667
35QSY,95.83333333333334,79.16666666666666,95.83333333333334
36LSA,100.0,91.66666666666666,100.0
37BMA,95.83333333333334,100.0,100.0
38MAX,100.0,100.0,100.0
39BDA,95.83333333333334,91.66666666666666,100.0
40MMA,95.83333333333334,79.16666666666666,100.0
41BAL,91.66666666666666,100.0,100.0
42SPE,100.0,87.5,91.6666666666667
44SMU,100.0,95.83333333333334,100.0
45MJA,95.83333333333334,95.83333333333334,100.0
46SQU,95.83333333333334,100.0,100.0
47HMA,100.0,91.6666666666667,100.0
50JOC,100.0,95.83333333333334,95.83333333333334
52PFA,79.1666666666667,66.6666666666667,83.33333333333334
53SMA,95.83333333333334,87.5,95.83333333333334
55MNI,100.0,95.83333333333334,100.0
56BCL,83.33333333333334,66.6666666666667,79.1666666666667
57NCO,95.83333333333334,95.83333333333334,100.0
58BAN,100.0,100.0,100.0
59DIN,95.83333333333334,79.1666666666667,91.66666666666666
60CAN,100.0,87.5,100.0
